,Date,Symbol,Open,High,Low,Close,Volume
6410,2015-01-19,FML,60.0,60.0,60.0,60.0,500
37405,2015-04-16,FML,57.5,62.99,57.0,57.0,7500
37913,2015-04-17,FML,59.85,59.85,59.85,59.85,2000
46067,2015-05-12,FML,57.0,57.0,57.0,57.0,1000
50919,2015-05-28,FML,0.0,58.24,58.24,58.24,0
51987,2015-06-01,FML,0.0,61.15,61.15,61.15,0
53028,2015-06-03,FML,59.0,59.0,59.0,59.0,1000
60403,2015-06-24,FML,0.0,60.0,60.0,60.0,0
62029,2015-06-29,FML,63.0,63.0,63.0,63.0,500
63014,2015-07-01,FML,0.0,63.5,63.5,63.0,500
79641,2015-08-20,FML,59.85,59.85,59.85,59.85,500
104812,2015-11-13,FML,55.6,55.6,55.6,55.6,1000
106328,2015-11-18,FML,57.8,57.8,57.8,57.8,500
117776,2015-12-23,FML,57.8,57.8,57.8,57.8,2500
121088,2016-01-06,FML,0.0,57.8129,57.8129,57.8129,0
122478,2016-01-12,FML,60.7,60.7,60.7,60.7,500
122935,2016-01-13,FML,0.0,62.9725,62.9725,62.9725,0
123418,2016-01-14,FML,0.0,65.31,65.31,65.31,0
123900,2016-01-15,FML,66.12,66.12,66.12,66.12,1000
125768,2016-01-21,FML,0.0,63.75,63.75,66.12,2500
131007,2016-02-08,FML,69.42,69.42,69.42,69.42,500
132393,2016-02-11,FML,72.5,72.5,72.5,72.5,500
133780,2016-02-16,FML,76.12,76.12,76.12,76.12,500
137585,2016-02-29,FML,79.92,79.92,79.92,79.92,500
138994,2016-03-03,FML,83.91,83.91,76.15,83.91,1000
139483,2016-03-04,FML,79.72,79.72,79.72,83.91,500
140468,2016-03-08,FML,80.0,80.0,80.0,83.91,500
141422,2016-03-10,FML,88.0,88.0,88.0,88.0,500
142833,2016-03-15,FML,90.82,90.82,90.82,90.82,500
144254,2016-03-18,FML,95.35,95.35,95.35,95.35,500
144737,2016-04-01,FML,90.0,94.76,90.0,94.76,1000
151767,2016-04-22,FML,104.46,104.46,104.46,104.46,500
152818,2016-04-26,FML,109.1,109.68,109.1,109.68,1000
153366,2016-04-27,FML,115.15,115.15,115.15,115.15,500
153924,2016-04-28,FML,0.0,120.9,120.9,120.9,0
155015,2016-05-02,FML,0.0,126.935,126.935,126.935,0
156040,2016-05-04,FML,0.0,133.28,133.28,133.28,0
156554,2016-05-06,FML,0.0,144.0,144.0,144.0,0
157069,2016-05-09,FML,0.0,151.15,151.15,151.15,0
157590,2016-05-10,FML,158.7,158.7,158.7,158.7,500
158105,2016-05-12,FML,174.96,174.96,174.96,174.96,1500
158629,2016-05-13,FML,0.0,183.7,183.7,183.7,0
159675,2016-05-18,FML,202.3,202.3,202.3,202.3,500
160207,2016-05-19,FML,212.41,212.41,212.41,212.41,500
160728,2016-05-20,FML,223.03,223.03,201.79,220.0,6000
161236,2016-05-23,FML,230.47,230.47,230.47,230.47,1000
161794,2016-05-24,FML,235.0,241.99,235.0,241.0,1500
162944,2016-05-26,FML,253.05,253.05,253.05,253.05,500
163520,2016-06-02,FML,0.0,317.1,317.1,317.1,0
164057,2016-06-03,FML,0.0,332.95,332.95,332.95,0
164590,2016-06-06,FML,349.59,349.59,349.59,349.59,1000
165094,2016-06-07,FML,367.06,367.06,367.06,367.06,2000
165578,2016-06-07,FML,367.06,367.06,367.06,367.06,2000
166069,2016-06-08,FML,385.41,385.41,385.41,385.41,2500
166570,2016-06-09,FML,404.68,404.68,404.68,404.68,1500
167061,2016-06-10,FML,0.0,424.91,424.91,424.91,0
167539,2016-06-13,FML,446.15,446.15,430.0,430.03,17500
169002,2016-06-16,FML,0.0,413.7138,413.7138,413.7138,0
169490,2016-06-17,FML,0.0,401.30199999999996,401.30199999999996,401.30199999999996,0
169978,2016-06-20,FML,0.0,386.6343,386.6343,386.6343,0
172561,2016-06-27,FML,367.31,367.31,367.31,367.31,1500
173054,2016-06-28,FML,348.95,348.95,348.95,348.95,500
173540,2016-06-29,FML,331.51,331.51,331.51,331.51,500
174026,2016-06-30,FML,314.94,314.94,314.94,314.94,500
174501,2016-07-04,FML,299.2,299.2,299.2,299.2,500
174964,2016-07-11,FML,0.0,291.8147,291.8147,291.8147,0
175449,2016-07-12,FML,0.0,284.6148,284.6148,284.6148,0
175948,2016-07-13,FML,270.39,275.0,270.39,270.39,9000
176467,2016-07-14,FML,256.88,256.88,256.88,256.88,900
176970,2016-07-15,FML,244.04,244.04,244.04,244.04,400
177465,2016-07-18,FML,231.84,231.84,231.84,231.84,500
177971,2016-07-19,FML,222.02,222.02,220.25,220.25,1600
178483,2016-07-20,FML,209.24,209.24,209.24,209.24,1200
178980,2016-07-21,FML,198.78,219.7,198.78,219.7,23700
179489,2016-07-22,FML,230.68,230.68,221.0,229.99,3900
179979,2016-07-25,FML,225.0,235.0,222.0,224.75,1900
180510,2016-07-26,FML,230.0,235.98,230.0,232.99,1600
181053,2016-07-27,FML,241.0,244.63,241.0,244.63,700
181613,2016-07-28,FML,256.84,256.86,255.0,256.86,400
182149,2016-07-29,FML,269.7,269.7,269.7,269.7,100
182679,2016-08-01,FML,283.18,283.18,283.18,283.18,100
183184,2016-08-02,FML,297.33,297.33,297.33,297.33,2600
183697,2016-08-03,FML,312.19,312.19,300.0,300.01,18400
