,Date,Symbol,Open,High,Low,Close,Volume
265,2015-01-01,FEROZ,573.98,575.0,559.0,572.28,51650
790,2015-01-02,FEROZ,572.0,588.0,567.0,571.48,116950
1309,2015-01-05,FEROZ,570.0,576.85,565.05,566.44,32400
1816,2015-01-06,FEROZ,568.0,571.0,540.0,548.16,72250
2335,2015-01-07,FEROZ,548.5,559.0,534.0,545.23,57600
2848,2015-01-08,FEROZ,540.25,551.0,533.0,535.71,30000
3361,2015-01-09,FEROZ,536.0,540.69,520.0,528.18,48900
3887,2015-01-12,FEROZ,530.0,554.58,530.0,554.58,79150
4425,2015-01-13,FEROZ,570.0,582.3,566.02,582.3,126900
4970,2015-01-14,FEROZ,599.9,611.41,593.0,611.41,48450
5517,2015-01-15,FEROZ,630.0,641.98,601.56,614.22,423650
6054,2015-01-16,FEROZ,644.93,644.93,619.0,622.51,172050
6588,2015-01-19,FEROZ,625.05,631.95,610.0,612.04,61800
7124,2015-01-20,FEROZ,607.01,614.9,600.25,602.13,81850
7661,2015-01-21,FEROZ,603.5,624.0,602.15,610.52,109300
8183,2015-01-22,FEROZ,614.0,620.0,605.0,608.03,92400
8691,2015-01-23,FEROZ,613.89,625.0,607.0,609.74,80900
9214,2015-01-26,FEROZ,618.6,627.0,609.0,617.99,85250
9770,2015-01-27,FEROZ,614.0,648.88,614.0,621.18,460600
10328,2015-01-28,FEROZ,618.0,623.98,601.0,604.67,122600
10878,2015-01-29,FEROZ,602.1,616.0,602.1,611.51,42650
11412,2015-01-30,FEROZ,615.98,617.0,601.0,610.35,43950
11972,2015-02-02,FEROZ,607.0,611.0,601.0,604.52,50850
12489,2015-02-03,FEROZ,605.0,607.94,584.25,600.28,44350
13008,2015-02-04,FEROZ,606.0,611.8,592.1,596.31,49450
13512,2015-02-06,FEROZ,594.0,597.0,587.0,589.68,24500
14020,2015-02-09,FEROZ,591.0,611.0,589.0,590.73,74550
14520,2015-02-10,FEROZ,591.5,600.0,575.0,579.59,48100
15029,2015-02-11,FEROZ,585.0,588.0,575.0,580.06,38600
15544,2015-02-12,FEROZ,580.0,600.0,565.0,585.17,53450
16040,2015-02-13,FEROZ,585.0,589.0,580.0,582.75,19600
16537,2015-02-16,FEROZ,580.0,611.88,578.0,611.88,150600
17033,2015-02-17,FEROZ,635.0,642.47,631.0,640.96,264400
17533,2015-02-18,FEROZ,641.0,647.0,616.25,620.69,78050
18040,2015-02-19,FEROZ,619.0,620.0,607.0,614.36,28450
18528,2015-02-20,FEROZ,612.01,614.99,607.0,607.07,6050
19018,2015-02-23,FEROZ,607.0,613.0,607.0,610.0,16000
19564,2015-02-24,FEROZ,605.01,613.39,601.0,601.42,4200
20099,2015-02-25,FEROZ,605.0,609.0,592.0,593.58,5800
20651,2015-02-26,FEROZ,594.9,594.9,584.0,587.51,17050
21180,2015-02-27,FEROZ,585.1,587.0,575.0,577.57,12700
21716,2015-03-02,FEROZ,576.99,576.99,566.1,567.08,9800
22221,2015-03-03,FEROZ,565.0,569.99,560.0,564.47,17100
22723,2015-03-04,FEROZ,572.0,574.0,563.0,567.88,12000
23216,2015-03-05,FEROZ,560.0,561.0,541.11,547.96,69350
23687,2015-03-06,FEROZ,544.0,544.0,533.0,538.83,34050
24161,2015-03-09,FEROZ,539.5,539.5,519.1,520.48,23900
24648,2015-03-10,FEROZ,516.0,526.0,515.05,520.34,20450
25131,2015-03-11,FEROZ,497.01,524.49,495.05,520.09,43900
25618,2015-03-12,FEROZ,524.9,529.0,524.0,527.46,20950
26100,2015-03-13,FEROZ,528.5,553.83,528.0,553.56,47600
26583,2015-03-16,FEROZ,560.0,575.99,535.0,540.78,61350
27055,2015-03-17,FEROZ,533.5,540.0,527.99,534.77,19550
27559,2015-03-18,FEROZ,529.5,530.0,508.04,508.07,44850
28048,2015-03-19,FEROZ,500.5,520.0,500.0,511.04,7250
28516,2015-03-20,FEROZ,515.0,519.4,513.1,513.69,9900
28988,2015-03-24,FEROZ,517.0,518.0,505.0,509.99,10900
29494,2015-03-25,FEROZ,505.15,505.15,503.0,503.38,2000
30006,2015-03-26,FEROZ,505.05,512.0,478.22,504.2,25850
30538,2015-03-27,FEROZ,502.0,505.0,495.0,500.05,11300
31091,2015-03-30,FEROZ,480.01,480.01,475.05,475.05,15300
31598,2015-03-31,FEROZ,484.99,498.8,478.5,493.21,36700
32102,2015-04-01,FEROZ,486.0,506.2,475.33,500.18,41150
32610,2015-04-02,FEROZ,503.9,509.5,500.0,505.71,18300
33115,2015-04-03,FEROZ,500.63,505.0,499.5,502.09,11450
