,Date,Symbol,Open,High,Low,Close,Volume
172,2015-01-01,FLYNG,7.59,8.0,7.5,7.79,594500
689,2015-01-02,FLYNG,7.43,7.78,7.25,7.39,900500
1209,2015-01-05,FLYNG,7.39,7.8,7.25,7.69,301000
1720,2015-01-06,FLYNG,7.77,7.77,7.6,7.68,226500
2237,2015-01-07,FLYNG,7.54,7.78,7.54,7.74,69000
2750,2015-01-08,FLYNG,7.7,7.75,7.6,7.62,114500
3262,2015-01-09,FLYNG,7.8,7.8,7.46,7.52,146500
3785,2015-01-12,FLYNG,7.44,7.72,7.37,7.4,139000
4325,2015-01-13,FLYNG,7.5,7.59,7.38,7.51,244000
4872,2015-01-14,FLYNG,7.44,7.7,7.44,7.6,88500
5416,2015-01-15,FLYNG,7.68,8.1,7.65,7.87,235500
5957,2015-01-16,FLYNG,7.9,7.99,7.8,7.95,30500
6491,2015-01-19,FLYNG,7.65,7.8,7.6,7.75,102000
7025,2015-01-20,FLYNG,7.75,8.5,7.75,8.15,268000
7561,2015-01-21,FLYNG,8.33,8.33,8.02,8.05,267000
8083,2015-01-22,FLYNG,8.01,8.35,8.01,8.03,38500
8594,2015-01-23,FLYNG,8.02,8.09,7.9,8.09,22000
9114,2015-01-26,FLYNG,8.21,8.21,8.01,8.06,64500
9671,2015-01-27,FLYNG,8.06,8.11,7.85,7.99,75500
10228,2015-01-28,FLYNG,8.0,8.15,7.93,8.0,104500
10777,2015-01-29,FLYNG,8.08,8.15,7.98,8.0,88500
11314,2015-01-30,FLYNG,8.0,8.15,8.0,8.05,136500
11874,2015-02-02,FLYNG,8.0,8.15,8.0,8.04,328000
12389,2015-02-03,FLYNG,8.01,8.24,7.9,8.04,474500
12908,2015-02-04,FLYNG,8.0,8.14,7.85,7.91,144000
13413,2015-02-06,FLYNG,8.1,8.1,7.9,7.99,109500
13919,2015-02-09,FLYNG,7.99,8.0,7.8,7.8,45000
14423,2015-02-10,FLYNG,7.82,7.9,7.53,7.9,68500
14933,2015-02-11,FLYNG,7.75,7.95,7.75,7.86,7000
15447,2015-02-12,FLYNG,7.85,7.92,7.5,7.57,75000
15943,2015-02-13,FLYNG,7.86,7.86,7.57,7.68,32000
16438,2015-02-16,FLYNG,7.79,7.83,7.65,7.69,22000
16933,2015-02-17,FLYNG,7.7,7.89,7.38,7.5,93000
17435,2015-02-18,FLYNG,7.6,7.6,7.3,7.43,23500
17939,2015-02-19,FLYNG,7.48,7.64,7.48,7.58,45500
18432,2015-02-20,FLYNG,7.5,7.65,7.4,7.6,25500
18923,2015-02-23,FLYNG,7.6,7.65,7.56,7.58,293000
19469,2015-02-24,FLYNG,7.6,7.6,7.47,7.48,53000
20005,2015-02-25,FLYNG,7.42,7.54,7.26,7.31,132500
20554,2015-02-26,FLYNG,7.44,7.45,7.15,7.24,28500
21086,2015-02-27,FLYNG,7.16,7.32,7.09,7.1,14500
21620,2015-03-02,FLYNG,7.07,7.07,6.9,6.99,59500
22126,2015-03-03,FLYNG,7.35,7.35,6.95,7.15,12500
22628,2015-03-04,FLYNG,7.16,7.2,7.04,7.04,4000
23125,2015-03-05,FLYNG,7.2,7.2,7.05,7.1,26500
23592,2015-03-06,FLYNG,7.25,7.25,7.1,7.1,41000
24068,2015-03-09,FLYNG,7.1,7.13,7.0,7.07,142500
24551,2015-03-10,FLYNG,6.67,7.05,6.67,6.99,15500
25035,2015-03-11,FLYNG,7.34,7.34,6.71,7.03,4000
25521,2015-03-12,FLYNG,7.05,7.05,6.91,7.05,2000
26004,2015-03-13,FLYNG,7.19,7.19,7.0,7.14,25500
26488,2015-03-16,FLYNG,7.2,7.6,7.2,7.53,245000
26958,2015-03-17,FLYNG,7.25,7.4,7.2,7.32,8000
27465,2015-03-18,FLYNG,7.45,7.45,6.85,7.1,41000
27955,2015-03-19,FLYNG,7.02,7.18,7.0,7.18,6000
28427,2015-03-20,FLYNG,7.35,7.35,7.24,7.25,14500
28896,2015-03-24,FLYNG,7.0,7.1,7.0,7.01,12500
29403,2015-03-25,FLYNG,7.0,7.04,6.75,7.04,11000
29912,2015-03-26,FLYNG,7.0,7.05,6.5,6.72,60500
30443,2015-03-27,FLYNG,6.5,6.89,6.5,6.7,4000
30995,2015-03-30,FLYNG,6.16,6.16,5.9,5.95,111000
31503,2015-03-31,FLYNG,6.48,6.8,6.45,6.61,83000
32006,2015-04-01,FLYNG,6.69,6.79,6.6,6.64,33000
32517,2015-04-02,FLYNG,6.56,6.75,6.52,6.74,28000
33021,2015-04-03,FLYNG,6.75,6.75,6.59,6.74,34000
33524,2015-04-06,FLYNG,6.5,6.8,6.5,6.66,151000
34028,2015-04-07,FLYNG,6.62,6.72,6.06,6.16,377000
34515,2015-04-08,FLYNG,6.34,6.34,6.08,6.13,125000
35003,2015-04-09,FLYNG,6.2,6.2,6.09,6.15,80500
35509,2015-04-10,FLYNG,6.25,6.44,6.2,6.32,125500
36023,2015-04-13,FLYNG,6.43,6.44,6.33,6.4,20000
