,Date,Symbol,Open,High,Low,Close,Volume
328884,2020-07-01,FCEPL,74.0,77.0,73.5,75.46,199500
338574,2020-07-01,FCEPL,74.0,77.0,73.5,75.46,199500
561767,2019-07-11,FCEPL,51.75,54.5,51.5,53.64,51000
562207,2019-07-12,FCEPL,54.8,54.4,51.0,51.37,87500
562657,2019-07-15,FCEPL,50.21,50.21,48.81,49.05,95500
563115,2019-07-16,FCEPL,49.45,50.5,48.8,50.42,17000
563559,2019-07-17,FCEPL,51.5,51.97,50.0,50.48,24500
564016,2019-07-18,FCEPL,49.8,50.8,48.23,49.51,105000
564462,2019-07-19,FCEPL,50.0,51.75,47.62,51.26,99000
564913,2019-07-22,FCEPL,50.6,51.0,49.65,50.13,54500
565431,2019-07-23,FCEPL,49.75,51.2,49.05,51.11,26500
565948,2019-07-24,FCEPL,50.3,51.8,50.3,51.5,135000
566450,2019-07-25,FCEPL,49.85,52.1,49.85,51.01,63000
566962,2019-07-26,FCEPL,51.0,51.0,48.46,48.5,119500
567472,2019-07-29,FCEPL,47.95,48.0,46.08,46.13,294500
567912,2019-07-30,FCEPL,47.45,47.45,45.05,46.69,25500
568362,2019-07-31,FCEPL,46.5,49.02,46.0,46.86,263000
568808,2019-08-02,FCEPL,46.23,46.23,44.0,44.73,49000
569251,2019-08-05,FCEPL,43.99,45.0,42.81,43.97,32000
569698,2019-08-06,FCEPL,43.51,44.85,43.1,44.01,20000
570143,2019-08-07,FCEPL,43.51,44.0,43.5,43.86,4500
570595,2019-08-08,FCEPL,42.1,45.0,42.1,43.87,131500
571048,2019-08-09,FCEPL,45.8,46.06,44.5,45.79,92500
571487,2019-08-16,FCEPL,45.5,47.93,45.0,45.59,50000
571933,2019-08-19,FCEPL,44.85,47.29,44.85,45.84,255000
572426,2019-08-20,FCEPL,45.5,47.1,45.5,45.95,364000
572907,2019-08-21,FCEPL,45.5,48.1,45.5,47.97,153000
573397,2019-08-22,FCEPL,48.85,50.36,48.0,50.35,399000
573892,2019-08-23,FCEPL,51.55,51.55,48.51,48.91,150000
574361,2019-08-26,FCEPL,47.51,48.4,46.5,46.86,84500
574877,2019-08-27,FCEPL,46.01,48.85,46.01,48.43,44000
575390,2019-08-28,FCEPL,49.0,49.75,48.05,49.12,269000
575912,2019-08-29,FCEPL,49.5,50.1,47.5,47.54,217000
576425,2019-08-30,FCEPL,47.0,47.5,45.17,45.24,79000
576928,2019-09-02,FCEPL,46.0,46.7,45.55,46.1,16000
577373,2019-09-03,FCEPL,45.8,46.0,45.2,46.0,25500
577820,2019-09-04,FCEPL,45.7,47.25,45.15,47.01,60500
578268,2019-09-05,FCEPL,47.5,48.59,46.5,47.5,52500
578701,2019-09-06,FCEPL,45.8,47.0,45.8,46.59,17500
579131,2019-09-11,FCEPL,47.0,47.0,45.05,46.01,39000
579599,2019-09-12,FCEPL,46.0,48.2,46.0,47.2,185000
580053,2019-09-13,FCEPL,47.85,48.85,47.3,47.85,67000
580514,2019-09-16,FCEPL,48.5,49.0,47.5,48.11,22500
580978,2019-09-17,FCEPL,48.65,50.51,48.01,50.11,179000
581452,2019-09-18,FCEPL,51.97,52.61,51.5,52.61,84000
581916,2019-09-19,FCEPL,53.25,55.24,53.05,55.24,119500
582377,2019-09-20,FCEPL,55.24,58.0,55.24,56.88,210000
582835,2019-09-23,FCEPL,55.56,56.5,54.04,54.26,67500
583347,2019-09-24,FCEPL,54.5,56.97,53.5,56.97,121000
583862,2019-09-25,FCEPL,57.25,58.5,56.0,56.08,119500
584389,2019-09-26,FCEPL,56.9,57.51,55.65,56.7,70500
584898,2019-09-27,FCEPL,57.3,58.0,56.51,57.04,57500
585421,2019-09-30,FCEPL,57.75,59.0,57.25,58.46,94500
585895,2019-10-01,FCEPL,58.5,60.4,58.0,59.61,331500
586374,2019-10-02,FCEPL,58.05,60.0,58.01,59.23,99000
586855,2019-10-03,FCEPL,59.05,61.99,59.01,60.99,328500
587352,2019-10-04,FCEPL,61.51,62.55,61.4,62.49,230500
587868,2019-10-07,FCEPL,62.0,65.61,62.0,65.61,282000
588389,2019-10-08,FCEPL,66.75,66.75,64.37,65.87,227000
588879,2019-10-09,FCEPL,65.5,69.16,65.5,67.94,527500
589391,2019-10-10,FCEPL,68.0,70.6,66.99,69.77,439000
589887,2019-10-14,FCEPL,67.0,68.9,66.5,66.52,78500
590365,2019-10-15,FCEPL,66.5,69.05,65.25,68.59,262000
590858,2019-10-16,FCEPL,69.7,72.01,68.25,71.63,612000
591338,2019-10-17,FCEPL,71.85,72.0,69.0,70.54,304500
591812,2019-10-18,FCEPL,70.01,70.01,67.02,67.02,398500
592281,2019-10-21,FCEPL,64.01,65.0,63.67,63.67,258000
592796,2019-10-22,FCEPL,61.15,63.48,61.0,61.66,230500
593304,2019-10-23,FCEPL,62.99,63.0,61.0,61.42,120500
593821,2019-10-24,FCEPL,61.43,63.87,61.43,62.58,188500
594331,2019-10-25,FCEPL,62.0,64.5,62.0,63.71,149500
594856,2019-10-28,FCEPL,63.0,65.39,62.9,64.25,138500
595324,2019-10-29,FCEPL,64.1,64.1,62.81,63.15,83000
595788,2019-10-30,FCEPL,63.0,64.52,63.0,64.0,77000
596260,2019-10-31,FCEPL,64.5,66.4,64.49,66.0,136000
596738,2019-11-01,FCEPL,66.5,68.89,66.45,67.86,333500
597214,2019-11-04,FCEPL,68.5,70.7,68.25,70.35,250000
597706,2019-11-05,FCEPL,71.0,71.0,68.8,69.09,85000
598198,2019-11-06,FCEPL,69.0,71.6,69.0,70.06,270000
598689,2019-11-07,FCEPL,69.01,71.25,68.03,70.44,423500
599184,2019-11-08,FCEPL,70.99,71.0,69.5,69.58,94500
599672,2019-11-11,FCEPL,70.0,71.51,69.9,71.04,517500
600182,2019-11-12,FCEPL,71.9,74.0,70.5,73.41,698000
600689,2019-11-13,FCEPL,72.5,74.0,72.0,72.29,203000
601191,2019-11-14,FCEPL,73.4,73.85,71.0,71.31,417000
601713,2019-11-15,FCEPL,70.8,72.75,70.8,72.55,236500
602242,2019-11-18,FCEPL,74.0,74.0,72.25,73.5,303000
602760,2019-11-19,FCEPL,73.5,73.5,69.86,70.65,233500
603269,2019-11-20,FCEPL,70.75,72.5,70.25,70.67,258000
603772,2019-11-21,FCEPL,70.49,71.25,67.14,67.32,94500
604270,2019-11-22,FCEPL,67.1,68.9,64.51,68.5,283000
604768,2019-11-25,FCEPL,67.5,69.7,67.5,68.98,104000
605319,2019-11-26,FCEPL,70.0,72.0,68.5,71.75,526000
605859,2019-11-27,FCEPL,72.0,72.75,70.5,71.37,274500
606410,2019-11-28,FCEPL,71.8,74.93,71.8,74.93,1213500
606984,2019-11-29,FCEPL,76.4,78.67,74.2,78.67,445000
607573,2019-12-02,FCEPL,82.6,82.6,80.26,81.19,909500
608090,2019-12-03,FCEPL,81.88,81.9,78.65,79.34,171000
608607,2019-12-04,FCEPL,80.0,81.96,79.55,81.31,211500
609131,2019-12-05,FCEPL,81.8,82.6,79.51,81.23,306000
609642,2019-12-06,FCEPL,80.0,83.75,79.0,81.8,442000
610145,2019-12-09,FCEPL,83.0,83.5,80.95,81.14,301500
610648,2019-12-10,FCEPL,81.05,83.4,81.0,82.2,221000
611143,2019-12-11,FCEPL,82.2,83.67,82.0,82.46,264500
611633,2019-12-12,FCEPL,82.99,83.0,81.0,81.05,104000
612142,2019-12-16,FCEPL,82.25,83.65,82.0,82.47,385000
612641,2019-12-17,FCEPL,82.3,82.5,79.25,82.08,461000
613137,2019-12-18,FCEPL,81.6,86.18,81.1,86.01,1225000
613619,2019-12-19,FCEPL,89.0,89.9,81.71,82.73,1129500
614080,2019-12-20,FCEPL,82.0,83.0,80.6,81.37,244500
614554,2019-12-23,FCEPL,82.5,82.5,78.0,78.77,845500
615070,2019-12-24,FCEPL,78.75,80.5,76.1,79.9,1033000
615599,2019-12-26,FCEPL,80.0,81.9,79.9,80.91,293000
616138,2019-12-27,FCEPL,80.01,81.0,77.61,78.43,221500
616661,2020-01-01,FCEPL,78.55,81.51,77.01,81.35,330500
617155,2020-01-02,FCEPL,82.0,82.8,80.55,81.45,562000
617639,2020-01-03,FCEPL,82.25,82.9,79.3,79.46,73000
618116,2020-01-06,FCEPL,77.52,79.0,76.05,77.48,318000
618592,2020-01-07,FCEPL,78.5,79.1,77.05,77.89,93500
619069,2020-01-08,FCEPL,77.9,78.0,75.55,76.24,69000
619560,2020-01-09,FCEPL,78.0,79.25,77.7,78.69,121000
620054,2020-01-10,FCEPL,78.1,80.5,78.1,78.87,113000
620536,2020-01-13,FCEPL,78.25,78.75,78.0,78.08,59500
621020,2020-01-14,FCEPL,78.79,78.79,77.72,78.09,36500
621515,2020-01-15,FCEPL,77.0,78.6,77.0,78.0,27000
621989,2020-01-16,FCEPL,78.35,78.5,77.55,77.85,65500
622472,2020-01-17,FCEPL,77.8,78.0,77.0,77.22,86000
622944,2020-01-20,FCEPL,77.3,77.44,74.5,74.93,229500
623417,2020-01-21,FCEPL,75.0,75.25,74.25,75.25,81000
623881,2020-01-22,FCEPL,75.0,77.0,74.5,75.58,99500
624359,2020-01-23,FCEPL,77.0,77.5,76.0,76.35,128000
624837,2020-01-27,FCEPL,75.95,77.05,75.95,76.13,45500
625359,2020-01-28,FCEPL,75.41,76.9,75.2,76.68,58000
625889,2020-01-29,FCEPL,76.2,76.26,73.5,73.99,170000
626410,2020-01-30,FCEPL,73.8,76.0,72.99,74.97,168000
626923,2020-01-31,FCEPL,76.5,77.25,73.51,74.04,49500
627441,2020-02-03,FCEPL,74.0,74.0,72.15,72.18,39000
627916,2020-02-04,FCEPL,73.0,73.4,72.6,73.32,25000
628385,2020-02-06,FCEPL,71.0,74.0,71.0,72.0,71000
628852,2020-02-07,FCEPL,71.5,71.5,68.0,68.11,87000
629332,2020-02-10,FCEPL,66.11,69.0,64.06,65.39,99000
629796,2020-02-11,FCEPL,66.5,68.99,65.55,68.24,149500
630268,2020-02-12,FCEPL,66.01,68.9,66.01,67.68,80000
630733,2020-02-13,FCEPL,68.25,68.39,66.0,66.61,95000
631188,2020-02-14,FCEPL,67.9,67.9,66.0,66.98,42000
631635,2020-02-17,FCEPL,67.5,67.5,66.1,66.5,13000
632078,2020-02-18,FCEPL,66.2,67.7,66.1,67.45,37500
632537,2020-02-19,FCEPL,68.3,70.49,68.01,68.96,215500
632989,2020-02-20,FCEPL,67.55,70.4,66.55,69.99,209500
633438,2020-02-21,FCEPL,69.11,69.48,68.0,68.54,16500
633899,2020-02-24,FCEPL,67.5,67.5,66.25,66.6,65500
634410,2020-02-25,FCEPL,65.52,68.35,65.52,68.35,73000
634925,2020-02-26,FCEPL,66.25,67.99,65.0,65.57,52000
635452,2020-02-27,FCEPL,62.6,66.5,62.5,65.36,39000
635988,2020-03-02,FCEPL,68.99,68.99,63.01,65.12,136500
636476,2020-03-03,FCEPL,64.5,67.0,64.13,64.72,135000
636953,2020-03-04,FCEPL,64.4,65.0,64.1,64.89,45500
637436,2020-03-05,FCEPL,65.0,69.0,65.0,67.31,200000
637922,2020-03-06,FCEPL,66.06,66.06,64.9,64.96,59000
638395,2020-03-09,FCEPL,60.42,65.99,60.42,65.0,71500
638881,2020-03-10,FCEPL,65.25,68.5,64.51,67.96,109500
639360,2020-03-11,FCEPL,68.0,68.0,66.0,66.19,21000
639817,2020-03-12,FCEPL,64.65,65.04,62.25,62.41,14000
640284,2020-03-13,FCEPL,60.01,66.0,60.01,62.76,116500
640755,2020-03-16,FCEPL,62.9,62.9,59.25,60.35,114000
