,Date,Symbol,Open,High,Low,Close,Volume
88,2015-01-01,DWTM,,7.99,7.99,7.87,500
584,2015-01-02,DWTM,7.95,8.15,7.95,8.0,6000
1116,2015-01-05,DWTM,7.75,7.75,7.51,7.51,2000
1623,2015-01-06,DWTM,7.75,7.75,7.7,7.7,1000
2137,2015-01-07,DWTM,7.5,7.5,7.4,7.4,3500
2645,2015-01-08,DWTM,7.6,7.6,7.6,7.6,500
3682,2015-01-12,DWTM,7.26,7.26,7.26,7.26,500
4758,2015-01-14,DWTM,0.0,7.3475,7.3475,7.3475,0
5301,2015-01-15,DWTM,7.5,7.5,7.5,7.5,1000
5855,2015-01-16,DWTM,7.5,7.5,7.5,7.5,500
6380,2015-01-19,DWTM,7.89,7.9,7.89,7.9,7500
6918,2015-01-20,DWTM,8.1,8.45,8.1,8.1,3500
7453,2015-01-21,DWTM,8.0,8.0,8.0,8.0,1000
7983,2015-01-22,DWTM,8.01,8.01,8.01,8.01,2500
10131,2015-01-28,DWTM,7.95,7.95,7.95,7.95,500
12285,2015-02-03,DWTM,7.7,7.7,7.7,7.7,500
21526,2015-03-02,DWTM,7.85,7.85,7.2,7.2,1500
22029,2015-03-03,DWTM,6.6,6.6,6.5,6.5,1500
22530,2015-03-04,DWTM,6.75,6.75,6.75,6.75,500
23033,2015-03-05,DWTM,0.0,6.8,6.8,6.75,52500
23989,2015-03-09,DWTM,6.57,6.57,6.57,6.57,1000
24469,2015-03-10,DWTM,0.0,6.26,6.26,6.57,52000
25929,2015-03-13,DWTM,6.6,7.49,6.6,7.39,2500
26405,2015-03-16,DWTM,8.38,8.39,7.8,8.23,41000
27373,2015-03-18,DWTM,8.0,8.4,7.23,7.26,9000
28350,2015-03-20,DWTM,6.7,6.7,6.4,6.4,2000
33432,2015-04-06,DWTM,7.2,7.2,7.2,7.2,500
35412,2015-04-10,DWTM,7.0,7.0,7.0,7.0,500
35930,2015-04-13,DWTM,7.3,7.5,7.3,7.3,101000
38933,2015-04-21,DWTM,7.0,7.04,7.0,7.0,1500
39456,2015-04-22,DWTM,7.19,7.19,7.19,7.19,2000
