,Date,Symbol,Open,High,Low,Close,Volume
242,2015-01-01,GTYR,146.01,148.39,142.5,143.79,87900
764,2015-01-02,GTYR,144.0,144.0,139.0,139.96,87700
1283,2015-01-05,GTYR,143.9,143.9,135.1,137.18,63700
1790,2015-01-06,GTYR,137.1,137.52,134.0,135.95,91000
2310,2015-01-07,GTYR,136.5,139.84,136.0,137.62,112100
2822,2015-01-08,GTYR,138.0,143.4,137.5,140.83,187400
3335,2015-01-09,GTYR,139.51,142.9,138.25,139.03,144900
3861,2015-01-12,GTYR,139.9,144.0,139.9,141.95,160800
4399,2015-01-13,GTYR,143.0,149.04,142.5,149.04,351500
4944,2015-01-14,GTYR,151.88,155.5,147.51,148.58,614200
5491,2015-01-15,GTYR,149.9,152.79,147.99,148.25,503300
6028,2015-01-16,GTYR,149.5,153.0,148.26,149.39,313100
6563,2015-01-19,GTYR,150.0,152.01,148.8,149.1,310700
7098,2015-01-20,GTYR,149.0,149.4,145.12,145.86,131600
7635,2015-01-21,GTYR,147.0,153.15,145.17,153.15,850000
8157,2015-01-22,GTYR,154.02,157.99,151.0,152.72,936300
8665,2015-01-23,GTYR,152.25,154.23,151.0,151.74,171100
9188,2015-01-26,GTYR,154.0,155.9,152.3,153.55,393800
9744,2015-01-27,GTYR,154.4,158.0,152.52,155.76,637900
10302,2015-01-28,GTYR,157.0,159.39,147.98,149.36,812700
10852,2015-01-29,GTYR,149.0,152.45,148.0,149.98,183600
11386,2015-01-30,GTYR,150.65,154.5,150.5,152.83,387400
11946,2015-02-02,GTYR,152.55,153.75,150.85,152.2,107100
12462,2015-02-03,GTYR,152.2,152.25,150.05,151.03,54600
12981,2015-02-04,GTYR,150.5,154.2,150.5,151.49,195400
13485,2015-02-06,GTYR,153.5,154.0,150.1,150.36,166700
13993,2015-02-09,GTYR,151.5,151.89,148.0,148.77,61100
14492,2015-02-10,GTYR,148.0,149.0,141.51,145.32,70900
15001,2015-02-11,GTYR,147.25,151.0,145.5,150.01,180300
15516,2015-02-12,GTYR,151.0,151.0,144.0,146.46,72900
16013,2015-02-13,GTYR,147.0,148.0,143.0,145.06,48700
16510,2015-02-16,GTYR,146.5,146.8,143.24,144.07,7800
17005,2015-02-17,GTYR,145.0,145.9,143.5,144.14,39800
17507,2015-02-18,GTYR,144.02,144.02,141.5,142.53,22400
18012,2015-02-19,GTYR,142.5,143.75,140.11,143.34,27300
18502,2015-02-20,GTYR,143.95,144.34,139.01,140.3,22700
18991,2015-02-23,GTYR,140.5,142.3,140.05,141.29,19100
19537,2015-02-24,GTYR,142.9,144.5,142.25,142.6,34000
20072,2015-02-25,GTYR,143.0,143.89,142.05,143.27,27500
