,Date,Symbol,Open,High,Low,Close,Volume
232,2015-01-01,GHNL,53.0,53.75,53.0,53.1,33000
753,2015-01-02,GHNL,53.0,54.0,52.3,52.53,76000
1272,2015-01-05,GHNL,53.4,53.4,51.5,51.77,82500
1779,2015-01-06,GHNL,51.35,51.35,49.28,49.79,190500
2299,2015-01-07,GHNL,50.5,51.5,49.5,49.78,185500
2812,2015-01-08,GHNL,50.0,50.39,49.81,49.87,91000
3324,2015-01-09,GHNL,49.6,49.99,48.75,48.85,111000
3850,2015-01-12,GHNL,49.49,49.49,48.25,48.74,47500
4388,2015-01-13,GHNL,49.2,51.17,49.2,51.17,170000
4933,2015-01-14,GHNL,53.72,53.72,53.72,53.72,20500
5480,2015-01-15,GHNL,56.4,56.4,54.75,56.4,857500
6018,2015-01-16,GHNL,58.0,58.38,57.0,57.43,451500
6553,2015-01-19,GHNL,58.0,60.3,58.0,60.3,469500
7088,2015-01-20,GHNL,62.99,63.31,61.3,63.14,1172000
7624,2015-01-21,GHNL,63.3,66.29,61.6,66.24,2181500
8147,2015-01-22,GHNL,68.39,69.4,64.2,66.1,846500
8656,2015-01-23,GHNL,65.9,66.5,62.8,63.4,902000
9177,2015-01-26,GHNL,64.5,64.8,62.0,63.57,472500
9733,2015-01-27,GHNL,63.4,65.0,62.6,62.93,496500
10291,2015-01-28,GHNL,64.0,64.1,60.0,60.78,459000
10841,2015-01-29,GHNL,60.9,62.75,60.25,61.27,350500
11375,2015-01-30,GHNL,61.26,63.0,61.26,61.99,397500
11936,2015-02-02,GHNL,62.0,62.1,60.0,60.46,142500
12451,2015-02-03,GHNL,60.8,63.48,58.01,63.48,915500
12971,2015-02-04,GHNL,66.65,66.65,66.65,66.65,169500
13475,2015-02-06,GHNL,66.95,69.48,64.3,67.93,1197000
13983,2015-02-09,GHNL,68.0,68.64,66.6,67.05,375000
14482,2015-02-10,GHNL,67.1,69.48,66.0,67.11,1120500
14991,2015-02-11,GHNL,68.4,70.46,67.0,70.23,1744000
15506,2015-02-12,GHNL,71.0,73.69,68.25,71.55,2050000
16003,2015-02-13,GHNL,72.6,74.0,71.25,71.9,653500
16499,2015-02-16,GHNL,72.0,73.25,70.7,71.89,592000
16994,2015-02-17,GHNL,71.1,73.4,70.8,71.03,501000
17497,2015-02-18,GHNL,70.6,70.6,67.48,67.62,301000
18001,2015-02-19,GHNL,67.52,68.9,67.52,67.95,153500
18491,2015-02-20,GHNL,68.4,68.5,66.0,66.74,211500
18980,2015-02-23,GHNL,66.5,67.0,63.41,63.41,234000
19527,2015-02-24,GHNL,60.24,60.24,60.24,60.24,42500
20062,2015-02-25,GHNL,58.8,63.25,58.8,62.98,655500
