,Date,Symbol,Open,High,Low,Close,Volume
230,2015-01-01,GAIL,5.99,5.99,5.76,5.87,192500
751,2015-01-02,GAIL,5.8,5.89,5.68,5.71,386500
1270,2015-01-05,GAIL,5.75,5.85,5.72,5.73,171000
1777,2015-01-06,GAIL,5.75,5.8,5.61,5.68,345500
2297,2015-01-07,GAIL,5.7,5.84,5.63,5.69,401500
2810,2015-01-08,GAIL,5.75,5.9,5.75,5.76,759500
3322,2015-01-09,GAIL,5.83,5.83,5.65,5.69,323500
3848,2015-01-12,GAIL,5.65,5.79,5.52,5.56,457500
4386,2015-01-13,GAIL,5.61,5.82,5.6,5.73,1303000
4931,2015-01-14,GAIL,5.8,5.85,5.7,5.71,860000
5478,2015-01-15,GAIL,5.71,6.2,5.7,6.07,4597500
6016,2015-01-16,GAIL,6.19,6.3,6.0,6.09,1875500
6551,2015-01-19,GAIL,6.06,6.12,5.98,6.03,429000
7086,2015-01-20,GAIL,6.05,6.05,5.85,5.89,503500
7622,2015-01-21,GAIL,5.95,6.13,5.87,5.88,350000
8145,2015-01-22,GAIL,5.8,5.99,5.71,5.74,598000
8654,2015-01-23,GAIL,5.72,5.84,5.72,5.78,116000
9175,2015-01-26,GAIL,5.85,5.97,5.72,5.74,606500
9731,2015-01-27,GAIL,5.82,5.82,5.65,5.68,296500
10289,2015-01-28,GAIL,5.69,5.77,5.6,5.62,288000
10839,2015-01-29,GAIL,5.7,5.75,5.61,5.62,193000
11373,2015-01-30,GAIL,5.77,5.77,5.6,5.63,72500
11934,2015-02-02,GAIL,5.74,5.74,5.51,5.54,337000
12449,2015-02-03,GAIL,5.6,5.6,5.51,5.56,224000
12969,2015-02-04,GAIL,5.68,5.86,5.6,5.63,923000
13473,2015-02-06,GAIL,5.65,5.8,5.6,5.63,206500
13981,2015-02-09,GAIL,5.6,5.73,5.51,5.54,231000
14480,2015-02-10,GAIL,5.6,5.65,5.4,5.46,396000
14989,2015-02-11,GAIL,5.55,5.68,5.5,5.55,345500
15504,2015-02-12,GAIL,5.59,5.67,5.2,5.34,354500
16001,2015-02-13,GAIL,5.44,5.55,5.2,5.33,250500
16497,2015-02-16,GAIL,5.34,5.45,5.3,5.35,44000
16992,2015-02-17,GAIL,5.4,5.44,5.2,5.21,156500
17495,2015-02-18,GAIL,5.3,5.36,5.1,5.14,271500
17999,2015-02-19,GAIL,5.19,5.33,5.1,5.3,610000
18489,2015-02-20,GAIL,5.49,5.49,5.24,5.37,114500
18978,2015-02-23,GAIL,5.4,6.3,5.3,6.16,10311000
19525,2015-02-24,GAIL,6.2,6.3,5.76,5.82,3182500
20060,2015-02-25,GAIL,5.75,5.85,5.51,5.6,511000
20613,2015-02-26,GAIL,5.69,5.7,5.5,5.6,258000
21141,2015-02-27,GAIL,5.6,5.65,5.4,5.46,398000
21676,2015-03-02,GAIL,5.57,5.77,5.5,5.66,1260500
22181,2015-03-03,GAIL,5.66,5.66,5.25,5.53,321500
22682,2015-03-04,GAIL,5.46,5.75,5.46,5.51,384500
23178,2015-03-05,GAIL,5.47,5.6,5.44,5.54,136500
23648,2015-03-06,GAIL,5.65,5.65,5.45,5.49,201000
24121,2015-03-09,GAIL,5.47,5.5,5.35,5.35,199500
24607,2015-03-10,GAIL,5.35,5.4,5.12,5.19,457500
25091,2015-03-11,GAIL,5.1,5.25,5.1,5.22,278500
25577,2015-03-12,GAIL,5.3,5.34,5.16,5.26,98500
26059,2015-03-13,GAIL,5.3,5.45,5.2,5.29,205500
26545,2015-03-16,GAIL,5.36,5.36,5.1,5.15,247500
27015,2015-03-17,GAIL,5.2,5.22,5.1,5.15,228000
27519,2015-03-18,GAIL,5.1,5.12,4.65,4.88,367500
28010,2015-03-19,GAIL,4.82,5.0,4.71,4.99,247000
28480,2015-03-20,GAIL,5.0,5.2,4.96,5.08,296500
28951,2015-03-24,GAIL,5.2,5.24,4.9,4.92,168000
29454,2015-03-25,GAIL,4.91,4.99,4.88,4.88,53500
29968,2015-03-26,GAIL,4.85,4.98,4.26,4.49,902500
30498,2015-03-27,GAIL,4.4,4.56,4.3,4.32,326000
31051,2015-03-30,GAIL,4.47,4.47,3.65,3.81,1047500
31558,2015-03-31,GAIL,3.57,4.68,3.57,4.63,1055000
32063,2015-04-01,GAIL,4.7,4.7,4.35,4.42,426500
32571,2015-04-02,GAIL,4.4,4.7,4.28,4.64,686000
33075,2015-04-03,GAIL,4.79,5.25,4.6,5.13,1963500
33578,2015-04-06,GAIL,5.29,5.45,5.0,5.23,1199000
34082,2015-04-07,GAIL,5.23,5.28,5.0,5.07,883000
34567,2015-04-08,GAIL,5.15,5.15,4.95,4.99,226500
35058,2015-04-09,GAIL,5.0,5.1,4.91,5.0,180500
35565,2015-04-10,GAIL,5.0,5.23,5.0,5.09,411000
36076,2015-04-13,GAIL,5.1,5.68,5.0,5.37,2759500
36546,2015-04-14,GAIL,5.3,5.48,5.2,5.22,714000
37030,2015-04-15,GAIL,5.38,5.39,5.1,5.16,340500
37526,2015-04-16,GAIL,5.2,5.35,5.15,5.3,373000
38044,2015-04-17,GAIL,5.44,5.44,5.24,5.34,196500
38548,2015-04-20,GAIL,5.4,5.4,5.25,5.27,157000
39071,2015-04-21,GAIL,5.18,5.35,5.1,5.29,196000
39607,2015-04-22,GAIL,5.3,6.05,5.3,5.77,4903000
40135,2015-04-23,GAIL,5.89,6.26,5.65,6.13,3863500
40657,2015-04-24,GAIL,6.13,7.13,6.05,7.13,17968500
41199,2015-04-27,GAIL,7.49,7.63,6.7,6.8,10266000
41712,2015-04-28,GAIL,6.93,6.95,6.51,6.59,3283500
42231,2015-04-29,GAIL,6.21,6.24,5.6,5.66,5741000
42729,2015-04-30,GAIL,5.61,6.09,5.61,5.71,1863000
43226,2015-05-04,GAIL,5.79,5.84,5.44,5.53,884500
43723,2015-05-05,GAIL,5.5,5.52,5.35,5.41,415000
44231,2015-05-06,GAIL,5.5,5.71,5.5,5.54,451500
44733,2015-05-07,GAIL,5.6,5.7,5.35,5.47,558500
45219,2015-05-08,GAIL,5.4,5.86,5.4,5.82,2404500
45708,2015-05-11,GAIL,5.89,6.06,5.5,5.58,2265500
46185,2015-05-12,GAIL,5.7,6.0,5.65,5.84,1389500
46656,2015-05-13,GAIL,5.94,6.84,5.94,6.84,12808500
47129,2015-05-14,GAIL,6.95,7.4,6.85,6.98,15172500
47615,2015-05-15,GAIL,6.93,6.99,6.66,6.72,2599500
48099,2015-05-18,GAIL,6.63,6.72,6.45,6.53,1108500
48575,2015-05-20,GAIL,7.45,7.64,7.2,7.29,6662500
49049,2015-05-21,GAIL,7.26,7.39,7.17,7.25,1338500
49518,2015-05-22,GAIL,7.25,7.34,7.0,7.08,1037500
49992,2015-05-25,GAIL,7.35,7.35,7.06,7.1,1298500
50516,2015-05-27,GAIL,7.1,7.57,7.1,7.28,5678500
51039,2015-05-28,GAIL,7.33,8.28,7.2,7.97,12625000
51567,2015-05-29,GAIL,8.6,8.97,8.5,8.97,7810500
52125,2015-06-01,GAIL,9.05,9.08,8.33,8.65,16622000
52641,2015-06-02,GAIL,8.65,9.41,8.53,9.06,16481000
53156,2015-06-03,GAIL,9.09,9.25,8.6,8.7,8166500
53683,2015-06-04,GAIL,8.7,8.79,8.21,8.31,4075000
54197,2015-06-05,GAIL,8.36,9.09,8.25,8.59,10575000
54726,2015-06-08,GAIL,8.2,8.73,8.0,8.35,4131500
55252,2015-06-09,GAIL,8.44,8.69,8.11,8.18,2871000
55771,2015-06-10,GAIL,8.3,8.82,8.25,8.44,9671500
56301,2015-06-12,GAIL,9.2,9.65,9.02,9.35,22316000
56838,2015-06-15,GAIL,9.44,9.88,9.17,9.8,14350000
57358,2015-06-16,GAIL,9.9,10.14,9.65,9.78,14146500
57891,2015-06-17,GAIL,9.74,9.81,9.12,9.28,6068000
58428,2015-06-18,GAIL,9.34,9.78,9.21,9.49,7959500
58934,2015-06-19,GAIL,9.65,9.7,9.11,9.17,1370500
59428,2015-06-22,GAIL,9.2,9.27,8.88,8.98,1817500
59968,2015-06-23,GAIL,9.0,9.25,8.85,8.98,2042500
60538,2015-06-24,GAIL,9.08,9.5,9.08,9.32,4337000
61085,2015-06-25,GAIL,9.5,9.6,8.7,8.86,3965000
61615,2015-06-26,GAIL,8.8,9.05,8.51,8.66,971500
62153,2015-06-29,GAIL,8.75,8.99,8.66,8.7,677000
62643,2015-06-30,GAIL,8.79,8.9,8.51,8.6,1086500
63147,2015-07-01,GAIL,8.61,9.3,8.6,8.9,2884000
63653,2015-07-02,GAIL,9.0,9.38,8.9,9.07,2741000
64153,2015-07-03,GAIL,9.1,9.3,8.92,8.99,1131000
64661,2015-07-06,GAIL,8.9,9.1,8.81,8.83,1376000
65173,2015-07-07,GAIL,8.83,9.15,8.75,9.07,1924500
65685,2015-07-08,GAIL,9.16,9.94,9.14,9.68,11759500
66198,2015-07-09,GAIL,9.85,10.68,9.67,10.68,9122000
66690,2015-07-10,GAIL,11.68,11.68,11.68,11.68,396000
67184,2015-07-13,GAIL,12.68,12.68,11.49,12.68,17699000
67694,2015-07-14,GAIL,13.68,13.68,13.68,13.68,228500
68213,2015-07-15,GAIL,14.68,14.68,14.68,14.68,1578500
68736,2015-07-16,GAIL,15.68,15.68,14.71,15.68,23711000
69270,2015-07-22,GAIL,16.0,16.68,15.81,16.68,1815500
69807,2015-07-23,GAIL,17.68,17.68,17.68,17.68,406500
70334,2015-07-24,GAIL,18.68,18.68,16.68,17.28,14135000
70865,2015-07-27,GAIL,16.28,16.28,16.28,16.28,85500
71414,2015-07-28,GAIL,15.28,15.28,15.28,15.28,25000
71980,2015-07-29,GAIL,14.28,14.28,14.28,14.28,62500
72529,2015-07-30,GAIL,13.28,13.28,13.28,13.28,3703500
73071,2015-07-31,GAIL,13.01,13.5,12.28,12.33,27074500
73597,2015-08-03,GAIL,12.25,12.35,11.33,11.33,7697000
74090,2015-08-04,GAIL,11.15,12.32,10.9,11.74,10583000
74608,2015-08-05,GAIL,11.9,12.0,11.0,11.16,3135000
75128,2015-08-06,GAIL,11.29,11.8,11.05,11.48,5148500
75651,2015-08-07,GAIL,11.6,12.48,11.6,12.48,8244500
76157,2015-08-10,GAIL,13.0,13.2,12.33,12.71,8958500
76681,2015-08-11,GAIL,12.7,13.07,12.41,12.5,3043500
77198,2015-08-12,GAIL,12.71,12.95,12.2,12.29,3510500
77724,2015-08-13,GAIL,12.45,12.69,12.15,12.24,1394000
78229,2015-08-17,GAIL,12.27,12.4,11.87,11.98,1420000
78739,2015-08-18,GAIL,11.92,12.45,11.76,12.04,2018500
79255,2015-08-19,GAIL,12.11,12.29,11.78,11.85,1119500
79774,2015-08-20,GAIL,11.8,12.29,11.68,11.85,2284000
80273,2015-08-21,GAIL,12.0,12.0,10.85,11.01,2063000
80789,2015-08-24,GAIL,10.94,10.94,10.01,10.01,962000
81323,2015-08-25,GAIL,9.9,10.7,9.4,10.57,2784500
81867,2015-08-26,GAIL,10.71,11.15,10.1,10.2,2291000
82412,2015-08-27,GAIL,10.46,10.64,10.1,10.23,929500
82961,2015-08-28,GAIL,10.39,10.65,9.24,10.35,1053000
83518,2015-08-31,GAIL,10.45,11.15,10.25,10.91,3317500
84041,2015-09-01,GAIL,11.04,11.04,10.26,10.36,1597500
84525,2015-09-14,GAIL,10.78,10.78,10.06,10.18,647000
85002,2015-09-15,GAIL,10.2,10.2,9.51,9.69,671500
85481,2015-09-16,GAIL,9.7,10.0,9.7,9.95,388500
85974,2015-09-17,GAIL,10.09,10.4,9.8,10.03,932500
86440,2015-09-18,GAIL,10.1,10.12,9.67,9.77,552500
86898,2015-09-21,GAIL,9.65,9.7,9.4,9.65,280500
87403,2015-09-22,GAIL,9.73,10.17,9.68,9.73,290500
87896,2015-09-23,GAIL,9.8,10.0,9.56,9.9,259000
88388,2015-09-28,GAIL,9.99,10.23,9.59,9.64,364000
88865,2015-09-29,GAIL,9.61,9.65,9.11,9.31,450000
89334,2015-09-30,GAIL,9.49,9.75,9.32,9.52,296000
89808,2015-10-01,GAIL,9.6,10.52,9.52,10.52,2341000
90279,2015-10-02,GAIL,10.7,11.09,10.5,10.77,3928000
90763,2015-10-05,GAIL,10.75,11.09,10.3,10.35,1234500
91265,2015-10-06,GAIL,10.34,10.5,9.9,9.96,1204000
91751,2015-10-07,GAIL,9.96,10.09,9.73,9.75,496000
92241,2015-10-08,GAIL,9.65,10.1,9.65,9.83,970500
92744,2015-10-09,GAIL,9.8,10.33,9.75,10.22,1157000
93250,2015-10-12,GAIL,10.32,10.59,10.06,10.25,1318500
93760,2015-10-13,GAIL,10.25,10.45,9.95,10.02,566000
94270,2015-10-14,GAIL,10.2,10.25,9.9,9.95,502000
94768,2015-10-15,GAIL,10.0,10.17,9.8,9.85,423500
95262,2015-10-16,GAIL,9.93,10.1,9.87,9.9,316000
95769,2015-10-19,GAIL,9.9,9.91,9.72,9.76,275500
96271,2015-10-20,GAIL,9.77,9.89,9.7,9.75,245500
96772,2015-10-21,GAIL,9.7,9.83,9.65,9.67,172500
97273,2015-10-22,GAIL,9.65,9.9,9.65,9.79,193000
97760,2015-10-26,GAIL,9.9,10.3,9.9,9.95,1472000
98284,2015-10-27,GAIL,9.86,10.15,9.85,9.88,380500
98825,2015-10-28,GAIL,9.98,10.15,9.81,9.88,380000
99366,2015-10-29,GAIL,9.97,10.39,9.95,9.99,1840500
99908,2015-10-30,GAIL,10.1,10.13,9.2,9.43,843000
100446,2015-11-02,GAIL,9.39,9.44,9.1,9.16,1090500
100933,2015-11-03,GAIL,9.08,9.3,9.0,9.01,1263500
101441,2015-11-04,GAIL,9.15,9.23,8.97,9.05,1008500
101955,2015-11-05,GAIL,9.05,9.28,9.0,9.01,820500
102453,2015-11-06,GAIL,9.0,9.3,8.95,9.07,491000
102940,2015-11-09,GAIL,9.14,9.2,9.03,9.05,318000
103428,2015-11-10,GAIL,9.08,9.19,8.05,8.51,596500
103919,2015-11-11,GAIL,8.39,8.45,8.0,8.3,730500
104432,2015-11-12,GAIL,8.34,8.58,8.3,8.54,578000
104935,2015-11-13,GAIL,8.59,8.67,8.46,8.5,388500
105418,2015-11-16,GAIL,8.4,9.49,8.4,9.43,3001000
105935,2015-11-17,GAIL,9.55,9.7,9.09,9.14,1468500
106459,2015-11-18,GAIL,9.1,9.22,8.91,9.01,787500
106956,2015-11-19,GAIL,9.15,9.48,8.9,9.17,1348500
107453,2015-11-20,GAIL,9.2,10.08,9.2,9.69,7088000
107963,2015-11-23,GAIL,9.7,9.95,9.1,9.21,1692000
108507,2015-11-24,GAIL,9.15,9.34,8.81,8.93,1088000
109046,2015-11-25,GAIL,8.82,9.04,8.7,8.89,394000
109586,2015-11-26,GAIL,8.98,9.24,8.66,8.76,389000
110104,2015-11-27,GAIL,8.66,8.85,8.6,8.71,334500
110636,2015-11-30,GAIL,8.75,8.8,8.12,8.26,545500
111135,2015-12-01,GAIL,8.45,8.6,7.8,7.9,848500
