,Date,Symbol,Open,High,Low,Close,Volume
281,2015-01-01,GGL,28.4,29.0,28.4,28.64,143500
808,2015-01-02,GGL,28.99,28.99,28.41,28.58,156000
1326,2015-01-05,GGL,28.3,28.6,28.13,28.43,44000
1833,2015-01-06,GGL,28.5,28.6,28.11,28.26,61000
2353,2015-01-07,GGL,28.48,29.6,28.48,29.1,643500
2865,2015-01-08,GGL,29.39,29.5,29.1,29.12,106500
3379,2015-01-09,GGL,29.2,30.3,28.72,30.16,1162500
3903,2015-01-12,GGL,30.35,30.99,29.6,29.75,528000
4443,2015-01-13,GGL,29.52,30.44,29.36,29.48,350500
4988,2015-01-14,GGL,29.5,30.6,29.5,30.34,906000
5535,2015-01-15,GGL,30.85,31.6,30.25,30.88,723500
6072,2015-01-16,GGL,30.75,31.2,30.3,30.47,162000
6606,2015-01-19,GGL,30.6,31.99,30.6,31.99,549500
7142,2015-01-20,GGL,32.25,33.58,32.25,33.58,1337000
7679,2015-01-21,GGL,34.5,34.9,33.3,33.56,990000
8200,2015-01-22,GGL,33.95,33.95,32.0,32.39,437000
8709,2015-01-23,GGL,32.0,32.78,31.8,32.5,230500
9232,2015-01-26,GGL,33.4,33.5,32.25,32.62,291000
9788,2015-01-27,GGL,32.8,34.25,32.5,34.25,894000
10346,2015-01-28,GGL,34.31,35.5,33.5,34.47,731500
10896,2015-01-29,GGL,34.26,35.19,34.26,34.45,501000
11430,2015-01-30,GGL,34.89,35.0,34.0,34.4,279000
11990,2015-02-02,GGL,34.49,34.9,33.8,33.99,596000
12506,2015-02-03,GGL,34.01,34.47,33.2,33.47,559500
13025,2015-02-04,GGL,33.65,33.99,33.0,33.23,519500
13527,2015-02-06,GGL,33.4,34.1,33.1,33.8,773000
14037,2015-02-09,GGL,34.29,34.89,33.71,33.87,1269500
14537,2015-02-10,GGL,34.2,34.5,32.75,33.4,522000
15046,2015-02-11,GGL,33.88,34.5,32.97,33.95,751500
15560,2015-02-12,GGL,33.95,34.4,32.26,33.41,1020500
16057,2015-02-13,GGL,33.5,34.25,33.5,33.95,784500
16553,2015-02-16,GGL,34.93,34.93,33.65,34.01,282000
17051,2015-02-17,GGL,34.5,34.7,33.75,33.88,939500
17547,2015-02-18,GGL,34.01,34.01,33.5,33.72,246500
18056,2015-02-19,GGL,33.72,34.1,33.67,33.67,109500
18544,2015-02-20,GGL,33.7,34.7,33.65,34.16,695500
19033,2015-02-23,GGL,34.39,34.65,33.9,33.99,144000
19582,2015-02-24,GGL,34.01,34.01,33.5,33.71,275500
20117,2015-02-25,GGL,33.9,33.9,32.9,32.94,242000
20668,2015-02-26,GGL,33.45,34.0,32.55,33.87,261000
21198,2015-02-27,GGL,33.75,34.5,33.02,33.93,1060000
21734,2015-03-02,GGL,33.4,33.65,32.61,32.96,184000
22238,2015-03-03,GGL,32.5,33.48,31.5,32.66,471500
22740,2015-03-04,GGL,33.0,33.7,32.7,33.39,470000
23232,2015-03-05,GGL,33.01,33.7,32.73,32.97,135500
23704,2015-03-06,GGL,33.0,33.0,32.65,32.7,153500
24175,2015-03-09,GGL,33.48,33.48,32.25,32.29,51500
24662,2015-03-10,GGL,32.25,32.28,31.0,31.37,314500
25146,2015-03-11,GGL,31.0,31.82,30.61,31.26,42500
25636,2015-03-12,GGL,31.2,31.25,30.81,31.25,68000
26117,2015-03-13,GGL,31.5,31.7,31.25,31.47,87000
26600,2015-03-16,GGL,31.3,31.59,30.71,31.02,190500
27072,2015-03-17,GGL,30.5,31.5,30.5,30.89,228000
27576,2015-03-18,GGL,31.0,31.0,29.35,29.86,329000
28063,2015-03-19,GGL,30.25,30.25,29.5,29.55,108000
28532,2015-03-20,GGL,30.0,30.75,30.0,30.51,350000
29005,2015-03-24,GGL,30.8,30.8,29.75,29.83,73500
29508,2015-03-25,GGL,29.85,30.1,29.3,29.31,84000
30023,2015-03-26,GGL,29.8,29.8,27.85,28.89,1068500
30555,2015-03-27,GGL,29.0,29.0,27.45,27.59,219000
31110,2015-03-30,GGL,27.5,27.5,26.22,26.29,260500
31617,2015-03-31,GGL,25.5,26.97,25.15,26.97,48500
32120,2015-04-01,GGL,27.0,27.85,27.0,27.3,127000
32627,2015-04-02,GGL,27.9,28.5,27.25,28.29,73000
33134,2015-04-03,GGL,29.45,29.7,28.5,29.5,215500
33637,2015-04-06,GGL,29.5,30.25,29.5,30.03,158000
34137,2015-04-07,GGL,29.8,31.0,29.51,30.33,377000
34623,2015-04-08,GGL,30.83,31.84,30.7,31.84,186000
35114,2015-04-09,GGL,32.99,33.43,32.4,32.77,1172000
35622,2015-04-10,GGL,33.0,33.25,32.31,32.48,245500
36130,2015-04-13,GGL,32.03,32.25,31.4,31.47,133000
36600,2015-04-14,GGL,31.6,32.45,31.2,31.27,95000
37085,2015-04-15,GGL,32.0,32.0,31.01,31.25,26500
37581,2015-04-16,GGL,31.25,31.85,31.25,31.51,94000
38101,2015-04-17,GGL,31.3,31.55,31.05,31.24,65000
38604,2015-04-20,GGL,31.75,32.55,31.3,31.32,249500
39126,2015-04-21,GGL,31.01,31.15,30.5,30.73,114500
