,Date,Symbol,Open,High,Low,Close,Volume
632,2015-01-02,GFIL,9.2,9.2,9.2,9.2,500
2687,2015-01-08,GFIL,9.25,9.4,9.25,9.31,2000
3205,2015-01-09,GFIL,9.4,9.5,9.4,9.5,7500
5351,2015-01-15,GFIL,8.66,9.4,8.5,9.01,10000
6423,2015-01-19,GFIL,8.76,9.0,8.75,9.0,2000
6961,2015-01-20,GFIL,9.1,9.1,9.0,9.0,2000
7498,2015-01-21,GFIL,9.0,9.0,9.0,9.0,500
9051,2015-01-26,GFIL,8.6,8.6,8.6,8.6,500
11808,2015-02-02,GFIL,8.2,8.2,8.2,8.2,500
13352,2015-02-06,GFIL,8.0,8.0,8.0,8.0,1000
13858,2015-02-09,GFIL,8.0,8.0,8.0,8.0,500
15882,2015-02-13,GFIL,7.5,7.5,7.15,7.39,3000
16379,2015-02-16,GFIL,7.75,7.75,7.75,7.75,500
16878,2015-02-17,GFIL,7.41,7.41,7.4,7.4,10000
17377,2015-02-18,GFIL,7.52,7.52,7.0,7.0,14000
17883,2015-02-19,GFIL,7.3,7.3,7.3,7.3,500
19408,2015-02-24,GFIL,7.1,7.1,7.0,7.0,2000
22067,2015-03-03,GFIL,6.26,6.66,6.26,6.3,1500
23069,2015-03-05,GFIL,7.0,7.0,7.0,7.0,500
24018,2015-03-09,GFIL,7.25,7.25,7.25,7.25,500
25470,2015-03-12,GFIL,6.66,7.9,6.66,7.9,2000
25958,2015-03-13,GFIL,6.9,8.0,6.9,7.86,6500
26914,2015-03-17,GFIL,7.05,7.05,7.05,7.05,500
28850,2015-03-24,GFIL,7.25,7.25,7.0,7.0,2000
30391,2015-03-27,GFIL,6.0,6.15,6.0,6.13,2000
30933,2015-03-30,GFIL,5.4,5.4,5.4,5.4,1000
31957,2015-04-01,GFIL,6.4,6.4,6.4,6.4,1500
32460,2015-04-02,GFIL,7.0,7.0,7.0,7.0,1000
32972,2015-04-03,GFIL,6.5,6.5,6.5,6.5,500
33467,2015-04-06,GFIL,6.88,7.0,6.88,7.0,2000
33976,2015-04-07,GFIL,6.8,6.8,6.8,6.8,1000
35449,2015-04-10,GFIL,7.05,7.8,7.05,7.2,13500
36448,2015-04-14,GFIL,6.99,6.99,6.2,6.22,31000
36924,2015-04-15,GFIL,6.15,6.5,6.15,6.5,1500
37925,2015-04-17,GFIL,6.53,6.53,6.53,6.53,500
38433,2015-04-20,GFIL,6.7,6.9,6.7,6.9,1500
39493,2015-04-22,GFIL,6.65,7.0,6.6,7.0,4000
41091,2015-04-27,GFIL,7.0,7.0,7.0,7.0,500
42624,2015-04-30,GFIL,6.8,7.2,6.8,7.2,10000
43616,2015-05-05,GFIL,6.3,6.7,6.3,6.7,4500
46079,2015-05-12,GFIL,6.2,6.2,6.2,6.2,1500
47510,2015-05-15,GFIL,6.2,6.2,6.2,6.2,1000
48943,2015-05-21,GFIL,5.65,5.65,5.65,5.65,500
49416,2015-05-22,GFIL,6.0,6.0,6.0,6.0,500
51458,2015-05-29,GFIL,6.0,6.0,6.0,6.0,1500
52001,2015-06-01,GFIL,6.0,7.0,6.0,6.84,15500
53041,2015-06-03,GFIL,6.8,7.44,6.24,6.88,64000
53563,2015-06-04,GFIL,7.49,7.88,6.7,7.34,8000
54082,2015-06-05,GFIL,7.85,7.85,6.79,7.5,3500
54599,2015-06-08,GFIL,7.0,7.0,7.0,7.0,1000
55129,2015-06-09,GFIL,6.99,7.0,6.99,7.0,2000
55651,2015-06-10,GFIL,7.5,7.94,7.5,7.94,1500
56179,2015-06-12,GFIL,7.7,9.5,7.5,7.5,41500
56714,2015-06-15,GFIL,7.9,7.9,7.5,7.5,13500
57238,2015-06-16,GFIL,7.07,7.78,7.0,7.78,10000
59320,2015-06-22,GFIL,7.05,7.05,7.05,7.05,500
60415,2015-06-24,GFIL,7.5,7.5,7.5,7.5,500
63027,2015-07-01,GFIL,7.0,7.0,7.0,7.0,500
63535,2015-07-02,GFIL,7.25,7.25,6.75,7.25,1000
64539,2015-07-06,GFIL,6.75,6.75,6.26,6.37,1500
65053,2015-07-07,GFIL,7.0,7.0,7.0,7.0,500
67573,2015-07-14,GFIL,7.0,7.0,7.0,7.0,500
68092,2015-07-15,GFIL,7.5,7.5,7.5,7.5,500
68616,2015-07-16,GFIL,7.2,7.2,7.2,7.2,500
69145,2015-07-22,GFIL,7.5,7.65,7.5,7.65,16000
69679,2015-07-23,GFIL,7.45,7.6,7.3,7.6,73000
70214,2015-07-24,GFIL,7.6,7.6,7.6,7.6,500
71854,2015-07-29,GFIL,6.9,6.9,6.6,6.62,11000
