,Date,Symbol,Open,High,Low,Close,Volume
237312,2017-06-01,GSKCH,248.0,253.0,239.55,240.3,73000
237794,2017-06-02,GSKCH,230.01,237.39,228.29,232.65,101500
238294,2017-06-05,GSKCH,240.0,244.28,235.0,244.28,42500
238784,2017-06-06,GSKCH,250.0,256.49,247.55,255.55,133500
239270,2017-06-07,GSKCH,259.98,262.0,249.0,251.09,85500
239760,2017-06-08,GSKCH,250.0,251.0,246.4,247.36,29000
240232,2017-06-09,GSKCH,245.0,245.0,237.0,238.92,31500
240731,2017-06-12,GSKCH,227.25,230.5,226.98,227.15,41000
241225,2017-06-13,GSKCH,229.5,235.5,220.0,230.5,30500
241706,2017-06-14,GSKCH,230.01,230.01,219.01,225.3,40500
242168,2017-06-15,GSKCH,227.0,236.0,226.5,230.04,20500
242612,2017-06-16,GSKCH,230.5,234.88,225.01,227.68,13000
243079,2017-06-19,GSKCH,234.0,234.0,227.0,228.19,29500
243577,2017-06-20,GSKCH,228.99,229.0,216.79,217.0,33000
244076,2017-06-21,GSKCH,227.85,227.85,206.15,219.87,76500
244579,2017-06-22,GSKCH,220.5,223.0,218.0,218.63,12000
245059,2017-06-29,GSKCH,219.75,219.75,207.7,208.81,25500
245573,2017-06-30,GSKCH,208.5,215.0,204.99,209.01,41000
246073,2017-06-02,GSKCH,230.01,237.39,228.29,232.65,101500
246573,2017-06-05,GSKCH,240.0,244.28,235.0,244.28,42500
247063,2017-06-06,GSKCH,250.0,256.49,247.55,255.55,133500
247549,2017-06-07,GSKCH,259.98,262.0,249.0,251.09,85500
248039,2017-06-08,GSKCH,250.0,251.0,246.4,247.36,29000
248511,2017-06-09,GSKCH,245.0,245.0,237.0,238.92,31500
249010,2017-06-12,GSKCH,227.25,230.5,226.98,227.15,41000
249504,2017-06-13,GSKCH,229.5,235.5,220.0,230.5,30500
249985,2017-06-14,GSKCH,230.01,230.01,219.01,225.3,40500
250447,2017-06-15,GSKCH,227.0,236.0,226.5,230.04,20500
250891,2017-06-16,GSKCH,230.5,234.88,225.01,227.68,13000
251358,2017-06-19,GSKCH,234.0,234.0,227.0,228.19,29500
251856,2017-06-20,GSKCH,228.99,229.0,216.79,217.0,33000
252355,2017-06-21,GSKCH,227.85,227.85,206.15,219.87,76500
252858,2017-06-22,GSKCH,220.5,223.0,218.0,218.63,12000
253338,2017-06-29,GSKCH,219.75,219.75,207.7,208.81,25500
253852,2017-06-30,GSKCH,208.5,215.0,204.99,209.01,41000
269699,2017-03-30,GSKCH,0.0,82.8941,0.0,82.8941,0
270232,2017-03-31,GSKCH,0.0,87.0262,0.0,87.0262,0
270761,2017-04-03,GSKCH,0.0,91.3664,0.0,91.3664,0
271249,2017-04-04,GSKCH,0.0,95.8467,0.0,95.8467,0
271747,2017-04-05,GSKCH,100.63,100.63,100.63,100.63,500
272238,2017-04-06,GSKCH,0.0,105.4986,0.0,105.4986,0
272727,2017-04-07,GSKCH,0.0,110.7564,0.0,110.7564,0
273210,2017-04-10,GSKCH,0.0,116.2293,0.0,116.2293,0
273707,2017-04-11,GSKCH,0.0,122.0066,0.0,122.0066,0
274210,2017-04-12,GSKCH,0.0,128.0708,0.0,128.0708,0
274712,2017-04-13,GSKCH,134.47,134.47,134.47,134.47,1500
275215,2017-04-14,GSKCH,141.19,141.19,141.19,141.19,1000
