,Date,Symbol,Open,High,Low,Close,Volume
266,2015-01-01,GLAXO,220.2,220.99,215.65,216.72,87700
791,2015-01-02,GLAXO,216.15,224.75,216.15,220.9,269300
1310,2015-01-05,GLAXO,222.01,224.88,220.1,221.01,138400
1817,2015-01-06,GLAXO,221.0,224.0,216.68,217.74,119900
2336,2015-01-07,GLAXO,217.01,221.5,217.0,217.56,77400
2849,2015-01-08,GLAXO,218.05,220.99,217.0,217.42,59200
3362,2015-01-09,GLAXO,217.6,219.73,215.5,215.85,61000
3888,2015-01-12,GLAXO,216.5,223.3,215.51,219.72,437100
4426,2015-01-13,GLAXO,221.0,223.2,220.1,221.15,157600
4971,2015-01-14,GLAXO,222.95,227.55,222.8,225.03,489000
5518,2015-01-15,GLAXO,226.8,228.4,223.56,223.94,246200
6055,2015-01-16,GLAXO,226.5,227.0,221.99,222.47,69000
6589,2015-01-19,GLAXO,224.95,225.5,221.5,221.99,79200
7125,2015-01-20,GLAXO,222.5,223.7,219.22,219.98,80200
7662,2015-01-21,GLAXO,220.0,222.5,220.0,220.64,57400
8184,2015-01-22,GLAXO,220.2,220.5,217.8,218.08,49900
8692,2015-01-23,GLAXO,218.99,221.0,218.0,218.78,107100
9215,2015-01-26,GLAXO,220.0,223.0,218.6,219.19,257100
9771,2015-01-27,GLAXO,220.05,226.99,218.65,223.36,846200
10329,2015-01-28,GLAXO,222.0,224.89,219.5,219.8,151800
10879,2015-01-29,GLAXO,220.1,220.9,215.0,216.37,132400
11413,2015-01-30,GLAXO,217.0,219.3,216.0,216.51,91100
11973,2015-02-02,GLAXO,218.25,219.0,215.5,215.92,72900
12490,2015-02-03,GLAXO,217.45,217.45,214.5,215.38,51600
13009,2015-02-04,GLAXO,216.0,217.69,213.51,214.09,138000
13513,2015-02-06,GLAXO,214.0,215.99,211.01,211.98,82600
14021,2015-02-09,GLAXO,211.7,220.1,211.7,214.85,285600
14521,2015-02-10,GLAXO,216.0,218.5,213.1,214.86,185700
15030,2015-02-11,GLAXO,215.98,217.8,212.02,213.16,154500
15545,2015-02-12,GLAXO,214.0,215.29,208.0,210.98,103300
16041,2015-02-13,GLAXO,211.0,213.0,210.56,211.4,85300
16538,2015-02-16,GLAXO,212.0,221.0,211.55,220.56,436500
17034,2015-02-17,GLAXO,221.0,226.5,217.25,218.34,291700
17534,2015-02-18,GLAXO,219.98,222.75,216.06,216.95,101900
18041,2015-02-19,GLAXO,217.7,217.7,213.0,214.15,85300
18529,2015-02-20,GLAXO,221.0,221.0,215.01,216.16,104400
19019,2015-02-23,GLAXO,217.1,217.1,214.01,214.63,49200
19565,2015-02-24,GLAXO,215.0,218.0,214.5,216.74,74200
20100,2015-02-25,GLAXO,217.05,223.1,207.15,214.26,430200
20652,2015-02-26,GLAXO,214.0,214.0,209.0,209.79,136700
21181,2015-02-27,GLAXO,210.0,220.27,210.0,218.78,346900
21717,2015-03-02,GLAXO,221.49,221.9,211.05,212.04,169800
22222,2015-03-03,GLAXO,213.0,213.85,205.0,208.97,160700
22724,2015-03-04,GLAXO,208.97,211.5,207.0,207.91,99200
23217,2015-03-05,GLAXO,208.0,210.55,207.0,208.47,110700
23688,2015-03-06,GLAXO,208.06,210.89,206.5,207.11,132600
24162,2015-03-09,GLAXO,206.01,208.0,205.75,205.96,17400
24649,2015-03-10,GLAXO,206.0,206.0,198.0,198.92,47500
25132,2015-03-11,GLAXO,196.0,196.0,188.99,190.34,196900
25619,2015-03-12,GLAXO,192.99,196.0,191.9,193.2,101700
26101,2015-03-13,GLAXO,193.25,202.86,193.25,202.6,283300
26584,2015-03-16,GLAXO,205.89,211.0,203.0,204.03,318100
27056,2015-03-17,GLAXO,204.9,205.9,198.46,203.11,145900
27560,2015-03-18,GLAXO,202.02,202.6,192.96,195.29,100900
28049,2015-03-19,GLAXO,195.0,198.97,193.0,193.58,55100
28517,2015-03-20,GLAXO,194.9,201.5,194.9,198.36,100600
28989,2015-03-24,GLAXO,201.49,201.49,194.0,195.25,72000
29495,2015-03-25,GLAXO,193.1,194.5,190.0,190.1,38600
30007,2015-03-26,GLAXO,192.0,193.4,180.6,182.72,88400
30539,2015-03-27,GLAXO,182.5,183.79,174.1,175.86,52500
31092,2015-03-30,GLAXO,168.1,171.0,167.07,167.07,32700
31599,2015-03-31,GLAXO,160.99,175.42,160.99,175.42,182700
32103,2015-04-01,GLAXO,177.0,184.19,172.0,184.04,173300
32611,2015-04-02,GLAXO,185.5,189.98,185.5,188.57,133600
33116,2015-04-03,GLAXO,189.6,194.5,188.9,193.49,139300
33619,2015-04-06,GLAXO,194.0,196.6,192.0,194.07,100200
34123,2015-04-07,GLAXO,191.25,194.0,190.0,190.97,68700
34608,2015-04-08,GLAXO,192.9,193.0,190.66,191.1,37300
35098,2015-04-09,GLAXO,193.0,193.0,190.1,191.0,16400
35607,2015-04-10,GLAXO,192.5,196.9,190.5,194.23,113700
36115,2015-04-13,GLAXO,192.0,203.0,192.0,199.57,243300
36587,2015-04-14,GLAXO,201.0,201.8,197.0,197.81,109700
37070,2015-04-15,GLAXO,194.0,197.0,193.0,194.33,87300
37568,2015-04-16,GLAXO,195.05,196.0,193.2,193.63,100200
38084,2015-04-17,GLAXO,193.05,194.7,192.0,194.1,38100
38589,2015-04-20,GLAXO,193.5,197.2,192.5,193.79,86800
39111,2015-04-21,GLAXO,193.79,198.9,193.1,197.92,280100
39649,2015-04-22,GLAXO,199.0,201.0,195.0,195.79,318300
40175,2015-04-23,GLAXO,196.5,199.0,196.0,196.44,107200
40697,2015-04-24,GLAXO,196.01,197.98,195.5,196.14,20800
41240,2015-04-27,GLAXO,196.55,198.49,195.0,196.07,88400
41753,2015-04-28,GLAXO,195.11,197.0,193.04,193.91,65500
42272,2015-04-29,GLAXO,195.0,196.0,185.0,185.84,153800
42770,2015-04-30,GLAXO,186.49,187.7,185.89,186.26,103100
43266,2015-05-04,GLAXO,186.1,195.57,186.0,193.16,327000
43764,2015-05-05,GLAXO,193.0,194.5,186.02,188.25,110500
44270,2015-05-06,GLAXO,188.0,192.0,188.0,189.08,34100
44774,2015-05-07,GLAXO,188.15,188.6,187.0,188.37,29400
45261,2015-05-08,GLAXO,181.0,188.5,180.05,186.69,61400
45749,2015-05-11,GLAXO,185.36,185.36,178.0,179.3,51600
46227,2015-05-12,GLAXO,180.49,183.4,178.51,182.97,36100
46696,2015-05-13,GLAXO,184.5,187.0,181.05,182.16,31100
47170,2015-05-14,GLAXO,184.0,191.26,184.0,191.26,188800
47652,2015-05-15,GLAXO,191.3,195.0,191.3,193.27,321700
48138,2015-05-18,GLAXO,194.0,195.0,190.5,191.79,78600
48616,2015-05-20,GLAXO,190.01,192.89,190.01,191.6,41000
49091,2015-05-21,GLAXO,188.8,193.0,188.8,192.44,5800
49558,2015-05-22,GLAXO,193.0,194.0,191.5,192.05,71900
50030,2015-05-25,GLAXO,194.74,200.0,191.11,196.38,323900
50557,2015-05-27,GLAXO,194.99,196.6,194.0,194.28,43800
51080,2015-05-28,GLAXO,196.0,196.0,192.52,194.76,17000
51607,2015-05-29,GLAXO,195.65,196.5,194.0,195.04,19100
52165,2015-06-01,GLAXO,195.0,197.25,195.0,196.71,48500
52684,2015-06-02,GLAXO,197.88,202.0,196.5,197.21,257200
53199,2015-06-03,GLAXO,197.5,198.5,195.27,196.22,38800
53724,2015-06-04,GLAXO,196.26,198.0,194.99,195.67,52000
54238,2015-06-05,GLAXO,195.21,198.5,195.0,196.45,84800
54768,2015-06-08,GLAXO,194.02,199.2,190.0,197.43,245700
55294,2015-06-09,GLAXO,198.0,199.2,195.2,195.95,167300
55813,2015-06-10,GLAXO,196.07,196.95,193.0,194.43,58400
56341,2015-06-12,GLAXO,195.02,196.2,194.02,195.78,86800
56880,2015-06-15,GLAXO,195.02,196.01,194.01,194.22,22700
57400,2015-06-16,GLAXO,194.0,195.0,192.13,192.9,34000
57934,2015-06-17,GLAXO,193.5,195.9,192.02,192.94,53700
58470,2015-06-18,GLAXO,193.99,201.0,193.5,200.2,632400
58974,2015-06-19,GLAXO,199.0,200.5,195.0,195.67,86900
59468,2015-06-22,GLAXO,196.8,196.8,192.5,194.86,29700
60010,2015-06-23,GLAXO,195.99,197.0,194.51,194.93,69600
60579,2015-06-24,GLAXO,195.0,196.0,193.16,194.11,89700
61125,2015-06-25,GLAXO,194.24,194.24,192.01,193.76,113100
61656,2015-06-26,GLAXO,193.98,199.8,193.3,194.97,166300
62193,2015-06-29,GLAXO,194.0,194.0,192.02,193.35,26600
62683,2015-06-30,GLAXO,195.59,196.9,193.4,195.54,92000
63187,2015-07-01,GLAXO,195.5,197.4,194.25,194.83,38800
63693,2015-07-02,GLAXO,196.0,198.0,195.5,196.37,64100
64193,2015-07-03,GLAXO,198.5,199.0,195.75,198.29,88000
64703,2015-07-06,GLAXO,201.99,201.99,197.0,198.21,60400
65215,2015-07-07,GLAXO,198.98,202.0,198.98,200.41,182900
65725,2015-07-08,GLAXO,198.11,199.99,195.16,196.33,19900
66239,2015-07-09,GLAXO,196.99,197.0,195.07,195.68,28600
66730,2015-07-10,GLAXO,196.5,196.5,191.85,192.91,54200
67227,2015-07-13,GLAXO,193.0,194.17,192.5,193.83,11700
67734,2015-07-14,GLAXO,194.84,197.5,194.8,196.2,73800
68255,2015-07-15,GLAXO,197.3,197.5,194.75,196.25,36100
68777,2015-07-16,GLAXO,195.28,195.99,193.99,194.4,70400
69311,2015-07-22,GLAXO,194.11,196.25,194.0,194.16,23000
69848,2015-07-23,GLAXO,194.99,195.45,193.12,193.47,10800
70375,2015-07-24,GLAXO,194.98,194.98,192.1,193.08,23000
70906,2015-07-27,GLAXO,193.99,193.99,190.0,190.05,52400
71454,2015-07-28,GLAXO,190.2,192.2,189.3,189.75,47900
72021,2015-07-29,GLAXO,188.01,191.9,188.0,189.85,43200
72569,2015-07-30,GLAXO,191.34,191.35,188.0,188.81,16500
73110,2015-07-31,GLAXO,189.99,190.5,188.02,190.07,37200
73636,2015-08-03,GLAXO,190.9,192.0,188.0,188.8,17000
74132,2015-08-04,GLAXO,189.5,191.14,189.0,190.96,44400
74648,2015-08-05,GLAXO,189.01,200.5,189.0,200.5,568400
75170,2015-08-06,GLAXO,203.49,209.99,203.0,207.68,528200
75691,2015-08-07,GLAXO,209.0,209.0,200.0,202.37,188300
76198,2015-08-10,GLAXO,204.0,207.4,203.0,203.97,149300
76721,2015-08-11,GLAXO,206.9,211.4,206.9,210.23,500300
77238,2015-08-12,GLAXO,212.0,220.74,212.0,220.74,389200
77766,2015-08-13,GLAXO,225.0,230.5,218.0,229.06,793800
78270,2015-08-17,GLAXO,232.0,236.0,227.2,230.68,1394100
78780,2015-08-18,GLAXO,232.4,236.5,231.01,232.13,1027500
79297,2015-08-19,GLAXO,233.9,236.99,227.0,228.45,441700
79815,2015-08-20,GLAXO,228.5,228.99,217.03,221.35,347300
80315,2015-08-21,GLAXO,221.0,221.0,211.01,212.87,188300
