,Date,Symbol,Open,High,Low,Close,Volume
124,2015-01-01,GATM,65.25,67.4,65.25,65.8,623000
633,2015-01-02,GATM,66.5,67.99,66.0,66.46,1395000
1156,2015-01-05,GATM,66.98,67.2,65.3,65.51,333500
1660,2015-01-06,GATM,65.01,66.4,64.75,65.07,590000
2177,2015-01-07,GATM,65.25,66.0,64.5,64.59,179000
2688,2015-01-08,GATM,64.95,65.98,64.65,65.51,273500
3206,2015-01-09,GATM,65.99,66.66,65.16,65.84,538000
3723,2015-01-12,GATM,66.0,66.65,65.3,65.6,252500
4260,2015-01-13,GATM,65.97,66.75,65.5,65.73,421500
4807,2015-01-14,GATM,66.19,67.5,66.04,67.18,1272000
5352,2015-01-15,GATM,67.5,68.0,66.61,66.88,756000
5896,2015-01-16,GATM,66.5,67.37,66.2,66.31,249500
6424,2015-01-19,GATM,66.73,66.99,65.88,66.05,384500
6962,2015-01-20,GATM,66.45,66.59,65.5,65.77,343500
7499,2015-01-21,GATM,66.0,66.45,65.2,65.39,683500
8024,2015-01-22,GATM,65.4,65.9,64.45,64.67,174000
8539,2015-01-23,GATM,65.0,65.89,64.01,64.42,350500
9052,2015-01-26,GATM,65.25,66.5,64.81,65.67,1104000
9613,2015-01-27,GATM,65.31,65.6,64.05,64.86,330000
10166,2015-01-28,GATM,64.3,65.25,64.05,64.2,329500
10719,2015-01-29,GATM,64.1,64.58,64.05,64.27,156500
11259,2015-01-30,GATM,64.3,64.77,62.0,62.55,635500
11809,2015-02-02,GATM,64.7,65.1,63.72,64.01,1056500
12325,2015-02-03,GATM,64.35,64.65,62.75,62.93,466000
12844,2015-02-04,GATM,63.1,63.36,61.8,61.92,365500
13353,2015-02-06,GATM,62.4,63.99,62.25,63.66,863000
13859,2015-02-09,GATM,63.77,64.7,63.15,63.9,701000
14362,2015-02-10,GATM,65.98,66.4,63.75,63.97,1993000
14866,2015-02-11,GATM,64.48,64.48,62.55,62.93,409000
15379,2015-02-12,GATM,62.4,63.0,60.2,62.26,773000
15883,2015-02-13,GATM,62.6,62.6,61.0,61.37,285000
16380,2015-02-16,GATM,61.37,62.09,60.75,61.05,167000
16879,2015-02-17,GATM,61.45,61.5,60.01,60.37,107500
17378,2015-02-18,GATM,60.5,61.0,59.79,60.88,165000
17884,2015-02-19,GATM,60.98,62.25,60.8,61.57,228000
18380,2015-02-20,GATM,61.6,62.19,61.1,61.78,122000
18868,2015-02-23,GATM,61.21,61.98,60.9,61.03,64000
19409,2015-02-24,GATM,61.0,61.0,59.02,59.53,109500
19951,2015-02-25,GATM,59.0,59.5,58.33,58.44,128500
20497,2015-02-26,GATM,59.0,59.0,58.17,58.33,63000
21033,2015-02-27,GATM,58.22,59.25,58.0,58.24,72500
21565,2015-03-02,GATM,58.95,59.0,55.33,56.79,205500
22068,2015-03-03,GATM,57.15,57.5,55.11,56.24,96000
22573,2015-03-04,GATM,56.1,56.85,56.07,56.5,92000
23070,2015-03-05,GATM,56.15,57.4,56.15,56.67,48500
23543,2015-03-06,GATM,56.6,57.0,56.35,56.86,19500
24019,2015-03-09,GATM,56.5,57.45,55.5,55.72,43000
24503,2015-03-10,GATM,55.51,55.9,54.0,54.23,139000
24985,2015-03-11,GATM,53.0,53.87,52.0,53.04,132000
25471,2015-03-12,GATM,53.94,54.6,53.5,53.74,71500
25959,2015-03-13,GATM,54.4,54.8,54.02,54.4,42500
26440,2015-03-16,GATM,53.25,54.24,53.25,53.71,48500
26915,2015-03-17,GATM,53.02,53.02,51.1,52.63,139000
27409,2015-03-18,GATM,51.62,52.15,50.0,50.12,171000
27905,2015-03-19,GATM,50.5,50.98,49.0,49.15,45000
28381,2015-03-20,GATM,50.0,51.12,50.0,51.03,59500
28851,2015-03-24,GATM,51.85,51.89,49.65,49.96,83000
29356,2015-03-25,GATM,49.96,51.25,49.0,50.99,332000
29866,2015-03-26,GATM,51.5,51.5,48.45,49.91,201000
30392,2015-03-27,GATM,50.0,50.0,49.0,49.24,126000
30934,2015-03-30,GATM,49.02,49.03,46.78,46.78,119500
