,Date,Symbol,Open,High,Low,Close,Volume
328743,2020-07-01,HIFA,2.65,2.8,2.5,2.75,67500
338433,2020-07-01,HIFA,2.65,2.8,2.5,2.75,67500
439411,2018-07-03,HIFA,5.4,5.4,5.4,5.4,30000
439863,2018-07-04,HIFA,5.21,5.4,4.6,5.4,189000
440337,2018-07-05,HIFA,5.1,5.1,5.0,5.0,19500
440808,2018-07-06,HIFA,5.1,5.1,4.16,4.96,54000
441259,2018-07-09,HIFA,4.62,4.63,4.51,4.57,74500
441726,2018-07-10,HIFA,5.35,5.35,4.1,4.55,20000
442200,2018-07-11,HIFA,4.6,5.0,4.6,4.99,104000
442677,2018-07-12,HIFA,4.8,4.8,4.8,4.8,4500
443142,2018-07-13,HIFA,4.9,4.9,4.7,4.7,27500
443615,2018-07-17,HIFA,4.5,4.99,4.5,4.99,2500
444088,2018-07-18,HIFA,4.95,5.02,4.8,4.8,30000
444600,2018-07-19,HIFA,4.75,4.91,4.75,4.89,48500
445110,2018-07-20,HIFA,4.86,4.86,4.75,4.75,15000
445595,2018-07-23,HIFA,5.39,5.39,4.81,5.04,2500
446102,2018-07-24,HIFA,5.1,5.1,5.1,5.1,5000
446660,2018-07-26,HIFA,0.0,5.1,5.1,5.1,1000
447194,2018-07-27,HIFA,5.0,5.45,5.0,5.45,20500
447733,2018-07-30,HIFA,5.9,5.9,5.25,5.5,86000
448253,2018-07-31,HIFA,5.99,5.99,5.5,5.65,7500
448758,2018-08-01,HIFA,5.5,5.51,5.5,5.5,12000
449259,2018-08-02,HIFA,5.35,5.35,5.22,5.24,26000
450254,2018-08-06,HIFA,4.85,5.25,4.85,5.25,3500
450749,2018-08-07,HIFA,5.25,5.4,5.25,5.38,6500
451244,2018-08-08,HIFA,5.4,5.41,5.4,5.4,7000
451731,2018-08-09,HIFA,5.4,5.5,5.3,5.3,22500
452252,2018-08-10,HIFA,5.1,5.5,4.62,5.49,4000
452756,2018-08-13,HIFA,5.51,5.51,5.25,5.25,12000
453250,2018-08-15,HIFA,5.3,5.5,5.3,5.5,26000
453731,2018-08-16,HIFA,5.45,5.45,5.3,5.32,18500
455202,2018-08-24,HIFA,5.4,5.4,5.4,5.4,500
455662,2018-08-27,HIFA,5.26,5.3,5.26,5.26,6000
456217,2018-08-28,HIFA,5.25,5.35,5.25,5.35,6000
456772,2018-08-29,HIFA,5.35,5.35,5.35,5.35,1000
457337,2018-08-30,HIFA,5.35,5.35,5.25,5.25,2000
457879,2018-08-31,HIFA,5.25,5.25,5.25,5.25,500
458421,2018-09-04,HIFA,4.71,4.85,4.71,4.85,18500
458912,2018-09-05,HIFA,4.92,5.1,4.92,5.1,14500
459399,2018-09-06,HIFA,5.1,5.1,5.1,5.1,6000
459892,2018-09-07,HIFA,5.05,5.1,5.0,5.0,4500
460391,2018-09-10,HIFA,4.99,4.99,4.94,4.94,17000
460864,2018-09-11,HIFA,4.99,4.99,4.75,4.75,42500
461350,2018-09-12,HIFA,4.75,4.75,4.75,4.75,110500
461823,2018-09-13,HIFA,4.5,4.76,4.5,4.75,7000
465333,2018-09-26,HIFA,4.12,4.7,4.12,4.68,13000
465875,2018-09-27,HIFA,4.68,4.68,4.68,4.68,1500
468395,2018-10-04,HIFA,4.51,4.51,3.75,4.47,12000
468881,2018-10-05,HIFA,4.5,4.5,4.1,4.1,1500
469878,2018-10-09,HIFA,4.05,4.49,3.9,3.9,40500
470387,2018-10-10,HIFA,4.0,4.0,4.0,4.0,11000
472355,2018-10-16,HIFA,4.4,4.4,4.4,4.4,500
472853,2018-10-17,HIFA,4.64,4.65,4.64,4.65,2000
474933,2018-10-23,HIFA,0.0,4.65,4.65,4.65,55000
475485,2018-10-24,HIFA,4.7,4.7,4.6,4.65,13500
476088,2018-10-25,HIFA,4.5,5.1,4.5,5.0,248000
476671,2018-10-26,HIFA,4.55,5.97,4.5,5.12,307000
477788,2018-10-30,HIFA,5.0,5.0,5.0,5.0,500
478306,2018-10-31,HIFA,4.9,5.9,4.83,5.0,701500
478822,2018-11-01,HIFA,5.2,5.2,5.2,5.2,500
479335,2018-11-05,HIFA,4.86,4.86,4.86,4.86,500
479835,2018-11-06,HIFA,5.19,5.19,5.15,5.15,12000
480321,2018-11-07,HIFA,4.9,5.2,4.9,5.2,7500
480829,2018-11-08,HIFA,5.2,5.2,5.0,5.0,544500
481322,2018-11-09,HIFA,5.0,5.0,5.0,5.0,1000
482327,2018-11-13,HIFA,4.78,4.78,4.54,4.54,4500
482822,2018-11-14,HIFA,5.07,5.07,4.51,4.99,3500
483852,2018-11-16,HIFA,4.6,4.6,4.5,4.55,10500
484355,2018-11-19,HIFA,4.85,4.85,4.75,4.75,31500
484848,2018-11-20,HIFA,4.8,4.8,4.49,4.51,11000
485355,2018-11-22,HIFA,4.75,4.75,4.54,4.54,112500
485850,2018-11-23,HIFA,4.5,4.5,4.5,4.5,31000
486330,2018-11-26,HIFA,4.51,4.51,4.5,4.51,1000
486871,2018-11-27,HIFA,4.3,4.7,4.11,4.7,12000
487434,2018-11-28,HIFA,4.7,4.7,4.5,4.5,277000
487984,2018-11-29,HIFA,4.5,4.5,4.4,4.49,28500
488516,2018-11-30,HIFA,4.49,4.49,4.11,4.21,3000
489067,2018-12-03,HIFA,4.12,4.39,4.01,4.39,321000
489565,2018-12-04,HIFA,3.82,4.06,3.8,4.06,38500
490068,2018-12-05,HIFA,4.05,4.24,4.0,4.24,28000
490563,2018-12-06,HIFA,0.0,4.24,4.24,4.24,9000
492038,2018-12-11,HIFA,4.24,4.24,4.24,4.24,3000
492515,2018-12-12,HIFA,4.01,4.01,4.01,4.01,1000
493485,2018-12-14,HIFA,3.72,4.39,3.72,4.28,60000
494400,2018-12-18,HIFA,4.25,4.25,4.25,4.25,5000
494867,2018-12-19,HIFA,4.01,4.02,3.96,4.02,17500
496288,2018-12-24,HIFA,3.8,4.02,3.8,4.0,9500
496807,2018-12-26,HIFA,4.03,4.03,4.03,4.03,5000
497335,2018-12-27,HIFA,4.02,4.25,4.02,4.16,7000
498424,2018-12-31,HIFA,4.18,5.16,4.18,5.06,500000
498900,2019-01-01,HIFA,4.69,4.69,4.37,4.58,3500
499374,2019-01-02,HIFA,5.0,5.0,4.32,4.32,3000
499845,2019-01-03,HIFA,4.22,4.22,4.11,4.15,5000
500300,2019-01-04,HIFA,4.16,4.16,4.1,4.1,11000
501236,2019-01-08,HIFA,4.22,4.25,4.22,4.22,3500
501738,2019-01-09,HIFA,4.21,4.25,4.21,4.25,10000
502210,2019-01-10,HIFA,4.49,4.49,4.3,4.3,7000
502682,2019-01-11,HIFA,4.49,4.49,4.3,4.3,10000
