,Date,Symbol,Open,High,Low,Close,Volume
47,2015-01-01,HBL,217.98,217.98,214.51,216.03,12800
542,2015-01-02,HBL,215.1,220.0,215.1,218.8,255600
1074,2015-01-05,HBL,219.9,220.84,218.2,220.02,114400
1586,2015-01-06,HBL,221.9,221.9,218.15,218.46,64300
2098,2015-01-07,HBL,219.5,221.0,218.4,219.57,190800
2609,2015-01-08,HBL,218.0,219.7,214.01,215.99,92700
3127,2015-01-09,HBL,217.49,219.69,215.0,217.54,29500
3641,2015-01-12,HBL,218.8,218.8,217.0,217.82,46200
4170,2015-01-13,HBL,218.0,219.0,217.0,217.1,38200
4714,2015-01-14,HBL,218.74,219.98,216.0,217.96,157700
5257,2015-01-15,HBL,218.0,220.0,216.5,218.01,89200
5808,2015-01-16,HBL,218.88,219.01,214.99,215.7,120400
6338,2015-01-19,HBL,215.5,216.89,215.5,215.71,40000
6874,2015-01-20,HBL,215.15,216.5,213.5,213.69,185600
7406,2015-01-21,HBL,213.75,216.0,213.55,213.88,244400
7940,2015-01-22,HBL,214.0,214.0,212.71,212.82,16800
8460,2015-01-23,HBL,212.0,213.5,212.0,212.36,17500
8970,2015-01-26,HBL,210.0,217.5,210.0,215.42,153100
9531,2015-01-27,HBL,214.21,214.21,211.0,211.36,303600
10087,2015-01-28,HBL,211.8,212.9,205.99,206.43,738100
10636,2015-01-29,HBL,207.95,208.5,207.0,207.95,45700
11181,2015-01-30,HBL,207.9,211.6,207.9,210.47,117300
11727,2015-02-02,HBL,210.5,212.5,210.25,211.53,87800
12242,2015-02-03,HBL,211.99,213.0,210.5,212.76,50800
12761,2015-02-04,HBL,209.05,213.65,209.05,212.91,123800
13282,2015-02-06,HBL,211.06,212.1,210.0,210.42,110900
13783,2015-02-09,HBL,212.5,212.5,207.5,208.09,42700
14285,2015-02-10,HBL,208.01,208.01,203.56,204.36,104000
14792,2015-02-11,HBL,205.0,206.2,202.49,203.71,126600
15302,2015-02-12,HBL,202.11,204.2,193.6,197.91,127500
15808,2015-02-13,HBL,198.57,203.0,198.0,201.84,49400
16312,2015-02-16,HBL,202.0,203.0,200.0,202.48,20600
16802,2015-02-17,HBL,202.5,208.0,201.75,202.48,205500
17303,2015-02-18,HBL,203.5,205.9,202.0,204.41,182000
17801,2015-02-19,HBL,205.0,206.5,204.01,205.49,127000
18304,2015-02-20,HBL,205.99,206.3,204.7,205.05,40200
18797,2015-02-23,HBL,205.0,206.0,203.5,203.99,63700
19326,2015-02-24,HBL,204.0,205.0,203.5,204.44,115200
19866,2015-02-25,HBL,204.85,206.1,203.0,203.68,46300
20411,2015-02-26,HBL,204.1,205.8,195.0,203.23,73100
20953,2015-02-27,HBL,205.4,205.4,202.6,203.71,27500
21485,2015-03-02,HBL,203.71,204.9,202.0,202.85,304000
21989,2015-03-03,HBL,200.1,205.5,200.1,200.91,59800
22489,2015-03-04,HBL,203.99,203.99,200.0,200.2,50000
22993,2015-03-05,HBL,202.0,203.9,200.6,202.61,29900
23477,2015-03-06,HBL,203.9,204.0,201.1,201.89,59100
23949,2015-03-09,HBL,201.89,201.89,199.0,200.26,38300
24428,2015-03-10,HBL,201.11,201.8,198.5,198.9,58500
24917,2015-03-11,HBL,195.61,198.0,195.6,197.69,60700
25400,2015-03-12,HBL,195.95,198.0,195.95,196.01,49400
25889,2015-03-13,HBL,197.0,202.5,197.0,199.97,120200
26371,2015-03-16,HBL,196.9,196.0,188.75,189.55,42700
26851,2015-03-17,HBL,189.99,189.99,185.0,185.25,45200
27332,2015-03-18,HBL,185.26,188.0,184.01,187.64,53400
27831,2015-03-19,HBL,186.21,190.0,186.21,188.28,59200
28310,2015-03-20,HBL,188.05,192.51,188.05,190.16,36300
28779,2015-03-24,HBL,190.0,190.0,187.13,187.5,9700
29287,2015-03-25,HBL,187.0,188.0,185.65,185.94,11600
29794,2015-03-26,HBL,188.0,188.0,178.0,179.94,17300
30322,2015-03-27,HBL,181.5,181.5,175.51,176.29,22100
30853,2015-03-30,HBL,175.25,175.25,167.48,169.4,54400
31374,2015-03-31,HBL,172.97,177.87,172.97,177.87,26200
31880,2015-04-01,HBL,180.55,186.76,180.52,184.96,183700
32382,2015-04-02,HBL,186.9,191.6,186.49,187.66,45900
32887,2015-04-03,HBL,187.0,189.99,184.0,185.62,58400
33386,2015-04-06,HBL,186.0,186.0,179.69,181.32,102100
33896,2015-04-07,HBL,176.03,177.8,175.0,175.41,103200
34391,2015-04-08,HBL,175.7,176.0,174.0,174.11,104500
34884,2015-04-09,HBL,173.0,182.4,173.0,181.68,400100
35372,2015-04-10,HBL,180.51,189.45,180.2,184.35,471800
