,Date,Symbol,Open,High,Low,Close,Volume
51,2015-01-01,HMB,37.4,38.1,36.75,36.89,186500
546,2015-01-02,HMB,37.5,37.79,36.3,36.44,110500
1078,2015-01-05,HMB,36.7,37.15,36.52,37.0,48000
1590,2015-01-06,HMB,36.99,37.0,36.3,36.3,76000
2101,2015-01-07,HMB,36.5,36.5,36.2,36.2,155000
2613,2015-01-08,HMB,36.55,36.75,36.25,36.4,156500
3131,2015-01-09,HMB,36.5,37.3,36.5,37.2,1898500
3645,2015-01-12,HMB,37.4,38.37,37.4,38.2,809000
4174,2015-01-13,HMB,38.48,38.5,37.5,38.49,1028000
4718,2015-01-14,HMB,38.5,38.5,38.1,38.24,133500
5261,2015-01-15,HMB,38.0,38.5,38.0,38.06,153500
5812,2015-01-16,HMB,38.05,38.5,38.03,38.5,166500
6342,2015-01-19,HMB,39.0,40.0,38.3,38.42,680500
6878,2015-01-20,HMB,38.97,38.97,38.01,38.28,36000
7410,2015-01-21,HMB,38.49,38.5,38.08,38.49,285000
7944,2015-01-22,HMB,38.01,38.5,38.0,38.5,149000
8464,2015-01-23,HMB,37.45,38.1,37.45,38.07,13500
8974,2015-01-26,HMB,38.0,39.5,38.0,39.44,647500
9535,2015-01-27,HMB,38.53,39.0,38.0,38.66,294000
10091,2015-01-28,HMB,38.03,38.45,37.6,38.0,276000
10640,2015-01-29,HMB,38.1,38.1,37.8,38.0,28500
11185,2015-01-30,HMB,38.0,38.5,37.51,37.92,221000
11731,2015-02-02,HMB,37.7,37.89,37.6,37.65,67000
12246,2015-02-03,HMB,37.65,37.98,37.5,37.76,284500
12765,2015-02-04,HMB,37.9,38.0,37.59,37.6,147000
13286,2015-02-06,HMB,37.5,38.0,37.49,37.5,68500
13787,2015-02-09,HMB,37.6,38.0,37.6,37.61,107000
14289,2015-02-10,HMB,37.26,37.9,36.55,36.65,183500
14796,2015-02-11,HMB,37.0,37.0,36.5,36.5,71500
15306,2015-02-12,HMB,36.5,37.0,34.68,36.99,565500
15812,2015-02-13,HMB,36.52,37.5,36.5,37.46,179500
16316,2015-02-16,HMB,37.0,37.0,36.75,36.75,31500
16806,2015-02-17,HMB,37.0,38.0,36.63,37.41,579500
17307,2015-02-18,HMB,37.0,37.25,35.99,36.29,216500
17805,2015-02-19,HMB,36.0,36.5,36.0,36.5,38000
18308,2015-02-20,HMB,36.15,36.15,36.1,36.11,19000
18801,2015-02-23,HMB,36.0,36.0,35.61,35.61,37000
19330,2015-02-24,HMB,35.66,35.95,35.5,35.94,38000
19870,2015-02-25,HMB,35.9,36.1,35.9,36.08,13000
20415,2015-02-26,HMB,36.0,36.5,36.0,36.5,52500
20957,2015-02-27,HMB,36.3,38.32,36.3,36.98,532000
21489,2015-03-02,HMB,37.15,37.15,36.5,36.84,99000
21993,2015-03-03,HMB,37.4,37.4,36.5,36.75,639500
22493,2015-03-04,HMB,36.7,36.75,36.3,36.48,268000
22997,2015-03-05,HMB,36.5,36.5,36.01,36.02,49000
23481,2015-03-06,HMB,36.02,36.1,36.0,36.01,68500
23952,2015-03-09,HMB,36.02,36.02,35.6,35.75,8500
24432,2015-03-10,HMB,35.55,35.75,35.3,35.43,254500
24921,2015-03-11,HMB,35.5,35.5,35.0,35.48,106500
25404,2015-03-12,HMB,35.5,35.5,35.0,35.02,179000
25893,2015-03-13,HMB,35.3,35.5,35.0,35.01,29500
26375,2015-03-16,HMB,34.75,35.15,34.65,35.15,13000
26855,2015-03-17,HMB,35.0,35.15,34.75,34.99,144500
27336,2015-03-18,HMB,33.0,33.0,31.75,31.77,50000
27835,2015-03-19,HMB,31.0,31.5,30.81,31.02,40500
28314,2015-03-20,HMB,31.1,31.45,30.75,31.0,24000
28783,2015-03-24,HMB,30.81,30.81,30.25,30.5,25500
29291,2015-03-25,HMB,30.01,30.01,29.75,29.76,38000
29798,2015-03-26,HMB,29.52,29.52,28.31,29.0,129000
30326,2015-03-27,HMB,28.9,29.01,28.5,28.6,93500
30857,2015-03-30,HMB,28.7,28.7,27.3,27.66,608000
31378,2015-03-31,HMB,29.04,29.04,29.0,29.04,6618500
31884,2015-04-01,HMB,29.0,30.49,29.0,30.49,636500
32386,2015-04-02,HMB,31.45,32.01,31.45,32.01,148000
32891,2015-04-03,HMB,33.6,33.61,32.61,32.99,435000
33390,2015-04-06,HMB,31.65,32.5,31.65,32.0,79000
33900,2015-04-07,HMB,32.0,32.03,31.99,32.0,44500
34888,2015-04-09,HMB,32.0,32.5,32.0,32.5,6000
35376,2015-04-10,HMB,32.3,32.3,32.0,32.1,33000
35889,2015-04-13,HMB,32.0,32.1,32.0,32.0,49500
36382,2015-04-14,HMB,32.5,32.75,32.5,32.5,9000
36856,2015-04-15,HMB,33.9,33.99,32.47,33.5,107500
37336,2015-04-16,HMB,33.9,34.8,33.75,34.49,298500
37848,2015-04-17,HMB,34.5,34.75,34.0,34.35,144000
38363,2015-04-20,HMB,34.4,34.75,34.4,34.51,123000
38897,2015-04-21,HMB,34.6,34.6,34.11,34.3,26500
39418,2015-04-22,HMB,35.7,35.7,34.31,34.99,3790500
39956,2015-04-23,HMB,34.85,35.0,34.75,35.0,157000
40483,2015-04-24,HMB,34.9,34.9,33.86,33.88,104000
41014,2015-04-27,HMB,34.24,34.24,33.52,33.52,8000
41515,2015-04-28,HMB,33.5,33.6,33.05,33.6,17500
42036,2015-04-29,HMB,33.5,33.5,32.68,32.68,36000
42551,2015-04-30,HMB,32.99,32.99,32.71,32.99,7000
43046,2015-05-04,HMB,33.0,33.5,33.0,33.25,86000
43549,2015-05-05,HMB,33.01,33.01,33.0,33.01,43000
44046,2015-05-06,HMB,34.0,34.0,33.0,33.0,27000
44554,2015-05-07,HMB,32.51,33.0,32.5,32.55,29500
45050,2015-05-08,HMB,32.02,32.03,32.01,32.02,8000
45530,2015-05-11,HMB,31.53,32.0,30.42,30.59,149500
46010,2015-05-12,HMB,30.65,31.0,30.0,30.84,244000
46491,2015-05-13,HMB,30.71,30.85,30.71,30.85,3500
46961,2015-05-14,HMB,30.85,31.1,30.85,31.1,6000
47443,2015-05-15,HMB,31.25,31.25,31.25,31.25,10000
47922,2015-05-18,HMB,30.8,30.8,30.15,30.15,8500
48405,2015-05-20,HMB,30.25,30.79,30.25,30.54,23500
48878,2015-05-21,HMB,31.39,31.4,31.39,31.4,1500
49352,2015-05-22,HMB,31.4,31.7,31.4,31.4,11000
49820,2015-05-25,HMB,30.4,30.5,30.0,30.5,54000
50328,2015-05-27,HMB,31.0,31.6,30.52,31.6,15000
51389,2015-05-29,HMB,31.6,31.6,31.0,31.25,23000
51922,2015-06-01,HMB,31.0,31.24,30.99,31.0,54000
52443,2015-06-02,HMB,31.49,31.75,31.1,31.75,51000
52969,2015-06-03,HMB,31.55,33.33,31.55,32.99,111500
53488,2015-06-04,HMB,32.06,33.0,32.06,32.99,72500
54005,2015-06-05,HMB,32.75,32.75,32.75,32.75,2500
54519,2015-06-08,HMB,31.12,31.12,31.12,31.12,106500
55049,2015-06-09,HMB,31.74,31.98,31.12,31.45,42000
55572,2015-06-10,HMB,31.0,31.2,30.5,30.98,204000
56095,2015-06-12,HMB,30.12,30.5,29.95,30.0,133000
56628,2015-06-15,HMB,30.02,30.02,29.9,29.99,177000
57160,2015-06-16,HMB,30.0,30.25,29.75,30.0,177000
57683,2015-06-17,HMB,30.0,30.0,29.75,29.98,150500
58221,2015-06-18,HMB,29.89,30.0,29.75,29.99,431500
58751,2015-06-19,HMB,29.9,29.9,29.52,29.61,5500
59246,2015-06-22,HMB,29.57,29.75,29.32,29.73,22500
59772,2015-06-23,HMB,29.5,29.5,28.9,29.14,226500
60328,2015-06-24,HMB,29.0,29.16,28.99,29.15,751000
60895,2015-06-25,HMB,29.15,29.25,28.75,29.22,1062000
61438,2015-06-26,HMB,29.27,29.75,28.71,29.26,371500
61966,2015-06-29,HMB,29.3,30.0,29.3,30.0,537500
62464,2015-06-30,HMB,29.7,30.27,29.7,30.0,748500
62959,2015-07-01,HMB,30.0,30.1,29.0,29.29,67000
63462,2015-07-02,HMB,29.7,30.4,29.7,30.32,33000
63971,2015-07-03,HMB,30.9,30.9,30.15,30.33,35000
64465,2015-07-06,HMB,30.3,30.3,29.8,29.81,58000
64982,2015-07-07,HMB,30.0,30.05,29.85,29.9,199000
65501,2015-07-08,HMB,29.95,30.3,29.9,30.29,64500
66005,2015-07-09,HMB,30.0,30.56,29.77,30.36,110500
66515,2015-07-10,HMB,30.25,30.35,30.2,30.25,36500
66999,2015-07-13,HMB,30.0,30.05,29.9,30.0,102000
67496,2015-07-14,HMB,30.01,30.15,29.95,30.0,148500
68012,2015-07-15,HMB,30.2,31.15,30.2,31.03,1067000
68534,2015-07-16,HMB,31.0,31.5,31.0,31.0,134500
69060,2015-07-22,HMB,31.0,31.49,30.75,31.0,1093000
69594,2015-07-23,HMB,31.25,31.95,31.0,31.14,1946500
70130,2015-07-24,HMB,31.24,31.54,31.0,31.0,325000
70653,2015-07-27,HMB,31.25,31.6,31.0,31.2,526500
71217,2015-07-28,HMB,31.25,31.7,31.25,31.4,93000
71773,2015-07-29,HMB,31.5,31.87,31.5,31.56,170500
72331,2015-07-30,HMB,31.55,32.0,31.5,31.51,316500
72879,2015-07-31,HMB,31.5,32.05,31.5,32.0,413500
73410,2015-08-03,HMB,32.0,32.0,31.5,32.0,218500
73897,2015-08-04,HMB,31.5,32.04,31.2,32.0,369500
74407,2015-08-05,HMB,32.0,32.3,32.0,32.0,1008000
74923,2015-08-06,HMB,32.0,32.4,32.0,32.01,301000
75446,2015-08-07,HMB,32.0,32.6,32.0,32.39,126500
75960,2015-08-10,HMB,32.5,32.6,32.0,32.01,207000
76469,2015-08-11,HMB,32.37,32.5,32.37,32.5,110000
76999,2015-08-12,HMB,32.3,32.5,31.99,31.99,54000
77517,2015-08-13,HMB,32.48,32.48,32.0,32.0,72000
78042,2015-08-17,HMB,32.0,32.0,31.9,31.91,20500
78545,2015-08-18,HMB,31.9,32.0,31.8,31.82,130000
79052,2015-08-19,HMB,31.6,31.75,31.49,31.5,64000
79572,2015-08-20,HMB,32.0,32.0,31.41,31.7,57500
80086,2015-08-21,HMB,31.75,31.75,30.31,31.03,84000
80590,2015-08-24,HMB,31.9,32.58,30.65,32.58,2656000
81139,2015-08-25,HMB,33.5,34.19,33.1,33.5,949000
81671,2015-08-26,HMB,33.9,34.0,33.41,33.45,320000
82218,2015-08-27,HMB,33.98,33.98,33.22,33.33,457000
82763,2015-08-28,HMB,33.25,33.75,33.1,33.37,323000
83316,2015-08-31,HMB,33.87,33.87,32.95,33.05,450500
83846,2015-09-01,HMB,32.99,33.0,32.7,32.96,75000
84357,2015-09-14,HMB,30.01,30.4,29.4,29.68,23000
84830,2015-09-15,HMB,29.6,30.0,29.41,29.98,17500
85314,2015-09-16,HMB,29.15,30.0,29.15,30.0,54500
85793,2015-09-17,HMB,29.02,30.05,29.02,29.88,20500
86285,2015-09-18,HMB,29.56,29.92,29.56,29.91,5000
86742,2015-09-21,HMB,29.35,29.35,29.26,29.29,10000
87234,2015-09-22,HMB,29.51,30.4,29.5,29.56,229000
87738,2015-09-23,HMB,29.56,29.56,29.3,29.5,25000
88225,2015-09-28,HMB,29.75,30.0,29.74,29.8,214000
88695,2015-09-29,HMB,29.8,30.0,29.5,29.5,188000
89162,2015-09-30,HMB,29.51,29.51,28.5,28.93,239500
89640,2015-10-01,HMB,28.5,29.75,28.5,29.5,39000
90109,2015-10-02,HMB,30.0,30.0,29.07,29.47,2296000
90588,2015-10-05,HMB,29.5,29.99,29.01,29.5,27000
91080,2015-10-06,HMB,29.5,29.5,29.49,29.49,28500
91579,2015-10-07,HMB,29.55,29.7,29.55,29.67,15000
92057,2015-10-08,HMB,29.5,29.5,29.4,29.45,22500
92551,2015-10-09,HMB,29.5,29.5,29.45,29.5,141000
93059,2015-10-12,HMB,29.65,30.0,29.0,29.3,1666500
93568,2015-10-13,HMB,29.36,30.0,29.35,29.91,321500
94080,2015-10-14,HMB,29.99,30.0,29.5,29.88,301000
94585,2015-10-15,HMB,29.88,30.75,29.8,30.56,141500
95082,2015-10-16,HMB,31.25,31.5,30.98,31.01,855000
95577,2015-10-19,HMB,31.99,32.56,31.95,32.56,2699500
96088,2015-10-20,HMB,33.0,33.0,31.82,31.88,179000
96584,2015-10-21,HMB,32.21,32.4,31.86,32.0,183500
97091,2015-10-22,HMB,32.89,32.89,31.66,32.0,44500
97586,2015-10-26,HMB,32.2,32.4,31.5,31.56,115000
98118,2015-10-27,HMB,31.4,31.99,31.25,31.91,100000
98638,2015-10-28,HMB,32.0,32.01,31.61,31.99,103000
99181,2015-10-29,HMB,31.99,32.0,31.7,31.71,45000
99724,2015-10-30,HMB,32.0,33.0,32.0,32.09,472000
100257,2015-11-02,HMB,32.01,33.4,32.0,32.26,644000
100761,2015-11-03,HMB,32.48,32.65,32.48,32.52,256500
101254,2015-11-04,HMB,32.35,33.4,32.35,32.7,379500
101764,2015-11-05,HMB,32.8,33.0,32.5,32.6,154500
102275,2015-11-06,HMB,32.43,32.7,32.43,32.63,34500
102770,2015-11-09,HMB,32.5,32.75,32.36,32.65,34000
103260,2015-11-10,HMB,32.7,32.9,32.5,32.55,142500
103751,2015-11-11,HMB,32.06,32.3,31.5,31.55,314500
104240,2015-11-12,HMB,31.98,32.18,31.5,32.06,220500
104754,2015-11-13,HMB,31.99,32.0,31.75,31.78,13000
105251,2015-11-16,HMB,31.65,32.0,31.65,31.84,18000
105735,2015-11-17,HMB,32.0,32.1,31.56,31.65,150500
106257,2015-11-18,HMB,31.61,31.89,31.5,31.56,46000
106779,2015-11-19,HMB,31.52,31.89,31.5,31.53,8000
107271,2015-11-20,HMB,31.83,31.9,31.51,31.9,3500
107772,2015-11-23,HMB,31.99,31.99,30.5,30.63,232500
108319,2015-11-24,HMB,30.99,30.99,30.7,30.85,17000
108870,2015-11-25,HMB,30.7,30.98,30.66,30.98,16000
109405,2015-11-26,HMB,31.19,31.25,30.9,30.91,52000
109935,2015-11-27,HMB,30.85,31.2,30.6,30.75,33000
110462,2015-11-30,HMB,30.31,31.0,30.01,30.13,23500
110954,2015-12-01,HMB,30.5,30.5,30.05,30.05,27000
111452,2015-12-02,HMB,30.84,31.09,30.1,30.48,177500
112421,2015-12-04,HMB,30.5,30.99,30.5,30.76,37000
112908,2015-12-07,HMB,31.0,31.15,30.8,31.0,108000
113388,2015-12-08,HMB,31.19,31.25,31.0,31.03,60500
113883,2015-12-09,HMB,31.35,31.45,31.2,31.25,43500
114372,2015-12-10,HMB,31.5,31.5,31.43,31.49,62500
114858,2015-12-14,HMB,31.15,31.2,31.0,31.15,1038500
115328,2015-12-15,HMB,31.88,31.89,31.2,31.2,55500
115806,2015-12-16,HMB,31.0,31.44,31.0,31.44,12000
116275,2015-12-17,HMB,31.51,31.51,31.42,31.5,216000
116750,2015-12-18,HMB,31.5,31.5,31.45,31.45,3000
117222,2015-12-22,HMB,31.25,31.58,31.25,31.32,53000
117723,2015-12-23,HMB,31.25,31.25,31.0,31.0,29500
118244,2015-12-28,HMB,31.25,31.25,30.71,30.99,70000
118702,2015-12-29,HMB,31.0,31.0,30.3,30.56,85500
119184,2015-12-30,HMB,31.0,31.0,30.25,30.26,248500
119646,2015-12-31,HMB,30.36,30.74,30.0,30.47,235500
120113,2016-01-01,HMB,30.7,31.0,30.7,30.82,21000
120584,2016-01-05,HMB,30.25,30.9,30.25,30.81,7500
121043,2016-01-06,HMB,30.99,31.0,30.99,31.0,5500
121506,2016-01-07,HMB,30.7,31.1,30.41,31.04,81500
121977,2016-01-11,HMB,31.0,31.2,30.8,30.81,13500
122432,2016-01-12,HMB,30.8,31.0,30.6,30.65,13000
122889,2016-01-13,HMB,31.0,31.45,31.0,31.3,18500
123361,2016-01-14,HMB,30.25,30.95,30.25,30.69,54000
123848,2016-01-15,HMB,30.42,30.49,30.36,30.49,16000
124323,2016-01-18,HMB,30.02,31.13,30.01,31.09,293000
124794,2016-01-19,HMB,31.15,31.15,30.81,30.86,16000
125262,2016-01-20,HMB,30.99,31.4,30.91,31.37,18500
125716,2016-01-21,HMB,31.45,31.45,31.1,31.1,26500
126181,2016-01-22,HMB,31.45,31.8,31.3,31.5,128500
126635,2016-01-25,HMB,31.7,31.95,30.9,31.0,116000
127131,2016-01-26,HMB,30.65,30.8,30.65,30.75,10500
127609,2016-01-27,HMB,31.0,31.19,31.0,31.0,9500
128116,2016-01-28,HMB,31.0,31.1,31.0,31.1,19000
128609,2016-01-29,HMB,31.0,31.49,31.0,31.15,45500
129102,2016-02-01,HMB,31.5,32.7,31.49,32.7,2872000
129559,2016-02-02,HMB,32.6,33.0,32.15,32.22,132000
130026,2016-02-03,HMB,32.15,32.5,32.0,32.43,100000
130485,2016-02-04,HMB,32.5,32.5,32.11,32.5,106000
130961,2016-02-08,HMB,32.5,32.99,32.5,32.85,73000
131424,2016-02-09,HMB,31.55,32.3,31.5,32.14,16500
131880,2016-02-10,HMB,32.05,32.3,32.0,32.07,20500
132344,2016-02-11,HMB,32.05,32.05,31.75,31.9,10000
132814,2016-02-12,HMB,31.6,32.0,31.53,31.92,45000
133272,2016-02-15,HMB,32.0,32.1,31.7,31.74,27500
133733,2016-02-16,HMB,31.65,32.0,31.5,31.54,61500
134192,2016-02-17,HMB,31.01,31.72,31.0,31.65,15500
134630,2016-02-18,HMB,31.25,31.31,31.1,31.21,54500
135096,2016-02-19,HMB,31.85,32.0,31.05,31.99,84000
135535,2016-02-22,HMB,31.5,32.0,30.5,30.65,131000
136043,2016-02-23,HMB,30.65,31.1,30.65,30.8,280500
136543,2016-02-24,HMB,30.8,31.1,30.51,31.1,21500
137039,2016-02-25,HMB,31.8,31.8,31.3,31.3,18000
137540,2016-02-29,HMB,32.0,32.58,31.5,31.61,1120500
138010,2016-03-01,HMB,31.65,32.0,31.6,31.9,30500
138465,2016-03-02,HMB,31.98,32.05,31.7,31.81,211500
138946,2016-03-03,HMB,31.9,32.99,31.83,32.8,684500
139435,2016-03-04,HMB,32.9,32.9,32.02,32.03,85500
139918,2016-03-07,HMB,32.1,32.7,32.1,32.5,69500
140420,2016-03-08,HMB,32.6,32.8,32.52,32.54,27500
140904,2016-03-09,HMB,32.8,32.9,32.5,32.9,224000
141379,2016-03-10,HMB,32.95,32.95,32.5,32.55,23000
141849,2016-03-11,HMB,32.52,32.55,32.1,32.24,724000
142315,2016-03-14,HMB,32.11,32.99,32.11,32.26,57500
142790,2016-03-15,HMB,32.64,32.7,31.7,32.0,102500
143259,2016-03-16,HMB,32.0,32.0,31.27,31.49,141500
143726,2016-03-17,HMB,29.75,29.75,29.26,29.54,85000
144205,2016-03-18,HMB,29.5,29.5,29.25,29.5,7000
144680,2016-04-01,HMB,29.25,30.0,29.25,29.9,1267000
145179,2016-04-04,HMB,29.9,30.29,29.81,29.83,79000
145681,2016-04-05,HMB,29.57,30.0,29.55,29.99,35500
146200,2016-04-06,HMB,29.99,30.6,29.99,30.51,519000
146717,2016-04-07,HMB,30.5,30.6,30.2,30.3,63000
147222,2016-04-08,HMB,30.15,30.5,29.85,29.85,15500
147720,2016-04-11,HMB,30.25,30.4,29.9,29.94,46500
148216,2016-04-12,HMB,29.95,30.01,29.84,30.0,28500
148698,2016-04-14,HMB,30.1,30.25,30.0,30.1,111500
149176,2016-04-15,HMB,30.02,30.1,30.0,30.0,29000
149671,2016-04-15,HMB,30.02,30.1,30.0,30.0,29000
150172,2016-04-19,HMB,30.1,30.25,30.0,30.0,323500
150668,2016-04-20,HMB,30.01,30.11,29.99,30.0,524000
151190,2016-04-21,HMB,30.0,30.15,30.0,30.0,341000
151714,2016-04-22,HMB,30.0,30.0,29.95,30.0,14500
152210,2016-04-25,HMB,29.9,29.9,29.8,29.8,21000
152757,2016-04-26,HMB,29.55,29.65,29.45,29.45,199500
153306,2016-04-27,HMB,29.75,29.75,29.45,29.45,43000
153863,2016-04-28,HMB,29.49,29.5,29.0,29.5,582500
154417,2016-04-29,HMB,29.45,29.8,29.45,29.67,24500
154959,2016-05-02,HMB,29.65,29.65,29.3,29.5,73000
155467,2016-05-03,HMB,29.75,29.8,29.5,29.71,580000
155971,2016-05-04,HMB,29.99,29.99,29.35,29.6,172500
156504,2016-05-06,HMB,29.56,29.7,29.37,29.53,97000
