,Date,Symbol,Open,High,Low,Close,Volume
153,2015-01-01,HABSM,45.9,45.9,44.25,44.64,23000
669,2015-01-02,HABSM,45.92,45.94,44.4,44.9,28000
1187,2015-01-05,HABSM,45.5,45.68,44.98,45.24,39000
1697,2015-01-06,HABSM,45.03,45.25,44.4,44.84,31000
2214,2015-01-07,HABSM,44.4,45.0,44.11,45.0,31000
2727,2015-01-08,HABSM,45.14,45.14,44.7,44.9,13000
3240,2015-01-09,HABSM,45.3,45.3,44.5,44.54,530000
3760,2015-01-12,HABSM,45.15,45.25,44.75,44.77,73000
4300,2015-01-13,HABSM,44.57,45.15,44.57,44.7,44000
4847,2015-01-14,HABSM,44.26,44.75,44.06,44.35,22500
5392,2015-01-15,HABSM,44.01,45.15,43.21,44.53,147000
5933,2015-01-16,HABSM,43.8,43.8,39.93,40.97,68000
6465,2015-01-19,HABSM,40.7,40.99,39.75,40.77,62000
7002,2015-01-20,HABSM,40.2,40.2,38.74,39.61,652000
7535,2015-01-21,HABSM,39.4,39.93,39.4,39.45,76000
8059,2015-01-22,HABSM,39.7,40.4,39.7,39.98,29500
8570,2015-01-23,HABSM,39.31,41.9,39.31,41.58,41000
9091,2015-01-26,HABSM,41.99,42.98,39.51,41.28,33000
9646,2015-01-27,HABSM,41.4,41.4,40.0,40.05,9500
10203,2015-01-28,HABSM,39.5,40.94,39.0,40.79,21000
10753,2015-01-29,HABSM,40.4,40.48,39.78,40.0,67000
11295,2015-01-30,HABSM,39.1,39.99,39.1,39.65,7500
11849,2015-02-02,HABSM,39.1,39.77,38.75,39.46,20000
12364,2015-02-03,HABSM,38.7,39.0,38.62,38.7,55000
12883,2015-02-04,HABSM,38.0,39.36,37.3,39.17,56500
13389,2015-02-06,HABSM,39.89,40.95,38.15,38.2,70500
13896,2015-02-09,HABSM,38.2,38.48,36.66,38.32,38000
14401,2015-02-10,HABSM,38.1,38.1,37.51,37.82,5500
14908,2015-02-11,HABSM,37.16,37.25,35.93,36.95,181500
15422,2015-02-12,HABSM,35.35,36.0,35.15,35.49,30500
15920,2015-02-13,HABSM,35.22,36.0,35.22,35.95,5500
16414,2015-02-16,HABSM,35.6,35.9,35.0,35.83,11000
16911,2015-02-17,HABSM,35.12,35.12,34.65,34.77,8500
17414,2015-02-18,HABSM,34.56,34.65,33.95,33.98,10000
17918,2015-02-19,HABSM,34.5,34.63,34.0,34.02,10500
