,Date,Symbol,Open,High,Low,Close,Volume
211,2015-01-01,HASCOL,74.8,75.09,74.1,74.97,256000
729,2015-01-02,HASCOL,75.49,78.71,75.0,78.6,3378500
1249,2015-01-05,HASCOL,79.15,81.6,78.6,80.18,2865500
1758,2015-01-06,HASCOL,79.45,79.6,77.8,79.03,2547000
2276,2015-01-07,HASCOL,79.0,82.65,78.56,81.24,3519500
2789,2015-01-08,HASCOL,81.99,83.7,81.99,82.91,2737000
3301,2015-01-09,HASCOL,83.0,85.25,83.0,83.82,3806500
3826,2015-01-12,HASCOL,83.99,84.0,82.15,82.53,962000
4365,2015-01-13,HASCOL,81.6,82.25,80.9,81.7,744500
4911,2015-01-14,HASCOL,82.25,84.59,82.25,83.66,1728000
5456,2015-01-15,HASCOL,85.0,85.85,83.9,84.17,3130500
5996,2015-01-16,HASCOL,85.0,86.25,84.01,85.2,2896000
6529,2015-01-19,HASCOL,86.5,89.46,86.5,89.2,8474000
7065,2015-01-20,HASCOL,90.66,93.66,89.7,93.66,5101000
7601,2015-01-21,HASCOL,96.0,98.34,95.75,98.34,8585000
8123,2015-01-22,HASCOL,101.5,102.75,94.47,96.8,7038000
8633,2015-01-23,HASCOL,95.98,99.3,93.49,96.79,4187500
9154,2015-01-26,HASCOL,99.0,100.4,96.91,97.88,3269000
9710,2015-01-27,HASCOL,98.6,102.77,97.82,100.96,10181000
10269,2015-01-28,HASCOL,99.7,100.48,97.0,97.32,2644000
10818,2015-01-29,HASCOL,97.06,98.95,97.05,97.89,1506500
11353,2015-01-30,HASCOL,98.39,99.9,97.86,98.13,1913500
11914,2015-02-02,HASCOL,99.2,103.03,99.2,103.03,5879000
12429,2015-02-03,HASCOL,106.5,107.75,103.15,104.6,5375500
12949,2015-02-04,HASCOL,107.0,107.5,102.05,103.08,3328000
13453,2015-02-06,HASCOL,103.99,106.48,102.66,104.56,5484500
13961,2015-02-09,HASCOL,106.0,106.4,103.1,103.56,2253500
14462,2015-02-10,HASCOL,104.4,104.8,101.1,103.66,2411000
14970,2015-02-11,HASCOL,104.29,104.65,101.5,102.09,1628500
15484,2015-02-12,HASCOL,101.65,102.55,96.99,96.99,4691500
15982,2015-02-13,HASCOL,96.0,101.49,95.13,99.4,3667500
16477,2015-02-16,HASCOL,100.6,101.99,99.1,99.91,1211000
16974,2015-02-17,HASCOL,100.3,102.74,100.3,102.1,2297500
17476,2015-02-18,HASCOL,102.02,102.95,101.0,101.52,844000
17980,2015-02-19,HASCOL,100.8,104.5,100.8,103.59,2167000
18471,2015-02-20,HASCOL,104.51,104.6,101.0,101.42,1498500
18960,2015-02-23,HASCOL,102.0,102.7,101.31,101.84,375000
19507,2015-02-24,HASCOL,101.3,102.37,100.3,100.57,487500
20040,2015-02-25,HASCOL,100.15,101.5,99.42,100.96,881000
20595,2015-02-26,HASCOL,101.5,101.64,99.75,100.01,376500
21121,2015-02-27,HASCOL,100.69,101.6,99.55,99.71,449000
21657,2015-03-02,HASCOL,100.5,100.5,94.73,95.08,723500
22163,2015-03-03,HASCOL,95.0,97.89,92.2,96.54,826500
22664,2015-03-04,HASCOL,97.25,101.36,97.25,99.24,2304000
23161,2015-03-05,HASCOL,99.49,104.2,99.49,103.97,3064500
23628,2015-03-06,HASCOL,105.0,106.7,102.76,103.73,2447000
24104,2015-03-09,HASCOL,104.0,104.2,102.01,102.38,707500
24589,2015-03-10,HASCOL,102.99,107.35,101.75,104.65,3637000
25074,2015-03-11,HASCOL,103.75,105.78,103.05,104.05,1918500
25559,2015-03-12,HASCOL,104.8,107.9,104.8,105.44,3015500
26040,2015-03-13,HASCOL,106.6,108.0,105.5,106.06,1871500
26526,2015-03-16,HASCOL,105.6,105.97,102.7,103.22,823000
26996,2015-03-17,HASCOL,103.1,104.0,100.0,100.3,1499000
27502,2015-03-18,HASCOL,100.84,102.9,96.3,99.03,1833500
27993,2015-03-19,HASCOL,100.34,101.9,99.25,99.74,1004000
28463,2015-03-20,HASCOL,100.06,102.74,100.06,101.92,976500
28932,2015-03-24,HASCOL,104.01,105.0,100.1,100.52,1404500
29437,2015-03-25,HASCOL,101.0,101.86,95.5,95.5,1442000
29949,2015-03-26,HASCOL,93.52,97.45,90.73,92.63,2415000
30480,2015-03-27,HASCOL,93.9,95.5,90.9,92.08,1147500
31033,2015-03-30,HASCOL,92.2,92.2,87.48,87.48,690000
31541,2015-03-31,HASCOL,87.48,91.85,87.48,91.85,928000
32045,2015-04-01,HASCOL,93.5,96.44,91.0,95.99,1767500
32553,2015-04-02,HASCOL,97.0,100.78,96.6,100.09,1927500
33057,2015-04-03,HASCOL,102.0,102.64,100.2,101.66,1644500
33560,2015-04-06,HASCOL,102.4,106.74,101.32,106.21,3385000
34064,2015-04-07,HASCOL,106.9,107.5,104.01,104.71,2253000
34549,2015-04-08,HASCOL,105.5,108.4,105.1,106.44,3912000
35039,2015-04-09,HASCOL,106.24,106.25,104.0,104.45,961000
35546,2015-04-10,HASCOL,105.0,107.25,104.3,105.29,2022000
36058,2015-04-13,HASCOL,105.75,107.9,105.1,105.91,1496000
36529,2015-04-14,HASCOL,106.3,107.75,105.3,105.64,1781500
37010,2015-04-15,HASCOL,107.9,108.0,105.6,106.23,1766500
37505,2015-04-16,HASCOL,108.2,111.54,108.2,111.54,4679500
38025,2015-04-17,HASCOL,115.9,117.11,113.1,117.01,3775500
38530,2015-04-20,HASCOL,118.99,119.75,114.0,115.53,3295500
39053,2015-04-21,HASCOL,115.5,115.5,112.15,112.97,1118500
39588,2015-04-22,HASCOL,102.8,106.85,102.8,106.85,1217000
40117,2015-04-23,HASCOL,112.19,112.19,109.0,112.19,4503500
40639,2015-04-24,HASCOL,113.48,114.05,110.65,111.65,2115000
41180,2015-04-27,HASCOL,113.0,116.5,113.0,115.15,3126000
41692,2015-04-28,HASCOL,115.02,115.29,113.2,113.8,790500
42211,2015-04-29,HASCOL,114.7,115.8,109.0,110.26,1626000
