,Date,Symbol,Open,High,Low,Close,Volume
139099,2016-03-03,HTL,61.0,61.5,59.38,59.38,5506000
139582,2016-03-04,HTL,57.74,59.0,57.25,57.63,2424000
140074,2016-03-07,HTL,58.0,59.99,57.5,58.92,1710000
140571,2016-03-08,HTL,59.39,60.35,58.2,59.21,2324500
141046,2016-03-09,HTL,59.0,59.4,58.0,58.04,1005500
141521,2016-03-10,HTL,58.3,59.67,58.06,58.95,959000
141977,2016-03-11,HTL,58.75,59.33,58.0,58.45,460500
142462,2016-03-14,HTL,58.44,58.44,57.06,57.15,386000
142932,2016-03-15,HTL,56.71,57.0,54.9,55.09,534500
143404,2016-03-16,HTL,55.0,57.74,54.25,56.39,676500
143873,2016-03-17,HTL,57.02,59.2,56.9,59.2,1976000
144355,2016-03-18,HTL,60.39,61.84,58.86,59.22,2567500
144835,2016-04-01,HTL,56.95,57.5,56.4,57.02,277500
145332,2016-04-04,HTL,56.99,57.8,56.75,57.32,447500
145846,2016-04-05,HTL,57.2,58.85,57.2,57.52,706000
146367,2016-04-06,HTL,57.45,57.95,56.99,57.04,398000
146876,2016-04-07,HTL,57.52,58.25,57.0,57.22,488500
147374,2016-04-08,HTL,57.2,57.65,56.95,57.08,239000
147879,2016-04-11,HTL,57.25,57.64,55.6,55.72,474500
148364,2016-04-12,HTL,56.0,56.2,55.0,55.91,447000
148841,2016-04-14,HTL,58.5,59.19,57.75,58.01,607500
149333,2016-04-15,HTL,58.2,58.99,57.7,58.05,347000
149828,2016-04-15,HTL,58.2,58.99,57.7,58.05,347000
150327,2016-04-19,HTL,57.51,58.15,57.01,57.53,327500
150841,2016-04-20,HTL,58.9,59.98,57.85,58.12,2013000
151359,2016-04-21,HTL,58.44,59.3,56.1,57.1,1360000
151871,2016-04-22,HTL,57.49,57.7,57.0,57.18,297000
152377,2016-04-25,HTL,57.51,57.51,56.8,56.97,115500
152923,2016-04-26,HTL,56.9,57.85,56.9,57.14,421500
153481,2016-04-27,HTL,57.4,57.49,57.0,57.14,430000
154035,2016-04-28,HTL,57.49,57.6,57.01,57.12,249000
154584,2016-04-29,HTL,57.13,57.49,56.8,57.08,234000
155123,2016-05-02,HTL,56.93,57.1,56.45,56.52,182500
155620,2016-05-03,HTL,56.99,57.39,56.6,57.01,261500
156154,2016-05-04,HTL,57.2,59.44,57.0,59.04,2616500
156662,2016-05-06,HTL,58.3,58.6,57.45,57.55,315000
157172,2016-05-09,HTL,57.95,58.45,57.6,57.76,354500
157695,2016-05-10,HTL,57.32,58.3,57.15,57.41,255500
158215,2016-05-12,HTL,59.58,59.79,58.38,58.48,913500
158735,2016-05-13,HTL,58.5,58.95,58.12,58.25,344500
159257,2016-05-16,HTL,58.5,58.7,58.0,58.23,376500
159782,2016-05-18,HTL,57.97,58.2,57.8,58.02,138000
160318,2016-05-19,HTL,58.25,58.45,57.7,57.88,469000
160832,2016-05-20,HTL,58.06,58.69,57.62,58.27,396500
161347,2016-05-23,HTL,58.4,59.7,58.2,59.01,985000
161918,2016-05-24,HTL,59.06,61.96,59.06,61.54,4491500
162487,2016-05-25,HTL,62.15,63.0,61.0,62.73,3619000
163060,2016-05-26,HTL,63.0,63.5,62.0,62.14,2264000
163633,2016-06-02,HTL,65.01,65.48,63.05,63.22,4221500
164170,2016-06-03,HTL,63.15,64.4,63.15,63.88,1356000
164699,2016-06-06,HTL,63.7,64.24,63.25,63.46,354000
165193,2016-06-07,HTL,63.69,64.5,63.0,63.14,1166500
165677,2016-06-07,HTL,63.69,64.5,63.0,63.14,1166500
166169,2016-06-08,HTL,63.36,63.85,63.05,63.66,608500
166669,2016-06-09,HTL,63.9,64.48,63.15,63.32,503000
