,Date,Symbol,Open,High,Low,Close,Volume
267,2015-01-01,HINOON,218.0,220.46,212.5,215.91,28800
792,2015-01-02,HINOON,215.05,226.7,215.05,226.7,65500
1311,2015-01-05,HINOON,228.0,234.7,227.0,231.35,57100
1818,2015-01-06,HINOON,231.0,237.8,228.0,230.09,64800
2337,2015-01-07,HINOON,232.0,241.59,231.5,235.63,216200
2850,2015-01-08,HINOON,237.0,237.99,233.0,234.89,42400
3363,2015-01-09,HINOON,236.0,236.5,224.1,226.61,51600
3889,2015-01-12,HINOON,229.0,237.94,228.7,234.91,141500
4427,2015-01-13,HINOON,236.0,238.8,235.0,236.16,64500
4972,2015-01-14,HINOON,237.5,241.0,237.5,238.38,146300
5519,2015-01-15,HINOON,240.0,244.0,238.5,240.61,58100
6056,2015-01-16,HINOON,245.0,245.0,237.0,238.18,52400
6590,2015-01-19,HINOON,240.2,242.5,238.0,238.9,29700
7126,2015-01-20,HINOON,240.4,244.0,237.5,238.62,21900
7663,2015-01-21,HINOON,240.02,241.5,236.0,238.18,33700
8185,2015-01-22,HINOON,235.5,239.89,235.5,236.01,18600
8693,2015-01-23,HINOON,234.55,239.84,234.5,236.57,9200
9216,2015-01-26,HINOON,239.95,240.0,236.0,236.39,18500
9772,2015-01-27,HINOON,236.5,248.2,236.5,241.25,189300
10330,2015-01-28,HINOON,240.3,242.9,235.0,236.51,32200
10880,2015-01-29,HINOON,238.0,240.2,236.0,236.03,15900
11414,2015-01-30,HINOON,237.0,239.49,231.0,233.48,13800
11974,2015-02-02,HINOON,232.0,234.4,232.0,233.45,34100
12491,2015-02-03,HINOON,233.0,234.0,230.02,233.26,5000
13010,2015-02-04,HINOON,234.0,234.99,226.0,227.46,18200
13514,2015-02-06,HINOON,227.5,237.8,226.0,230.3,27200
14022,2015-02-09,HINOON,230.95,240.0,230.95,235.75,46500
14522,2015-02-10,HINOON,238.0,239.89,232.0,234.82,21100
15031,2015-02-11,HINOON,237.0,237.0,231.0,231.84,13600
15546,2015-02-12,HINOON,232.0,232.0,225.01,225.92,20100
16042,2015-02-13,HINOON,227.0,233.5,225.0,233.5,13000
16539,2015-02-16,HINOON,236.0,242.9,223.0,240.74,60900
17035,2015-02-17,HINOON,241.0,247.5,238.0,238.41,64400
17535,2015-02-18,HINOON,242.0,242.0,230.0,231.93,14600
18042,2015-02-19,HINOON,228.9,232.0,227.0,228.16,11500
18530,2015-02-20,HINOON,229.0,231.5,228.0,229.78,5800
19020,2015-02-23,HINOON,233.5,233.5,228.0,230.0,7400
19566,2015-02-24,HINOON,228.01,228.01,225.1,226.16,8100
20101,2015-02-25,HINOON,229.99,231.98,226.61,228.03,4500
20653,2015-02-26,HINOON,228.0,229.9,226.0,226.01,19600
21182,2015-02-27,HINOON,225.0,229.69,222.0,226.33,32100
21718,2015-03-02,HINOON,231.89,231.89,223.1,223.84,11300
22223,2015-03-03,HINOON,225.0,225.98,222.9,223.29,12900
22725,2015-03-04,HINOON,225.0,226.49,223.0,223.5,5600
23218,2015-03-05,HINOON,223.25,227.0,223.0,226.29,9500
23689,2015-03-06,HINOON,225.0,228.0,223.4,224.14,4400
24163,2015-03-09,HINOON,224.0,225.0,223.1,223.17,20900
24650,2015-03-10,HINOON,223.0,223.0,212.02,212.83,21400
25133,2015-03-11,HINOON,210.1,210.1,203.0,206.0,20000
25620,2015-03-12,HINOON,210.0,211.0,207.0,209.99,3700
26102,2015-03-13,HINOON,212.0,220.48,211.5,220.48,29500
26585,2015-03-16,HINOON,226.9,231.5,225.11,231.5,26600
27057,2015-03-17,HINOON,238.5,243.07,237.0,243.07,176400
27561,2015-03-18,HINOON,243.5,245.5,230.92,231.95,39300
28050,2015-03-19,HINOON,234.0,235.98,228.04,228.8,9200
28518,2015-03-20,HINOON,230.0,240.24,230.0,240.24,85800
28990,2015-03-24,HINOON,252.25,252.25,252.25,252.25,11100
29496,2015-03-25,HINOON,257.72,257.99,245.0,248.29,115500
30008,2015-03-26,HINOON,248.0,253.8,235.88,238.17,50700
30540,2015-03-27,HINOON,239.0,241.98,235.0,237.99,34000
31093,2015-03-30,HINOON,236.0,236.0,226.1,230.84,59000
31600,2015-03-31,HINOON,231.8,242.38,231.8,242.38,31700
32104,2015-04-01,HINOON,247.8,254.49,241.85,254.09,135200
32612,2015-04-02,HINOON,258.9,263.96,256.52,262.77,56900
33117,2015-04-03,HINOON,266.0,268.0,258.0,261.68,35200
33620,2015-04-06,HINOON,257.5,263.0,257.15,259.85,36800
34124,2015-04-07,HINOON,256.01,258.0,255.2,256.8,22200
34609,2015-04-08,HINOON,256.0,256.9,252.6,253.85,30800
35099,2015-04-09,HINOON,256.0,256.25,254.05,255.0,14100
35608,2015-04-10,HINOON,255.0,260.0,250.0,256.84,86200
36116,2015-04-13,HINOON,257.0,269.68,256.11,269.68,86800
36588,2015-04-14,HINOON,279.0,279.0,268.0,271.35,99200
37071,2015-04-15,HINOON,274.9,284.89,272.0,283.43,201800
37569,2015-04-16,HINOON,250.75,254.0,245.0,248.27,104400
38085,2015-04-17,HINOON,245.0,246.99,240.0,242.33,39000
38590,2015-04-20,HINOON,240.01,244.75,237.5,240.7,38500
39112,2015-04-21,HINOON,239.01,243.0,233.0,241.6,28500
39650,2015-04-22,HINOON,242.0,244.2,239.01,240.48,72800
40176,2015-04-23,HINOON,242.09,242.5,236.52,237.04,30400
40698,2015-04-24,HINOON,237.04,237.9,233.1,234.34,23100
41241,2015-04-27,HINOON,231.01,240.0,231.01,237.49,61600
41754,2015-04-28,HINOON,237.1,237.1,232.52,232.94,14100
42273,2015-04-29,HINOON,234.5,234.5,232.5,232.89,14400
42771,2015-04-30,HINOON,232.84,233.0,231.0,232.38,11600
43267,2015-05-04,HINOON,233.1,241.5,233.1,236.68,57900
43765,2015-05-05,HINOON,233.6,238.0,233.5,234.84,17400
44271,2015-05-06,HINOON,237.0,238.0,234.5,235.41,20700
44775,2015-05-07,HINOON,235.5,235.5,233.1,233.1,15800
45262,2015-05-08,HINOON,233.0,236.0,233.0,233.8,9100
45750,2015-05-11,HINOON,230.01,234.5,228.25,229.0,12700
46228,2015-05-12,HINOON,234.0,234.0,230.01,233.0,12300
46697,2015-05-13,HINOON,233.0,233.0,231.7,231.76,13200
47171,2015-05-14,HINOON,231.0,237.0,230.02,233.0,32300
47653,2015-05-15,HINOON,231.0,234.5,230.0,230.9,32500
48139,2015-05-18,HINOON,228.56,231.15,228.55,228.66,6900
48617,2015-05-20,HINOON,227.0,229.75,225.0,226.87,92600
49092,2015-05-21,HINOON,227.0,227.25,226.0,226.96,58200
49559,2015-05-22,HINOON,225.6,227.2,222.5,223.75,72700
50031,2015-05-25,HINOON,228.24,228.24,224.5,225.0,25600
50558,2015-05-27,HINOON,222.0,225.0,221.0,221.93,46300
51081,2015-05-28,HINOON,221.0,224.9,221.0,222.13,2800
51608,2015-05-29,HINOON,224.6,225.99,223.0,224.2,51200
52166,2015-06-01,HINOON,224.75,227.5,223.66,224.06,147500
52685,2015-06-02,HINOON,225.0,233.5,224.53,231.13,152900
53200,2015-06-03,HINOON,231.51,231.99,228.6,229.93,33800
53725,2015-06-04,HINOON,230.0,233.63,230.0,232.87,23200
54239,2015-06-05,HINOON,230.05,236.0,230.05,235.14,27300
54769,2015-06-08,HINOON,234.9,246.8,233.0,244.16,109700
55295,2015-06-09,HINOON,246.5,246.5,238.0,239.35,41900
55814,2015-06-10,HINOON,240.95,241.49,236.0,236.38,10800
56342,2015-06-12,HINOON,237.0,241.0,235.5,236.15,58200
56881,2015-06-15,HINOON,238.0,239.0,235.0,235.0,18500
57401,2015-06-16,HINOON,235.0,236.45,233.0,233.41,10200
57935,2015-06-17,HINOON,236.89,238.5,233.5,234.59,51000
58471,2015-06-18,HINOON,235.0,246.31,235.0,246.31,74800
58975,2015-06-19,HINOON,249.98,252.98,242.5,243.93,77100
59469,2015-06-22,HINOON,249.0,250.0,238.5,246.72,36300
60011,2015-06-23,HINOON,249.0,253.5,247.55,249.11,100900
60580,2015-06-24,HINOON,246.11,260.45,246.11,258.73,86800
61126,2015-06-25,HINOON,257.5,257.99,252.0,252.29,43100
61657,2015-06-26,HINOON,250.0,250.05,248.0,249.5,3200
62194,2015-06-29,HINOON,248.5,255.0,248.0,254.72,21100
62684,2015-06-30,HINOON,254.0,257.4,254.0,256.17,18500
63188,2015-07-01,HINOON,255.5,255.5,252.11,252.26,13900
63694,2015-07-02,HINOON,253.0,264.8,252.95,260.14,62400
64194,2015-07-03,HINOON,262.99,269.0,258.0,266.45,115300
64704,2015-07-06,HINOON,267.8,271.5,262.1,267.04,72600
65216,2015-07-07,HINOON,266.52,280.39,265.15,268.06,55400
65726,2015-07-08,HINOON,268.98,271.85,260.0,268.16,39400
66240,2015-07-09,HINOON,264.5,274.0,264.0,269.72,63300
66731,2015-07-10,HINOON,272.89,275.0,270.0,270.22,17100
67228,2015-07-13,HINOON,270.0,274.0,270.0,270.06,16200
67735,2015-07-14,HINOON,270.31,282.0,270.31,275.25,44900
68256,2015-07-15,HINOON,278.99,289.01,278.0,289.01,119600
68778,2015-07-16,HINOON,290.02,303.46,290.02,303.46,113300
69312,2015-07-22,HINOON,306.0,318.0,306.0,308.79,74800
69849,2015-07-23,HINOON,309.0,309.5,296.51,298.22,32600
70376,2015-07-24,HINOON,307.0,307.0,288.0,290.08,23700
70907,2015-07-27,HINOON,289.0,289.9,282.5,285.0,46900
71455,2015-07-28,HINOON,280.5,290.0,275.05,286.0,21100
72022,2015-07-29,HINOON,290.0,300.3,286.6,296.36,59200
72570,2015-07-30,HINOON,298.0,302.0,293.0,299.92,33200
73111,2015-07-31,HINOON,300.0,302.0,292.02,298.42,8600
73637,2015-08-03,HINOON,299.98,304.0,297.0,300.16,24400
74133,2015-08-04,HINOON,301.97,302.0,298.0,300.0,17600
74649,2015-08-05,HINOON,290.0,315.0,290.0,314.68,69700
75171,2015-08-06,HINOON,322.0,330.41,321.9,330.41,82000
75692,2015-08-07,HINOON,334.9,345.0,327.0,330.71,87900
76199,2015-08-10,HINOON,339.0,339.0,325.0,326.88,20700
76722,2015-08-11,HINOON,325.0,338.99,324.0,332.8,64500
77239,2015-08-12,HINOON,336.0,349.44,335.99,347.47,112500
77767,2015-08-13,HINOON,348.5,359.0,340.0,347.44,103400
78271,2015-08-17,HINOON,349.0,364.81,348.0,364.81,78100
78781,2015-08-18,HINOON,370.0,383.05,369.1,382.45,251900
79298,2015-08-19,HINOON,381.0,392.98,363.33,364.04,209900
79816,2015-08-20,HINOON,365.0,370.0,350.05,360.6,109100
80316,2015-08-21,HINOON,365.0,370.0,345.1,363.47,119500
80831,2015-08-24,HINOON,346.2,355.0,345.3,345.3,56500
81366,2015-08-25,HINOON,338.0,358.0,335.0,350.77,69900
81909,2015-08-26,HINOON,355.99,357.95,342.0,346.41,107600
82453,2015-08-27,HINOON,348.5,363.73,345.0,361.91,117500
83003,2015-08-28,HINOON,360.0,376.1,360.0,367.32,58600
83561,2015-08-31,HINOON,370.5,378.0,368.0,371.33,47000
