,Date,Symbol,Open,High,Low,Close,Volume
233,2015-01-01,HINO,840.0,840.0,839.0,839.33,500
754,2015-01-02,HINO,865.0,865.0,837.0,845.0,600
1273,2015-01-05,HINO,849.68,864.5,820.01,854.77,9150
1780,2015-01-06,HINO,860.0,864.5,835.0,853.95,5000
2300,2015-01-07,HINO,848.0,867.8,848.0,861.96,5700
2813,2015-01-08,HINO,898.0,898.0,861.0,871.89,5600
3325,2015-01-09,HINO,879.9,898.0,875.1,885.68,9800
3851,2015-01-12,HINO,882.0,884.0,881.0,884.0,250
4389,2015-01-13,HINO,885.0,910.0,865.0,902.66,11800
4934,2015-01-14,HINO,911.0,934.92,911.0,929.59,19400
5481,2015-01-15,HINO,916.0,944.0,916.0,927.29,5750
6019,2015-01-16,HINO,938.0,939.0,915.5,927.83,2000
6554,2015-01-19,HINO,935.0,935.0,903.0,917.48,4850
7089,2015-01-20,HINO,920.0,963.35,904.6,952.51,45400
7625,2015-01-21,HINO,984.99,1000.13,975.0,994.75,64750
8148,2015-01-22,HINO,1024.0,1024.0,955.31,961.8,44600
8657,2015-01-23,HINO,962.0,962.0,913.71,919.03,47350
9178,2015-01-26,HINO,920.0,945.0,917.0,918.74,24200
9734,2015-01-27,HINO,915.2,929.0,911.99,915.36,12900
10292,2015-01-28,HINO,919.0,919.0,911.0,916.61,5050
10842,2015-01-29,HINO,917.0,947.95,916.0,927.94,34350
11376,2015-01-30,HINO,922.11,948.89,922.11,929.76,12950
11937,2015-02-02,HINO,930.0,955.0,930.0,944.02,18450
12452,2015-02-03,HINO,959.99,969.0,932.11,942.0,7750
12972,2015-02-04,HINO,945.0,951.5,935.15,939.27,12800
13476,2015-02-06,HINO,945.0,959.0,941.5,948.69,12100
13984,2015-02-09,HINO,950.0,966.0,946.0,948.93,7250
14483,2015-02-10,HINO,945.0,963.9,940.0,942.92,7150
14992,2015-02-11,HINO,966.0,990.06,952.01,988.96,67250
15507,2015-02-12,HINO,994.0,994.8,950.05,980.0,19550
16004,2015-02-13,HINO,982.51,989.0,975.0,976.78,2950
16500,2015-02-16,HINO,1015.0,1015.0,980.0,983.85,36750
16995,2015-02-17,HINO,980.01,992.0,979.01,987.25,9900
17498,2015-02-18,HINO,985.5,991.0,971.0,982.39,3750
18002,2015-02-19,HINO,960.0,980.0,960.0,979.99,4150
18492,2015-02-20,HINO,982.0,987.0,970.0,981.96,4200
18981,2015-02-23,HINO,972.0,985.0,970.0,973.4,3800
19528,2015-02-24,HINO,970.4,974.99,966.0,972.28,1300
20063,2015-02-25,HINO,980.0,984.49,972.0,976.27,4000
20616,2015-02-26,HINO,986.0,987.0,975.01,980.98,7400
21144,2015-02-27,HINO,985.0,990.0,975.0,984.6,8850
21679,2015-03-02,HINO,993.0,1025.0,981.1,999.35,22700
22184,2015-03-03,HINO,1000.0,1005.0,990.0,995.68,8150
22685,2015-03-04,HINO,1014.89,1014.89,982.0,985.09,12450
23181,2015-03-05,HINO,990.0,996.0,985.0,992.46,1750
23651,2015-03-06,HINO,992.0,993.0,979.0,981.64,22900
24124,2015-03-09,HINO,981.01,992.8,980.0,989.73,6000
24610,2015-03-10,HINO,983.0,983.0,941.0,970.89,7600
25094,2015-03-11,HINO,950.0,962.0,935.0,946.59,17500
25580,2015-03-12,HINO,945.0,958.0,940.0,945.06,11600
26062,2015-03-13,HINO,955.0,970.0,952.0,966.92,6400
26548,2015-03-16,HINO,980.0,980.0,950.0,955.0,5350
27018,2015-03-17,HINO,945.0,959.75,941.15,959.63,1050
27522,2015-03-18,HINO,950.0,950.0,912.1,927.71,7750
28013,2015-03-19,HINO,940.0,940.0,925.0,926.47,3050
28483,2015-03-20,HINO,940.0,941.0,925.01,931.8,6850
28954,2015-03-24,HINO,951.0,956.0,930.0,937.27,4450
29457,2015-03-25,HINO,930.0,943.0,905.0,908.98,10750
29971,2015-03-26,HINO,930.0,930.0,863.54,886.67,8400
30501,2015-03-27,HINO,855.0,880.0,842.34,852.86,5700
31054,2015-03-30,HINO,825.0,825.0,810.22,810.22,4900
31561,2015-03-31,HINO,769.71,850.73,769.71,850.73,5300
32066,2015-04-01,HINO,850.0,888.0,850.0,879.12,5400
32574,2015-04-02,HINO,890.0,909.98,890.0,902.7,2550
33078,2015-04-03,HINO,910.0,935.0,910.0,920.55,6500
33581,2015-04-06,HINO,945.0,945.0,930.0,940.6,1900
34085,2015-04-07,HINO,945.0,945.0,932.0,943.0,2100
34570,2015-04-08,HINO,933.0,951.99,930.0,948.0,2100
35061,2015-04-09,HINO,940.0,940.0,920.0,930.38,3150
35568,2015-04-10,HINO,920.0,927.0,883.87,886.5,18750
36079,2015-04-13,HINO,906.0,930.82,900.0,930.82,21950
36549,2015-04-14,HINO,936.5,948.0,920.0,920.0,4700
37033,2015-04-15,HINO,890.0,930.0,890.0,929.0,2450
37529,2015-04-16,HINO,935.0,935.0,918.11,922.29,3250
38047,2015-04-17,HINO,928.0,929.0,922.5,925.86,1750
38551,2015-04-20,HINO,965.0,965.0,918.0,933.74,7050
39074,2015-04-21,HINO,930.0,930.0,912.0,920.8,5500
39610,2015-04-22,HINO,925.0,930.0,921.0,926.0,2100
40138,2015-04-23,HINO,920.0,930.0,911.01,915.96,6100
40660,2015-04-24,HINO,918.0,959.0,918.0,942.38,10500
41202,2015-04-27,HINO,954.99,970.0,945.0,948.82,18800
41715,2015-04-28,HINO,950.0,953.0,946.0,949.05,9800
42234,2015-04-29,HINO,960.01,960.01,939.0,942.12,2800
42732,2015-04-30,HINO,950.0,951.0,931.0,948.81,23650
43229,2015-05-04,HINO,950.0,996.25,945.0,996.22,29550
43726,2015-05-05,HINO,1022.0,1022.0,990.0,1010.38,25800
44234,2015-05-06,HINO,1012.0,1019.99,1001.5,1007.4,13650
44736,2015-05-07,HINO,1000.0,1004.0,1000.0,1002.82,3400
45222,2015-05-08,HINO,1015.0,1052.96,1009.0,1040.05,46350
45711,2015-05-11,HINO,1044.89,1050.0,991.0,998.61,20300
46188,2015-05-12,HINO,1007.0,1039.9,990.0,1036.98,19150
46659,2015-05-13,HINO,1030.01,1040.0,1015.0,1018.43,11600
47132,2015-05-14,HINO,1030.0,1048.0,1029.0,1031.91,12650
47618,2015-05-15,HINO,1026.0,1083.5,1026.0,1070.07,43150
48102,2015-05-18,HINO,1074.44,1080.0,1060.02,1071.69,9700
48578,2015-05-20,HINO,1100.0,1123.0,1100.0,1110.77,30400
49052,2015-05-21,HINO,1113.0,1115.0,1080.0,1084.95,13050
49521,2015-05-22,HINO,1094.0,1095.0,1050.01,1058.37,15600
49995,2015-05-25,HINO,1060.0,1069.0,1005.46,1005.46,22350
50519,2015-05-27,HINO,911.0,960.0,911.0,939.65,57200
51042,2015-05-28,HINO,931.0,938.49,929.01,935.71,9250
51570,2015-05-29,HINO,931.0,954.9,931.0,940.72,13850
52128,2015-06-01,HINO,950.0,974.0,940.01,969.16,23150
52644,2015-06-02,HINO,973.99,984.0,964.95,968.64,15150
53159,2015-06-03,HINO,961.0,985.0,961.0,979.1,18350
53686,2015-06-04,HINO,980.0,990.0,974.1,979.09,16550
54200,2015-06-05,HINO,980.0,989.0,970.0,979.45,11950
54729,2015-06-08,HINO,975.0,988.0,960.0,980.29,19300
55255,2015-06-09,HINO,989.0,1029.3,980.0,981.85,26450
55774,2015-06-10,HINO,994.5,994.5,982.0,985.81,5250
56304,2015-06-12,HINO,987.49,988.0,979.01,981.4,8400
56841,2015-06-15,HINO,985.0,994.99,982.1,984.91,11250
57361,2015-06-16,HINO,991.0,991.25,979.5,980.08,11150
57894,2015-06-17,HINO,989.0,989.0,975.0,981.82,18400
58431,2015-06-18,HINO,985.0,985.0,975.0,976.02,6250
58937,2015-06-19,HINO,983.0,983.0,970.0,972.36,7500
59431,2015-06-22,HINO,974.0,975.0,960.0,968.82,34300
59971,2015-06-23,HINO,903.01,909.0,895.0,899.9,5450
60541,2015-06-24,HINO,875.0,894.99,875.0,891.32,13850
61088,2015-06-25,HINO,898.0,898.0,876.5,883.36,14200
61618,2015-06-26,HINO,883.0,883.0,870.0,878.28,3850
62156,2015-06-29,HINO,880.45,884.0,850.0,854.11,6500
62646,2015-06-30,HINO,843.0,844.55,830.0,836.59,7500
63150,2015-07-01,HINO,840.0,850.01,840.0,847.54,22200
63656,2015-07-02,HINO,850.0,859.0,840.0,854.62,45950
64156,2015-07-03,HINO,865.0,865.0,845.06,851.34,8600
64664,2015-07-06,HINO,850.0,850.0,840.1,842.56,8350
65176,2015-07-07,HINO,840.01,845.0,840.0,841.08,6100
65688,2015-07-08,HINO,841.0,854.55,841.0,843.41,9900
66201,2015-07-09,HINO,850.0,859.0,842.0,853.91,16750
66693,2015-07-10,HINO,853.03,863.0,843.0,845.78,9900
67187,2015-07-13,HINO,860.0,873.99,853.0,855.78,9650
67697,2015-07-14,HINO,841.02,856.0,841.02,849.0,53700
68216,2015-07-15,HINO,856.0,865.0,850.0,851.56,15100
68739,2015-07-16,HINO,857.0,860.0,850.0,858.64,22050
