,Date,Symbol,Open,High,Low,Close,Volume
85,2015-01-01,HIRAT,11.75,12.0,11.75,11.95,186000
581,2015-01-02,HIRAT,12.17,12.66,12.06,12.35,1664000
1112,2015-01-05,HIRAT,12.8,12.9,12.5,12.66,1152000
1619,2015-01-06,HIRAT,12.16,12.85,12.16,12.39,573000
2133,2015-01-07,HIRAT,12.47,12.85,12.4,12.76,891000
2643,2015-01-08,HIRAT,13.0,13.2,12.82,13.14,1504500
3164,2015-01-09,HIRAT,13.25,13.7,13.21,13.34,1481500
3680,2015-01-12,HIRAT,13.3,14.34,13.3,14.26,4220000
4207,2015-01-13,HIRAT,14.5,14.5,13.75,13.84,1199000
4754,2015-01-14,HIRAT,13.76,14.0,13.52,13.62,947500
5299,2015-01-15,HIRAT,13.8,13.95,13.55,13.63,1289500
5852,2015-01-16,HIRAT,13.65,13.7,13.3,13.41,630000
6376,2015-01-19,HIRAT,13.6,13.83,13.5,13.6,866000
6915,2015-01-20,HIRAT,13.56,13.75,13.45,13.54,415000
7451,2015-01-21,HIRAT,13.78,13.78,13.21,13.25,416500
7981,2015-01-22,HIRAT,13.16,13.25,12.9,12.96,452500
8496,2015-01-23,HIRAT,13.0,13.14,12.85,12.89,174000
9011,2015-01-26,HIRAT,13.02,13.15,12.65,12.69,324000
9574,2015-01-27,HIRAT,12.7,12.94,12.6,12.66,194000
10128,2015-01-28,HIRAT,12.71,12.83,12.42,12.48,330000
10676,2015-01-29,HIRAT,12.73,12.73,12.48,12.56,179000
11218,2015-01-30,HIRAT,12.5,12.7,12.3,12.34,361500
11765,2015-02-02,HIRAT,12.7,12.99,12.6,12.67,966500
12282,2015-02-03,HIRAT,12.74,12.74,12.25,12.34,421500
12805,2015-02-04,HIRAT,12.35,12.38,11.96,12.1,959000
13319,2015-02-06,HIRAT,12.33,12.57,12.2,12.4,671000
13823,2015-02-09,HIRAT,12.42,12.55,12.25,12.28,403500
14321,2015-02-10,HIRAT,12.72,12.9,12.15,12.22,1737500
14827,2015-02-11,HIRAT,12.19,12.28,12.01,12.04,266500
15338,2015-02-12,HIRAT,12.1,12.1,11.45,11.85,569000
15843,2015-02-13,HIRAT,12.0,12.05,11.7,11.81,230000
16345,2015-02-16,HIRAT,11.6,11.7,11.4,11.44,596500
16839,2015-02-17,HIRAT,11.5,11.65,11.5,11.6,82000
17342,2015-02-18,HIRAT,11.52,11.52,11.38,11.44,84000
17838,2015-02-19,HIRAT,11.51,11.85,11.51,11.74,205500
18341,2015-02-20,HIRAT,11.97,12.0,11.6,11.67,279000
18831,2015-02-23,HIRAT,11.51,11.68,11.36,11.4,305500
19364,2015-02-24,HIRAT,11.5,11.6,10.85,10.94,441000
19905,2015-02-25,HIRAT,10.85,11.09,10.4,10.44,1090000
20449,2015-02-26,HIRAT,10.55,11.03,10.55,10.96,1635000
20990,2015-02-27,HIRAT,11.11,11.23,10.65,10.78,308000
21523,2015-03-02,HIRAT,10.45,10.79,10.45,10.5,521000
22025,2015-03-03,HIRAT,10.55,10.63,10.4,10.6,49000
22527,2015-03-04,HIRAT,10.75,10.99,10.4,10.6,104500
23029,2015-03-05,HIRAT,10.59,11.0,10.45,10.95,1191500
23512,2015-03-06,HIRAT,10.66,10.87,10.6,10.66,87000
23986,2015-03-09,HIRAT,10.53,11.0,10.5,10.97,424000
24467,2015-03-10,HIRAT,10.65,10.8,10.58,10.63,77500
24953,2015-03-11,HIRAT,10.55,10.65,10.4,10.62,119000
25434,2015-03-12,HIRAT,10.52,11.05,10.5,11.0,628500
25927,2015-03-13,HIRAT,11.05,11.15,10.99,11.0,510000
26402,2015-03-16,HIRAT,10.83,10.99,10.6,10.63,93000
26885,2015-03-17,HIRAT,11.12,11.12,10.4,10.46,37500
27369,2015-03-18,HIRAT,10.5,10.6,10.15,10.25,128000
27866,2015-03-19,HIRAT,10.25,10.26,10.0,10.24,28500
28348,2015-03-20,HIRAT,10.5,10.69,10.49,10.58,43000
28816,2015-03-24,HIRAT,10.7,10.7,10.2,10.22,11500
29320,2015-03-25,HIRAT,10.25,10.25,10.05,10.1,20500
29830,2015-03-26,HIRAT,10.1,10.1,9.35,9.62,140000
30356,2015-03-27,HIRAT,9.8,9.8,9.3,9.42,123000
30892,2015-03-30,HIRAT,9.31,9.31,8.42,8.59,640500
31411,2015-03-31,HIRAT,8.95,9.59,8.9,9.59,374000
31918,2015-04-01,HIRAT,9.45,10.0,9.4,9.97,358500
32417,2015-04-02,HIRAT,9.9,10.08,9.73,10.03,654500
32926,2015-04-03,HIRAT,10.01,10.89,10.01,10.6,248000
33428,2015-04-06,HIRAT,10.5,10.63,10.3,10.44,129000
33936,2015-04-07,HIRAT,10.11,10.2,9.93,10.08,175000
34426,2015-04-08,HIRAT,10.0,10.2,10.0,10.02,89000
34919,2015-04-09,HIRAT,10.05,10.95,10.0,10.82,405500
35409,2015-04-10,HIRAT,11.0,11.82,10.62,11.47,835000
35927,2015-04-13,HIRAT,11.49,11.5,11.05,11.21,263500
36417,2015-04-14,HIRAT,10.8,11.3,10.8,11.0,256000
36889,2015-04-15,HIRAT,11.0,11.1,10.68,10.79,47500
37371,2015-04-16,HIRAT,10.98,11.0,10.48,10.61,241500
37882,2015-04-17,HIRAT,10.8,10.9,10.69,10.76,463500
38395,2015-04-20,HIRAT,10.9,11.0,10.58,10.64,101500
38930,2015-04-21,HIRAT,10.3,10.59,10.3,10.4,133000
39454,2015-04-22,HIRAT,10.26,10.5,10.0,10.35,58500
39992,2015-04-23,HIRAT,10.4,10.59,10.4,10.45,117000
40513,2015-04-24,HIRAT,10.5,10.87,10.45,10.74,68500
41046,2015-04-27,HIRAT,10.47,11.49,10.23,10.9,908500
41550,2015-04-28,HIRAT,10.99,11.3,10.86,11.15,1363500
42069,2015-04-29,HIRAT,11.0,11.0,10.6,10.7,46500
42584,2015-04-30,HIRAT,10.99,11.0,10.61,10.94,290500
43078,2015-05-04,HIRAT,10.76,10.98,10.7,10.74,691000
43579,2015-05-05,HIRAT,10.4,11.0,10.26,10.94,256000
44080,2015-05-06,HIRAT,10.99,11.25,10.81,11.0,584000
44586,2015-05-07,HIRAT,11.25,11.25,10.75,10.77,38500
45081,2015-05-08,HIRAT,10.51,11.45,10.51,11.0,608500
45557,2015-05-11,HIRAT,10.65,11.45,10.5,11.01,591000
46040,2015-05-12,HIRAT,10.3,11.0,10.3,10.9,17500
46518,2015-05-13,HIRAT,10.72,10.99,10.6,10.6,21500
46990,2015-05-14,HIRAT,10.5,10.7,10.26,10.7,81000
47473,2015-05-15,HIRAT,10.6,11.0,10.51,10.99,70500
47951,2015-05-18,HIRAT,10.61,11.8,10.6,11.45,706000
48432,2015-05-20,HIRAT,11.0,11.0,11.0,11.0,2500
48907,2015-05-21,HIRAT,11.0,11.1,10.63,10.7,28000
49380,2015-05-22,HIRAT,10.89,10.89,10.7,10.75,45000
49846,2015-05-25,HIRAT,11.0,11.09,10.9,10.91,63000
50358,2015-05-27,HIRAT,11.0,11.2,11.0,11.09,52000
50894,2015-05-28,HIRAT,11.0,11.0,10.95,11.0,8000
51421,2015-05-29,HIRAT,11.0,11.0,10.9,10.95,27000
51955,2015-06-01,HIRAT,10.8,11.45,10.8,11.29,482500
52476,2015-06-02,HIRAT,11.35,11.45,11.05,11.3,130000
53004,2015-06-03,HIRAT,11.06,11.38,11.06,11.27,49500
53521,2015-06-04,HIRAT,11.38,11.48,11.12,11.2,55500
54039,2015-06-05,HIRAT,11.12,11.7,10.98,11.52,358500
54552,2015-06-08,HIRAT,10.61,11.9,10.61,11.66,646000
55084,2015-06-09,HIRAT,11.5,11.5,11.3,11.42,151000
55606,2015-06-10,HIRAT,11.19,11.4,11.19,11.3,42000
56128,2015-06-12,HIRAT,11.0,11.6,10.98,11.22,384500
56663,2015-06-15,HIRAT,11.45,11.75,10.95,11.04,197500
57194,2015-06-16,HIRAT,11.01,11.19,10.9,11.01,93500
57719,2015-06-17,HIRAT,11.2,11.2,10.88,10.91,27500
58254,2015-06-18,HIRAT,11.0,11.91,10.95,11.91,1588000
58780,2015-06-19,HIRAT,12.35,12.35,11.56,11.6,40000
59277,2015-06-22,HIRAT,11.5,11.55,11.2,11.39,698000
59802,2015-06-23,HIRAT,11.31,11.5,11.3,11.39,39500
60364,2015-06-24,HIRAT,11.49,11.55,11.32,11.33,24500
60930,2015-06-25,HIRAT,11.5,11.6,11.2,11.22,118500
61467,2015-06-26,HIRAT,11.1,11.15,11.05,11.06,67500
62002,2015-06-29,HIRAT,11.05,11.05,10.87,11.0,66000
62497,2015-06-30,HIRAT,11.0,11.19,10.75,10.89,59500
62988,2015-07-01,HIRAT,11.0,11.18,10.85,11.14,34000
63496,2015-07-02,HIRAT,11.24,11.24,10.96,11.21,52500
64001,2015-07-03,HIRAT,11.01,11.2,11.0,11.2,34000
64498,2015-07-06,HIRAT,11.02,11.1,10.99,11.03,122500
65016,2015-07-07,HIRAT,11.05,11.5,11.01,11.19,118000
65538,2015-07-08,HIRAT,11.08,11.25,11.0,11.24,38000
66037,2015-07-09,HIRAT,11.01,11.3,11.0,11.2,70000
66547,2015-07-10,HIRAT,11.12,11.15,11.1,11.12,10000
67032,2015-07-13,HIRAT,11.02,11.3,11.01,11.12,37500
67530,2015-07-14,HIRAT,11.24,11.75,11.2,11.39,588000
68048,2015-07-15,HIRAT,11.3,12.0,11.3,11.88,384500
68571,2015-07-16,HIRAT,11.55,11.75,11.48,11.56,49500
69098,2015-07-22,HIRAT,11.4,11.86,11.4,11.77,88000
69631,2015-07-23,HIRAT,11.92,11.93,11.74,11.75,332500
70168,2015-07-24,HIRAT,11.7,11.8,11.52,11.67,103500
70692,2015-07-27,HIRAT,11.6,11.6,11.05,11.07,292000
71251,2015-07-28,HIRAT,11.1,11.3,11.1,11.12,20000
71811,2015-07-29,HIRAT,11.47,11.47,11.15,11.19,30000
72368,2015-07-30,HIRAT,11.38,11.38,10.9,11.01,162000
72915,2015-07-31,HIRAT,11.24,11.5,10.85,11.14,21500
73443,2015-08-03,HIRAT,10.95,10.95,10.95,10.95,11500
73932,2015-08-04,HIRAT,11.15,11.2,10.95,10.95,41000
74444,2015-08-05,HIRAT,10.9,11.1,10.9,10.92,20500
74959,2015-08-06,HIRAT,11.0,11.31,11.0,11.18,96000
75481,2015-08-07,HIRAT,11.06,11.5,11.02,11.31,16500
75994,2015-08-10,HIRAT,11.02,11.25,11.0,11.1,44500
76504,2015-08-11,HIRAT,11.24,11.24,11.0,11.07,30000
77030,2015-08-12,HIRAT,11.19,11.29,10.91,11.03,85500
77554,2015-08-13,HIRAT,10.93,11.6,10.93,11.48,341500
78071,2015-08-17,HIRAT,11.15,11.7,11.15,11.44,43000
78579,2015-08-18,HIRAT,11.19,11.2,11.0,11.2,83500
79085,2015-08-19,HIRAT,11.29,11.3,10.96,11.0,90500
79606,2015-08-20,HIRAT,11.1,11.51,11.1,11.12,326500
80118,2015-08-21,HIRAT,11.04,11.05,10.8,11.0,122500
80624,2015-08-24,HIRAT,10.88,10.88,10.0,10.21,35500
81173,2015-08-25,HIRAT,10.88,10.99,10.2,10.99,15500
81706,2015-08-26,HIRAT,10.89,11.0,10.62,11.0,168500
82249,2015-08-27,HIRAT,10.8,11.09,10.75,11.05,19000
82796,2015-08-28,HIRAT,11.5,11.5,11.0,11.15,45500
83351,2015-08-31,HIRAT,11.25,11.34,11.0,11.23,100500
83879,2015-09-01,HIRAT,11.06,11.18,10.42,10.92,39000
84386,2015-09-14,HIRAT,10.99,10.99,10.06,10.46,4000
84860,2015-09-15,HIRAT,9.94,10.4,9.94,10.2,32500
85341,2015-09-16,HIRAT,10.5,10.8,10.4,10.49,45500
85825,2015-09-17,HIRAT,10.8,10.96,10.49,10.56,74500
86315,2015-09-18,HIRAT,10.88,10.88,10.31,10.7,48500
86771,2015-09-21,HIRAT,10.75,10.85,10.74,10.77,8500
87263,2015-09-22,HIRAT,10.34,10.95,10.34,10.85,31000
87765,2015-09-23,HIRAT,10.8,11.11,10.8,11.11,2000
88250,2015-09-28,HIRAT,10.41,10.86,10.4,10.86,6500
88724,2015-09-29,HIRAT,10.49,10.49,10.1,10.12,26500
89191,2015-09-30,HIRAT,10.1,10.66,10.1,10.25,3000
89669,2015-10-01,HIRAT,10.26,10.4,10.2,10.31,12000
90140,2015-10-02,HIRAT,10.15,10.38,10.14,10.22,29000
90619,2015-10-05,HIRAT,10.12,10.5,10.03,10.1,18500
91113,2015-10-06,HIRAT,10.49,10.49,10.0,10.05,26500
91604,2015-10-07,HIRAT,10.0,10.3,10.0,10.28,18000
92088,2015-10-08,HIRAT,10.35,11.28,10.2,10.78,396500
92585,2015-10-09,HIRAT,11.15,11.3,10.7,10.89,237000
93089,2015-10-12,HIRAT,10.9,11.1,10.6,11.04,362500
93597,2015-10-13,HIRAT,11.0,11.02,10.7,10.71,58500
94108,2015-10-14,HIRAT,10.8,10.8,10.67,10.75,33000
94616,2015-10-15,HIRAT,10.9,11.0,10.7,10.96,99500
95111,2015-10-16,HIRAT,10.56,11.1,10.56,10.99,83000
95608,2015-10-19,HIRAT,11.22,11.4,11.0,11.01,181500
96117,2015-10-20,HIRAT,11.03,11.1,10.85,11.04,102000
96617,2015-10-21,HIRAT,11.1,11.1,10.85,10.87,34500
97121,2015-10-22,HIRAT,10.45,10.48,10.01,10.01,56500
97614,2015-10-26,HIRAT,10.0,10.03,9.9,9.93,16500
98145,2015-10-27,HIRAT,10.02,10.03,9.84,9.99,110500
98670,2015-10-28,HIRAT,10.0,10.0,9.42,9.5,65500
99214,2015-10-29,HIRAT,9.6,9.65,9.4,9.48,62500
99756,2015-10-30,HIRAT,9.51,9.51,9.36,9.36,22500
100287,2015-11-02,HIRAT,9.25,9.6,9.25,9.5,150500
100790,2015-11-03,HIRAT,9.6,10.0,9.41,10.0,299500
101285,2015-11-04,HIRAT,10.05,10.05,9.6,9.62,99000
101796,2015-11-05,HIRAT,9.61,9.61,9.5,9.52,46000
102304,2015-11-06,HIRAT,9.8,9.8,9.42,9.45,49000
102800,2015-11-09,HIRAT,9.69,9.69,9.32,9.42,59500
103288,2015-11-10,HIRAT,9.7,9.85,9.25,9.31,116000
103778,2015-11-11,HIRAT,9.25,9.25,9.13,9.2,26000
104272,2015-11-12,HIRAT,9.25,9.3,9.1,9.19,66500
104786,2015-11-13,HIRAT,9.2,9.25,9.11,9.15,13000
105277,2015-11-16,HIRAT,9.1,9.13,9.03,9.09,57500
105767,2015-11-17,HIRAT,9.18,9.2,9.15,9.19,32000
106289,2015-11-18,HIRAT,9.34,9.46,9.23,9.25,74500
106811,2015-11-19,HIRAT,9.25,9.25,9.17,9.17,1000
107300,2015-11-20,HIRAT,9.02,9.2,9.01,9.03,33500
107803,2015-11-23,HIRAT,9.35,9.39,9.04,9.16,11500
108353,2015-11-24,HIRAT,9.06,9.15,9.01,9.03,18000
108902,2015-11-25,HIRAT,9.0,9.02,8.95,8.95,30000
109435,2015-11-26,HIRAT,9.0,9.05,8.86,8.9,27500
109963,2015-11-27,HIRAT,8.82,8.89,8.76,8.84,15000
110491,2015-11-30,HIRAT,8.6,8.7,8.51,8.56,65500
110984,2015-12-01,HIRAT,8.7,8.7,8.13,8.2,58000
111479,2015-12-02,HIRAT,8.3,8.5,8.3,8.39,27000
111971,2015-12-03,HIRAT,8.45,8.46,8.3,8.3,20500
112446,2015-12-04,HIRAT,8.39,8.55,8.39,8.5,13500
112936,2015-12-07,HIRAT,8.4,8.5,8.4,8.42,3000
113416,2015-12-08,HIRAT,8.52,8.7,8.45,8.45,32500
113914,2015-12-09,HIRAT,8.46,8.6,8.4,8.49,24500
114404,2015-12-10,HIRAT,8.5,8.5,8.4,8.47,4500
114885,2015-12-14,HIRAT,8.2,8.3,8.2,8.3,1000
115358,2015-12-15,HIRAT,8.25,8.25,8.25,8.25,1000
115835,2015-12-16,HIRAT,8.03,8.44,8.03,8.41,12000
116308,2015-12-17,HIRAT,8.47,8.48,8.31,8.31,1500
116780,2015-12-18,HIRAT,8.35,8.5,8.35,8.47,9000
117250,2015-12-22,HIRAT,8.44,8.44,8.07,8.24,41500
