,Date,Symbol,Open,High,Low,Close,Volume
234,2015-01-01,HCAR,198.9,202.4,198.2,198.88,255000
755,2015-01-02,HCAR,200.99,202.01,194.65,195.42,345700
1274,2015-01-05,HCAR,196.0,196.99,191.02,191.77,396500
1781,2015-01-06,HCAR,191.0,191.75,182.71,184.25,765400
2301,2015-01-07,HCAR,184.0,189.99,180.06,184.62,796300
2814,2015-01-08,HCAR,184.8,187.35,184.2,185.66,506400
3326,2015-01-09,HCAR,186.95,187.6,176.38,179.41,461600
3852,2015-01-12,HCAR,180.0,182.0,177.0,178.0,366400
4390,2015-01-13,HCAR,177.2,186.9,177.07,186.9,1127000
4935,2015-01-14,HCAR,189.88,194.25,188.1,189.4,1505000
5482,2015-01-15,HCAR,190.0,194.25,188.2,189.91,1328900
6020,2015-01-16,HCAR,190.2,192.98,187.01,187.75,361500
6555,2015-01-19,HCAR,189.48,192.45,187.8,188.29,544500
7090,2015-01-20,HCAR,189.0,189.0,183.02,183.82,491100
7626,2015-01-21,HCAR,183.05,188.4,183.05,185.15,785200
8149,2015-01-22,HCAR,186.01,187.5,180.0,180.81,464200
8658,2015-01-23,HCAR,181.0,182.85,179.02,179.22,250400
9179,2015-01-26,HCAR,181.0,182.72,178.01,179.82,532400
9735,2015-01-27,HCAR,180.7,187.49,180.0,184.4,1520900
10293,2015-01-28,HCAR,184.0,185.48,180.51,180.94,339800
10843,2015-01-29,HCAR,181.0,182.41,178.0,178.19,231300
11377,2015-01-30,HCAR,179.43,182.7,178.9,179.25,457000
11938,2015-02-02,HCAR,180.25,181.5,177.51,178.39,209800
12453,2015-02-03,HCAR,179.69,179.69,174.4,175.13,425000
12973,2015-02-04,HCAR,174.8,183.88,174.8,183.88,884400
13477,2015-02-06,HCAR,188.9,193.07,188.15,193.07,537800
13985,2015-02-09,HCAR,200.0,202.6,194.0,194.69,1734800
14484,2015-02-10,HCAR,195.5,199.0,192.0,194.11,779800
14993,2015-02-11,HCAR,196.5,203.81,195.55,203.11,1991600
15508,2015-02-12,HCAR,204.01,213.26,204.0,213.26,2923600
16005,2015-02-13,HCAR,218.0,220.85,206.0,210.4,1732800
16501,2015-02-16,HCAR,211.5,211.75,203.21,204.96,560000
16996,2015-02-17,HCAR,204.98,215.2,204.85,214.4,1782600
17499,2015-02-18,HCAR,218.49,219.1,209.51,210.84,1197600
18003,2015-02-19,HCAR,211.8,215.9,208.6,213.72,889400
18493,2015-02-20,HCAR,214.0,216.0,208.75,210.91,842300
18982,2015-02-23,HCAR,212.0,215.52,208.5,213.91,842900
19529,2015-02-24,HCAR,215.5,219.0,211.26,212.31,1255000
20064,2015-02-25,HCAR,213.74,215.75,211.0,211.79,842100
20617,2015-02-26,HCAR,212.0,213.95,207.01,208.88,886700
21145,2015-02-27,HCAR,208.99,209.0,198.44,200.63,803900
21680,2015-03-02,HCAR,201.79,201.9,191.0,192.79,699700
22185,2015-03-03,HCAR,193.0,202.42,191.5,200.08,782700
22686,2015-03-04,HCAR,204.7,210.08,203.8,208.48,1770600
23182,2015-03-05,HCAR,208.02,210.9,204.12,205.83,1185000
23652,2015-03-06,HCAR,206.75,208.99,200.6,201.79,670700
24125,2015-03-09,HCAR,202.7,206.9,199.83,201.71,988300
24611,2015-03-10,HCAR,203.0,204.7,201.5,202.66,886300
25095,2015-03-11,HCAR,200.8,202.82,197.0,199.24,771100
25581,2015-03-12,HCAR,200.0,202.45,198.0,201.39,550100
26063,2015-03-13,HCAR,203.5,204.8,202.0,202.46,589600
26549,2015-03-16,HCAR,202.5,202.89,195.0,195.62,504300
27019,2015-03-17,HCAR,196.0,197.0,192.6,195.08,596800
27523,2015-03-18,HCAR,195.0,195.7,185.33,187.03,502300
28014,2015-03-19,HCAR,185.0,188.88,183.0,186.21,346600
28484,2015-03-20,HCAR,187.0,195.0,187.0,193.18,430400
28955,2015-03-24,HCAR,197.0,197.0,187.0,188.37,440600
29458,2015-03-25,HCAR,189.99,190.0,187.0,188.4,220100
29972,2015-03-26,HCAR,189.5,190.5,179.55,185.24,453800
30502,2015-03-27,HCAR,185.0,191.25,183.0,183.89,404700
31055,2015-03-30,HCAR,181.28,181.45,174.7,174.7,251100
31562,2015-03-31,HCAR,169.99,183.43,169.99,183.43,321500
32067,2015-04-01,HCAR,183.99,191.5,180.15,188.77,567000
32575,2015-04-02,HCAR,189.75,194.5,189.05,193.04,493800
33079,2015-04-03,HCAR,196.5,202.69,194.35,202.69,958400
33582,2015-04-06,HCAR,203.9,212.82,203.9,212.82,853400
34086,2015-04-07,HCAR,215.5,219.45,207.8,210.59,1399400
34571,2015-04-08,HCAR,211.9,212.0,204.5,206.71,473200
35062,2015-04-09,HCAR,206.85,212.88,205.65,206.58,707600
35569,2015-04-10,HCAR,207.25,210.5,205.5,205.97,682000
36080,2015-04-13,HCAR,209.75,216.26,206.62,216.26,1558000
36550,2015-04-14,HCAR,218.1,220.6,206.65,209.35,1437200
37034,2015-04-15,HCAR,211.0,216.49,210.0,214.84,1143200
37530,2015-04-16,HCAR,216.6,217.99,212.7,213.56,697800
38048,2015-04-17,HCAR,212.2,220.0,212.1,218.72,1010400
38552,2015-04-20,HCAR,219.5,228.55,215.5,223.59,1977800
39075,2015-04-21,HCAR,223.4,225.5,215.55,218.91,877200
39611,2015-04-22,HCAR,219.42,226.5,216.55,222.71,1185700
40139,2015-04-23,HCAR,223.9,226.5,220.0,220.86,1003100
40661,2015-04-24,HCAR,222.4,231.4,221.05,230.43,2047600
41203,2015-04-27,HCAR,233.8,236.3,232.0,234.41,1846900
41716,2015-04-28,HCAR,234.5,234.8,227.05,228.34,728300
42235,2015-04-29,HCAR,228.25,232.99,227.01,229.71,703100
42733,2015-04-30,HCAR,234.99,241.19,234.5,241.19,1878500
43230,2015-05-04,HCAR,244.1,249.2,241.49,243.51,2110800
43727,2015-05-05,HCAR,244.0,252.9,243.02,249.15,2043800
44235,2015-05-06,HCAR,252.99,257.0,251.99,252.47,1330100
44737,2015-05-07,HCAR,252.89,253.99,248.01,249.07,870500
45223,2015-05-08,HCAR,249.1,260.99,246.0,257.88,2464200
45712,2015-05-11,HCAR,256.0,261.0,245.01,246.76,2448100
46189,2015-05-12,HCAR,245.55,254.0,244.0,250.0,1487700
46660,2015-05-13,HCAR,252.5,253.5,245.5,246.27,931900
