,Date,Symbol,Open,High,Low,Close,Volume
182728,2016-08-01,HSM,27.5,28.0,26.4,26.67,41000
183232,2016-08-02,HSM,26.15,28.0,26.12,28.0,48000
183754,2016-08-03,HSM,28.5,29.4,28.0,29.34,82000
184273,2016-08-04,HSM,29.75,30.0,28.01,29.43,87000
184781,2016-08-05,HSM,28.71,29.5,28.45,29.0,8000
185289,2016-08-08,HSM,28.0,29.5,27.9,28.11,30500
185807,2016-08-09,HSM,29.39,29.39,27.5,27.59,25500
186326,2016-08-11,HSM,26.4,26.79,25.01,25.32,212500
186851,2016-08-12,HSM,25.59,26.4,25.11,25.6,54500
187374,2016-08-15,HSM,25.99,26.8,25.1,26.61,140500
187893,2016-08-16,HSM,26.75,26.8,25.5,25.67,75500
188429,2016-08-17,HSM,25.5,26.21,25.41,25.6,13500
188957,2016-08-18,HSM,25.5,25.5,25.0,25.05,40000
189464,2016-08-19,HSM,25.1,26.3,25.09,25.61,82500
189970,2016-08-22,HSM,25.32,24.33,24.33,24.64,394500
190513,2016-08-23,HSM,24.5,24.94,23.41,23.51,275500
191073,2016-08-24,HSM,23.65,24.67,22.86,24.17,131500
191640,2016-08-26,HSM,22.27,23.5,21.89,22.01,130500
192232,2016-08-29,HSM,22.4,22.58,21.7,21.96,99000
192790,2016-09-01,HSM,21.99,21.99,21.2,21.33,61500
193336,2016-09-02,HSM,20.65,21.68,20.65,21.26,39500
193872,2016-09-05,HSM,21.87,22.32,21.61,22.32,86000
194408,2016-09-06,HSM,23.0,23.4,22.5,23.22,207500
194965,2016-09-07,HSM,23.45,23.5,22.5,22.74,82500
195528,2016-09-08,HSM,23.1,23.59,22.36,22.56,101500
196088,2016-09-09,HSM,22.8,22.85,22.01,22.44,33500
196637,2016-09-15,HSM,22.65,22.69,21.71,22.41,24000
197198,2016-09-19,HSM,22.0,23.0,21.81,22.88,101000
197761,2016-09-20,HSM,23.0,23.28,22.4,23.13,59000
198314,2016-09-21,HSM,23.15,23.5,21.98,22.05,120500
198870,2016-09-22,HSM,22.5,22.68,22.37,22.38,33500
199422,2016-09-26,HSM,22.51,22.84,21.5,22.41,28500
200022,2016-09-27,HSM,22.02,22.35,22.0,22.34,15000
200614,2016-09-28,HSM,22.34,22.34,21.91,22.19,4000
201224,2016-09-29,HSM,22.1,22.29,21.09,21.23,129000
201820,2016-09-30,HSM,21.97,21.97,21.2,21.5,15000
202435,2016-10-03,HSM,21.7,21.8,20.6,20.96,144500
203001,2016-10-04,HSM,20.6,21.4,20.6,21.07,63500
203567,2016-10-05,HSM,21.0,22.12,21.0,22.1,128500
204142,2016-10-06,HSM,22.55,23.04,22.0,22.98,170000
204711,2016-10-07,HSM,23.3,24.0,22.73,23.1,173000
205278,2016-10-10,HSM,22.65,23.39,22.01,22.63,232500
205857,2016-10-13,HSM,22.51,22.98,22.5,22.73,45000
206421,2016-10-14,HSM,22.2,22.86,22.2,22.69,26000
206986,2016-10-17,HSM,22.66,22.7,22.3,22.32,26000
207555,2016-10-18,HSM,22.4,22.4,21.35,21.59,68500
208117,2016-10-19,HSM,21.36,22.14,21.36,21.74,60000
208681,2016-10-20,HSM,21.99,22.15,21.66,21.81,49000
209234,2016-10-21,HSM,22.25,22.44,21.82,22.08,162500
209789,2016-10-24,HSM,22.05,22.05,21.65,21.9,32000
210371,2016-10-25,HSM,21.21,21.69,21.01,21.32,46000
210950,2016-10-26,HSM,21.59,21.88,21.36,21.69,80000
211538,2016-10-27,HSM,21.5,21.5,20.61,20.64,158000
212123,2016-10-28,HSM,19.7,20.4,19.61,20.2,19000
212708,2016-10-31,HSM,20.46,20.47,19.5,19.97,24500
213260,2016-11-01,HSM,20.0,20.94,20.0,20.77,80500
213824,2016-11-02,HSM,21.15,21.4,20.72,20.87,73500
214387,2016-11-03,HSM,21.1,21.52,21.1,21.4,95500
214936,2016-11-07,HSM,23.59,23.59,23.59,23.59,18500
215500,2016-11-08,HSM,24.76,24.76,24.76,24.76,21500
216049,2016-11-09,HSM,25.49,25.99,23.8,25.99,454500
216608,2016-11-10,HSM,27.28,27.28,27.28,27.28,48500
217171,2016-11-11,HSM,28.64,28.64,27.0,27.66,485500
217719,2016-11-14,HSM,27.31,27.99,26.28,26.28,221000
218261,2016-11-15,HSM,25.55,26.24,25.15,26.03,102000
218795,2016-11-15,HSM,25.55,26.24,25.15,26.03,102000
219341,2016-11-16,HSM,26.26,27.33,25.51,27.33,272000
219885,2016-11-17,HSM,28.39,28.69,27.51,28.69,267000
220435,2016-11-18,HSM,29.0,30.12,29.0,30.12,159000
220965,2016-11-21,HSM,31.62,31.62,31.62,31.62,39000
221556,2016-11-22,HSM,33.2,33.2,31.0,33.2,525500
222150,2016-11-23,HSM,34.7,34.7,32.8,33.73,269000
222749,2016-11-24,HSM,33.9,34.2,32.06,32.13,376500
223344,2016-11-25,HSM,33.0,33.4,31.17,31.42,158500
223947,2016-11-28,HSM,31.5,31.9,31.25,31.71,46500
224504,2016-11-29,HSM,31.89,33.2,31.7,31.71,46500
225057,2016-11-30,HSM,32.0,32.45,31.75,32.12,80000
225606,2016-12-01,HSM,32.01,32.5,31.75,31.98,37500
226159,2016-12-02,HSM,31.65,32.7,31.65,31.69,14000
226702,2016-12-05,HSM,31.25,32.3,30.5,30.8,38500
227257,2016-12-06,HSM,30.6,31.9,30.26,30.56,39000
227810,2016-12-07,HSM,30.9,30.9,30.0,30.13,57000
228353,2016-12-08,HSM,30.01,30.1,29.01,29.26,55000
228894,2016-12-09,HSM,28.75,29.5,28.31,28.89,82500
229442,2016-12-13,HSM,29.0,29.19,28.68,28.85,59500
229993,2016-12-14,HSM,28.5,28.75,28.35,28.54,31000
230539,2016-12-15,HSM,28.05,28.49,27.5,27.7,71000
231075,2016-12-16,HSM,27.05,27.5,27.0,27.31,42500
231615,2016-12-19,HSM,27.6,28.63,27.4,28.13,25500
232171,2016-12-20,HSM,28.7,29.53,28.7,29.53,40000
232715,2016-12-21,HSM,30.98,31.0,30.5,31.0,132000
233252,2016-12-22,HSM,32.55,32.55,31.0,31.1,156500
233785,2016-12-23,HSM,31.5,31.6,30.1,30.28,30000
234298,2016-12-26,HSM,30.1,31.0,30.1,30.33,13000
234861,2016-12-27,HSM,30.5,30.99,30.01,30.32,23000
235443,2016-12-28,HSM,30.05,31.0,30.0,30.51,61500
236026,2016-12-29,HSM,30.41,30.8,30.4,30.62,42000
236605,2016-12-30,HSM,30.4,30.73,29.7,30.06,22500
237181,2017-06-01,HSM,68.98,71.0,67.06,67.06,135000
237673,2017-06-02,HSM,50.92,56.2,50.92,52.82,89500
238167,2017-06-05,HSM,55.39,55.46,54.45,55.46,88000
238660,2017-06-06,HSM,58.23,58.23,57.0,58.23,93500
239143,2017-06-07,HSM,61.14,61.14,61.0,61.14,36000
239634,2017-06-08,HSM,64.19,64.19,64.19,64.19,22000
240116,2017-06-09,HSM,67.39,67.39,67.39,67.39,32500
240602,2017-06-12,HSM,66.9,66.9,64.03,64.03,53000
241096,2017-06-13,HSM,60.83,63.85,60.83,60.95,188500
241579,2017-06-14,HSM,60.7,62.0,57.91,57.91,33000
242051,2017-06-15,HSM,55.09,55.09,55.02,55.02,4500
242505,2017-06-16,HSM,52.29,57.63,52.27,52.27,101500
242960,2017-06-19,HSM,49.66,51.49,49.66,49.78,157500
243452,2017-06-20,HSM,47.87,49.49,47.3,47.3,41000
243955,2017-06-21,HSM,44.94,45.0,44.94,44.94,11000
244455,2017-06-22,HSM,43.2,46.99,42.7,43.04,149500
244941,2017-06-29,HSM,41.75,41.75,40.89,40.9,40000
245449,2017-06-30,HSM,41.8,42.94,40.05,42.94,16000
245952,2017-06-02,HSM,50.92,56.2,50.92,52.82,89500
246446,2017-06-05,HSM,55.39,55.46,54.45,55.46,88000
246939,2017-06-06,HSM,58.23,58.23,57.0,58.23,93500
247422,2017-06-07,HSM,61.14,61.14,61.0,61.14,36000
247913,2017-06-08,HSM,64.19,64.19,64.19,64.19,22000
248395,2017-06-09,HSM,67.39,67.39,67.39,67.39,32500
248881,2017-06-12,HSM,66.9,66.9,64.03,64.03,53000
249375,2017-06-13,HSM,60.83,63.85,60.83,60.95,188500
249858,2017-06-14,HSM,60.7,62.0,57.91,57.91,33000
