,Date,Symbol,Open,High,Low,Close,Volume
304,2015-01-01,IBLHL,,147.9,145.15,147.0,9000
833,2015-01-02,IBLHL,148.0,152.5,147.0,149.19,19200
1351,2015-01-05,IBLHL,145.01,152.1,145.01,146.71,24900
1857,2015-01-06,IBLHL,146.76,149.0,146.0,147.09,14200
2376,2015-01-07,IBLHL,145.71,149.2,144.51,145.01,20100
2890,2015-01-08,IBLHL,146.0,147.4,144.0,144.84,10700
3404,2015-01-09,IBLHL,144.51,145.99,143.0,143.73,10200
3931,2015-01-12,IBLHL,143.0,149.89,143.0,146.13,48100
4469,2015-01-13,IBLHL,147.1,148.0,146.05,146.43,23400
5012,2015-01-14,IBLHL,146.01,152.0,146.01,149.07,73100
5562,2015-01-15,IBLHL,146.25,150.5,146.25,146.99,39100
6095,2015-01-16,IBLHL,145.57,147.99,145.26,145.8,13600
6630,2015-01-19,IBLHL,144.6,147.0,144.51,144.84,34700
7168,2015-01-20,IBLHL,146.0,146.0,143.5,145.6,18900
7705,2015-01-21,IBLHL,145.01,146.9,145.0,146.2,20000
8226,2015-01-22,IBLHL,144.1,145.0,143.02,144.01,29300
8734,2015-01-23,IBLHL,144.0,147.0,143.5,144.5,14700
9259,2015-01-26,IBLHL,146.0,149.99,144.3,148.23,47800
9814,2015-01-27,IBLHL,149.4,155.64,149.4,153.14,142400
10371,2015-01-28,IBLHL,154.5,154.6,151.0,151.42,26000
10919,2015-01-29,IBLHL,150.0,154.0,150.0,151.77,11300
11454,2015-01-30,IBLHL,153.89,153.9,151.01,151.64,9700
12015,2015-02-02,IBLHL,153.49,154.0,151.0,151.26,8900
12531,2015-02-03,IBLHL,151.01,152.99,151.0,151.35,27900
13050,2015-02-04,IBLHL,153.0,153.5,151.0,151.05,24100
13551,2015-02-06,IBLHL,150.2,152.0,150.0,150.58,8400
14060,2015-02-09,IBLHL,151.25,156.48,143.06,143.06,93900
14562,2015-02-10,IBLHL,137.8,139.49,135.91,135.91,139200
15070,2015-02-11,IBLHL,136.0,136.75,129.12,129.18,73700
15584,2015-02-12,IBLHL,129.0,129.0,122.8,124.19,66700
16082,2015-02-13,IBLHL,124.1,130.0,124.1,128.9,19300
16574,2015-02-16,IBLHL,129.5,134.0,129.0,132.83,62600
17075,2015-02-17,IBLHL,134.48,137.58,133.05,136.44,101600
17573,2015-02-18,IBLHL,135.11,135.11,132.1,132.86,10700
18077,2015-02-19,IBLHL,131.0,131.0,126.5,127.65,24400
18569,2015-02-20,IBLHL,128.56,129.49,128.0,128.0,4500
19060,2015-02-23,IBLHL,128.2,130.98,126.67,127.21,16400
19607,2015-02-24,IBLHL,127.02,128.49,126.0,127.01,7500
20142,2015-02-25,IBLHL,122.0,130.0,122.0,127.0,3100
20692,2015-02-26,IBLHL,128.0,128.75,125.0,127.0,10500
21223,2015-02-27,IBLHL,125.5,127.0,125.0,126.37,5000
21760,2015-03-02,IBLHL,125.52,126.0,122.0,123.19,10000
22261,2015-03-03,IBLHL,122.0,124.5,122.0,122.24,3300
22764,2015-03-04,IBLHL,122.6,124.98,122.15,122.34,2300
23256,2015-03-05,IBLHL,122.55,123.01,119.0,119.45,12900
23729,2015-03-06,IBLHL,119.5,121.0,113.6,119.31,21900
24197,2015-03-09,IBLHL,120.0,120.0,116.0,116.5,11000
24684,2015-03-10,IBLHL,115.0,115.15,110.76,110.86,18900
25167,2015-03-11,IBLHL,109.49,109.5,105.32,105.32,29500
25663,2015-03-12,IBLHL,108.0,110.58,106.0,107.41,18200
26141,2015-03-13,IBLHL,109.9,112.78,109.9,112.78,19900
