,Date,Symbol,Open,High,Low,Close,Volume
282,2015-01-01,ICI,463.0,467.0,463.0,465.7,3100
809,2015-01-02,ICI,465.0,483.97,462.01,478.0,14500
1327,2015-01-05,ICI,490.0,501.9,480.0,501.9,34950
1834,2015-01-06,ICI,502.5,514.0,480.0,495.41,48300
2354,2015-01-07,ICI,499.0,499.9,490.06,496.58,10550
2866,2015-01-08,ICI,495.0,508.0,490.04,501.8,27650
3380,2015-01-09,ICI,506.75,506.75,497.0,497.64,13800
3904,2015-01-12,ICI,501.0,518.99,495.03,517.63,137200
4444,2015-01-13,ICI,520.0,520.0,509.25,512.9,9350
4989,2015-01-14,ICI,509.02,514.5,509.02,512.5,4600
5536,2015-01-15,ICI,510.01,528.0,510.0,513.0,20800
6073,2015-01-16,ICI,515.0,515.0,508.0,509.17,3900
6607,2015-01-19,ICI,510.0,514.0,503.0,504.16,14350
7143,2015-01-20,ICI,505.0,509.5,500.5,501.79,16300
7680,2015-01-21,ICI,509.0,509.0,496.0,496.86,18500
8201,2015-01-22,ICI,495.0,498.0,486.0,488.02,5300
8710,2015-01-23,ICI,495.0,496.94,478.0,481.67,2100
9233,2015-01-26,ICI,499.0,502.0,490.0,501.3,20100
9789,2015-01-27,ICI,495.0,502.0,495.0,495.92,34100
10347,2015-01-28,ICI,495.01,498.98,485.0,489.02,6850
10897,2015-01-29,ICI,489.02,495.0,489.02,491.0,1450
11431,2015-01-30,ICI,494.0,494.29,482.0,485.87,8100
11991,2015-02-02,ICI,490.0,492.98,483.0,484.8,15150
12507,2015-02-03,ICI,494.88,500.0,485.0,487.0,8050
13026,2015-02-04,ICI,483.02,486.98,483.02,485.0,3000
13528,2015-02-06,ICI,489.99,489.99,481.0,481.42,1350
14038,2015-02-09,ICI,484.95,488.0,479.0,479.25,9350
14538,2015-02-10,ICI,477.5,477.5,471.02,476.99,2600
15047,2015-02-11,ICI,480.0,484.73,480.0,480.0,1900
15561,2015-02-12,ICI,470.01,474.99,462.02,463.73,17850
16058,2015-02-13,ICI,467.07,468.0,460.0,460.0,4000
16554,2015-02-16,ICI,455.06,472.0,455.0,469.92,5000
17052,2015-02-17,ICI,463.02,465.0,456.1,464.1,3200
17548,2015-02-18,ICI,465.0,465.0,450.0,450.67,5600
18057,2015-02-19,ICI,450.0,460.98,450.0,460.0,6700
18545,2015-02-20,ICI,480.99,480.99,450.13,462.52,11350
19034,2015-02-23,ICI,462.11,463.0,449.99,452.62,6100
19583,2015-02-24,ICI,452.5,470.0,450.0,453.24,14550
20118,2015-02-25,ICI,459.98,459.98,450.1,452.62,3200
20669,2015-02-26,ICI,459.98,460.0,450.0,452.05,4800
21199,2015-02-27,ICI,452.02,453.0,450.0,450.02,2800
21735,2015-03-02,ICI,460.0,460.0,441.0,449.49,5700
22239,2015-03-03,ICI,441.1,450.0,439.5,446.92,4650
22741,2015-03-04,ICI,446.0,450.0,442.0,442.42,950
23233,2015-03-05,ICI,440.05,445.47,440.05,445.47,7500
23705,2015-03-06,ICI,435.0,445.0,420.01,443.4,9250
24176,2015-03-09,ICI,435.1,440.99,430.0,440.0,6700
24663,2015-03-10,ICI,442.0,447.0,435.5,440.0,6150
25147,2015-03-11,ICI,444.15,444.15,429.0,435.0,5100
25637,2015-03-12,ICI,435.0,435.0,432.0,435.0,2950
26118,2015-03-13,ICI,437.0,456.75,437.0,451.0,6000
26601,2015-03-16,ICI,441.0,448.01,440.0,442.1,1300
27073,2015-03-17,ICI,445.0,450.0,445.0,446.08,2850
27577,2015-03-18,ICI,446.0,448.0,423.78,425.1,9250
28064,2015-03-19,ICI,425.0,429.0,417.1,421.79,2050
28533,2015-03-20,ICI,420.01,428.97,418.98,422.13,2900
29006,2015-03-24,ICI,425.0,429.95,413.6,422.48,300
29509,2015-03-25,ICI,403.0,413.0,403.0,409.08,1900
30024,2015-03-26,ICI,408.89,408.89,388.63,393.54,3850
30556,2015-03-27,ICI,390.0,390.0,383.5,385.67,4000
31111,2015-03-30,ICI,366.39,380.0,366.39,366.39,9700
31618,2015-03-31,ICI,379.0,384.7,379.0,384.63,40500
32121,2015-04-01,ICI,381.0,395.0,379.01,386.14,87000
32628,2015-04-02,ICI,388.0,389.0,380.0,385.02,21000
33135,2015-04-03,ICI,389.0,400.0,384.0,391.09,52750
33638,2015-04-06,ICI,391.0,395.0,391.0,393.86,54750
34138,2015-04-07,ICI,394.99,410.9,391.5,407.44,587250
34624,2015-04-08,ICI,409.9,421.0,408.0,408.91,90800
35115,2015-04-09,ICI,412.99,412.99,401.5,403.7,18550
35623,2015-04-10,ICI,401.5,408.0,391.0,402.08,16550
36131,2015-04-13,ICI,401.0,402.0,397.0,398.54,15400
36601,2015-04-14,ICI,398.02,399.5,386.05,394.74,16700
37086,2015-04-15,ICI,391.0,394.9,390.0,392.94,5450
37582,2015-04-16,ICI,394.95,407.5,394.95,397.88,72250
38102,2015-04-17,ICI,400.0,406.7,395.0,401.21,75200
38605,2015-04-20,ICI,404.5,409.0,399.0,399.6,246000
39127,2015-04-21,ICI,396.01,401.0,395.11,397.56,15100
39664,2015-04-22,ICI,400.0,417.43,398.0,417.43,185550
40190,2015-04-23,ICI,428.0,431.5,418.0,421.47,100400
40715,2015-04-24,ICI,418.3,433.0,410.1,422.45,36100
41256,2015-04-27,ICI,424.99,425.0,418.1,419.54,24700
41770,2015-04-28,ICI,418.0,425.0,418.0,421.77,20400
42289,2015-04-29,ICI,420.0,434.25,419.1,419.9,78800
42787,2015-04-30,ICI,417.5,417.5,415.0,415.0,3400
43283,2015-05-04,ICI,415.0,416.0,409.0,410.4,8600
43781,2015-05-05,ICI,410.1,410.1,404.53,405.86,6200
44288,2015-05-06,ICI,409.0,410.0,405.2,406.08,9850
44790,2015-05-07,ICI,402.01,404.0,400.0,400.01,11700
45274,2015-05-08,ICI,400.0,400.99,395.01,399.96,12350
45764,2015-05-11,ICI,398.0,398.0,380.52,382.07,9850
46241,2015-05-12,ICI,385.01,388.98,382.2,387.8,750
46712,2015-05-13,ICI,389.0,392.0,385.5,391.0,1950
47187,2015-05-14,ICI,395.0,395.0,392.0,392.0,2750
47668,2015-05-15,ICI,387.03,392.0,387.0,389.51,200
48155,2015-05-18,ICI,398.99,398.99,389.95,389.95,850
48630,2015-05-20,ICI,386.0,386.0,383.0,385.0,4550
49105,2015-05-21,ICI,385.0,394.28,385.0,392.76,1000
50043,2015-05-25,ICI,401.0,401.0,392.25,396.5,12050
50571,2015-05-27,ICI,390.0,392.88,387.0,388.04,3900
51095,2015-05-28,ICI,385.2,399.0,370.7,384.36,21800
51622,2015-05-29,ICI,390.0,390.0,387.0,387.5,3150
52180,2015-06-01,ICI,391.99,391.99,388.0,391.25,850
52701,2015-06-02,ICI,395.0,395.74,390.6,394.55,7100
53217,2015-06-03,ICI,392.0,409.0,392.0,403.8,48800
53742,2015-06-04,ICI,405.0,420.0,403.95,414.74,200800
54254,2015-06-05,ICI,415.5,420.1,410.0,411.26,52200
54785,2015-06-08,ICI,405.0,415.0,391.0,410.17,51900
55310,2015-06-09,ICI,405.0,414.0,405.0,410.57,53500
55830,2015-06-10,ICI,411.0,413.7,408.5,411.85,11500
56356,2015-06-12,ICI,414.0,423.0,411.0,421.27,153600
56896,2015-06-15,ICI,421.0,437.99,421.0,432.38,279200
57418,2015-06-16,ICI,434.56,453.99,434.56,449.69,350400
57950,2015-06-17,ICI,450.0,452.0,440.0,448.88,117000
58486,2015-06-18,ICI,447.9,451.89,442.0,446.25,99750
58992,2015-06-19,ICI,446.0,446.0,440.0,440.19,13450
59482,2015-06-22,ICI,440.0,440.0,428.0,438.18,27750
60027,2015-06-23,ICI,438.0,440.0,435.0,436.24,20750
60596,2015-06-24,ICI,430.0,446.99,429.0,434.32,45700
61141,2015-06-25,ICI,435.0,435.0,429.99,434.6,30950
61673,2015-06-26,ICI,425.02,433.0,425.0,429.5,5500
62209,2015-06-29,ICI,429.52,432.5,422.01,426.0,1800
62700,2015-06-30,ICI,421.15,429.99,421.1,428.87,19700
63202,2015-07-01,ICI,430.0,439.0,429.0,429.79,12000
63710,2015-07-02,ICI,431.0,435.0,430.0,434.56,21500
64210,2015-07-03,ICI,436.0,450.0,436.0,447.08,103700
64719,2015-07-06,ICI,446.0,463.5,446.0,461.24,135000
65232,2015-07-07,ICI,463.0,475.0,460.0,468.96,78100
65740,2015-07-08,ICI,465.02,468.75,460.0,460.91,10900
66255,2015-07-09,ICI,453.01,460.0,453.0,456.73,16900
66746,2015-07-10,ICI,456.0,466.0,456.0,461.74,43200
67241,2015-07-13,ICI,468.0,475.0,468.0,469.47,53200
67751,2015-07-14,ICI,469.0,478.75,468.0,473.58,49500
68271,2015-07-15,ICI,472.0,486.5,472.0,480.29,45500
68792,2015-07-16,ICI,484.5,489.74,481.01,488.14,21900
69327,2015-07-22,ICI,488.14,488.14,480.05,481.29,26800
69865,2015-07-23,ICI,478.0,481.0,475.01,478.82,24400
70391,2015-07-24,ICI,478.5,481.5,475.0,480.37,31500
70923,2015-07-27,ICI,478.0,479.95,470.0,470.97,13900
71470,2015-07-28,ICI,470.0,472.0,468.0,468.02,3600
72039,2015-07-29,ICI,472.0,473.99,468.0,468.06,1600
72585,2015-07-30,ICI,475.0,488.0,475.0,484.76,42100
73126,2015-07-31,ICI,489.0,489.0,480.0,480.65,3200
73651,2015-08-03,ICI,478.5,483.49,478.5,479.99,5800
74146,2015-08-04,ICI,480.0,480.0,475.0,476.0,7200
74665,2015-08-05,ICI,475.0,490.0,475.0,488.99,64100
75187,2015-08-06,ICI,495.0,512.8,494.0,505.77,153300
75708,2015-08-07,ICI,509.0,516.0,505.0,505.86,121700
76216,2015-08-10,ICI,513.99,521.01,508.0,516.09,84700
76740,2015-08-11,ICI,523.0,524.0,513.01,520.27,36900
77255,2015-08-12,ICI,522.99,546.28,521.0,546.28,301900
77782,2015-08-13,ICI,556.49,564.97,552.0,555.79,145500
78285,2015-08-17,ICI,566.94,566.94,550.01,559.79,79700
78798,2015-08-18,ICI,560.25,565.0,545.45,552.81,74100
79315,2015-08-19,ICI,555.0,557.5,532.5,535.11,37100
79832,2015-08-20,ICI,522.05,539.0,510.17,522.92,28900
80332,2015-08-21,ICI,520.0,525.0,500.0,514.97,35300
80847,2015-08-24,ICI,496.0,505.0,489.23,489.23,24700
81379,2015-08-25,ICI,504.0,512.0,498.5,508.08,65500
81925,2015-08-26,ICI,509.0,509.0,495.25,498.1,10000
82468,2015-08-27,ICI,500.01,506.5,500.0,504.82,17500
83020,2015-08-28,ICI,505.5,525.0,505.5,521.24,35300
83578,2015-08-31,ICI,525.0,538.99,525.0,537.16,65000
84097,2015-09-01,ICI,535.0,537.0,523.0,524.83,30800
84579,2015-09-14,ICI,515.0,515.0,500.0,501.8,29500
85058,2015-09-15,ICI,501.0,503.0,495.0,495.89,5200
85537,2015-09-16,ICI,495.0,505.0,489.01,492.86,6400
86034,2015-09-17,ICI,498.98,500.0,493.1,493.76,2200
86493,2015-09-18,ICI,490.01,499.0,490.0,494.99,19900
86952,2015-09-21,ICI,499.99,500.0,490.0,490.07,9300
87456,2015-09-22,ICI,496.0,496.0,490.01,494.37,1600
87951,2015-09-23,ICI,497.0,499.99,492.0,499.99,2600
88445,2015-09-28,ICI,494.5,495.0,490.05,491.04,2600
88920,2015-09-29,ICI,480.5,490.5,476.0,487.71,9600
89389,2015-09-30,ICI,481.0,492.0,480.01,481.29,6500
89865,2015-10-01,ICI,480.05,489.0,479.95,480.28,16300
90338,2015-10-02,ICI,480.0,486.0,479.5,483.93,291100
90822,2015-10-05,ICI,494.35,495.0,486.0,489.59,8500
91325,2015-10-06,ICI,494.99,507.91,490.0,494.53,22400
91808,2015-10-07,ICI,492.01,505.0,491.0,503.26,29900
92299,2015-10-08,ICI,505.0,520.0,504.0,518.52,23800
92802,2015-10-09,ICI,520.0,529.0,520.0,522.76,17800
93312,2015-10-12,ICI,521.5,521.5,515.01,518.25,5600
93820,2015-10-13,ICI,511.26,518.25,505.0,509.8,64300
94328,2015-10-14,ICI,506.05,510.0,497.0,498.57,7400
94824,2015-10-15,ICI,499.98,512.0,499.98,505.03,22000
95319,2015-10-16,ICI,509.0,509.0,501.0,506.99,1300
95827,2015-10-19,ICI,508.9,519.34,504.0,515.36,18500
96329,2015-10-20,ICI,518.0,524.99,508.0,509.84,53500
96827,2015-10-21,ICI,510.05,515.0,510.0,513.94,3300
97329,2015-10-22,ICI,515.0,533.0,515.0,515.89,68900
97819,2015-10-26,ICI,510.11,524.95,508.0,510.45,5300
98339,2015-10-27,ICI,510.0,519.74,507.1,509.22,10600
98881,2015-10-28,ICI,511.0,511.0,503.5,504.41,3500
99425,2015-10-29,ICI,509.99,510.0,508.0,509.0,500
99960,2015-10-30,ICI,503.0,506.0,500.01,504.05,15400
100501,2015-11-02,ICI,505.05,506.0,505.0,505.19,2100
100987,2015-11-03,ICI,504.85,509.0,504.85,505.61,3900
101497,2015-11-04,ICI,504.5,507.0,502.0,505.51,4200
102010,2015-11-05,ICI,505.0,506.0,505.0,505.45,5700
102510,2015-11-06,ICI,505.0,506.5,503.0,505.1,6900
102995,2015-11-09,ICI,504.0,504.94,500.0,504.94,17200
103484,2015-11-10,ICI,504.0,504.0,495.0,498.0,3300
103972,2015-11-11,ICI,498.0,504.95,490.5,499.5,2300
104490,2015-11-12,ICI,500.1,509.9,494.0,506.99,10700
104991,2015-11-13,ICI,499.1,508.0,499.0,500.1,53400
105470,2015-11-16,ICI,500.22,505.0,500.22,505.0,200
105990,2015-11-17,ICI,505.0,506.0,502.0,503.99,500
106518,2015-11-18,ICI,500.0,500.0,495.0,498.0,5500
107014,2015-11-19,ICI,499.99,499.99,495.0,495.01,3000
108021,2015-11-23,ICI,490.01,495.0,490.01,495.0,500
108566,2015-11-24,ICI,490.02,490.17,485.0,485.74,1900
109105,2015-11-25,ICI,480.0,484.75,475.01,476.72,1800
109640,2015-11-26,ICI,498.0,498.0,480.0,487.0,7600
110162,2015-11-27,ICI,481.0,496.0,480.01,494.27,8500
110692,2015-11-30,ICI,486.01,494.99,486.0,492.51,3700
111193,2015-12-01,ICI,490.0,490.0,485.5,486.0,1600
111684,2015-12-02,ICI,485.01,494.99,485.0,490.0,27500
112165,2015-12-03,ICI,487.0,487.0,465.5,484.99,40800
112650,2015-12-04,ICI,477.51,484.94,477.5,480.18,11400
113135,2015-12-07,ICI,481.0,482.0,480.0,480.0,3000
113622,2015-12-08,ICI,478.0,484.99,478.0,481.75,2700
114123,2015-12-09,ICI,480.02,484.95,480.0,482.0,11000
114611,2015-12-10,ICI,483.0,484.0,480.01,480.69,2800
115081,2015-12-14,ICI,480.0,482.39,480.0,482.39,200
115550,2015-12-15,ICI,480.01,481.01,480.0,481.01,800
116021,2015-12-16,ICI,480.44,484.45,480.0,480.01,1900
116503,2015-12-17,ICI,480.01,484.9,480.0,484.9,1700
116971,2015-12-18,ICI,483.0,488.9,480.0,483.64,3700
117441,2015-12-22,ICI,489.94,489.94,489.94,489.94,200
117952,2015-12-23,ICI,481.1,483.0,475.75,483.0,7200
118461,2015-12-28,ICI,494.79,494.79,478.4,487.84,800
118943,2015-12-29,ICI,488.0,488.0,484.0,485.0,15200
119411,2015-12-30,ICI,480.0,480.0,476.05,480.0,1900
119874,2015-12-31,ICI,480.0,499.0,477.99,484.02,12000
120339,2016-01-01,ICI,484.0,484.0,476.0,478.95,2200
120803,2016-01-05,ICI,470.05,485.0,470.02,480.0,2400
121256,2016-01-06,ICI,480.01,480.01,479.0,479.9,3600
121733,2016-01-07,ICI,481.0,481.0,481.0,481.0,200
122193,2016-01-11,ICI,460.15,468.68,460.15,462.0,4700
122645,2016-01-12,ICI,455.0,455.0,455.0,455.0,300
123106,2016-01-13,ICI,460.0,465.0,453.01,459.03,1000
123603,2016-01-14,ICI,455.0,455.0,442.0,442.3,900
124072,2016-01-15,ICI,444.99,445.0,444.99,445.0,1700
124554,2016-01-18,ICI,424.0,439.5,423.0,439.5,1900
125026,2016-01-19,ICI,454.0,454.0,454.0,454.0,400
125474,2016-01-20,ICI,445.0,453.95,445.0,452.16,500
125941,2016-01-21,ICI,468.0,468.0,445.0,454.0,1400
126392,2016-01-22,ICI,464.5,464.5,440.0,455.0,1800
126855,2016-01-25,ICI,441.01,449.5,441.0,443.01,500
127332,2016-01-26,ICI,437.0,439.99,435.0,436.4,500
127840,2016-01-27,ICI,442.99,442.99,437.01,440.0,800
128339,2016-01-28,ICI,445.85,445.98,440.01,440.01,500
128824,2016-01-29,ICI,440.0,457.0,440.0,442.02,500
129318,2016-02-01,ICI,442.02,445.0,442.02,445.0,300
