,Date,Symbol,Open,High,Low,Close,Volume
54637,2015-06-08,IMSL,0.0,4.75,4.75,4.99,500
55163,2015-06-09,IMSL,4.72,5.4,4.72,5.15,64000
55685,2015-06-10,IMSL,5.0,5.2,4.95,4.98,13000
56216,2015-06-12,IMSL,5.16,5.35,5.1,5.12,8000
56754,2015-06-15,IMSL,5.05,5.24,5.0,5.0,51500
57275,2015-06-16,IMSL,4.75,5.0,4.56,4.62,86000
57806,2015-06-17,IMSL,4.6,4.96,4.6,4.96,48000
58344,2015-06-18,IMSL,4.99,5.4,4.99,5.24,99500
58849,2015-06-19,IMSL,5.02,5.02,5.0,5.0,2000
59346,2015-06-22,IMSL,4.8,4.8,4.8,4.8,8000
59882,2015-06-23,IMSL,5.0,5.3,5.0,5.23,10000
60453,2015-06-24,IMSL,5.05,5.24,5.05,5.14,2000
61005,2015-06-25,IMSL,5.07,5.1,5.0,5.1,152500
61535,2015-06-26,IMSL,5.01,5.01,4.9,5.0,134500
62070,2015-06-29,IMSL,5.0,5.0,5.0,5.0,10000
62561,2015-06-30,IMSL,5.0,5.0,5.0,5.0,6000
63059,2015-07-01,IMSL,5.18,5.18,5.18,5.18,1000
63568,2015-07-02,IMSL,5.02,5.02,5.0,5.02,14000
64066,2015-07-03,IMSL,5.02,5.04,5.0,5.03,2000
64572,2015-07-06,IMSL,4.7,5.25,4.52,5.0,60500
65083,2015-07-07,IMSL,5.0,5.3,5.0,5.2,126000
65601,2015-07-08,IMSL,5.35,5.58,5.3,5.49,78000
66111,2015-07-09,IMSL,5.5,5.5,5.41,5.43,33000
66605,2015-07-10,IMSL,5.5,5.5,5.4,5.46,3500
67095,2015-07-13,IMSL,0.0,5.4,5.4,5.46,1000
67607,2015-07-14,IMSL,5.11,5.45,5.09,5.43,6500
68126,2015-07-15,IMSL,5.2,5.24,5.13,5.21,16000
68651,2015-07-16,IMSL,5.18,5.7,5.18,5.58,63500
69181,2015-07-22,IMSL,5.75,6.43,5.7,6.04,406000
69716,2015-07-23,IMSL,6.68,6.68,6.0,6.0,73500
70248,2015-07-24,IMSL,6.06,7.0,6.05,6.89,622500
70775,2015-07-27,IMSL,6.9,6.9,6.01,6.38,229000
71327,2015-07-28,IMSL,6.6,6.61,6.3,6.31,81500
71891,2015-07-29,IMSL,6.05,6.44,6.0,6.0,61500
72445,2015-07-30,IMSL,6.05,6.24,6.0,6.07,40500
72988,2015-07-31,IMSL,6.01,6.1,5.35,5.45,104000
73515,2015-08-03,IMSL,5.33,5.33,5.33,5.33,2000
74002,2015-08-04,IMSL,5.4,5.4,5.1,5.25,17000
74518,2015-08-05,IMSL,5.06,5.22,5.05,5.16,17000
75039,2015-08-06,IMSL,5.4,5.44,5.3,5.31,11500
75563,2015-08-07,IMSL,5.5,6.31,5.5,6.26,312000
76072,2015-08-10,IMSL,6.44,6.9,5.75,6.27,424500
76593,2015-08-11,IMSL,6.22,6.6,6.22,6.53,118500
77106,2015-08-12,IMSL,6.6,6.6,6.3,6.3,20500
77634,2015-08-13,IMSL,6.3,6.35,6.2,6.25,38000
78145,2015-08-17,IMSL,6.02,6.02,5.5,5.86,40000
78653,2015-08-18,IMSL,5.8,6.0,5.8,6.0,15000
79168,2015-08-19,IMSL,6.0,6.0,5.85,5.85,10000
80190,2015-08-21,IMSL,5.9,5.9,5.75,5.75,12000
80702,2015-08-24,IMSL,5.5,5.6,5.39,5.42,65000
81240,2015-08-25,IMSL,5.84,5.84,5.5,5.55,9000
81782,2015-08-26,IMSL,5.7,5.7,5.6,5.63,3000
82323,2015-08-27,IMSL,5.51,5.8,5.5,5.8,13000
82877,2015-08-28,IMSL,5.55,5.55,5.55,5.55,1000
83432,2015-08-31,IMSL,5.75,5.75,5.75,5.75,500
83956,2015-09-01,IMSL,5.73,5.75,5.73,5.75,19500
84443,2015-09-14,IMSL,5.3,5.3,5.04,5.2,6500
84919,2015-09-15,IMSL,5.24,5.25,5.24,5.25,1000
85402,2015-09-16,IMSL,4.9,5.01,4.31,5.0,19500
85894,2015-09-17,IMSL,0.0,5.08,5.08,5.0,5500
86824,2015-09-21,IMSL,4.82,4.82,4.82,4.82,500
87326,2015-09-22,IMSL,4.75,4.75,4.75,4.75,1000
87820,2015-09-23,IMSL,4.81,4.81,4.81,4.81,1000
88309,2015-09-28,IMSL,0.0,4.95,4.95,4.81,8000
89254,2015-09-30,IMSL,4.64,4.64,4.64,4.64,1000
89731,2015-10-01,IMSL,4.75,4.9,4.66,4.9,2500
90206,2015-10-02,IMSL,5.0,5.2,4.65,4.76,9000
90684,2015-10-05,IMSL,4.7,4.7,4.7,4.7,7000
91186,2015-10-06,IMSL,5.0,5.0,5.0,5.0,1000
91672,2015-10-07,IMSL,5.0,5.0,5.0,5.0,1000
92158,2015-10-08,IMSL,5.2,5.2,5.2,5.2,1000
93165,2015-10-12,IMSL,5.25,5.3,5.0,5.0,10000
93671,2015-10-13,IMSL,5.0,5.0,4.85,4.86,13000
94185,2015-10-14,IMSL,4.99,4.99,4.99,4.99,500
94684,2015-10-15,IMSL,4.8,5.0,4.7,4.9,17000
95685,2015-10-19,IMSL,5.1,5.1,4.85,4.85,4500
96185,2015-10-20,IMSL,5.2,5.3,5.0,5.0,3500
96685,2015-10-21,IMSL,4.81,5.0,4.7,4.77,23000
98207,2015-10-27,IMSL,4.8,4.8,4.7,4.7,10000
98736,2015-10-28,IMSL,4.64,4.64,4.64,4.64,2000
99283,2015-10-29,IMSL,4.65,4.65,4.65,4.65,20000
100363,2015-11-02,IMSL,4.85,4.92,4.85,4.92,1000
