,Date,Symbol,Open,High,Low,Close,Volume
7990,2015-01-22,IDYM,879.9,879.9,879.9,879.9,50
8507,2015-01-23,IDYM,900.0,900.0,900.0,900.0,50
9024,2015-01-26,IDYM,919.99,919.99,919.99,919.99,50
15351,2015-02-12,IDYM,964.89,964.89,964.89,964.89,50
17848,2015-02-19,IDYM,0.0,955.9987,955.9987,955.9987,0
19377,2015-02-24,IDYM,0.0,952.0958,952.0958,952.0958,0
19918,2015-02-25,IDYM,0.0,906.8301,906.8301,906.8301,0
20461,2015-02-26,IDYM,0.0,874.6196,874.6196,874.6196,0
23040,2015-03-05,IDYM,0.0,846.0998,846.0998,846.0998,0
23522,2015-03-06,IDYM,0.0,803.8,803.8,803.8,0
23997,2015-03-09,IDYM,0.0,785.8173,785.8173,785.8173,0
24476,2015-03-10,IDYM,0.0,750.0,750.0,750.0,0
24960,2015-03-11,IDYM,0.0,712.995,712.995,712.995,0
25442,2015-03-12,IDYM,0.0,701.0,701.0,701.0,0
26413,2015-03-16,IDYM,736.0,736.0,736.0,736.0,50
27873,2015-03-19,IDYM,0.0,699.2,699.2,699.2,0
28355,2015-03-20,IDYM,664.24,680.0,664.24,680.0,500
29327,2015-03-25,IDYM,0.0,670.0,670.0,670.0,0
29839,2015-03-26,IDYM,703.5,703.5,703.5,703.5,100
30904,2015-03-30,IDYM,668.33,668.33,668.33,668.33,50
31925,2015-04-01,IDYM,625.42,625.42,625.42,625.42,200
33440,2015-04-06,IDYM,656.69,656.69,656.69,656.69,150
33943,2015-04-07,IDYM,689.52,689.52,625.5,683.7,550
34435,2015-04-08,IDYM,690.0,700.0,650.11,685.03,200
34930,2015-04-09,IDYM,690.0,695.0,690.0,691.67,150
35421,2015-04-10,IDYM,0.0,657.09,657.09,657.09,0
35937,2015-04-13,IDYM,625.0,625.0,625.0,625.0,100
37383,2015-04-16,IDYM,656.0,656.0,656.0,656.0,100
37893,2015-04-17,IDYM,625.0,625.0,625.0,625.0,50
40002,2015-04-23,IDYM,650.0,650.0,650.0,650.0,100
40525,2015-04-24,IDYM,659.0,659.0,659.0,659.0,100
42082,2015-04-29,IDYM,626.05,626.05,626.05,626.05,50
42593,2015-04-30,IDYM,649.95,649.95,600.0,616.65,150
43089,2015-05-04,IDYM,625.0,638.0,601.0,625.4,250
43588,2015-05-05,IDYM,612.0,612.0,612.0,612.0,50
44593,2015-05-07,IDYM,625.0,629.0,625.0,627.0,100
45087,2015-05-08,IDYM,605.0,658.01,605.0,635.57,400
45568,2015-05-11,IDYM,639.0,667.34,603.8,632.62,600
46050,2015-05-12,IDYM,605.0,650.0,601.0,638.04,850
