,Date,Symbol,Open,High,Low,Close,Volume
235,2015-01-01,INDU,880.0,880.0,870.0,877.0,5550
756,2015-01-02,INDU,880.0,880.0,870.0,872.02,6600
1275,2015-01-05,INDU,874.49,878.0,872.0,875.01,1800
1782,2015-01-06,INDU,0.0,877.98,877.98,875.01,500
2302,2015-01-07,INDU,871.1,909.0,870.0,897.41,35950
2815,2015-01-08,INDU,897.0,900.01,882.05,897.2,49400
3327,2015-01-09,INDU,885.0,899.6,885.0,895.43,3500
3853,2015-01-12,INDU,895.0,903.0,875.0,891.52,40200
4391,2015-01-13,INDU,898.0,898.0,885.0,888.81,5950
4936,2015-01-14,INDU,898.0,900.0,890.0,890.8,18350
5483,2015-01-15,INDU,900.0,910.0,890.0,890.37,11500
6021,2015-01-16,INDU,899.99,899.99,885.0,896.4,8800
6556,2015-01-19,INDU,895.0,901.0,882.5,886.88,46700
7091,2015-01-20,INDU,865.0,931.22,865.0,931.21,200750
7627,2015-01-21,INDU,948.0,977.77,941.01,977.77,171650
8150,2015-01-22,INDU,1026.65,1026.65,1015.0,1026.65,71750
8659,2015-01-23,INDU,1064.89,1077.0,990.0,1075.15,259100
9180,2015-01-26,INDU,1063.02,1100.0,1050.0,1069.54,92650
9736,2015-01-27,INDU,1070.99,1071.0,1019.0,1034.78,331100
10294,2015-01-28,INDU,1030.0,1030.0,990.0,1008.68,110500
10844,2015-01-29,INDU,1026.0,1038.0,990.0,1003.0,224200
11378,2015-01-30,INDU,1032.0,1038.0,1006.0,1029.65,30400
11939,2015-02-02,INDU,1033.0,1049.99,1012.1,1029.77,104200
12454,2015-02-03,INDU,1032.0,1035.0,1010.0,1018.89,42150
12974,2015-02-04,INDU,1012.1,1042.9,1012.1,1037.87,62350
13478,2015-02-06,INDU,1070.0,1070.0,1045.0,1046.9,91650
13986,2015-02-09,INDU,1057.0,1065.0,1045.0,1045.1,22200
14485,2015-02-10,INDU,1047.0,1055.0,1005.0,1014.27,57650
14994,2015-02-11,INDU,1015.0,1044.0,1005.0,1029.6,129600
15509,2015-02-12,INDU,1035.0,1035.0,990.0,1003.46,51500
16006,2015-02-13,INDU,1010.0,1015.0,1000.0,1005.79,172150
16502,2015-02-16,INDU,1001.35,1009.97,1000.0,1004.73,6950
16997,2015-02-17,INDU,1009.99,1010.0,998.05,1000.32,79750
17500,2015-02-18,INDU,1008.99,1008.99,990.0,991.26,17100
18004,2015-02-19,INDU,995.0,1000.0,990.0,999.32,7600
18494,2015-02-20,INDU,999.9,1000.0,980.0,998.89,25050
18983,2015-02-23,INDU,1000.0,1021.0,995.02,995.56,129550
19530,2015-02-24,INDU,1000.0,1000.0,974.0,992.77,16800
20065,2015-02-25,INDU,996.99,1042.4,990.0,1042.4,354900
20618,2015-02-26,INDU,1080.0,1094.52,1079.99,1094.52,111400
21146,2015-02-27,INDU,1105.0,1139.0,1080.0,1085.77,75400
21681,2015-03-02,INDU,1098.99,1100.0,1032.0,1049.04,111500
22186,2015-03-03,INDU,1050.0,1077.98,1020.0,1050.94,34200
22687,2015-03-04,INDU,1075.0,1103.48,1068.0,1087.11,81350
23183,2015-03-05,INDU,1099.98,1116.0,1080.0,1089.71,46450
23653,2015-03-06,INDU,1071.0,1105.0,1065.0,1100.94,102500
24126,2015-03-09,INDU,1090.0,1091.0,1080.0,1087.89,11150
24612,2015-03-10,INDU,1081.0,1090.0,1075.0,1078.24,11600
25096,2015-03-11,INDU,1060.0,1076.99,1060.0,1062.16,32650
25582,2015-03-12,INDU,1081.0,1085.0,1060.0,1063.36,36000
26064,2015-03-13,INDU,1060.01,1099.0,1060.01,1094.03,67950
26550,2015-03-16,INDU,1106.0,1111.0,1091.01,1092.64,36150
27020,2015-03-17,INDU,1095.0,1130.0,1089.0,1110.16,36700
27524,2015-03-18,INDU,1102.0,1102.0,1070.0,1085.11,14950
28015,2015-03-19,INDU,1090.0,1095.0,1050.0,1062.82,31750
28485,2015-03-20,INDU,1075.0,1084.95,1069.99,1074.17,14350
28956,2015-03-24,INDU,1073.01,1085.01,1049.99,1050.27,20950
29459,2015-03-25,INDU,1060.0,1072.0,1052.0,1057.63,3500
29973,2015-03-26,INDU,1070.0,1070.0,1026.0,1045.67,17350
30503,2015-03-27,INDU,1040.0,1045.0,993.5,1017.69,16500
31056,2015-03-30,INDU,1015.0,1054.0,966.81,966.81,75900
31563,2015-03-31,INDU,975.0,1015.15,945.05,1015.04,108150
32068,2015-04-01,INDU,1018.99,1020.0,1001.0,1014.64,37650
32576,2015-04-02,INDU,1017.0,1035.0,1016.0,1031.89,14100
33080,2015-04-03,INDU,1045.0,1045.0,1005.0,1035.51,25750
33583,2015-04-06,INDU,1040.0,1087.28,1021.0,1065.31,73250
34087,2015-04-07,INDU,1066.0,1066.0,1045.0,1050.0,61550
34572,2015-04-08,INDU,1046.52,1050.0,1030.0,1040.08,49400
35063,2015-04-09,INDU,1045.07,1045.07,1034.0,1037.0,6350
35570,2015-04-10,INDU,1040.0,1050.0,1040.0,1046.04,34650
36081,2015-04-13,INDU,1050.0,1059.99,1035.0,1040.35,32200
36551,2015-04-14,INDU,1043.0,1046.0,1028.0,1029.75,4900
37035,2015-04-15,INDU,1040.0,1045.0,1027.0,1033.35,18700
37531,2015-04-16,INDU,1040.0,1042.99,1034.99,1040.03,29500
38049,2015-04-17,INDU,1040.0,1044.25,1036.0,1039.87,2550
38553,2015-04-20,INDU,1045.0,1090.0,1045.0,1067.9,32300
39076,2015-04-21,INDU,1068.0,1068.0,1047.0,1054.63,11250
39612,2015-04-22,INDU,1075.0,1085.0,1050.0,1058.52,22100
40140,2015-04-23,INDU,1065.0,1068.0,1045.11,1051.51,12900
40662,2015-04-24,INDU,1059.97,1104.08,1059.97,1099.27,36950
41204,2015-04-27,INDU,1098.4,1145.0,1090.0,1138.19,34000
41717,2015-04-28,INDU,1145.7,1169.99,1145.0,1150.17,23500
42236,2015-04-29,INDU,1152.5,1178.9,1150.0,1156.81,21250
42734,2015-04-30,INDU,1214.65,1214.65,1214.65,1214.65,50150
43231,2015-05-04,INDU,1248.99,1265.0,1225.0,1231.69,80250
43728,2015-05-05,INDU,1230.0,1230.0,1210.0,1216.17,21850
44236,2015-05-06,INDU,1220.0,1240.0,1195.0,1198.86,20800
44738,2015-05-07,INDU,1204.99,1205.0,1185.05,1192.21,109050
45224,2015-05-08,INDU,1191.01,1203.99,1190.0,1194.77,14600
45713,2015-05-11,INDU,1175.01,1175.01,1135.04,1138.17,24600
46190,2015-05-12,INDU,1150.0,1165.0,1120.0,1161.49,79150
46661,2015-05-13,INDU,1150.0,1150.0,1136.0,1140.0,9100
47134,2015-05-14,INDU,1150.0,1171.0,1140.01,1155.22,87950
47620,2015-05-15,INDU,1157.99,1170.0,1140.02,1150.16,10350
48104,2015-05-18,INDU,1150.0,1151.0,1120.05,1127.75,24700
48580,2015-05-20,INDU,1133.1,1144.43,1118.0,1119.92,13400
49054,2015-05-21,INDU,1120.0,1130.0,1118.0,1130.0,94300
49523,2015-05-22,INDU,1130.0,1144.95,1122.0,1123.2,450
49997,2015-05-25,INDU,1139.5,1150.0,1130.0,1149.32,11050
50521,2015-05-27,INDU,1159.99,1202.31,1146.01,1191.27,29950
51044,2015-05-28,INDU,1204.99,1219.0,1191.01,1199.95,14050
51572,2015-05-29,INDU,1200.1,1249.99,1190.0,1245.07,66550
52130,2015-06-01,INDU,1245.07,1273.0,1232.06,1233.68,22700
52646,2015-06-02,INDU,1250.0,1295.0,1248.99,1278.08,45750
53161,2015-06-03,INDU,1290.0,1300.05,1280.0,1291.64,9250
53688,2015-06-04,INDU,1276.01,1294.84,1272.0,1280.73,8750
54202,2015-06-05,INDU,1294.99,1294.99,1270.01,1279.3,4850
54731,2015-06-08,INDU,1225.0,1312.0,1225.0,1303.29,86700
55257,2015-06-09,INDU,1309.99,1310.0,1290.0,1292.51,11700
55776,2015-06-10,INDU,1292.51,1311.5,1280.0,1296.58,14100
56306,2015-06-12,INDU,1319.99,1320.0,1297.0,1309.16,10750
56843,2015-06-15,INDU,1305.0,1315.0,1300.0,1308.37,13350
57363,2015-06-16,INDU,1255.11,1302.0,1255.11,1294.19,58800
57896,2015-06-17,INDU,1301.97,1302.0,1295.0,1299.89,12050
58433,2015-06-18,INDU,1295.0,1299.9,1285.0,1293.69,12600
58939,2015-06-19,INDU,1295.0,1295.0,1281.01,1294.7,11100
59433,2015-06-22,INDU,1285.0,1285.0,1275.0,1280.0,2700
59973,2015-06-23,INDU,1290.99,1291.0,1280.8,1280.8,9900
60543,2015-06-24,INDU,1275.0,1285.0,1270.0,1284.55,1600
61090,2015-06-25,INDU,1285.0,1285.0,1265.0,1267.74,6050
61620,2015-06-26,INDU,1240.01,1260.0,1225.0,1248.79,14850
62158,2015-06-29,INDU,1249.99,1250.0,1229.0,1246.43,12900
62648,2015-06-30,INDU,1259.0,1270.0,1240.0,1249.0,9150
63152,2015-07-01,INDU,1250.0,1274.99,1249.99,1261.98,5620
63658,2015-07-02,INDU,1262.99,1265.0,1255.0,1261.72,28000
64158,2015-07-03,INDU,1265.0,1266.0,1255.0,1259.91,40220
64666,2015-07-06,INDU,1255.01,1259.99,1245.0,1254.39,41380
65178,2015-07-07,INDU,1250.01,1252.0,1232.0,1243.5,55360
65690,2015-07-08,INDU,1240.0,1245.0,1226.0,1228.02,10260
66203,2015-07-09,INDU,1257.5,1257.5,1232.0,1240.04,9540
66695,2015-07-10,INDU,1251.0,1251.0,1242.0,1242.0,440
67189,2015-07-13,INDU,1245.0,1249.0,1231.5,1241.75,1440
67699,2015-07-14,INDU,1252.0,1265.0,1243.0,1245.37,4980
68218,2015-07-15,INDU,1218.0,1265.0,1218.0,1255.75,86020
68741,2015-07-16,INDU,1268.0,1270.0,1245.5,1263.47,36860
69275,2015-07-22,INDU,1265.0,1290.0,1260.02,1266.31,11180
69812,2015-07-23,INDU,1266.0,1274.0,1239.99,1263.73,29440
70339,2015-07-24,INDU,1274.98,1274.98,1245.5,1252.94,4580
70870,2015-07-27,INDU,1230.3,1249.74,1220.0,1246.1,5460
71419,2015-07-28,INDU,1225.01,1265.0,1225.0,1241.0,20100
71985,2015-07-29,INDU,1248.99,1250.12,1243.0,1243.0,3660
72534,2015-07-30,INDU,1250.0,1250.0,1231.01,1235.28,1960
73076,2015-07-31,INDU,1240.0,1250.0,1226.0,1244.99,11600
73602,2015-08-03,INDU,1245.01,1255.0,1244.5,1250.5,4780
74095,2015-08-04,INDU,1260.0,1270.0,1250.0,1260.83,13480
74613,2015-08-05,INDU,1260.0,1285.0,1260.0,1274.57,34100
75133,2015-08-06,INDU,1236.0,1290.0,1236.0,1277.58,39120
75656,2015-08-07,INDU,1287.99,1299.99,1280.0,1297.74,50120
76162,2015-08-10,INDU,1302.0,1313.0,1285.0,1288.19,82560
76686,2015-08-11,INDU,1290.0,1296.75,1280.0,1287.01,9540
77203,2015-08-12,INDU,1280.0,1291.0,1265.0,1270.11,25260
77729,2015-08-13,INDU,1280.0,1284.0,1270.01,1280.0,4140
78234,2015-08-17,INDU,1280.0,1280.0,1260.01,1269.35,2200
78744,2015-08-18,INDU,1270.0,1285.0,1261.01,1275.61,19400
79260,2015-08-19,INDU,1260.01,1280.0,1260.01,1265.0,2740
79779,2015-08-20,INDU,1250.0,1270.0,1250.0,1255.93,1800
80278,2015-08-21,INDU,1240.03,1260.0,1235.0,1255.06,9680
80794,2015-08-24,INDU,1201.01,1202.0,1192.31,1192.31,31120
81328,2015-08-25,INDU,1140.0,1251.91,1140.0,1218.75,47980
81872,2015-08-26,INDU,1250.0,1250.0,1200.0,1210.0,45800
82417,2015-08-27,INDU,1220.0,1230.0,1210.0,1210.35,18220
82966,2015-08-28,INDU,1254.0,1270.86,1190.0,1191.7,95860
83523,2015-08-31,INDU,1190.51,1196.0,1150.0,1188.65,19600
84046,2015-09-01,INDU,1180.0,1200.0,1148.0,1157.7,37500
84530,2015-09-14,INDU,1080.0,1080.01,1079.99,1080.0,20600
85007,2015-09-15,INDU,1098.99,1101.0,1078.05,1079.93,20760
85486,2015-09-16,INDU,1085.5,1091.0,1082.0,1085.0,3160
85979,2015-09-17,INDU,1085.0,1100.0,1085.0,1089.33,20740
86445,2015-09-18,INDU,1099.0,1099.0,1072.0,1077.2,6240
86903,2015-09-21,INDU,1094.98,1094.98,1070.0,1076.71,12940
87408,2015-09-22,INDU,990.0,1032.0,990.0,1024.74,14440
87900,2015-09-23,INDU,1039.99,1040.0,1022.1,1025.0,5960
