,Date,Symbol,Open,High,Low,Close,Volume
328855,2020-07-01,ILP,44.0,44.4,43.75,43.99,97000
338545,2020-07-01,ILP,44.0,44.4,43.75,43.99,97000
531801,2019-04-05,ILP,48.0,48.2,45.75,46.15,14321500
532265,2019-04-08,ILP,45.74,46.0,43.85,45.09,1364000
532755,2019-04-09,ILP,45.21,46.2,44.0,45.24,674500
533252,2019-04-10,ILP,45.35,45.67,42.98,43.11,252500
533733,2019-04-11,ILP,41.75,45.23,41.75,44.78,460000
534211,2019-04-12,ILP,44.99,46.3,44.64,46.06,1000000
534697,2019-04-15,ILP,45.21,46.48,45.01,45.6,347000
535182,2019-04-16,ILP,46.21,46.21,44.51,45.01,238000
535668,2019-04-17,ILP,45.0,45.1,43.06,43.79,143500
536151,2019-04-18,ILP,43.8,45.7,43.8,45.19,166500
536615,2019-04-19,ILP,45.29,46.99,45.21,46.47,579000
537076,2019-04-22,ILP,46.4,46.4,45.4,45.58,322500
537584,2019-04-23,ILP,45.6,46.49,43.31,44.32,983500
538122,2019-04-24,ILP,44.25,46.0,44.01,45.67,282000
538657,2019-04-25,ILP,45.11,46.1,45.11,45.95,83500
539187,2019-04-26,ILP,45.5,46.0,45.0,45.68,193500
539732,2019-04-29,ILP,45.36,45.63,44.5,44.58,181000
540214,2019-04-30,ILP,44.0,44.34,43.65,44.04,78500
540684,2019-05-02,ILP,44.0,44.08,43.21,43.86,40500
541148,2019-05-03,ILP,43.41,43.6,42.86,42.96,32500
541614,2019-05-06,ILP,43.07,43.91,41.0,41.25,266500
542072,2019-05-07,ILP,40.0,42.95,40.0,42.83,241000
542510,2019-05-08,ILP,41.75,42.78,41.55,42.06,122500
542977,2019-05-09,ILP,42.01,42.45,41.11,42.2,224500
543407,2019-05-10,ILP,42.45,42.5,41.3,41.86,71500
543868,2019-05-13,ILP,42.31,42.89,39.77,39.84,1315000
544340,2019-05-14,ILP,39.6,41.83,39.6,40.95,586000
544794,2019-05-15,ILP,41.05,42.99,41.0,42.66,155000
545258,2019-05-16,ILP,42.35,42.4,40.53,41.3,306500
545730,2019-05-17,ILP,41.3,41.3,39.3,40.04,241000
546214,2019-05-20,ILP,39.0,42.0,38.06,41.11,1105500
546690,2019-05-21,ILP,40.5,41.94,40.0,41.0,205500
547173,2019-05-22,ILP,41.25,43.05,41.01,43.03,423500
547669,2019-05-23,ILP,43.4,44.5,43.1,43.5,253500
548149,2019-05-24,ILP,43.0,44.0,42.01,43.66,122000
548622,2019-05-27,ILP,43.99,43.99,42.51,43.33,111500
549150,2019-05-28,ILP,42.5,42.5,41.17,41.19,207500
549686,2019-05-29,ILP,41.82,42.99,41.2,42.27,487000
550217,2019-05-30,ILP,42.5,44.0,41.24,42.76,233500
550732,2019-06-03,ILP,42.25,42.25,41.67,41.85,44000
551189,2019-06-10,ILP,40.45,41.65,40.0,41.52,115500
551643,2019-06-11,ILP,40.01,42.5,40.0,41.82,78000
552100,2019-06-12,ILP,41.99,43.4,41.0,42.61,121500
552584,2019-06-13,ILP,43.35,44.0,42.65,43.61,1787000
553066,2019-06-14,ILP,44.0,45.79,42.4,44.91,550000
553557,2019-06-17,ILP,45.0,45.0,43.51,44.2,88000
554032,2019-06-18,ILP,43.21,44.99,41.99,43.24,436500
554490,2019-06-19,ILP,43.15,43.65,43.0,43.4,87500
554966,2019-06-20,ILP,43.99,43.99,43.2,43.47,200000
555441,2019-06-21,ILP,43.49,43.75,43.0,43.36,79000
555907,2019-06-24,ILP,43.25,43.25,41.4,41.85,29500
556439,2019-06-25,ILP,41.02,42.8,41.0,42.07,41500
556993,2019-06-26,ILP,41.55,42.8,40.52,42.5,128000
557542,2019-06-27,ILP,42.7,43.0,41.0,42.48,251500
558075,2019-06-28,ILP,41.75,44.6,41.45,44.27,587500
558604,2019-07-02,ILP,43.31,43.9,43.3,43.67,62500
559056,2019-07-03,ILP,43.02,44.0,43.0,43.91,96000
559535,2019-07-04,ILP,44.4,44.48,43.35,43.76,56000
559976,2019-07-05,ILP,43.27,45.49,42.85,44.34,62500
560416,2019-07-08,ILP,44.8,44.8,42.73,42.94,480000
560864,2019-07-09,ILP,43.05,43.8,43.05,43.13,119000
561311,2019-07-10,ILP,43.3,43.5,43.0,43.1,207000
561746,2019-07-11,ILP,43.8,43.8,42.55,43.29,30500
562185,2019-07-12,ILP,42.7,43.47,42.4,42.87,66500
562635,2019-07-15,ILP,42.4,42.49,41.84,42.29,26500
