,Date,Symbol,Open,High,Low,Close,Volume
288,2015-01-01,NICL,25.98,25.98,25.25,25.5,26000
815,2015-01-02,NICL,25.51,25.88,25.35,25.46,98000
1333,2015-01-05,NICL,25.5,26.5,25.5,25.52,66000
1839,2015-01-06,NICL,25.51,25.97,25.2,25.28,129500
2360,2015-01-07,NICL,25.4,25.5,25.0,25.28,53500
2872,2015-01-08,NICL,25.4,25.7,25.25,25.55,57500
3386,2015-01-09,NICL,25.55,25.9,25.41,25.55,25000
3910,2015-01-12,NICL,25.27,25.6,25.11,25.42,33000
4450,2015-01-13,NICL,25.3,26.19,25.0,25.86,178500
4994,2015-01-14,NICL,26.19,26.19,25.8,25.9,97500
5542,2015-01-15,NICL,26.1,27.05,26.1,26.56,243000
6077,2015-01-16,NICL,26.88,26.88,26.0,26.25,129500
6613,2015-01-19,NICL,26.0,26.6,25.86,26.08,95000
7149,2015-01-20,NICL,26.15,26.15,25.8,25.99,54000
7686,2015-01-21,NICL,26.0,26.09,25.75,26.0,46000
8207,2015-01-22,NICL,26.0,26.0,25.55,25.79,67000
8716,2015-01-23,NICL,25.8,26.0,25.62,25.72,42500
9239,2015-01-26,NICL,26.2,26.2,25.8,25.98,66000
9795,2015-01-27,NICL,26.0,26.6,25.8,25.95,142000
10352,2015-01-28,NICL,26.0,26.0,25.65,25.75,30000
10900,2015-01-29,NICL,25.95,25.95,25.5,25.85,22500
11437,2015-01-30,NICL,25.6,26.0,25.55,25.99,27500
11996,2015-02-02,NICL,26.0,26.0,25.73,25.9,85500
12512,2015-02-03,NICL,25.6,26.39,25.6,25.79,238500
13032,2015-02-04,NICL,26.47,26.8,25.25,25.34,185500
13533,2015-02-06,NICL,25.8,25.8,24.75,24.79,144000
14043,2015-02-09,NICL,25.2,25.2,23.56,23.56,689000
14543,2015-02-10,NICL,23.5,23.5,22.39,22.39,234500
15052,2015-02-11,NICL,22.4,22.5,21.28,21.28,1549500
15566,2015-02-12,NICL,20.91,21.34,20.22,20.22,925000
16063,2015-02-13,NICL,20.45,21.0,20.0,20.89,322500
16559,2015-02-16,NICL,20.8,20.81,20.25,20.5,68500
17057,2015-02-17,NICL,20.45,20.99,19.48,19.49,385500
17553,2015-02-18,NICL,19.55,19.95,19.0,19.57,127500
18061,2015-02-19,NICL,19.89,20.57,19.89,20.57,638000
18550,2015-02-20,NICL,21.59,21.59,21.59,21.59,57000
19038,2015-02-23,NICL,21.49,21.94,21.05,21.54,598000
19588,2015-02-24,NICL,21.69,22.61,21.5,22.61,854500
20123,2015-02-25,NICL,22.26,23.74,22.26,23.74,882500
20675,2015-02-26,NICL,24.37,24.74,23.75,24.0,1330000
21205,2015-02-27,NICL,23.61,23.88,22.8,23.05,411000
21740,2015-03-02,NICL,23.0,23.05,22.04,22.53,140500
22244,2015-03-03,NICL,22.05,23.0,22.05,22.43,66500
22746,2015-03-04,NICL,22.65,22.87,22.5,22.59,53500
23239,2015-03-05,NICL,23.0,23.39,22.65,23.15,33000
23711,2015-03-06,NICL,23.5,23.96,23.25,23.58,146500
24182,2015-03-09,NICL,23.89,24.4,23.55,24.15,218000
24669,2015-03-10,NICL,23.85,24.25,23.59,23.68,59000
25152,2015-03-11,NICL,23.1,24.2,23.0,23.75,20500
25643,2015-03-12,NICL,23.99,23.99,23.5,23.7,6500
26124,2015-03-13,NICL,23.95,24.8,23.76,24.5,288000
26607,2015-03-16,NICL,24.5,25.72,24.5,25.07,648500
27079,2015-03-17,NICL,25.49,25.7,24.75,25.03,129000
27582,2015-03-18,NICL,25.0,25.44,23.78,24.05,141000
28069,2015-03-19,NICL,24.5,24.9,24.49,24.5,106500
28538,2015-03-20,NICL,23.6,25.3,23.6,24.87,47500
29010,2015-03-24,NICL,24.51,24.99,24.15,24.77,63000
29513,2015-03-25,NICL,24.7,24.8,24.3,24.6,11500
30029,2015-03-26,NICL,24.05,24.05,23.37,23.37,42500
30560,2015-03-27,NICL,22.75,23.97,22.21,22.24,195000
31116,2015-03-30,NICL,21.52,21.52,21.13,21.13,93000
31624,2015-03-31,NICL,22.04,22.18,21.26,22.18,127500
32126,2015-04-01,NICL,21.1,23.28,21.1,23.28,417500
32633,2015-04-02,NICL,23.15,24.4,23.15,24.04,185500
33141,2015-04-03,NICL,24.8,24.88,23.7,24.03,33500
33644,2015-04-06,NICL,23.75,25.0,23.75,24.27,95000
34144,2015-04-07,NICL,24.08,24.08,23.52,23.77,63500
34630,2015-04-08,NICL,24.15,24.4,23.6,23.71,14500
35121,2015-04-09,NICL,23.3,23.75,23.3,23.5,15000
35628,2015-04-10,NICL,23.6,24.1,23.0,23.35,68000
36136,2015-04-13,NICL,22.9,23.0,22.25,22.5,74000
36607,2015-04-14,NICL,22.5,23.0,22.5,22.98,21000
37092,2015-04-15,NICL,23.1,23.1,22.7,22.75,19000
37588,2015-04-16,NICL,22.99,22.99,22.05,22.34,31500
38108,2015-04-17,NICL,22.83,22.83,22.01,22.48,35000
38610,2015-04-20,NICL,21.41,21.5,21.36,21.36,289000
39133,2015-04-21,NICL,20.35,20.35,20.3,20.3,31000
39669,2015-04-22,NICL,19.55,21.0,19.55,20.43,503500
40196,2015-04-23,NICL,20.8,20.8,19.8,19.86,50500
40721,2015-04-24,NICL,19.87,20.5,19.5,19.86,193500
41262,2015-04-27,NICL,20.29,20.4,19.85,20.32,87500
41776,2015-04-28,NICL,20.0,21.1,19.82,20.95,130000
42294,2015-04-29,NICL,21.0,21.0,20.0,20.12,27500
42792,2015-04-30,NICL,19.9,20.0,19.7,19.98,17500
43288,2015-05-04,NICL,19.4,19.84,19.0,19.21,122500
43787,2015-05-05,NICL,19.91,19.91,18.22,18.79,59500
44293,2015-05-06,NICL,19.18,19.74,19.14,19.59,57000
44795,2015-05-07,NICL,19.5,19.89,19.0,19.63,11000
45278,2015-05-08,NICL,19.4,20.4,19.3,19.73,8000
45768,2015-05-11,NICL,18.99,19.5,18.73,18.73,29000
46246,2015-05-12,NICL,19.0,19.73,19.0,19.52,76000
46714,2015-05-13,NICL,20.0,20.3,18.75,19.79,22000
47191,2015-05-14,NICL,19.8,20.16,19.5,20.06,4500
47671,2015-05-15,NICL,19.99,20.48,19.6,19.84,88500
48159,2015-05-18,NICL,19.7,19.7,19.4,19.4,3500
48634,2015-05-20,NICL,19.45,19.78,19.45,19.5,23500
49109,2015-05-21,NICL,19.7,19.75,19.15,19.74,12000
49576,2015-05-22,NICL,19.74,19.74,19.31,19.31,1000
50047,2015-05-25,NICL,19.5,19.5,19.12,19.5,12500
50576,2015-05-27,NICL,19.11,19.5,19.11,19.3,21000
51100,2015-05-28,NICL,19.49,19.6,19.49,19.5,19500
51627,2015-05-29,NICL,19.4,19.5,19.05,19.2,158500
52185,2015-06-01,NICL,19.25,19.67,19.25,19.67,4500
52706,2015-06-02,NICL,19.5,20.15,19.44,19.65,35000
53222,2015-06-03,NICL,19.35,19.98,19.3,19.74,31000
53747,2015-06-04,NICL,19.51,20.0,19.51,19.8,22500
54259,2015-06-05,NICL,19.8,20.0,19.66,19.83,35000
54790,2015-06-08,NICL,19.3,20.25,19.25,20.0,598500
55315,2015-06-09,NICL,20.24,20.9,19.6,20.51,767500
55835,2015-06-10,NICL,20.5,20.5,20.15,20.39,516000
56361,2015-06-12,NICL,21.24,21.5,20.9,21.49,15000
56901,2015-06-15,NICL,21.55,21.55,21.2,21.46,22000
57423,2015-06-16,NICL,20.5,21.2,20.41,21.0,73000
57955,2015-06-17,NICL,20.61,20.95,20.45,20.95,57500
58492,2015-06-18,NICL,20.41,20.95,20.4,20.9,76000
58997,2015-06-19,NICL,20.5,20.94,20.5,20.94,25000
59487,2015-06-22,NICL,20.5,20.84,20.5,20.84,2500
60033,2015-06-23,NICL,20.35,20.4,20.08,20.4,34500
60602,2015-06-24,NICL,20.1,20.5,20.0,20.29,41000
61146,2015-06-25,NICL,20.5,20.6,19.7,19.84,45000
61677,2015-06-26,NICL,19.99,19.99,19.6,19.64,18500
62213,2015-06-29,NICL,19.03,20.28,19.03,19.89,10000
62703,2015-06-30,NICL,20.1,20.1,19.7,20.0,13000
63207,2015-07-01,NICL,20.22,20.4,20.22,20.4,15500
63714,2015-07-02,NICL,20.4,20.84,20.01,20.47,19000
64215,2015-07-03,NICL,20.6,20.69,20.1,20.69,8500
64724,2015-07-06,NICL,20.33,20.35,20.33,20.33,7000
65237,2015-07-07,NICL,20.5,20.5,20.16,20.49,5500
65745,2015-07-08,NICL,20.15,20.39,20.02,20.17,308500
66260,2015-07-09,NICL,20.0,20.29,19.85,19.98,49500
66751,2015-07-10,NICL,20.0,20.39,20.0,20.02,37500
67246,2015-07-13,NICL,20.0,20.39,19.86,20.21,41500
67757,2015-07-14,NICL,20.0,20.7,20.0,20.35,34500
68276,2015-07-15,NICL,20.35,21.0,20.01,20.98,87000
68798,2015-07-16,NICL,21.99,21.99,20.92,21.77,327000
69333,2015-07-22,NICL,22.1,22.5,22.1,22.22,304000
69871,2015-07-23,NICL,22.4,22.88,22.2,22.25,178000
70397,2015-07-24,NICL,22.5,23.36,22.25,23.36,574500
70929,2015-07-27,NICL,23.3,24.25,22.4,23.06,408500
71476,2015-07-28,NICL,23.0,24.0,23.0,23.48,143000
72045,2015-07-29,NICL,23.48,24.0,23.41,23.6,61000
72591,2015-07-30,NICL,23.3,23.8,22.99,23.06,98500
73131,2015-07-31,NICL,23.1,23.5,22.5,22.92,86000
73656,2015-08-03,NICL,23.45,23.45,22.6,23.04,67500
74152,2015-08-04,NICL,22.99,23.43,22.99,23.07,104500
74670,2015-08-05,NICL,23.07,24.22,23.0,24.22,379500
75193,2015-08-06,NICL,24.65,25.43,24.6,25.43,313500
75712,2015-08-07,NICL,25.5,26.0,24.9,24.96,36500
76221,2015-08-10,NICL,25.25,26.2,24.86,26.17,436500
76746,2015-08-11,NICL,26.15,27.0,26.15,26.6,191000
77261,2015-08-12,NICL,26.75,26.8,26.12,26.52,222500
77788,2015-08-13,NICL,26.94,27.84,26.3,27.84,753000
78290,2015-08-17,NICL,28.45,29.15,28.0,28.44,560500
78803,2015-08-18,NICL,28.3,28.3,27.15,27.9,95000
79320,2015-08-19,NICL,28.0,28.0,26.51,26.7,216000
79837,2015-08-20,NICL,26.3,27.0,25.81,26.26,66500
80337,2015-08-21,NICL,25.03,25.4,24.95,24.95,78500
80853,2015-08-24,NICL,24.0,24.0,23.71,23.71,6000
81385,2015-08-25,NICL,23.0,24.89,22.53,24.89,160500
81930,2015-08-26,NICL,26.0,26.0,24.5,24.5,21500
82473,2015-08-27,NICL,25.0,25.72,25.0,25.72,103500
83025,2015-08-28,NICL,27.0,27.0,27.0,27.0,102500
83583,2015-08-31,NICL,28.0,28.35,26.8,28.35,618500
84101,2015-09-01,NICL,28.0,28.95,27.75,28.62,321500
84583,2015-09-14,NICL,28.25,29.0,27.99,28.18,57000
85063,2015-09-15,NICL,27.15,27.25,26.78,26.83,28000
85541,2015-09-16,NICL,26.1,27.7,26.0,26.9,18500
86039,2015-09-17,NICL,26.9,27.5,26.5,26.73,25500
86498,2015-09-18,NICL,26.0,26.12,26.0,26.06,19000
86955,2015-09-21,NICL,25.45,26.94,25.0,26.08,15500
87461,2015-09-22,NICL,26.1,26.2,26.1,26.2,1000
87956,2015-09-23,NICL,25.9,27.5,25.9,27.5,17500
88451,2015-09-28,NICL,26.5,27.0,26.26,26.32,22500
88923,2015-09-29,NICL,27.0,27.0,25.56,25.56,3000
89392,2015-09-30,NICL,25.1,25.25,25.05,25.1,14500
89869,2015-10-01,NICL,25.89,26.35,25.84,26.35,16000
90341,2015-10-02,NICL,26.5,27.09,26.5,27.0,15000
90827,2015-10-05,NICL,27.25,27.25,27.0,27.0,3500
91331,2015-10-06,NICL,27.0,28.0,27.0,28.0,8000
91812,2015-10-07,NICL,27.0,27.1,26.75,26.75,10500
92304,2015-10-08,NICL,26.3,26.51,26.3,26.5,62000
92808,2015-10-09,NICL,26.99,27.5,26.26,26.41,22500
93318,2015-10-12,NICL,27.0,27.0,26.99,26.99,4000
93826,2015-10-13,NICL,26.99,27.37,26.9,27.05,9500
94333,2015-10-14,NICL,27.5,28.4,27.4,28.25,128500
94829,2015-10-15,NICL,27.6,28.2,27.5,27.55,12500
95324,2015-10-16,NICL,27.5,28.0,27.11,28.0,6500
95831,2015-10-19,NICL,28.0,28.5,27.9,28.5,81500
96333,2015-10-20,NICL,28.85,28.85,28.49,28.5,32500
96832,2015-10-21,NICL,28.75,28.75,28.0,28.08,100500
97335,2015-10-22,NICL,27.5,28.0,27.5,27.61,29500
97824,2015-10-26,NICL,28.2,28.2,27.61,27.61,2000
98343,2015-10-27,NICL,28.0,28.99,28.0,28.45,257000
98887,2015-10-28,NICL,28.99,28.99,27.8,28.3,15500
99428,2015-10-29,NICL,27.8,28.36,27.8,28.36,4500
99963,2015-10-30,NICL,28.0,28.5,27.5,28.18,12000
100506,2015-11-02,NICL,27.7,28.0,27.7,28.0,8000
100993,2015-11-03,NICL,28.0,28.19,28.0,28.0,2500
101502,2015-11-04,NICL,27.7,28.0,27.45,28.0,8500
102015,2015-11-05,NICL,28.0,28.0,27.75,27.99,5000
102515,2015-11-06,NICL,27.5,27.8,27.02,27.65,24000
103000,2015-11-09,NICL,27.5,27.5,27.05,27.25,20000
103490,2015-11-10,NICL,27.0,27.25,26.2,26.54,26500
103978,2015-11-11,NICL,27.0,27.0,26.75,26.75,9500
104496,2015-11-12,NICL,27.5,27.74,27.5,27.74,30000
104997,2015-11-13,NICL,27.01,28.0,27.0,27.01,21500
105476,2015-11-16,NICL,27.5,27.5,27.4,27.45,7500
105995,2015-11-17,NICL,27.5,27.79,27.5,27.5,20000
106524,2015-11-18,NICL,27.49,27.49,26.72,27.0,13000
107019,2015-11-19,NICL,26.5,27.5,26.4,27.44,16000
107511,2015-11-20,NICL,27.0,27.8,27.0,27.48,11000
108026,2015-11-23,NICL,27.0,27.5,27.0,27.5,456500
108571,2015-11-24,NICL,27.05,28.1,26.9,27.39,33500
109111,2015-11-25,NICL,27.5,27.5,27.0,27.0,3500
109646,2015-11-26,NICL,26.99,27.4,26.7,27.1,5500
110168,2015-11-27,NICL,26.5,27.0,26.5,26.7,5500
110698,2015-11-30,NICL,26.5,26.52,25.37,25.69,51000
111199,2015-12-01,NICL,25.25,25.98,24.41,24.95,51500
111691,2015-12-02,NICL,25.2,26.19,25.2,26.19,5000
112170,2015-12-03,NICL,24.89,26.13,24.89,25.55,1500
112656,2015-12-04,NICL,26.0,26.0,25.5,25.75,12000
113141,2015-12-07,NICL,26.0,26.3,25.51,25.94,33500
113627,2015-12-08,NICL,25.6,26.1,25.55,25.85,25500
114128,2015-12-09,NICL,25.6,26.0,25.5,25.5,217500
114616,2015-12-10,NICL,24.75,25.5,24.75,25.35,9000
115086,2015-12-14,NICL,24.75,25.45,24.75,24.98,1500
115555,2015-12-15,NICL,24.9,25.0,24.4,24.4,9500
116026,2015-12-16,NICL,25.0,25.0,25.0,25.0,2000
116508,2015-12-17,NICL,25.49,25.8,25.49,25.8,32000
116976,2015-12-18,NICL,25.8,25.8,25.8,25.8,500
117445,2015-12-22,NICL,24.99,24.99,24.4,24.4,23500
117957,2015-12-23,NICL,24.4,24.8,24.4,24.5,7500
118466,2015-12-28,NICL,24.78,25.2,24.55,24.55,42000
119416,2015-12-30,NICL,25.49,25.49,25.49,25.49,500
119878,2015-12-31,NICL,24.75,24.85,24.75,24.85,10500
120343,2016-01-01,NICL,25.5,25.5,25.0,25.37,36500
120806,2016-01-05,NICL,25.0,25.5,24.6,25.12,152000
121261,2016-01-06,NICL,25.01,25.01,25.0,25.0,1500
