,Date,Symbol,Open,High,Low,Close,Volume
158822,2016-05-13,NRSL,10.11,10.31,9.51,9.67,10764500
159346,2016-05-16,NRSL,9.85,10.19,9.66,9.79,5547500
159871,2016-05-18,NRSL,9.5,10.04,9.25,9.78,4970500
160406,2016-05-19,NRSL,10.04,10.78,9.9,10.78,10589000
160916,2016-05-20,NRSL,11.0,11.74,10.68,10.93,13587000
161432,2016-05-23,NRSL,10.8,11.24,10.7,10.87,3622000
162005,2016-05-24,NRSL,10.97,11.44,10.86,10.91,3924500
162574,2016-05-25,NRSL,11.09,11.24,10.56,10.73,2909000
163148,2016-05-26,NRSL,10.73,10.8,10.25,10.38,3349000
163714,2016-06-02,NRSL,10.3,10.37,9.86,9.93,1640000
164256,2016-06-03,NRSL,9.86,10.35,9.8,9.91,2136000
164781,2016-06-06,NRSL,9.89,10.09,9.7,9.74,388000
165271,2016-06-07,NRSL,9.68,9.93,9.55,9.6,421500
165755,2016-06-07,NRSL,9.68,9.93,9.55,9.6,421500
166249,2016-06-08,NRSL,9.7,9.7,9.46,9.51,442000
166749,2016-06-09,NRSL,9.46,9.55,9.2,9.26,720500
167239,2016-06-10,NRSL,9.4,10.1,9.16,9.23,1764500
167717,2016-06-13,NRSL,9.2,9.28,9.0,9.13,823000
168197,2016-06-14,NRSL,9.16,9.43,9.1,9.17,727500
168694,2016-06-15,NRSL,9.46,9.46,8.95,9.03,945500
169187,2016-06-16,NRSL,8.95,9.2,8.61,8.73,1476000
169677,2016-06-17,NRSL,8.79,9.0,8.68,8.87,609500
170152,2016-06-20,NRSL,8.97,9.84,8.97,9.64,2664500
170665,2016-06-21,NRSL,9.6,9.95,9.21,9.29,1349500
171193,2016-06-22,NRSL,9.4,9.42,9.1,9.21,485000
171704,2016-06-23,NRSL,9.4,9.69,9.23,9.61,765000
172232,2016-06-24,NRSL,9.4,9.58,8.86,9.42,1323500
172740,2016-06-27,NRSL,9.74,9.89,9.1,9.2,693000
173236,2016-06-28,NRSL,9.12,9.12,8.76,8.81,451000
173725,2016-06-29,NRSL,8.94,9.44,8.8,9.15,1156500
174211,2016-06-30,NRSL,9.12,9.17,8.95,9.01,205000
174676,2016-07-04,NRSL,9.22,9.24,8.95,9.17,168500
