,Date,Symbol,Open,High,Low,Close,Volume
121,2015-01-01,NCL,45.55,47.35,45.21,46.98,4191500
629,2015-01-02,NCL,47.9,49.32,47.75,48.35,7341000
1154,2015-01-05,NCL,48.75,48.99,48.0,48.41,2058000
1657,2015-01-06,NCL,48.45,50.6,48.36,49.72,7977500
2175,2015-01-07,NCL,50.25,50.68,49.7,49.77,3234000
2683,2015-01-08,NCL,49.9,50.98,48.8,50.64,5063500
3202,2015-01-09,NCL,50.94,51.4,50.25,50.84,6482500
3721,2015-01-12,NCL,51.15,51.65,49.74,50.13,3211500
4257,2015-01-13,NCL,50.41,50.7,49.56,50.11,1710000
4804,2015-01-14,NCL,50.3,51.8,50.0,51.32,6229000
5348,2015-01-15,NCL,51.5,52.0,50.81,51.03,3485500
5894,2015-01-16,NCL,51.35,51.5,50.51,50.98,1485000
6420,2015-01-19,NCL,51.29,51.5,49.83,50.03,2654000
6958,2015-01-20,NCL,50.1,50.5,48.0,48.32,3466000
7495,2015-01-21,NCL,48.83,48.83,45.91,46.17,10570000
8021,2015-01-22,NCL,46.25,46.95,46.25,46.46,2649500
8537,2015-01-23,NCL,46.5,46.73,45.5,46.06,1045000
9048,2015-01-26,NCL,46.79,47.18,46.5,46.55,2181500
9610,2015-01-27,NCL,46.69,46.69,45.8,46.02,2008500
10163,2015-01-28,NCL,46.35,46.35,45.4,45.51,609000
10717,2015-01-29,NCL,45.69,46.19,45.25,46.0,1037500
11257,2015-01-30,NCL,46.2,46.3,44.9,45.05,2031000
11805,2015-02-02,NCL,46.19,46.8,46.01,46.23,3403500
12323,2015-02-03,NCL,46.4,46.6,45.25,45.38,948000
12842,2015-02-04,NCL,45.25,46.06,45.0,45.11,1050500
13350,2015-02-06,NCL,45.4,46.0,45.3,45.62,1134000
13856,2015-02-09,NCL,45.75,46.25,45.1,45.97,1319000
14359,2015-02-10,NCL,47.25,47.4,46.16,46.43,3478000
14864,2015-02-11,NCL,46.6,46.69,44.93,45.2,826000
15377,2015-02-12,NCL,44.8,45.3,43.5,44.23,1363500
15880,2015-02-13,NCL,44.25,44.7,43.7,43.8,1312500
16377,2015-02-16,NCL,43.71,45.2,42.96,43.13,1492500
16875,2015-02-17,NCL,43.39,43.6,42.7,42.96,971500
17374,2015-02-18,NCL,43.15,43.2,42.6,42.91,521000
17879,2015-02-19,NCL,42.8,44.15,42.8,43.42,5317500
18377,2015-02-20,NCL,43.5,43.65,42.8,42.87,2400000
18866,2015-02-23,NCL,43.0,43.9,42.9,43.42,3484500
19405,2015-02-24,NCL,43.65,44.99,43.21,43.44,3940500
19948,2015-02-25,NCL,43.69,43.75,42.9,43.53,1242000
