,Date,Symbol,Open,High,Low,Close,Volume
134,2015-01-01,NML,121.89,126.0,121.5,124.3,2369800
645,2015-01-02,NML,127.45,130.51,127.45,128.88,1858500
1166,2015-01-05,NML,131.0,131.25,128.4,128.78,617300
1673,2015-01-06,NML,128.1,130.7,126.12,126.92,2417700
2190,2015-01-07,NML,127.0,128.89,126.6,126.79,606600
2702,2015-01-08,NML,127.0,128.25,126.8,127.79,332600
3216,2015-01-09,NML,128.0,131.4,128.0,130.84,2423900
3735,2015-01-12,NML,132.42,132.42,129.31,131.22,1941900
4273,2015-01-13,NML,131.5,133.2,130.6,131.64,2822000
4820,2015-01-14,NML,131.9,133.1,131.38,131.89,1243500
5364,2015-01-15,NML,132.29,134.99,131.8,132.19,1755000
5908,2015-01-16,NML,133.49,133.59,131.0,131.18,481900
6437,2015-01-19,NML,132.0,132.5,131.06,131.49,619300
6976,2015-01-20,NML,132.4,133.7,131.94,132.69,943600
7511,2015-01-21,NML,133.49,135.9,132.7,134.33,2167800
8036,2015-01-22,NML,134.75,136.98,133.0,133.68,951900
8549,2015-01-23,NML,134.9,135.2,132.6,133.86,1028400
9064,2015-01-26,NML,137.49,137.49,135.0,135.85,2366600
9624,2015-01-27,NML,135.79,135.85,133.1,133.7,1801400
10177,2015-01-28,NML,133.0,133.5,129.77,130.15,815100
10729,2015-01-29,NML,130.89,132.2,129.8,131.64,1419300
11270,2015-01-30,NML,132.4,132.49,129.4,130.73,1367800
11822,2015-02-02,NML,133.1,136.7,133.1,134.66,1941200
12337,2015-02-03,NML,135.05,135.5,131.76,132.17,1081200
12857,2015-02-04,NML,132.99,132.99,130.1,130.45,807900
13365,2015-02-06,NML,131.0,133.4,131.0,132.45,721300
13871,2015-02-09,NML,132.9,134.5,132.0,133.24,916700
14375,2015-02-10,NML,137.0,137.9,133.8,134.48,2351700
14880,2015-02-11,NML,134.5,135.4,131.65,132.58,557600
15392,2015-02-12,NML,132.3,133.0,129.0,129.7,903800
15895,2015-02-13,NML,131.0,131.5,127.8,128.0,511400
16391,2015-02-16,NML,128.89,129.19,127.25,127.72,221900
16891,2015-02-17,NML,128.39,129.7,127.0,127.44,374700
17391,2015-02-18,NML,127.7,127.99,126.0,126.18,155600
17897,2015-02-19,NML,127.19,129.85,127.0,128.92,537600
18389,2015-02-20,NML,129.7,129.9,127.22,128.11,291500
18881,2015-02-23,NML,128.9,129.4,127.1,127.56,101300
19422,2015-02-24,NML,128.0,129.0,125.62,125.97,509400
19963,2015-02-25,NML,126.5,126.51,125.0,125.53,334600
20509,2015-02-26,NML,125.9,126.5,124.25,125.12,419100
