,Date,Symbol,Open,High,Low,Close,Volume
1195,2015-01-05,NONS,29.55,29.55,29.55,29.55,1000
2221,2015-01-07,NONS,28.08,28.08,28.08,28.08,500
2734,2015-01-08,NONS,26.8,28.0,26.68,27.0,16000
3248,2015-01-09,NONS,27.0,27.0,25.65,25.74,2500
3767,2015-01-12,NONS,26.75,27.0,26.75,27.0,22500
4308,2015-01-13,NONS,26.9,26.9,26.2,26.2,1000
4854,2015-01-14,NONS,26.99,27.0,25.75,25.75,2500
5399,2015-01-15,NONS,25.0,25.0,25.0,25.0,4500
5939,2015-01-16,NONS,25.26,25.26,25.26,25.26,2000
6473,2015-01-19,NONS,26.24,26.24,24.0,24.11,19500
7008,2015-01-20,NONS,24.5,25.14,24.2,24.2,3500
7542,2015-01-21,NONS,24.75,25.4,24.75,25.4,2000
8066,2015-01-22,NONS,25.99,25.99,24.3,24.32,2500
9654,2015-01-27,NONS,24.8,24.8,24.8,24.8,500
10210,2015-01-28,NONS,24.1,24.1,23.75,23.92,3500
13902,2015-02-09,NONS,23.5,23.5,23.5,23.5,2000
14409,2015-02-10,NONS,23.75,23.75,23.1,23.1,2000
14915,2015-02-11,NONS,23.6,24.25,23.6,24.25,1000
15429,2015-02-12,NONS,25.4,25.46,23.5,23.54,18500
15926,2015-02-13,NONS,24.7,24.71,24.65,24.69,3000
16421,2015-02-16,NONS,25.75,25.79,24.01,24.01,2500
16917,2015-02-17,NONS,25.21,25.21,25.21,25.21,500
17420,2015-02-18,NONS,26.0,26.4,26.0,26.39,2500
18418,2015-02-20,NONS,27.0,27.7,27.0,27.55,9500
19453,2015-02-24,NONS,26.5,28.5,26.18,28.44,9000
19988,2015-02-25,NONS,28.8,28.8,27.05,28.15,4000
20537,2015-02-26,NONS,28.4,29.45,28.0,28.0,9000
21072,2015-02-27,NONS,27.0,28.49,27.0,27.83,15000
22111,2015-03-03,NONS,28.0,28.0,28.0,28.0,1000
22614,2015-03-04,NONS,28.0,28.85,28.0,28.0,3000
25508,2015-03-12,NONS,27.0,28.89,27.0,28.89,5000
26477,2015-03-16,NONS,27.45,27.45,27.45,27.45,2500
26947,2015-03-17,NONS,28.25,28.82,27.05,28.35,14000
27452,2015-03-18,NONS,28.75,29.76,26.95,29.18,28500
27942,2015-03-19,NONS,28.5,30.5,28.5,30.5,1000
28884,2015-03-24,NONS,29.0,29.0,29.0,29.0,500
29900,2015-03-26,NONS,29.0,29.0,29.0,29.0,2000
30429,2015-03-27,NONS,27.55,27.55,27.55,27.55,1500
34014,2015-04-07,NONS,27.0,27.0,27.0,27.0,500
34989,2015-04-09,NONS,26.6,26.6,25.65,25.65,2000
35495,2015-04-10,NONS,25.9,25.9,24.4,24.4,1000
36485,2015-04-14,NONS,24.5,24.5,24.5,24.5,2000
39539,2015-04-22,NONS,25.0,25.7,25.0,25.35,1000
41638,2015-04-28,NONS,25.05,25.05,24.1,24.3,7000
42159,2015-04-29,NONS,25.0,25.0,25.0,25.0,4000
42659,2015-04-30,NONS,24.0,25.0,24.0,25.0,16000
44161,2015-05-06,NONS,0.0,25.5,25.5,25.0,500
46587,2015-05-13,NONS,23.75,23.75,23.75,23.75,500
47060,2015-05-14,NONS,23.0,24.93,23.0,24.93,2000
47548,2015-05-15,NONS,23.75,26.14,23.75,26.14,2000
48505,2015-05-20,NONS,28.75,28.81,28.75,28.81,6000
48983,2015-05-21,NONS,28.25,29.9,28.25,29.9,2000
49451,2015-05-22,NONS,30.0,30.7,30.0,30.7,3000
49917,2015-05-25,NONS,31.0,31.4,30.0,30.0,1500
50442,2015-05-27,NONS,31.0,31.45,31.0,31.45,2000
50968,2015-05-28,NONS,32.9,32.9,29.88,31.49,10000
51497,2015-05-29,NONS,30.0,31.47,29.92,31.47,3500
52047,2015-06-01,NONS,29.9,29.9,29.9,29.9,11000
52566,2015-06-02,NONS,31.2,31.2,28.41,28.42,4000
53081,2015-06-03,NONS,29.5,29.84,29.5,29.84,3500
53609,2015-06-04,NONS,31.0,31.2,31.0,31.2,1500
54125,2015-06-05,NONS,31.5,32.76,31.5,31.63,16500
54650,2015-06-08,NONS,32.4,32.4,30.4,30.4,6500
55174,2015-06-09,NONS,31.3,31.3,29.0,29.0,2000
55697,2015-06-10,NONS,27.6,30.4,27.6,30.4,2000
56227,2015-06-12,NONS,30.33,30.33,30.33,30.33,500
56765,2015-06-15,NONS,31.74,31.84,31.74,31.84,2000
57817,2015-06-17,NONS,32.0,32.0,31.0,31.0,6500
58862,2015-06-19,NONS,32.0,32.5,32.0,32.5,5500
59894,2015-06-23,NONS,33.99,33.99,33.99,33.99,500
64078,2015-07-03,NONS,32.5,32.5,32.5,32.5,1500
64585,2015-07-06,NONS,33.6,33.6,33.6,33.6,500
65096,2015-07-07,NONS,0.0,32.0,32.0,33.6,500
65609,2015-07-08,NONS,32.0,32.0,32.0,32.0,500
67107,2015-07-13,NONS,33.0,33.0,31.0,31.03,7000
68137,2015-07-15,NONS,30.0,30.0,30.0,30.0,500
68662,2015-07-16,NONS,31.5,31.5,31.5,31.5,500
70786,2015-07-27,NONS,31.5,32.9,31.5,32.9,3000
71338,2015-07-28,NONS,33.0,34.53,33.0,33.0,1500
71904,2015-07-29,NONS,31.61,31.61,31.35,31.35,2000
73000,2015-07-31,NONS,31.31,31.31,30.3,30.81,1000
73527,2015-08-03,NONS,30.0,30.0,30.0,30.0,500
74013,2015-08-04,NONS,30.5,31.5,30.5,31.5,3500
74530,2015-08-05,NONS,32.65,33.07,31.13,31.13,7500
75052,2015-08-06,NONS,32.55,32.6,32.55,32.55,1000
75575,2015-08-07,NONS,33.99,34.17,33.99,34.17,28500
76084,2015-08-10,NONS,35.5,35.5,35.5,35.5,500
76606,2015-08-11,NONS,36.0,36.0,36.0,36.0,1000
77119,2015-08-12,NONS,35.0,35.0,35.0,35.0,10500
77644,2015-08-13,NONS,35.0,36.75,35.0,36.75,33500
78155,2015-08-17,NONS,38.0,38.58,38.0,38.58,14000
78664,2015-08-18,NONS,40.5,40.5,39.9,40.5,22000
79179,2015-08-19,NONS,42.52,42.52,42.49,42.52,24500
79700,2015-08-20,NONS,44.6,44.6,43.0,43.0,8000
80200,2015-08-21,NONS,40.85,43.95,40.85,42.35,4500
80713,2015-08-24,NONS,41.5,41.5,40.24,40.24,4500
82337,2015-08-27,NONS,40.0,40.0,38.23,38.82,1500
83442,2015-08-31,NONS,36.9,40.75,36.9,38.59,6000
83966,2015-09-01,NONS,36.7,36.7,36.67,36.67,4500
84453,2015-09-14,NONS,34.95,34.95,34.95,34.95,500
84930,2015-09-15,NONS,36.69,36.69,36.69,36.69,22000
85412,2015-09-16,NONS,38.0,38.52,37.26,37.67,8000
85903,2015-09-17,NONS,36.01,39.48,36.0,36.01,447000
86830,2015-09-21,NONS,36.0,36.0,36.0,36.0,1000
87337,2015-09-22,NONS,36.55,36.55,36.55,36.55,500
88318,2015-09-28,NONS,34.73,34.73,34.73,34.73,500
88792,2015-09-29,NONS,33.0,33.0,33.0,33.0,500
89266,2015-09-30,NONS,31.35,31.35,31.35,31.35,1000
89739,2015-10-01,NONS,32.91,32.91,32.91,32.91,1000
92671,2015-10-09,NONS,32.25,34.55,32.25,34.5,2500
93683,2015-10-13,NONS,35.0,36.22,35.0,36.22,14500
94194,2015-10-14,NONS,37.0,38.03,37.0,38.03,9000
94696,2015-10-15,NONS,39.75,39.93,39.75,39.93,10500
95188,2015-10-16,NONS,41.89,41.92,41.89,41.92,6500
95695,2015-10-19,NONS,43.0,44.01,43.0,44.01,35000
96196,2015-10-20,NONS,45.9,46.21,45.0,46.21,54500
96698,2015-10-21,NONS,48.52,48.52,48.52,48.52,1500
97196,2015-10-22,NONS,50.94,50.94,50.94,50.94,7000
97690,2015-10-26,NONS,53.48,53.48,48.4,52.49,73000
98216,2015-10-27,NONS,55.11,55.11,51.35,54.97,64500
98748,2015-10-28,NONS,57.71,57.71,55.0,57.71,21000
99295,2015-10-29,NONS,60.59,60.59,58.5,60.59,54500
99836,2015-10-30,NONS,62.99,63.61,62.0,63.61,9500
100373,2015-11-02,NONS,66.74,66.79,66.64,66.79,21500
100862,2015-11-03,NONS,70.12,70.12,69.85,70.12,41000
101366,2015-11-04,NONS,73.0,73.62,73.0,73.62,18500
101882,2015-11-05,NONS,77.3,77.3,77.3,77.3,2500
102383,2015-11-06,NONS,81.16,81.16,74.51,77.7,46500
102869,2015-11-09,NONS,74.36,77.74,73.82,73.82,27500
103358,2015-11-10,NONS,70.15,77.51,70.13,75.77,60500
103848,2015-11-11,NONS,75.48,75.49,72.55,74.4,16500
104358,2015-11-12,NONS,74.5,74.5,72.5,72.52,7500
104867,2015-11-13,NONS,74.0,76.14,73.5,76.14,31000
105348,2015-11-16,NONS,75.0,79.63,75.0,79.29,27000
105859,2015-11-17,NONS,81.0,82.0,76.0,79.25,21000
106385,2015-11-18,NONS,76.4,77.77,76.0,76.15,27500
106889,2015-11-19,NONS,78.0,79.84,73.6,78.71,78500
107380,2015-11-20,NONS,81.0,82.0,76.0,76.97,102500
107890,2015-11-23,NONS,76.1,78.79,74.0,74.17,20500
108436,2015-11-24,NONS,72.12,73.85,70.47,70.47,10500
108976,2015-11-25,NONS,67.26,67.36,66.95,66.95,4000
109517,2015-11-26,NONS,63.9,66.99,63.61,63.61,27000
110039,2015-11-27,NONS,60.5,60.5,60.43,60.43,9500
110569,2015-11-30,NONS,57.41,57.41,57.41,57.41,3500
111064,2015-12-01,NONS,54.54,54.54,54.54,54.54,4000
111553,2015-12-02,NONS,0.0,51.9732,51.9732,51.9732,0
112040,2015-12-03,NONS,49.38,54.57,49.38,53.67,516000
112519,2015-12-04,NONS,55.4,56.35,50.99,50.99,444500
113008,2015-12-07,NONS,48.62,49.7,48.45,48.45,39500
113495,2015-12-08,NONS,49.15,50.87,46.03,46.03,362500
113997,2015-12-09,NONS,44.98,47.7,44.98,46.09,60500
114483,2015-12-10,NONS,46.84,48.2,45.0,46.21,149000
114950,2015-12-14,NONS,43.25,46.64,42.26,46.64,72500
115427,2015-12-15,NONS,48.97,48.97,47.0,48.46,173000
115897,2015-12-16,NONS,48.5,49.0,46.16,46.27,96000
116376,2015-12-17,NONS,46.1,47.48,46.05,47.0,50500
116844,2015-12-18,NONS,45.4,48.99,45.4,47.31,34000
117317,2015-12-22,NONS,43.75,45.7,42.86,42.86,52000
117824,2015-12-23,NONS,41.02,41.7,40.73,40.95,18000
118341,2015-12-28,NONS,40.7,40.7,38.91,39.04,49000
118810,2015-12-29,NONS,37.3,38.58,37.3,37.93,14500
119285,2015-12-30,NONS,38.01,39.3,36.3,36.41,26500
119748,2015-12-31,NONS,36.0,36.0,34.59,34.85,65500
120219,2016-01-01,NONS,36.44,36.59,36.0,36.58,32500
120683,2016-01-05,NONS,37.2,40.28,36.7,36.85,79500
121134,2016-01-06,NONS,35.55,35.6,35.01,35.01,26000
121605,2016-01-07,NONS,33.5,36.3,33.5,35.3,44500
122523,2016-01-12,NONS,37.0,37.95,37.0,37.4,2500
122984,2016-01-13,NONS,36.6,36.6,35.53,36.0,21000
123468,2016-01-14,NONS,34.2,34.25,34.2,34.2,24000
123950,2016-01-15,NONS,34.0,35.91,33.0,34.5,58000
