,Date,Symbol,Open,High,Low,Close,Volume
269,2015-01-01,OTSU,85.5,86.0,85.25,85.5,2500
794,2015-01-02,OTSU,87.79,87.8,85.0,85.17,6500
1820,2015-01-06,OTSU,84.95,85.0,84.5,84.75,4000
2339,2015-01-07,OTSU,86.0,86.4,85.0,85.0,3500
3365,2015-01-09,OTSU,84.0,84.0,83.01,83.47,4000
3891,2015-01-12,OTSU,84.9,86.0,84.9,86.0,1500
4429,2015-01-13,OTSU,85.0,85.0,83.5,83.5,4500
4974,2015-01-14,OTSU,83.5,87.67,83.5,87.67,15000
5521,2015-01-15,OTSU,90.0,92.05,90.0,92.05,47000
6058,2015-01-16,OTSU,96.65,96.65,96.6,96.65,22000
6592,2015-01-19,OTSU,101.48,101.48,95.05,101.48,103000
7128,2015-01-20,OTSU,103.3,104.3,99.0,99.0,36500
7665,2015-01-21,OTSU,97.55,99.49,94.05,94.22,44000
8187,2015-01-22,OTSU,90.6,94.0,90.06,90.68,12000
8694,2015-01-23,OTSU,89.7,92.5,89.0,89.13,16000
9218,2015-01-26,OTSU,93.0,93.25,86.1,90.71,43500
9774,2015-01-27,OTSU,93.0,95.24,92.79,95.24,31000
10332,2015-01-28,OTSU,99.0,100.0,94.6,100.0,80000
10882,2015-01-29,OTSU,104.5,105.0,101.0,105.0,82500
11416,2015-01-30,OTSU,109.45,110.25,109.45,110.25,40000
11976,2015-02-02,OTSU,115.76,115.76,115.75,115.76,48000
12493,2015-02-03,OTSU,121.54,121.54,110.0,111.24,110500
13012,2015-02-04,OTSU,111.0,111.0,105.68,105.68,36000
13516,2015-02-06,OTSU,105.0,105.0,100.4,100.82,27000
14024,2015-02-09,OTSU,104.0,105.8,103.1,103.1,19000
14523,2015-02-10,OTSU,102.0,102.0,97.95,100.0,21000
15033,2015-02-11,OTSU,98.0,101.0,97.8,100.0,4500
15547,2015-02-12,OTSU,100.5,100.8,97.0,97.5,11000
16044,2015-02-13,OTSU,100.0,100.0,99.9,99.93,3500
16541,2015-02-16,OTSU,99.0,102.45,99.0,102.45,6000
17037,2015-02-17,OTSU,102.5,102.5,97.33,99.01,20000
17537,2015-02-18,OTSU,94.7,103.96,94.7,102.0,33000
18043,2015-02-19,OTSU,100.5,100.5,98.0,100.0,15500
18532,2015-02-20,OTSU,0.0,102.0,102.0,100.0,1500
19568,2015-02-24,OTSU,98.0,98.4,95.5,95.83,9500
20103,2015-02-25,OTSU,97.9,97.9,95.0,95.0,2500
20655,2015-02-26,OTSU,95.1,95.1,95.0,95.0,2500
21184,2015-02-27,OTSU,92.01,92.01,91.5,91.5,4000
22225,2015-03-03,OTSU,90.0,90.0,90.0,90.0,1000
23219,2015-03-05,OTSU,90.0,90.0,90.0,90.0,500
25135,2015-03-11,OTSU,85.5,86.52,85.5,85.63,8500
25622,2015-03-12,OTSU,84.2,85.0,84.0,85.0,3000
26104,2015-03-13,OTSU,88.0,89.25,88.0,88.75,8000
26587,2015-03-16,OTSU,86.1,93.17,86.1,93.17,5500
27059,2015-03-17,OTSU,92.0,92.35,91.0,92.35,3500
27562,2015-03-18,OTSU,89.9,93.0,87.74,87.75,12000
28052,2015-03-19,OTSU,85.0,87.7,85.0,87.7,1000
28520,2015-03-20,OTSU,86.5,86.5,83.32,83.34,25000
28992,2015-03-24,OTSU,82.0,82.0,82.0,82.0,500
29498,2015-03-25,OTSU,80.01,80.01,78.2,78.4,10500
30010,2015-03-26,OTSU,76.5,76.5,74.48,74.48,4000
30542,2015-03-27,OTSU,70.76,73.9,70.76,71.34,14000
31095,2015-03-30,OTSU,68.0,70.0,67.78,67.78,16500
