,Date,Symbol,Open,High,Low,Close,Volume
244,2015-01-01,PAEL,41.19,42.97,41.11,42.97,3954500
767,2015-01-02,PAEL,44.75,45.11,44.0,45.11,7572000
1286,2015-01-05,PAEL,45.29,47.36,44.25,46.7,22952000
1793,2015-01-06,PAEL,47.0,47.7,45.85,46.39,24651000
2313,2015-01-07,PAEL,46.81,46.9,45.8,46.1,8404000
2825,2015-01-08,PAEL,46.2,46.75,45.85,46.53,11833500
3338,2015-01-09,PAEL,47.01,48.85,47.0,48.18,24227500
3864,2015-01-12,PAEL,48.45,48.8,47.61,48.3,7909500
4402,2015-01-13,PAEL,48.1,50.2,48.1,49.52,20698500
4947,2015-01-14,PAEL,50.25,50.68,48.7,49.05,21137500
5494,2015-01-15,PAEL,49.0,50.18,48.7,49.18,9672500
6031,2015-01-16,PAEL,49.49,49.55,48.51,48.67,4186000
6567,2015-01-19,PAEL,48.94,49.6,48.45,49.27,11621500
7101,2015-01-20,PAEL,50.0,50.95,49.8,50.1,26672000
7638,2015-01-21,PAEL,50.35,50.57,49.65,50.01,10428000
8160,2015-01-22,PAEL,50.29,50.31,47.56,48.16,10292000
8668,2015-01-23,PAEL,47.94,49.48,46.89,48.74,20321000
9191,2015-01-26,PAEL,51.17,51.17,50.15,50.75,22390500
9747,2015-01-27,PAEL,50.7,50.99,50.06,50.18,8938000
10305,2015-01-28,PAEL,50.0,50.1,48.85,49.06,7748500
10855,2015-01-29,PAEL,48.85,51.3,48.8,50.71,14053000
11389,2015-01-30,PAEL,51.5,53.24,51.4,52.98,21047500
11949,2015-02-02,PAEL,53.65,55.62,53.25,55.62,19334500
12465,2015-02-03,PAEL,56.39,56.47,54.6,54.9,20453000
12984,2015-02-04,PAEL,55.28,57.6,55.0,56.26,36407500
13488,2015-02-06,PAEL,55.7,57.39,55.7,56.37,15709000
13996,2015-02-09,PAEL,57.32,57.9,56.11,56.34,12476500
14495,2015-02-10,PAEL,56.49,58.9,54.76,58.19,30878500
15004,2015-02-11,PAEL,59.05,59.85,57.55,58.13,24715500
15519,2015-02-12,PAEL,58.2,58.99,55.23,58.35,23919000
16016,2015-02-13,PAEL,59.0,59.49,58.12,58.79,16701000
16513,2015-02-16,PAEL,59.0,59.35,58.05,58.71,9590500
17008,2015-02-17,PAEL,58.85,59.0,57.3,58.26,13679000
