,Date,Symbol,Open,High,Low,Close,Volume
251,2015-01-01,PIAA,7.57,7.64,7.4,7.51,662500
775,2015-01-02,PIAA,7.6,7.63,7.46,7.57,1123000
1294,2015-01-05,PIAA,7.68,7.82,7.56,7.79,1971000
1801,2015-01-06,PIAA,7.83,7.99,7.6,7.65,1797500
2321,2015-01-07,PIAA,7.63,8.2,7.63,8.12,11559500
2833,2015-01-08,PIAA,8.02,8.18,7.78,7.93,2819500
3346,2015-01-09,PIAA,8.0,8.43,7.96,8.16,14029000
3872,2015-01-12,PIAA,8.3,8.3,7.96,8.0,3271000
4410,2015-01-13,PIAA,8.01,8.56,8.01,8.41,15015500
4955,2015-01-14,PIAA,8.46,9.15,8.46,8.98,29093500
5502,2015-01-15,PIAA,9.02,9.81,8.79,9.43,32304000
6039,2015-01-16,PIAA,9.4,9.67,9.17,9.23,6495500
6574,2015-01-19,PIAA,9.14,9.74,8.94,9.62,16950500
7109,2015-01-20,PIAA,9.6,9.68,9.35,9.42,4792000
7646,2015-01-21,PIAA,9.45,9.83,9.39,9.47,12115500
8168,2015-01-22,PIAA,9.5,9.55,9.1,9.12,5042500
8676,2015-01-23,PIAA,9.33,9.45,9.15,9.21,2563500
9199,2015-01-26,PIAA,9.4,9.45,9.12,9.22,2955500
9755,2015-01-27,PIAA,9.3,9.39,9.08,9.18,2822500
10313,2015-01-28,PIAA,9.21,9.35,9.1,9.18,1807000
10863,2015-01-29,PIAA,9.05,9.3,8.95,9.0,3074500
11397,2015-01-30,PIAA,9.1,9.11,8.95,9.0,2365500
11957,2015-02-02,PIAA,9.02,9.31,9.0,9.05,2704000
12473,2015-02-03,PIAA,9.1,9.1,8.51,8.67,2155500
12992,2015-02-04,PIAA,8.79,8.82,8.62,8.72,3168500
13496,2015-02-06,PIAA,8.63,8.73,8.43,8.48,3400500
14004,2015-02-09,PIAA,8.5,8.6,8.2,8.27,1155000
14504,2015-02-10,PIAA,8.23,8.31,7.97,8.27,1512500
15013,2015-02-11,PIAA,8.29,8.31,8.08,8.13,321500
15528,2015-02-12,PIAA,8.29,9.13,8.25,9.13,11165500
16025,2015-02-13,PIAA,9.4,9.67,9.17,9.29,17124500
16522,2015-02-16,PIAA,9.31,9.68,9.1,9.26,17986500
17017,2015-02-17,PIAA,9.25,9.87,9.17,9.48,14341500
17518,2015-02-18,PIAA,9.6,9.7,9.26,9.31,3930000
18024,2015-02-19,PIAA,9.26,10.31,9.26,10.25,24086500
18513,2015-02-20,PIAA,10.25,10.42,9.75,9.91,16242500
19003,2015-02-23,PIAA,10.0,10.19,9.72,9.8,6836500
19548,2015-02-24,PIAA,9.75,9.97,9.51,9.62,2944000
20083,2015-02-25,PIAA,9.7,10.16,9.65,10.12,9748000
20635,2015-02-26,PIAA,10.15,10.32,9.9,9.99,6595000
21164,2015-02-27,PIAA,10.0,10.29,9.94,10.0,6938000
21700,2015-03-02,PIAA,9.92,10.05,9.36,9.51,5027500
22205,2015-03-03,PIAA,9.51,9.7,9.2,9.48,3817000
22707,2015-03-04,PIAA,9.67,9.7,9.35,9.45,2031000
23201,2015-03-05,PIAA,9.5,9.53,9.29,9.33,1338500
23672,2015-03-06,PIAA,9.3,9.63,9.1,9.21,1374000
24146,2015-03-09,PIAA,9.38,9.4,9.0,9.04,426500
24632,2015-03-10,PIAA,9.14,9.15,8.76,8.81,839000
25115,2015-03-11,PIAA,8.55,9.25,8.5,9.2,3386000
25602,2015-03-12,PIAA,9.27,9.34,8.9,9.02,1135500
26084,2015-03-13,PIAA,9.18,9.34,9.0,9.26,1977000
26567,2015-03-16,PIAA,9.25,9.59,9.05,9.1,3282000
27039,2015-03-17,PIAA,9.03,9.22,8.95,9.1,1784000
27543,2015-03-18,PIAA,9.14,9.15,8.3,8.53,4201000
28033,2015-03-19,PIAA,8.69,8.88,8.45,8.58,2293000
28501,2015-03-20,PIAA,8.6,9.08,8.6,8.98,2329500
28973,2015-03-24,PIAA,9.2,9.2,8.61,8.74,938500
29478,2015-03-25,PIAA,8.89,8.9,8.2,8.31,3155500
29991,2015-03-26,PIAA,8.4,8.6,7.51,7.94,7784000
30523,2015-03-27,PIAA,8.15,8.25,7.55,7.69,1601500
31076,2015-03-30,PIAA,7.67,7.67,6.69,6.71,9666000
31582,2015-03-31,PIAA,6.71,7.71,6.7,7.71,3779000
32086,2015-04-01,PIAA,7.78,8.01,7.31,7.65,3370500
32595,2015-04-02,PIAA,7.89,8.0,7.7,7.94,2086000
33100,2015-04-03,PIAA,8.09,8.46,7.96,8.37,7515000
33603,2015-04-06,PIAA,8.45,8.83,8.3,8.62,6390000
34107,2015-04-07,PIAA,8.67,8.7,8.3,8.39,1826500
34592,2015-04-08,PIAA,8.4,8.62,8.32,8.43,1942000
35082,2015-04-09,PIAA,8.5,8.71,8.4,8.54,2694000
35590,2015-04-10,PIAA,8.55,8.74,8.4,8.44,1478000
36098,2015-04-13,PIAA,8.44,8.5,8.1,8.2,1090000
36570,2015-04-14,PIAA,8.35,8.65,8.27,8.31,2265000
37053,2015-04-15,PIAA,8.36,9.12,8.36,8.91,10529000
37551,2015-04-16,PIAA,9.2,9.49,9.0,9.26,13302000
38067,2015-04-17,PIAA,9.35,9.52,9.05,9.35,4797500
38573,2015-04-20,PIAA,9.45,9.65,9.14,9.31,7167500
39094,2015-04-21,PIAA,9.4,9.45,8.7,9.0,2402000
39632,2015-04-22,PIAA,9.04,9.45,8.95,9.24,3183500
40159,2015-04-23,PIAA,9.35,9.4,9.1,9.27,2101000
40680,2015-04-24,PIAA,9.27,9.34,9.2,9.27,1504000
41223,2015-04-27,PIAA,9.22,9.25,9.03,9.17,1793000
41737,2015-04-28,PIAA,9.15,9.15,8.92,9.0,2717000
42255,2015-04-29,PIAA,9.0,9.35,9.0,9.15,3277000
42753,2015-04-30,PIAA,9.07,9.38,9.07,9.3,3389500
43250,2015-05-04,PIAA,9.3,9.34,9.05,9.2,2530500
43748,2015-05-05,PIAA,9.04,9.4,8.92,9.18,7612500
44254,2015-05-06,PIAA,9.29,9.33,8.97,9.01,1673500
44758,2015-05-07,PIAA,9.13,9.25,8.92,9.03,2372500
45245,2015-05-08,PIAA,9.1,9.25,9.01,9.14,1168000
45733,2015-05-11,PIAA,9.01,9.02,8.4,8.44,2917000
46210,2015-05-12,PIAA,8.41,8.75,8.35,8.69,2036000
46680,2015-05-13,PIAA,8.75,9.13,8.66,9.08,2395500
47154,2015-05-14,PIAA,9.0,9.21,9.0,9.15,1932000
47636,2015-05-15,PIAA,9.2,9.35,9.03,9.18,2885500
48121,2015-05-18,PIAA,9.25,9.3,9.06,9.1,813500
48600,2015-05-20,PIAA,8.95,9.05,8.71,8.77,779000
49074,2015-05-21,PIAA,8.95,9.18,8.94,9.1,3893000
49541,2015-05-22,PIAA,9.19,9.25,9.05,9.12,986000
50015,2015-05-25,PIAA,9.11,9.27,9.1,9.1,1771000
50541,2015-05-27,PIAA,9.15,9.4,9.0,9.21,3001000
51063,2015-05-28,PIAA,9.2,9.34,9.11,9.26,411500
51591,2015-05-29,PIAA,9.3,9.89,9.25,9.73,9787000
52149,2015-06-01,PIAA,9.79,10.18,9.75,10.07,7519000
52667,2015-06-02,PIAA,10.01,10.1,9.82,10.04,4035000
53182,2015-06-03,PIAA,10.1,10.36,9.8,10.19,6858000
53707,2015-06-04,PIAA,10.24,10.44,10.08,10.12,2767000
54221,2015-06-05,PIAA,10.16,10.44,10.05,10.21,2838500
54751,2015-06-08,PIAA,9.85,10.37,9.71,10.15,4389000
55277,2015-06-09,PIAA,10.9,10.9,10.5,10.55,9973000
55796,2015-06-10,PIAA,10.55,10.65,10.11,10.2,1962000
56325,2015-06-12,PIAA,10.02,10.7,9.95,10.52,10761500
56864,2015-06-15,PIAA,10.68,11.0,10.41,10.68,8123500
57384,2015-06-16,PIAA,10.71,10.89,10.31,10.7,4035000
57917,2015-06-17,PIAA,10.9,11.7,10.9,11.63,21935500
58454,2015-06-18,PIAA,11.7,11.73,10.9,10.98,7829500
58958,2015-06-19,PIAA,11.0,11.05,10.6,10.73,1758000
59451,2015-06-22,PIAA,10.8,11.0,10.53,10.78,1342500
59993,2015-06-23,PIAA,10.62,11.0,10.6,10.64,2153500
60562,2015-06-24,PIAA,10.55,11.14,10.55,11.05,4302000
61108,2015-06-25,PIAA,10.77,11.24,10.66,10.74,2219000
61639,2015-06-26,PIAA,10.71,11.1,10.6,10.67,1889000
62176,2015-06-29,PIAA,10.8,10.85,10.56,10.72,820500
62667,2015-06-30,PIAA,10.82,11.17,10.67,10.87,3218000
63171,2015-07-01,PIAA,10.9,11.25,10.85,11.03,2903000
63677,2015-07-02,PIAA,11.04,11.2,10.8,10.87,1329500
64177,2015-07-03,PIAA,10.81,11.43,10.8,11.0,9461500
64687,2015-07-06,PIAA,11.2,11.94,11.13,11.75,11172000
65198,2015-07-07,PIAA,11.9,12.09,11.35,11.41,4708500
65709,2015-07-08,PIAA,11.51,11.51,11.0,11.1,2804500
66222,2015-07-09,PIAA,11.03,11.24,10.95,11.13,1591000
66713,2015-07-10,PIAA,11.15,11.16,10.7,10.87,2198500
67210,2015-07-13,PIAA,10.97,11.2,10.62,11.09,1767500
67717,2015-07-14,PIAA,11.25,11.25,10.85,11.0,2362000
68238,2015-07-15,PIAA,11.1,11.55,11.02,11.19,3737500
68760,2015-07-16,PIAA,11.34,11.45,10.92,10.98,1830000
69294,2015-07-22,PIAA,10.98,11.84,10.9,11.69,7354000
69831,2015-07-23,PIAA,11.65,11.96,11.31,11.38,4102000
70358,2015-07-24,PIAA,11.32,11.65,11.14,11.33,2968000
70889,2015-07-27,PIAA,11.12,12.1,10.95,11.03,18686000
71438,2015-07-28,PIAA,11.34,11.43,11.03,11.16,3657500
72005,2015-07-29,PIAA,11.25,11.47,11.0,11.05,3031000
72554,2015-07-30,PIAA,11.2,11.2,10.69,10.86,4949000
73094,2015-07-31,PIAA,11.05,11.1,10.81,10.85,891500
73620,2015-08-03,PIAA,10.99,11.0,10.74,10.88,629000
74115,2015-08-04,PIAA,10.9,10.9,10.3,10.6,2411500
74631,2015-08-05,PIAA,10.75,11.24,10.7,11.09,4672000
75153,2015-08-06,PIAA,11.2,11.45,11.15,11.23,3338500
75675,2015-08-07,PIAA,11.25,11.26,11.02,11.22,1017500
76182,2015-08-10,PIAA,11.4,12.09,11.16,11.87,15881500
76705,2015-08-11,PIAA,11.75,12.03,11.26,11.42,4645000
77222,2015-08-12,PIAA,11.5,11.65,11.19,11.23,2074000
77749,2015-08-13,PIAA,11.21,11.5,11.21,11.24,1114000
78253,2015-08-17,PIAA,11.26,11.29,11.01,11.04,659500
78764,2015-08-18,PIAA,11.07,11.39,11.07,11.17,1817000
79280,2015-08-19,PIAA,11.25,11.44,11.15,11.21,1884500
79799,2015-08-20,PIAA,11.21,11.4,11.12,11.18,2176500
80299,2015-08-21,PIAA,11.25,11.3,10.5,10.77,3579500
80814,2015-08-24,PIAA,10.55,10.55,9.77,9.84,3776500
81348,2015-08-25,PIAA,9.9,10.8,9.9,10.74,2237000
81891,2015-08-26,PIAA,10.7,10.97,10.4,10.47,825000
82436,2015-08-27,PIAA,10.6,10.79,10.5,10.55,633000
82985,2015-08-28,PIAA,10.74,10.8,10.45,10.51,418500
83543,2015-08-31,PIAA,10.64,10.75,10.46,10.57,662000
84064,2015-09-01,PIAA,10.55,10.69,9.8,10.02,1161000
84547,2015-09-14,PIAA,9.51,9.79,9.46,9.52,121000
85025,2015-09-15,PIAA,9.4,9.65,9.3,9.37,305500
85504,2015-09-16,PIAA,9.11,9.39,9.11,9.3,212500
85999,2015-09-17,PIAA,9.48,9.6,9.3,9.36,355500
86463,2015-09-18,PIAA,9.55,9.55,9.11,9.15,143000
86922,2015-09-21,PIAA,9.1,9.28,9.1,9.18,294000
87426,2015-09-22,PIAA,9.21,9.6,9.21,9.5,388500
87919,2015-09-23,PIAA,9.65,9.65,9.36,9.49,60500
88414,2015-09-28,PIAA,9.6,9.6,9.25,9.29,154000
88888,2015-09-29,PIAA,9.1,9.1,8.91,8.97,373000
89358,2015-09-30,PIAA,9.2,9.2,8.99,9.1,602500
89833,2015-10-01,PIAA,9.1,9.3,9.09,9.25,166000
90303,2015-10-02,PIAA,9.34,9.36,9.05,9.13,109000
90789,2015-10-05,PIAA,9.15,9.15,8.92,9.07,201000
91291,2015-10-06,PIAA,9.01,9.22,8.98,9.0,228500
91776,2015-10-07,PIAA,9.17,9.43,9.17,9.37,429500
92268,2015-10-08,PIAA,9.48,9.6,9.3,9.55,700000
92769,2015-10-09,PIAA,9.64,10.55,9.64,10.34,3509500
93277,2015-10-12,PIAA,10.59,10.65,10.0,10.06,1939500
93785,2015-10-13,PIAA,10.06,10.18,9.81,9.86,464000
94294,2015-10-14,PIAA,9.83,9.89,9.7,9.77,382500
94792,2015-10-15,PIAA,9.87,9.95,9.7,9.82,298000
95286,2015-10-16,PIAA,9.88,9.89,9.71,9.77,235500
95793,2015-10-19,PIAA,9.8,9.8,9.5,9.57,662000
96297,2015-10-20,PIAA,9.66,9.66,9.4,9.46,325000
96796,2015-10-21,PIAA,9.37,9.54,9.37,9.4,42000
97297,2015-10-22,PIAA,9.29,9.6,9.27,9.51,184000
97785,2015-10-26,PIAA,9.4,9.67,9.3,9.45,64500
98307,2015-10-27,PIAA,9.46,9.55,9.32,9.39,65500
98849,2015-10-28,PIAA,9.32,9.45,9.22,9.35,170500
99392,2015-10-29,PIAA,9.5,9.5,9.25,9.33,181000
99931,2015-10-30,PIAA,9.3,9.42,8.99,9.07,1944000
100471,2015-11-02,PIAA,9.19,9.25,8.73,8.77,610500
100957,2015-11-03,PIAA,8.89,9.02,8.7,8.74,1027000
101465,2015-11-04,PIAA,8.84,8.95,8.62,8.65,877500
101979,2015-11-05,PIAA,8.71,8.74,8.39,8.47,1031500
102477,2015-11-06,PIAA,8.6,8.75,8.4,8.65,1249500
102963,2015-11-09,PIAA,8.79,8.89,8.58,8.75,426000
103454,2015-11-10,PIAA,8.8,8.84,8.5,8.51,380000
103941,2015-11-11,PIAA,8.5,8.5,8.1,8.32,650000
104456,2015-11-12,PIAA,8.4,8.69,8.3,8.55,1926500
104958,2015-11-13,PIAA,8.5,9.15,8.48,8.91,7376500
105439,2015-11-16,PIAA,8.9,8.92,8.68,8.72,750000
105959,2015-11-17,PIAA,8.78,8.92,8.6,8.7,506000
106484,2015-11-18,PIAA,8.75,8.84,8.55,8.64,227000
106980,2015-11-19,PIAA,8.7,8.9,8.65,8.76,320500
107476,2015-11-20,PIAA,8.84,9.25,8.72,8.96,844500
107987,2015-11-23,PIAA,9.04,9.04,8.71,8.73,186500
108531,2015-11-24,PIAA,8.8,8.8,8.58,8.6,287500
109070,2015-11-25,PIAA,8.69,8.69,8.4,8.5,259000
109609,2015-11-26,PIAA,8.55,8.6,8.47,8.52,443000
