,Date,Symbol,Open,High,Low,Close,Volume
237,2015-01-01,PSMC,371.98,375.88,362.12,364.09,185400
758,2015-01-02,PSMC,365.0,370.0,353.15,355.99,346200
1277,2015-01-05,PSMC,358.97,360.29,354.99,356.73,108900
1784,2015-01-06,PSMC,356.0,367.0,354.0,358.63,330700
2304,2015-01-07,PSMC,360.0,375.0,359.01,369.14,673000
2817,2015-01-08,PSMC,372.0,385.99,369.5,384.06,911000
3329,2015-01-09,PSMC,390.0,398.0,389.25,392.11,511100
3855,2015-01-12,PSMC,394.0,402.01,393.0,396.9,573700
4393,2015-01-13,PSMC,396.5,415.85,395.5,413.15,1023600
4938,2015-01-14,PSMC,414.99,432.0,414.99,423.07,571100
5485,2015-01-15,PSMC,422.0,428.0,413.25,415.39,406300
6023,2015-01-16,PSMC,416.0,419.75,405.5,407.84,130200
6558,2015-01-19,PSMC,408.98,414.5,405.75,406.86,132200
7093,2015-01-20,PSMC,400.6,414.0,399.99,409.42,403500
7629,2015-01-21,PSMC,411.0,424.0,411.0,421.27,590900
8152,2015-01-22,PSMC,424.0,424.4,405.0,409.31,270000
8661,2015-01-23,PSMC,406.0,412.0,400.0,401.01,106800
9182,2015-01-26,PSMC,408.0,421.06,407.0,421.06,762900
9738,2015-01-27,PSMC,423.38,429.49,421.9,425.41,721200
10296,2015-01-28,PSMC,425.05,425.05,414.0,417.38,112900
10846,2015-01-29,PSMC,415.5,424.0,414.01,423.16,133800
11380,2015-01-30,PSMC,425.0,439.7,423.0,429.27,289800
11941,2015-02-02,PSMC,435.99,437.0,425.05,426.25,91200
12456,2015-02-03,PSMC,427.0,434.9,425.0,427.03,63300
12976,2015-02-04,PSMC,426.5,437.0,426.0,428.13,220300
13480,2015-02-06,PSMC,430.0,437.0,428.06,432.03,189200
13988,2015-02-09,PSMC,434.0,443.0,432.0,439.28,354900
14487,2015-02-10,PSMC,443.0,444.99,431.01,433.95,130600
14996,2015-02-11,PSMC,436.02,450.85,436.02,444.4,394500
15511,2015-02-12,PSMC,445.0,447.9,424.0,435.55,221100
16008,2015-02-13,PSMC,436.5,439.0,429.55,432.48,54600
16504,2015-02-16,PSMC,437.0,437.0,426.76,427.64,17000
16999,2015-02-17,PSMC,431.0,433.0,420.0,422.81,70300
17502,2015-02-18,PSMC,424.5,426.7,419.0,419.56,26100
18006,2015-02-19,PSMC,422.0,427.9,422.0,426.36,26200
18496,2015-02-20,PSMC,429.9,432.0,422.5,424.14,16400
18985,2015-02-23,PSMC,428.99,428.99,423.0,423.0,11200
19532,2015-02-24,PSMC,423.0,425.0,411.01,413.65,32400
20067,2015-02-25,PSMC,418.8,428.0,417.02,422.02,70000
20620,2015-02-26,PSMC,424.15,429.99,421.99,423.4,180800
21148,2015-02-27,PSMC,422.0,427.99,422.0,425.4,27400
21683,2015-03-02,PSMC,429.9,429.9,417.0,420.3,16600
22188,2015-03-03,PSMC,415.01,426.0,410.0,420.17,77500
22689,2015-03-04,PSMC,421.5,435.5,421.0,425.96,107500
23185,2015-03-05,PSMC,428.95,428.95,422.0,426.18,64400
23655,2015-03-06,PSMC,426.0,433.0,425.0,432.13,228800
24128,2015-03-09,PSMC,434.45,435.0,425.0,425.5,100000
24614,2015-03-10,PSMC,422.65,425.0,415.0,419.61,47600
25098,2015-03-11,PSMC,415.0,422.0,412.0,418.13,154300
25584,2015-03-12,PSMC,419.15,438.0,419.15,434.37,145200
26066,2015-03-13,PSMC,438.0,446.66,435.0,444.12,97500
26552,2015-03-16,PSMC,449.0,449.0,431.0,433.73,73900
27022,2015-03-17,PSMC,430.0,430.99,425.7,428.45,23700
27526,2015-03-18,PSMC,431.0,431.0,407.03,407.03,209500
28017,2015-03-19,PSMC,392.0,399.99,390.2,394.61,95500
28487,2015-03-20,PSMC,398.99,402.89,397.25,399.35,153900
28958,2015-03-24,PSMC,400.0,400.0,387.1,388.15,10100
29461,2015-03-25,PSMC,383.0,383.5,380.0,383.5,14300
29975,2015-03-26,PSMC,382.0,382.0,364.33,364.86,45800
30505,2015-03-27,PSMC,361.0,368.0,346.62,347.36,30000
31058,2015-03-30,PSMC,335.5,339.0,330.0,330.0,93000
31565,2015-03-31,PSMC,334.0,346.5,330.0,346.5,31700
32070,2015-04-01,PSMC,355.0,363.82,349.0,363.75,336200
32578,2015-04-02,PSMC,363.75,381.5,363.75,380.91,106700
33082,2015-04-03,PSMC,384.0,399.95,384.0,399.95,204400
33585,2015-04-06,PSMC,407.99,414.5,402.9,407.27,170100
34089,2015-04-07,PSMC,403.12,407.9,389.0,393.37,247100
34574,2015-04-08,PSMC,397.0,397.0,388.5,391.61,46600
35065,2015-04-09,PSMC,394.0,399.0,389.5,391.02,75800
35572,2015-04-10,PSMC,394.8,398.0,392.0,394.35,70400
36083,2015-04-13,PSMC,401.01,406.95,394.02,396.34,142400
36553,2015-04-14,PSMC,398.0,402.0,392.0,395.22,63300
37037,2015-04-15,PSMC,398.0,402.0,393.0,399.99,57500
37533,2015-04-16,PSMC,403.0,404.0,394.0,400.81,122500
38051,2015-04-17,PSMC,385.07,403.99,385.07,397.82,56300
38555,2015-04-20,PSMC,401.0,406.65,393.28,398.03,126000
39078,2015-04-21,PSMC,397.0,398.0,378.15,383.36,88800
39614,2015-04-22,PSMC,387.0,391.9,384.0,385.5,47900
40142,2015-04-23,PSMC,387.95,392.0,385.1,387.67,28300
40664,2015-04-24,PSMC,389.0,407.05,387.0,407.05,47800
41206,2015-04-27,PSMC,427.4,427.4,419.1,426.7,492400
41719,2015-04-28,PSMC,433.99,441.6,427.0,433.29,481400
42238,2015-04-29,PSMC,434.0,436.01,420.1,425.51,105200
42736,2015-04-30,PSMC,429.0,436.0,423.5,428.55,524800
43233,2015-05-04,PSMC,428.0,428.05,421.0,423.54,104300
43730,2015-05-05,PSMC,423.0,425.87,418.2,420.22,37500
44238,2015-05-06,PSMC,424.0,433.49,424.0,427.48,146500
44740,2015-05-07,PSMC,427.0,432.85,423.5,428.49,94600
45226,2015-05-08,PSMC,428.6,433.0,421.0,423.75,210100
45715,2015-05-11,PSMC,420.0,423.0,402.57,404.24,88700
46192,2015-05-12,PSMC,404.99,422.0,393.0,420.15,141800
46663,2015-05-13,PSMC,418.0,424.99,411.0,413.53,49100
47136,2015-05-14,PSMC,424.0,424.0,410.5,413.44,30200
47622,2015-05-15,PSMC,412.0,421.0,405.2,418.31,57500
48106,2015-05-18,PSMC,415.99,416.0,408.01,410.0,13700
48582,2015-05-20,PSMC,412.0,416.0,410.52,413.74,44500
49056,2015-05-21,PSMC,412.26,414.7,409.75,409.93,54800
49525,2015-05-22,PSMC,409.0,412.0,407.0,408.57,13000
49999,2015-05-25,PSMC,417.0,420.0,413.0,417.72,56600
50523,2015-05-27,PSMC,421.1,425.0,418.0,419.87,75800
51046,2015-05-28,PSMC,420.0,422.99,417.01,420.9,64300
51574,2015-05-29,PSMC,423.5,433.5,422.0,430.86,363600
52132,2015-06-01,PSMC,430.99,437.75,429.0,435.42,129500
52648,2015-06-02,PSMC,435.01,448.49,433.0,440.49,346700
53163,2015-06-03,PSMC,441.35,443.5,437.0,441.2,100100
53690,2015-06-04,PSMC,441.75,445.0,439.99,442.44,131000
54204,2015-06-05,PSMC,443.0,444.7,434.0,435.09,144600
54733,2015-06-08,PSMC,434.95,445.0,417.02,443.3,248300
55259,2015-06-09,PSMC,443.0,446.0,439.0,440.05,104700
55778,2015-06-10,PSMC,443.0,445.01,439.0,440.07,132200
56308,2015-06-12,PSMC,452.8,457.0,447.0,451.52,220700
56845,2015-06-15,PSMC,463.0,469.0,456.5,461.1,335900
57365,2015-06-16,PSMC,462.0,466.0,454.25,459.3,229500
57898,2015-06-17,PSMC,458.0,458.7,450.1,454.97,58600
58435,2015-06-18,PSMC,454.5,462.9,448.0,450.91,114700
58941,2015-06-19,PSMC,451.9,451.9,445.0,447.45,12200
59435,2015-06-22,PSMC,439.0,451.0,439.0,450.02,42900
59975,2015-06-23,PSMC,450.03,455.0,445.21,449.12,34600
60545,2015-06-24,PSMC,448.0,450.0,441.0,442.57,42500
61092,2015-06-25,PSMC,446.0,447.0,437.5,442.28,90900
61622,2015-06-26,PSMC,438.0,440.0,435.0,437.5,49300
62160,2015-06-29,PSMC,440.0,440.0,431.13,434.88,26500
62650,2015-06-30,PSMC,432.0,445.9,432.0,435.91,79300
63154,2015-07-01,PSMC,437.5,438.0,428.5,429.79,131800
63660,2015-07-02,PSMC,432.0,433.99,429.0,431.31,126200
64160,2015-07-03,PSMC,433.0,439.0,431.5,436.92,61600
64668,2015-07-06,PSMC,433.0,445.0,430.0,440.83,43900
65180,2015-07-07,PSMC,440.0,442.0,437.0,440.17,62800
65692,2015-07-08,PSMC,439.99,440.0,436.0,437.03,19200
66205,2015-07-09,PSMC,436.0,448.8,433.1,439.18,46700
66697,2015-07-10,PSMC,442.9,444.0,435.0,436.9,9900
67191,2015-07-13,PSMC,441.02,449.9,437.0,441.41,92100
67701,2015-07-14,PSMC,444.5,445.0,438.0,438.13,14000
68220,2015-07-15,PSMC,439.0,443.9,437.0,440.67,8900
68743,2015-07-16,PSMC,444.0,448.0,443.0,445.69,95000
69277,2015-07-22,PSMC,443.02,448.4,440.0,441.65,46800
69814,2015-07-23,PSMC,442.9,444.0,439.06,439.06,17300
70341,2015-07-24,PSMC,437.0,442.0,431.01,436.63,10100
70872,2015-07-27,PSMC,433.45,435.5,430.0,433.25,13500
71421,2015-07-28,PSMC,430.08,437.5,424.0,425.0,75300
71987,2015-07-29,PSMC,425.0,426.0,413.0,421.98,91400
72536,2015-07-30,PSMC,425.99,425.99,419.25,420.09,59100
73078,2015-07-31,PSMC,421.01,424.0,420.0,420.8,55200
73604,2015-08-03,PSMC,421.05,438.0,421.05,435.36,217500
74097,2015-08-04,PSMC,438.0,446.5,431.0,433.17,207100
74615,2015-08-05,PSMC,434.0,439.0,434.0,437.03,49900
75135,2015-08-06,PSMC,439.49,458.88,437.99,452.05,473000
75658,2015-08-07,PSMC,463.0,474.65,456.0,474.65,807900
76164,2015-08-10,PSMC,486.0,493.0,465.0,468.45,376100
