,Date,Symbol,Open,High,Low,Close,Volume
766,2015-01-02,PCAL,160.0,162.0,155.0,162.0,1800
1285,2015-01-05,PCAL,157.5,163.0,157.49,162.0,2000
1792,2015-01-06,PCAL,160.1,163.0,160.1,163.0,900
2312,2015-01-07,PCAL,162.0,163.0,162.0,163.0,1500
2824,2015-01-08,PCAL,163.5,164.0,163.5,163.5,1900
3337,2015-01-09,PCAL,166.5,167.0,166.5,166.5,2600
3863,2015-01-12,PCAL,166.0,174.82,166.0,174.82,10200
4401,2015-01-13,PCAL,176.0,183.56,176.0,183.56,16200
4946,2015-01-14,PCAL,191.5,192.73,191.5,192.73,24400
5493,2015-01-15,PCAL,202.36,202.36,197.75,202.36,18200
6030,2015-01-16,PCAL,212.47,212.47,202.0,204.26,49100
6566,2015-01-19,PCAL,209.9,213.5,199.0,201.02,48500
7100,2015-01-20,PCAL,202.0,202.0,190.97,190.97,19700
7637,2015-01-21,PCAL,186.0,187.01,181.43,181.71,21500
8159,2015-01-22,PCAL,178.0,181.99,175.0,176.18,15400
8667,2015-01-23,PCAL,180.95,180.95,177.0,177.0,3700
9190,2015-01-26,PCAL,175.0,175.0,168.15,170.62,5800
9746,2015-01-27,PCAL,171.0,171.0,162.09,164.06,23200
10304,2015-01-28,PCAL,167.0,170.99,166.11,169.31,4100
10854,2015-01-29,PCAL,169.0,169.0,163.0,164.21,1100
11388,2015-01-30,PCAL,164.0,172.0,160.05,167.48,9200
11948,2015-02-02,PCAL,164.01,166.49,162.0,165.75,5500
12464,2015-02-03,PCAL,160.01,165.0,160.01,160.77,4200
12983,2015-02-04,PCAL,163.99,164.99,161.0,162.0,7100
13487,2015-02-06,PCAL,162.01,162.01,162.0,162.0,900
13995,2015-02-09,PCAL,163.99,164.98,163.98,163.98,700
14494,2015-02-10,PCAL,164.0,166.5,160.51,165.84,15300
15003,2015-02-11,PCAL,165.0,165.0,165.0,165.0,1000
15518,2015-02-12,PCAL,158.01,166.0,157.0,165.94,3500
16015,2015-02-13,PCAL,165.0,170.0,163.01,166.44,5000
16512,2015-02-16,PCAL,170.0,174.76,170.0,174.76,12900
17007,2015-02-17,PCAL,172.1,175.0,167.0,174.0,4800
18014,2015-02-19,PCAL,173.99,174.72,173.99,174.43,1000
18993,2015-02-23,PCAL,166.11,166.11,165.75,165.93,300
19539,2015-02-24,PCAL,169.4,169.4,158.01,163.5,1700
20074,2015-02-25,PCAL,157.0,161.0,156.01,161.0,800
20626,2015-02-26,PCAL,165.0,166.0,165.0,165.13,4400
21154,2015-02-27,PCAL,164.0,170.0,160.0,163.43,7100
21690,2015-03-02,PCAL,162.0,165.0,158.0,158.01,3800
22195,2015-03-03,PCAL,162.99,162.99,158.0,159.0,6400
22697,2015-03-04,PCAL,162.0,162.0,153.0,156.0,10600
23191,2015-03-05,PCAL,159.0,159.9,155.02,158.0,6000
23663,2015-03-06,PCAL,158.45,158.45,154.54,155.77,800
24136,2015-03-09,PCAL,155.8,159.0,152.0,152.62,2400
24622,2015-03-10,PCAL,156.99,157.75,156.99,157.75,500
25106,2015-03-11,PCAL,154.54,154.54,149.87,149.87,2100
25592,2015-03-12,PCAL,143.0,150.0,143.0,146.13,900
26074,2015-03-13,PCAL,150.0,153.43,150.0,152.07,1900
26558,2015-03-16,PCAL,146.05,146.05,146.0,146.02,1200
27029,2015-03-17,PCAL,148.99,152.97,148.99,150.98,700
27533,2015-03-18,PCAL,155.0,155.0,145.0,152.5,5000
28023,2015-03-19,PCAL,144.88,150.2,144.88,146.0,6000
28492,2015-03-20,PCAL,150.0,150.0,150.0,150.0,1300
28964,2015-03-24,PCAL,146.01,149.99,146.0,146.0,1200
29468,2015-03-25,PCAL,146.5,146.5,145.0,145.0,2500
29981,2015-03-26,PCAL,145.0,145.0,137.75,140.0,7600
30513,2015-03-27,PCAL,139.0,139.0,139.0,139.0,500
31066,2015-03-30,PCAL,135.0,135.0,132.05,132.05,1700
31572,2015-03-31,PCAL,138.55,138.55,131.25,131.77,7900
32076,2015-04-01,PCAL,132.99,132.99,127.26,127.75,4200
32585,2015-04-02,PCAL,128.0,129.99,127.0,128.87,3700
33090,2015-04-03,PCAL,129.2,134.75,129.0,132.47,8900
33593,2015-04-06,PCAL,136.0,139.09,136.0,139.09,8900
34097,2015-04-07,PCAL,138.01,140.0,138.0,139.52,14200
34582,2015-04-08,PCAL,140.0,144.0,139.5,141.26,20800
35073,2015-04-09,PCAL,143.48,147.7,143.48,147.7,20800
35580,2015-04-10,PCAL,150.0,154.4,150.0,153.0,24800
36090,2015-04-13,PCAL,155.0,158.88,155.0,157.0,18100
36561,2015-04-14,PCAL,158.0,158.0,149.15,149.18,9400
37043,2015-04-15,PCAL,153.0,153.75,150.0,151.0,9100
37541,2015-04-16,PCAL,153.0,153.0,145.1,150.0,31400
38058,2015-04-17,PCAL,150.0,150.0,149.99,150.0,16200
38563,2015-04-20,PCAL,150.0,150.0,150.0,150.0,200
39622,2015-04-22,PCAL,145.0,149.5,145.0,148.25,1500
40149,2015-04-23,PCAL,145.0,145.5,145.0,145.0,2900
40671,2015-04-24,PCAL,141.0,145.0,137.75,137.75,11100
41213,2015-04-27,PCAL,130.87,142.42,130.87,137.71,8600
41727,2015-04-28,PCAL,139.0,140.0,135.0,136.0,2000
42246,2015-04-29,PCAL,139.39,139.39,139.15,139.15,600
42743,2015-04-30,PCAL,140.0,142.0,139.5,140.1,8200
43240,2015-05-04,PCAL,143.69,143.69,136.0,136.0,4200
43738,2015-05-05,PCAL,136.0,136.02,136.0,136.0,2200
44244,2015-05-06,PCAL,136.01,141.95,135.11,141.2,2900
44748,2015-05-07,PCAL,141.49,148.25,141.49,144.05,2000
45235,2015-05-08,PCAL,145.99,149.5,145.99,148.0,500
45723,2015-05-11,PCAL,140.6,140.62,140.6,140.62,600
46200,2015-05-12,PCAL,142.0,142.0,142.0,142.0,1000
46670,2015-05-13,PCAL,141.0,141.0,136.0,136.52,10400
47144,2015-05-14,PCAL,134.54,136.5,134.5,136.5,1900
47626,2015-05-15,PCAL,138.88,140.0,136.0,136.02,10800
48591,2015-05-20,PCAL,133.0,133.0,132.0,132.0,1000
49064,2015-05-21,PCAL,132.0,132.0,132.0,132.0,600
49532,2015-05-22,PCAL,132.0,132.0,128.5,128.5,1200
50006,2015-05-25,PCAL,129.0,132.99,129.0,132.87,700
50532,2015-05-27,PCAL,132.75,132.75,129.75,130.84,1800
51054,2015-05-28,PCAL,137.29,137.29,131.0,133.0,1300
51581,2015-05-29,PCAL,133.0,133.0,128.0,128.3,3700
52140,2015-06-01,PCAL,130.0,132.0,130.0,130.12,25200
52657,2015-06-02,PCAL,130.5,135.0,130.0,130.55,50900
53172,2015-06-03,PCAL,134.99,137.0,131.0,133.75,34800
53697,2015-06-04,PCAL,136.9,138.0,134.0,134.35,43500
54211,2015-06-05,PCAL,135.98,136.0,133.0,134.36,17900
54741,2015-06-08,PCAL,135.9,141.07,135.4,141.07,42400
55267,2015-06-09,PCAL,142.25,148.12,142.25,148.12,52000
55786,2015-06-10,PCAL,155.49,155.52,152.3,155.52,29600
56315,2015-06-12,PCAL,163.3,163.3,159.0,160.26,16600
56854,2015-06-15,PCAL,161.0,161.01,158.25,158.69,4800
57374,2015-06-16,PCAL,152.0,157.48,152.0,154.89,7900
57907,2015-06-17,PCAL,155.5,159.75,155.5,156.75,8900
