,Date,Symbol,Open,High,Low,Close,Volume
249,2015-01-01,PNSC,161.0,163.0,158.1,161.01,102900
772,2015-01-02,PNSC,162.9,163.0,158.45,160.13,27400
1291,2015-01-05,PNSC,162.9,163.75,160.0,161.33,203100
1798,2015-01-06,PNSC,162.99,167.5,162.5,165.64,232900
2318,2015-01-07,PNSC,166.95,167.0,160.61,163.48,28200
2830,2015-01-08,PNSC,164.0,164.0,160.11,160.34,97000
3343,2015-01-09,PNSC,158.5,161.0,158.0,158.0,117700
3869,2015-01-12,PNSC,159.89,161.69,158.0,160.5,80100
4407,2015-01-13,PNSC,162.35,167.0,160.0,165.04,189000
4952,2015-01-14,PNSC,167.0,170.99,166.99,169.55,114300
5499,2015-01-15,PNSC,170.1,171.0,168.0,168.6,160000
6036,2015-01-16,PNSC,171.0,171.0,167.0,168.95,25800
6572,2015-01-19,PNSC,169.3,177.39,166.0,177.39,176900
7106,2015-01-20,PNSC,182.39,186.25,178.6,185.67,330800
7643,2015-01-21,PNSC,186.11,187.9,178.01,179.35,490000
8165,2015-01-22,PNSC,178.6,179.9,170.41,171.37,123200
8673,2015-01-23,PNSC,171.0,171.0,168.25,169.4,344700
9196,2015-01-26,PNSC,172.0,176.7,172.0,174.15,96400
9752,2015-01-27,PNSC,175.0,176.0,173.5,173.51,38900
10310,2015-01-28,PNSC,173.5,173.5,166.91,169.79,39900
10860,2015-01-29,PNSC,167.0,176.5,167.0,171.79,32500
11394,2015-01-30,PNSC,170.5,172.0,168.0,171.71,24700
11954,2015-02-02,PNSC,171.0,172.85,168.0,168.3,28100
12470,2015-02-03,PNSC,167.51,167.51,159.89,160.0,271300
12989,2015-02-04,PNSC,159.0,159.0,155.0,155.03,74000
13493,2015-02-06,PNSC,158.0,160.9,158.0,160.09,56000
14001,2015-02-09,PNSC,160.01,161.5,152.09,153.34,56300
14501,2015-02-10,PNSC,152.0,152.5,147.1,150.05,52400
15010,2015-02-11,PNSC,151.0,155.0,151.0,152.44,32700
15525,2015-02-12,PNSC,154.0,160.06,152.01,160.06,82900
16022,2015-02-13,PNSC,162.0,167.0,161.06,164.49,58700
16519,2015-02-16,PNSC,160.1,163.5,159.1,159.83,19900
17014,2015-02-17,PNSC,157.04,160.0,155.01,157.08,28000
17515,2015-02-18,PNSC,155.6,164.89,151.6,161.58,58700
18021,2015-02-19,PNSC,158.29,163.5,156.1,158.11,42400
18510,2015-02-20,PNSC,155.5,158.9,155.25,156.7,13500
19000,2015-02-23,PNSC,155.1,156.98,155.0,155.85,9300
19546,2015-02-24,PNSC,157.79,161.0,155.36,155.49,20000
20081,2015-02-25,PNSC,155.21,158.02,154.2,156.35,8800
20632,2015-02-26,PNSC,153.71,162.0,153.5,158.53,38300
21161,2015-02-27,PNSC,155.85,157.0,153.5,153.97,4400
21697,2015-03-02,PNSC,155.0,157.0,150.55,151.97,16900
22202,2015-03-03,PNSC,150.5,150.5,148.0,148.0,1200
22704,2015-03-04,PNSC,152.85,155.4,150.09,150.72,52600
23198,2015-03-05,PNSC,151.01,153.0,150.1,150.3,5500
23669,2015-03-06,PNSC,148.0,153.0,148.0,149.2,1800
24143,2015-03-09,PNSC,151.0,153.0,149.0,149.75,2500
24629,2015-03-10,PNSC,152.0,152.0,148.0,148.14,7700
25113,2015-03-11,PNSC,142.0,150.0,142.0,148.99,31400
25599,2015-03-12,PNSC,149.5,151.0,149.01,150.19,68800
26081,2015-03-13,PNSC,152.0,155.0,150.1,154.28,34800
26565,2015-03-16,PNSC,152.2,154.8,151.5,153.72,5000
27036,2015-03-17,PNSC,152.5,155.5,152.0,154.97,45000
27540,2015-03-18,PNSC,154.97,157.5,152.75,155.0,90500
28030,2015-03-19,PNSC,157.0,159.5,154.0,156.5,14100
