,Date,Symbol,Open,High,Low,Close,Volume
329027,2020-07-01,PAKOXY,167.0,171.0,165.49,167.95,74700
338717,2020-07-01,PAKOXY,167.0,171.0,165.49,167.95,74700
404213,2018-03-19,PAKOXY,244.99,244.99,244.99,240.0,100
404725,2018-03-20,PAKOXY,244.0,246.0,244.0,246.0,800
405243,2018-03-21,PAKOXY,242.0,242.0,239.0,239.6,1100
405764,2018-03-22,PAKOXY,248.0,248.0,244.0,245.39,800
406254,2018-03-26,PAKOXY,241.0,241.1,241.0,241.08,800
406807,2018-03-27,PAKOXY,240.01,241.0,240.0,241.0,5500
407352,2018-03-28,PAKOXY,240.0,240.0,240.0,240.0,800
407908,2018-03-29,PAKOXY,235.0,237.95,232.0,235.48,3100
408464,2018-03-30,PAKOXY,232.11,232.5,232.0,232.38,1100
409015,2018-04-02,PAKOXY,228.0,232.7,227.2,232.5,800
409530,2018-04-03,PAKOXY,233.99,233.99,233.99,232.5,100
410047,2018-04-04,PAKOXY,234.98,236.0,231.25,235.0,3000
410553,2018-04-05,PAKOXY,230.02,242.5,230.02,239.47,12700
411054,2018-04-06,PAKOXY,240.0,240.9,239.0,239.95,8600
411556,2018-04-09,PAKOXY,246.9,246.9,240.0,241.0,2100
412060,2018-04-10,PAKOXY,241.0,242.0,241.0,242.0,1000
412576,2018-04-11,PAKOXY,245.0,245.0,239.02,239.51,400
413105,2018-04-12,PAKOXY,240.0,242.5,240.0,240.01,3600
413602,2018-04-13,PAKOXY,240.0,241.0,240.0,240.09,1100
414103,2018-04-16,PAKOXY,240.1,240.1,235.5,238.5,1500
414596,2018-04-17,PAKOXY,239.0,244.0,239.0,242.02,9600
415106,2018-04-18,PAKOXY,240.0,240.45,240.0,240.0,4400
415617,2018-04-19,PAKOXY,230.0,240.0,228.25,240.0,4600
416117,2018-04-20,PAKOXY,240.0,240.0,240.0,240.0,1500
416635,2018-04-24,PAKOXY,244.95,244.95,236.05,240.0,5100
417210,2018-04-25,PAKOXY,240.0,240.0,240.0,240.0,100
417784,2018-04-26,PAKOXY,240.0,243.0,240.0,241.01,5100
418339,2018-04-27,PAKOXY,249.0,250.0,242.0,242.0,5400
418894,2018-04-30,PAKOXY,240.01,240.01,240.01,240.01,200
419399,2018-05-02,PAKOXY,240.0,240.0,240.0,240.0,900
419899,2018-05-03,PAKOXY,240.0,240.0,240.0,240.0,4200
420397,2018-05-04,PAKOXY,240.0,240.01,240.0,240.0,3800
420908,2018-05-07,PAKOXY,240.2,240.2,240.01,240.01,500
421402,2018-05-08,PAKOXY,240.0,240.0,237.5,238.62,10500
421915,2018-05-09,PAKOXY,237.99,237.99,228.02,235.82,2800
422417,2018-05-10,PAKOXY,236.0,238.75,236.0,238.41,2400
422919,2018-05-11,PAKOXY,238.0,238.0,237.9,237.9,2300
423406,2018-05-14,PAKOXY,230.0,230.0,230.0,230.0,2900
423890,2018-05-15,PAKOXY,230.0,236.0,230.0,235.33,8500
424368,2018-05-16,PAKOXY,239.9,239.9,235.0,235.26,2800
425257,2018-05-18,PAKOXY,234.0,234.0,234.0,234.0,500
425716,2018-05-21,PAKOXY,234.99,235.0,234.99,234.99,4000
426252,2018-05-22,PAKOXY,239.45,240.0,238.0,239.4,18200
426788,2018-05-23,PAKOXY,232.0,233.0,230.01,231.47,2200
427316,2018-05-24,PAKOXY,230.0,240.0,230.0,240.0,17200
428344,2018-05-28,PAKOXY,239.9,240.0,239.9,240.0,5200
428834,2018-05-29,PAKOXY,231.1,231.1,231.1,240.0,100
429314,2018-05-30,PAKOXY,236.0,237.0,233.27,236.0,600
429800,2018-05-31,PAKOXY,238.0,238.0,238.0,236.0,100
430245,2018-06-01,PAKOXY,233.5,233.5,233.5,236.0,5100
430723,2018-06-04,PAKOXY,236.0,240.1,236.0,240.02,7700
431203,2018-06-05,PAKOXY,240.01,240.1,240.01,240.02,2600
431693,2018-06-06,PAKOXY,244.95,244.95,240.0,244.85,1600
432186,2018-06-07,PAKOXY,244.95,249.0,242.0,244.73,2300
432663,2018-06-11,PAKOXY,240.02,240.02,240.0,240.0,37000
433145,2018-06-12,PAKOXY,240.01,240.01,240.0,240.0,4700
434079,2018-06-14,PAKOXY,233.25,233.5,233.25,233.5,400
435504,2018-06-21,PAKOXY,232.01,232.01,232.01,232.01,1400
435987,2018-06-22,PAKOXY,241.95,241.95,233.05,233.5,9300
436480,2018-06-25,PAKOXY,242.95,242.95,226.0,235.17,9100
437031,2018-06-26,PAKOXY,239.5,241.85,232.05,232.05,17300
437596,2018-06-27,PAKOXY,240.0,240.0,239.95,240.0,11300
438146,2018-06-28,PAKOXY,240.01,240.08,240.0,240.0,18000
438677,2018-06-29,PAKOXY,240.0,240.0,240.0,240.0,25800
439204,2018-07-02,PAKOXY,230.01,239.9,230.01,239.9,3600
439654,2018-07-03,PAKOXY,0.0,239.9,239.9,239.9,8000
440129,2018-07-04,PAKOXY,230.01,230.01,230.01,239.9,100
441055,2018-07-06,PAKOXY,0.0,239.9,239.9,239.9,2300
441989,2018-07-10,PAKOXY,228.0,234.94,227.91,234.94,2500
443402,2018-07-13,PAKOXY,224.88,230.0,223.2,226.72,4500
443877,2018-07-17,PAKOXY,230.0,233.98,230.0,233.94,1300
445381,2018-07-20,PAKOXY,230.0,230.0,229.9,230.0,5800
445839,2018-07-23,PAKOXY,230.0,230.0,222.01,229.26,4200
446392,2018-07-24,PAKOXY,228.9,229.95,228.9,229.5,2500
446933,2018-07-26,PAKOXY,230.0,230.0,229.0,229.5,2100
447465,2018-07-27,PAKOXY,221.9,221.9,220.0,220.95,200
448034,2018-07-30,PAKOXY,210.11,230.0,210.11,230.0,5900
448540,2018-07-31,PAKOXY,221.01,227.0,221.01,226.49,3100
449046,2018-08-01,PAKOXY,221.01,221.01,220.01,220.06,500
449544,2018-08-02,PAKOXY,221.03,221.03,221.0,221.01,500
450532,2018-08-06,PAKOXY,220.0,221.0,216.16,220.19,1400
451027,2018-08-07,PAKOXY,212.26,220.0,212.26,218.76,300
451516,2018-08-08,PAKOXY,213.5,218.01,213.5,215.76,200
452031,2018-08-09,PAKOXY,214.25,224.0,214.25,215.16,1400
452539,2018-08-10,PAKOXY,212.25,215.75,212.25,214.0,200
453034,2018-08-13,PAKOXY,209.0,212.0,209.0,210.5,200
453516,2018-08-15,PAKOXY,215.0,219.98,211.0,212.01,800
454008,2018-08-16,PAKOXY,203.0,211.49,203.0,207.05,2500
454505,2018-08-17,PAKOXY,206.0,217.4,204.25,217.4,5500
454982,2018-08-20,PAKOXY,217.0,226.55,217.0,221.0,2300
455451,2018-08-24,PAKOXY,210.05,224.97,210.05,221.88,800
455943,2018-08-27,PAKOXY,229.99,232.97,215.0,222.29,16600
456496,2018-08-28,PAKOXY,220.0,226.0,220.0,224.85,4800
457057,2018-08-29,PAKOXY,223.48,223.48,223.48,224.85,1600
457605,2018-08-30,PAKOXY,222.99,222.99,216.0,219.01,4500
458153,2018-08-31,PAKOXY,222.99,222.99,210.05,218.96,2800
458690,2018-09-04,PAKOXY,216.0,220.0,216.0,218.0,200
459178,2018-09-05,PAKOXY,209.0,214.99,208.55,211.28,1500
459669,2018-09-06,PAKOXY,213.0,213.0,205.0,208.42,3000
460166,2018-09-07,PAKOXY,213.0,213.0,204.0,211.45,1700
460645,2018-09-10,PAKOXY,201.02,213.98,201.02,207.53,900
461129,2018-09-11,PAKOXY,198.25,214.99,198.25,214.92,1900
461607,2018-09-12,PAKOXY,210.0,210.0,206.06,208.03,200
462101,2018-09-13,PAKOXY,206.9,206.98,205.01,205.93,2000
462585,2018-09-14,PAKOXY,214.99,214.99,200.25,204.19,2900
463063,2018-09-17,PAKOXY,198.5,207.5,198.05,204.94,2800
463558,2018-09-18,PAKOXY,199.0,204.99,199.0,204.93,2200
464025,2018-09-19,PAKOXY,205.99,213.52,205.0,212.93,1600
464517,2018-09-24,PAKOXY,222.95,222.95,206.0,213.1,2600
465059,2018-09-25,PAKOXY,210.0,214.88,210.0,213.25,300
465595,2018-09-26,PAKOXY,219.0,219.0,219.0,213.25,100
466142,2018-09-27,PAKOXY,215.0,215.0,210.1,215.0,7300
466687,2018-09-28,PAKOXY,215.0,215.01,215.0,215.0,1100
467229,2018-10-01,PAKOXY,206.0,215.01,206.0,215.01,23700
468180,2018-10-03,PAKOXY,209.25,222.2,209.25,216.25,20100
468662,2018-10-04,PAKOXY,221.84,221.84,221.84,216.25,100
469143,2018-10-05,PAKOXY,215.0,215.01,215.0,215.0,6000
469649,2018-10-08,PAKOXY,215.0,215.0,210.0,214.17,11500
470165,2018-10-09,PAKOXY,215.0,215.0,215.0,215.0,2000
470667,2018-10-10,PAKOXY,210.0,215.02,210.0,215.02,4800
471147,2018-10-11,PAKOXY,215.01,215.01,215.0,215.0,2300
471636,2018-10-12,PAKOXY,215.0,215.01,214.99,215.0,5600
472128,2018-10-15,PAKOXY,215.0,215.1,211.0,215.0,5200
472626,2018-10-16,PAKOXY,215.0,215.0,215.0,215.0,25100
473131,2018-10-17,PAKOXY,215.0,215.5,215.0,215.08,600
473629,2018-10-18,PAKOXY,217.0,217.0,215.0,215.0,2000
474144,2018-10-19,PAKOXY,215.01,215.01,215.0,215.0,1100
474656,2018-10-22,PAKOXY,217.0,217.0,217.0,215.0,100
475210,2018-10-23,PAKOXY,215.1,215.1,215.0,215.0,1500
475805,2018-10-24,PAKOXY,216.01,217.0,215.0,216.0,700
476386,2018-10-25,PAKOXY,216.0,216.0,215.0,215.0,1400
476962,2018-10-26,PAKOXY,219.0,220.0,219.0,220.0,500
477558,2018-10-29,PAKOXY,217.02,217.51,217.01,217.46,1200
478077,2018-10-30,PAKOXY,217.99,221.0,217.99,221.0,700
