,Date,Symbol,Open,High,Low,Close,Volume
206,2015-01-01,PSO,357.0,364.98,356.0,362.06,627500
724,2015-01-02,PSO,363.0,369.88,363.0,367.85,1232500
1244,2015-01-05,PSO,365.7,365.9,360.0,363.37,1228400
1753,2015-01-06,PSO,361.0,362.48,356.1,356.84,1509000
2271,2015-01-07,PSO,356.45,359.9,351.29,352.39,1524900
2784,2015-01-08,PSO,355.51,357.5,351.9,352.91,1413300
3296,2015-01-09,PSO,355.01,361.99,353.88,355.0,2693100
3821,2015-01-12,PSO,355.01,359.2,353.0,353.94,1491100
4360,2015-01-13,PSO,354.0,354.0,344.0,346.21,1379600
4906,2015-01-14,PSO,347.0,350.0,340.5,342.17,1587100
5451,2015-01-15,PSO,349.0,353.18,346.51,347.54,2249400
5991,2015-01-16,PSO,352.01,357.35,348.5,355.33,3665300
6524,2015-01-19,PSO,360.0,373.09,359.94,372.06,5775900
7060,2015-01-20,PSO,374.0,386.0,365.6,380.35,6566200
7596,2015-01-21,PSO,382.0,388.75,380.0,381.26,5211600
8118,2015-01-22,PSO,383.0,384.0,374.0,375.48,2959000
8628,2015-01-23,PSO,375.9,379.99,375.01,376.27,1698400
9149,2015-01-26,PSO,382.49,384.99,378.21,383.03,2862200
9705,2015-01-27,PSO,385.6,392.5,383.1,384.41,3459000
10264,2015-01-28,PSO,385.0,385.5,378.0,379.0,959400
10813,2015-01-29,PSO,378.6,385.0,377.2,381.16,1357100
11348,2015-01-30,PSO,382.0,384.0,374.75,375.62,2125900
11909,2015-02-02,PSO,379.5,390.79,379.5,389.05,2725000
12424,2015-02-03,PSO,395.0,401.94,394.1,400.31,5921000
12944,2015-02-04,PSO,406.1,415.4,404.0,404.98,6143900
13448,2015-02-06,PSO,404.0,410.9,403.8,408.05,1896200
13956,2015-02-09,PSO,411.25,411.25,404.12,405.51,1486900
14457,2015-02-10,PSO,406.1,408.5,396.6,400.71,1635000
14965,2015-02-11,PSO,402.5,403.0,392.3,394.02,1115600
15480,2015-02-12,PSO,392.25,394.0,376.0,388.45,1342400
15977,2015-02-13,PSO,391.0,406.0,388.75,400.83,3105400
16472,2015-02-16,PSO,403.5,405.5,400.0,401.21,1891500
16969,2015-02-17,PSO,403.0,406.4,397.0,400.03,1179300
17471,2015-02-18,PSO,402.5,403.8,395.2,396.72,445800
17975,2015-02-19,PSO,396.15,403.48,391.99,400.37,1921600
18466,2015-02-20,PSO,403.49,408.0,401.3,403.36,2507100
18955,2015-02-23,PSO,404.0,406.9,400.5,401.52,1198800
19502,2015-02-24,PSO,400.0,400.0,394.1,395.4,1761900
20036,2015-02-25,PSO,395.0,395.9,389.0,389.94,765400
20590,2015-02-26,PSO,393.47,395.0,385.02,388.03,1422900
21116,2015-02-27,PSO,388.9,392.89,382.51,383.25,1601900
21652,2015-03-02,PSO,386.0,389.44,377.0,378.65,1203200
22158,2015-03-03,PSO,379.01,383.35,368.55,381.08,2173900
22659,2015-03-04,PSO,381.5,386.7,378.2,380.98,1051800
23156,2015-03-05,PSO,382.89,392.0,381.01,390.55,1536600
23623,2015-03-06,PSO,393.5,397.0,390.55,394.35,1099000
24099,2015-03-09,PSO,393.01,394.48,385.4,386.84,780500
24584,2015-03-10,PSO,387.0,390.0,382.5,386.41,670200
25069,2015-03-11,PSO,387.0,388.96,381.01,386.81,757200
25554,2015-03-12,PSO,387.0,389.89,383.1,385.01,341900
26035,2015-03-13,PSO,386.66,390.5,386.1,387.85,380700
26521,2015-03-16,PSO,384.5,385.0,379.69,380.13,231400
26991,2015-03-17,PSO,382.0,382.0,372.3,375.16,629200
27497,2015-03-18,PSO,375.0,375.0,356.41,364.82,1597600
27988,2015-03-19,PSO,364.0,370.97,364.0,367.48,367300
28458,2015-03-20,PSO,368.0,374.0,366.01,370.19,368600
28927,2015-03-24,PSO,375.0,375.0,360.1,362.23,578100
29432,2015-03-25,PSO,364.99,367.5,356.1,357.43,645500
29944,2015-03-26,PSO,365.0,367.3,342.5,353.98,941900
30475,2015-03-27,PSO,354.99,358.5,342.0,345.26,963000
31028,2015-03-30,PSO,345.0,345.0,328.0,328.0,716800
31536,2015-03-31,PSO,329.0,344.4,329.0,344.4,1435800
32040,2015-04-01,PSO,342.5,355.0,337.0,349.45,2462800
32548,2015-04-02,PSO,350.99,358.89,348.5,356.95,1276700
33052,2015-04-03,PSO,357.5,359.5,348.0,349.63,949200
33555,2015-04-06,PSO,351.0,365.4,349.6,363.15,2285100
34059,2015-04-07,PSO,366.0,368.0,359.05,362.52,1505700
34544,2015-04-08,PSO,365.0,380.0,365.0,378.3,3300500
35034,2015-04-09,PSO,375.98,376.0,369.05,370.81,1291700
35541,2015-04-10,PSO,372.0,375.99,368.55,369.56,717300
36053,2015-04-13,PSO,371.8,374.2,365.15,369.8,802200
36524,2015-04-14,PSO,371.49,373.44,366.0,368.46,863300
37005,2015-04-15,PSO,373.5,375.0,371.15,371.72,864600
37500,2015-04-16,PSO,376.7,378.44,374.01,376.7,1422800
38020,2015-04-17,PSO,377.4,382.25,375.0,380.31,2021100
38525,2015-04-20,PSO,383.44,384.88,375.0,378.47,1192900
39048,2015-04-21,PSO,378.45,378.45,369.01,372.31,819400
39583,2015-04-22,PSO,372.5,381.5,370.0,379.8,1027300
40112,2015-04-23,PSO,382.48,386.08,380.26,383.2,1241000
40634,2015-04-24,PSO,383.98,389.9,383.98,387.57,1577000
41175,2015-04-27,PSO,387.98,388.99,381.9,385.35,1498800
41687,2015-04-28,PSO,383.02,389.9,378.5,379.31,1149600
42206,2015-04-29,PSO,379.0,380.75,375.31,375.99,406900
42705,2015-04-30,PSO,378.5,382.01,377.25,380.85,741800
43202,2015-05-04,PSO,382.0,385.0,377.1,378.52,844300
43701,2015-05-05,PSO,379.0,380.0,373.59,378.75,539900
44207,2015-05-06,PSO,385.0,388.74,383.0,386.29,1214900
44707,2015-05-07,PSO,385.0,385.99,379.0,384.77,533800
45194,2015-05-08,PSO,384.5,384.5,379.0,381.18,243500
45683,2015-05-11,PSO,380.0,380.0,362.13,362.28,1082300
46162,2015-05-12,PSO,364.98,371.0,361.06,370.31,354400
46632,2015-05-13,PSO,371.99,377.0,371.5,372.53,400800
47105,2015-05-14,PSO,370.01,373.0,368.05,370.07,219400
47592,2015-05-15,PSO,369.0,370.38,364.05,366.03,222400
48074,2015-05-18,PSO,365.0,366.0,361.01,361.97,184000
48550,2015-05-20,PSO,361.99,363.7,359.26,360.8,314300
49024,2015-05-21,PSO,361.5,362.28,360.4,360.97,87600
49493,2015-05-22,PSO,364.5,366.0,362.0,363.57,149100
49967,2015-05-25,PSO,366.0,371.0,366.0,367.2,193700
50491,2015-05-27,PSO,365.02,370.0,365.0,369.36,252400
51014,2015-05-28,PSO,369.5,370.0,366.5,368.2,153200
51542,2015-05-29,PSO,369.5,372.89,365.0,366.9,1297000
52099,2015-06-01,PSO,368.94,374.09,368.4,373.51,650400
52616,2015-06-02,PSO,375.45,382.09,375.15,381.41,1162200
53129,2015-06-03,PSO,383.89,384.5,378.12,379.58,878300
53657,2015-06-04,PSO,380.0,383.9,378.0,382.15,1003500
54170,2015-06-05,PSO,384.45,384.45,379.0,382.67,363800
54700,2015-06-08,PSO,379.1,393.8,372.0,389.38,2058200
55225,2015-06-09,PSO,391.49,398.44,388.0,394.84,1358300
55746,2015-06-10,PSO,400.0,404.7,396.5,400.45,1788500
56273,2015-06-12,PSO,405.8,405.8,399.07,400.4,369600
56812,2015-06-15,PSO,402.0,405.0,398.5,400.93,1370400
57333,2015-06-16,PSO,400.1,401.0,393.55,396.35,470000
