,Date,Symbol,Open,High,Low,Close,Volume
180,2015-01-01,PIOC,86.0,89.7,86.0,89.01,3803500
696,2015-01-02,PIOC,89.75,90.2,87.55,87.94,3617500
1216,2015-01-05,PIOC,88.0,88.7,86.6,86.93,2470000
1727,2015-01-06,PIOC,86.51,87.95,86.25,87.16,1116000
2244,2015-01-07,PIOC,87.2,87.9,85.6,85.8,2562500
2757,2015-01-08,PIOC,86.0,86.7,83.9,84.25,1586000
3269,2015-01-09,PIOC,84.75,85.99,84.15,84.6,1189500
3792,2015-01-12,PIOC,85.24,85.25,83.36,83.67,1302500
4332,2015-01-13,PIOC,84.0,85.4,83.16,85.12,1618500
4879,2015-01-14,PIOC,85.7,86.4,85.0,85.53,1338000
5423,2015-01-15,PIOC,85.69,86.4,84.12,84.76,1193000
5964,2015-01-16,PIOC,84.75,86.89,84.5,85.87,2255500
6498,2015-01-19,PIOC,86.2,86.69,85.4,85.91,848000
7032,2015-01-20,PIOC,86.44,86.95,85.81,86.25,1897500
7568,2015-01-21,PIOC,86.49,89.3,86.31,86.78,4968000
8090,2015-01-22,PIOC,86.5,86.5,84.5,84.7,1100000
8601,2015-01-23,PIOC,84.5,85.6,83.81,84.61,715000
9121,2015-01-26,PIOC,87.1,87.3,84.81,85.28,2634000
9678,2015-01-27,PIOC,85.5,89.54,84.72,89.45,6855500
10235,2015-01-28,PIOC,89.99,91.6,87.5,87.86,3717000
10784,2015-01-29,PIOC,87.94,91.0,87.94,90.1,3209500
11321,2015-01-30,PIOC,90.69,93.74,90.29,91.8,7370000
11881,2015-02-02,PIOC,92.35,92.45,89.55,90.4,3717000
12396,2015-02-03,PIOC,90.13,90.13,87.5,88.27,1357000
12915,2015-02-04,PIOC,88.64,89.0,86.0,86.47,910500
13420,2015-02-06,PIOC,86.5,88.44,86.3,87.63,1290000
13926,2015-02-09,PIOC,87.56,88.55,86.3,86.58,755000
14430,2015-02-10,PIOC,86.98,87.4,84.74,85.09,1234000
14940,2015-02-11,PIOC,85.69,85.8,83.5,84.77,1237500
15454,2015-02-12,PIOC,84.02,85.5,80.54,81.98,2844500
15950,2015-02-13,PIOC,82.0,84.0,81.6,83.27,786500
16445,2015-02-16,PIOC,83.05,83.38,79.5,82.68,1617500
16940,2015-02-17,PIOC,83.45,84.29,82.49,82.7,676500
17442,2015-02-18,PIOC,83.5,84.0,81.5,81.78,358000
17946,2015-02-19,PIOC,81.76,85.75,81.5,85.01,1334000
18439,2015-02-20,PIOC,86.1,86.49,81.15,82.8,2416000
18930,2015-02-23,PIOC,82.01,85.94,82.01,84.16,3659500
19476,2015-02-24,PIOC,84.6,84.65,82.55,82.83,1030500
20011,2015-02-25,PIOC,83.05,83.75,82.32,82.52,333500
20562,2015-02-26,PIOC,82.61,83.8,82.22,83.45,1240500
21092,2015-02-27,PIOC,83.51,84.15,82.5,82.88,1371500
21626,2015-03-02,PIOC,82.0,83.0,80.7,81.94,695000
22132,2015-03-03,PIOC,82.0,84.4,80.8,83.55,1839000
22634,2015-03-04,PIOC,83.75,85.0,83.01,83.58,1135500
23132,2015-03-05,PIOC,83.25,84.2,83.0,83.68,500000
23598,2015-03-06,PIOC,84.0,84.88,83.5,84.12,1299000
24074,2015-03-09,PIOC,84.01,84.5,82.9,83.2,431500
24557,2015-03-10,PIOC,82.1,82.25,81.0,81.3,541500
25042,2015-03-11,PIOC,81.0,82.0,79.52,81.64,532000
25528,2015-03-12,PIOC,82.39,82.49,80.4,81.18,391500
26011,2015-03-13,PIOC,81.8,83.29,81.26,83.12,893500
26494,2015-03-16,PIOC,83.4,84.25,81.3,82.03,1167500
26965,2015-03-17,PIOC,81.67,85.05,79.75,84.91,3077000
27472,2015-03-18,PIOC,85.0,85.0,80.67,81.18,2311000
27961,2015-03-19,PIOC,81.5,83.0,81.0,82.13,1084500
28433,2015-03-20,PIOC,82.85,85.19,82.55,84.68,1209500
28902,2015-03-24,PIOC,85.5,85.5,82.0,83.76,1359500
29408,2015-03-25,PIOC,83.1,84.0,82.5,82.77,697000
29919,2015-03-26,PIOC,83.5,84.25,78.64,80.74,3241000
30449,2015-03-27,PIOC,80.98,81.5,76.71,77.76,1857000
31002,2015-03-30,PIOC,78.0,78.4,73.88,74.86,2226000
31510,2015-03-31,PIOC,75.0,78.6,75.0,78.6,1195000
32013,2015-04-01,PIOC,78.0,81.7,76.51,79.6,2050000
32524,2015-04-02,PIOC,79.99,83.4,79.99,82.66,2005000
33028,2015-04-03,PIOC,83.5,84.85,82.0,84.35,3070500
33531,2015-04-06,PIOC,84.45,86.1,83.56,85.24,3187000
34035,2015-04-07,PIOC,84.4,85.0,83.66,83.78,672000
34522,2015-04-08,PIOC,84.49,84.49,83.0,83.16,816500
35010,2015-04-09,PIOC,83.0,84.4,82.95,84.06,1216500
35516,2015-04-10,PIOC,83.4,83.47,81.66,82.13,1014000
36030,2015-04-13,PIOC,81.5,84.5,80.5,81.74,2356000
36501,2015-04-14,PIOC,82.6,82.69,79.5,80.38,1644000
36983,2015-04-15,PIOC,80.49,81.25,78.5,79.82,725000
37477,2015-04-16,PIOC,80.39,81.5,79.75,81.05,626500
37996,2015-04-17,PIOC,81.0,83.85,81.0,83.25,1509000
38500,2015-04-20,PIOC,83.7,84.25,81.25,81.79,1535000
39024,2015-04-21,PIOC,80.8,82.49,79.75,80.46,474500
39560,2015-04-22,PIOC,81.25,81.74,80.25,81.12,614000
40088,2015-04-23,PIOC,81.5,83.6,81.0,81.76,3699000
40608,2015-04-24,PIOC,81.65,83.5,81.21,82.02,1668000
41151,2015-04-27,PIOC,82.5,82.79,80.9,81.09,914500
41661,2015-04-28,PIOC,81.05,81.35,79.51,79.72,259500
