,Date,Symbol,Open,High,Low,Close,Volume
169,2015-01-01,POWER,7.09,7.29,7.09,7.24,876500
686,2015-01-02,POWER,7.2,7.55,7.1,7.37,2985000
1206,2015-01-05,POWER,7.38,7.46,7.11,7.19,652000
1717,2015-01-06,POWER,7.2,7.32,7.1,7.17,505000
2234,2015-01-07,POWER,7.2,7.28,7.06,7.1,365000
2747,2015-01-08,POWER,7.15,7.2,7.06,7.13,304500
3259,2015-01-09,POWER,7.24,7.3,7.15,7.2,10819500
3782,2015-01-12,POWER,7.29,7.45,6.92,7.03,1575500
4322,2015-01-13,POWER,7.0,7.12,7.0,7.02,575500
4869,2015-01-14,POWER,7.04,7.28,7.03,7.15,1109500
5413,2015-01-15,POWER,7.24,7.24,7.1,7.11,1001000
5954,2015-01-16,POWER,7.14,7.17,6.95,6.99,1048000
6488,2015-01-19,POWER,7.15,7.24,7.06,7.11,1044500
7022,2015-01-20,POWER,7.1,7.15,6.96,7.0,910000
7558,2015-01-21,POWER,7.0,7.45,7.0,7.19,4006500
8080,2015-01-22,POWER,7.4,7.4,7.02,7.04,1073000
8591,2015-01-23,POWER,7.18,7.18,7.03,7.09,227500
9111,2015-01-26,POWER,7.34,7.37,7.1,7.12,679000
9668,2015-01-27,POWER,7.15,7.19,7.02,7.03,887500
10225,2015-01-28,POWER,7.14,7.2,7.03,7.1,839500
10774,2015-01-29,POWER,7.15,7.15,7.02,7.05,371000
11311,2015-01-30,POWER,7.1,7.25,7.06,7.12,801000
11871,2015-02-02,POWER,7.14,7.49,7.1,7.4,2304000
12386,2015-02-03,POWER,7.44,8.4,7.37,8.15,29476000
12905,2015-02-04,POWER,8.14,8.26,7.81,7.92,8274500
13410,2015-02-06,POWER,8.05,8.17,7.81,7.88,3771500
13916,2015-02-09,POWER,8.0,8.0,7.32,7.41,4466000
14420,2015-02-10,POWER,7.45,7.7,7.25,7.55,3064000
14930,2015-02-11,POWER,7.61,7.85,7.5,7.59,1518000
15444,2015-02-12,POWER,7.56,7.72,7.3,7.48,1012000
15940,2015-02-13,POWER,7.6,7.65,7.36,7.46,459500
16435,2015-02-16,POWER,7.36,7.5,7.3,7.41,331500
16930,2015-02-17,POWER,7.47,7.7,7.4,7.52,748500
17432,2015-02-18,POWER,7.59,7.59,7.25,7.28,742500
17936,2015-02-19,POWER,7.4,7.65,7.3,7.53,640500
