,Date,Symbol,Open,High,Low,Close,Volume
608,2015-01-02,PRET,119.47,119.47,119.47,125.75,200
1132,2015-01-05,PRET,119.47,125.1046,119.47,125.1046,200
4779,2015-01-14,PRET,118.85,118.85,118.85,118.85,600
5323,2015-01-15,PRET,113.1,124.74,112.91,118.67,2000
5872,2015-01-16,PRET,115.0,115.0,113.0,113.0,1200
6939,2015-01-20,PRET,113.0,113.0,113.0,113.0,300
7997,2015-01-22,PRET,109.5,109.5,108.5,108.5,1900
8514,2015-01-23,PRET,110.0,111.0,108.51,109.34,1500
9030,2015-01-26,PRET,106.0,106.1,105.1,105.62,2000
9590,2015-01-27,PRET,106.0,106.0,100.34,100.34,10000
10144,2015-01-28,PRET,96.0,100.0,95.33,95.33,5300
10696,2015-01-29,PRET,97.0,97.0,95.0,96.0,900
11235,2015-01-30,PRET,99.0,100.0,96.01,96.04,1900
12304,2015-02-03,PRET,98.0,98.0,98.0,96.04,300
13332,2015-02-06,PRET,100.0,100.0,100.0,96.04,100
14338,2015-02-10,PRET,100.84,100.84,100.84,100.84,500
14844,2015-02-11,PRET,95.85,99.99,95.8,97.2,2900
15358,2015-02-12,PRET,92.35,92.5,92.34,92.34,900
15859,2015-02-13,PRET,94.0,94.0,87.73,87.73,3900
16359,2015-02-16,PRET,91.91,91.91,87.73,87.82,1000
16856,2015-02-17,PRET,89.5,89.5,89.5,87.82,100
17356,2015-02-18,PRET,85.2,85.2,85.2,87.82,100
17859,2015-02-19,PRET,87.0,87.0,87.0,87.82,200
18362,2015-02-20,PRET,87.5,87.5,86.0,86.0,1500
18845,2015-02-23,PRET,87.0,87.5,85.0,85.0,3000
19384,2015-02-24,PRET,85.0,85.0,81.25,81.65,3400
19927,2015-02-25,PRET,80.03,85.73,80.0,85.73,22900
20472,2015-02-26,PRET,90.01,90.01,89.75,90.01,13200
21008,2015-02-27,PRET,94.51,94.51,94.51,94.51,1600
21542,2015-03-02,PRET,99.23,99.23,99.23,99.23,4000
22044,2015-03-03,PRET,104.19,104.19,95.01,100.12,33100
22548,2015-03-04,PRET,101.0,102.99,99.0,100.15,7600
23049,2015-03-05,PRET,99.0,103.45,99.0,100.58,6900
23527,2015-03-06,PRET,100.1,100.1,100.1,100.1,1000
24001,2015-03-09,PRET,100.7,100.7,100.7,100.1,200
24483,2015-03-10,PRET,100.0,100.0,99.0,99.83,1000
24967,2015-03-11,PRET,97.25,101.98,96.0,101.98,6000
25450,2015-03-12,PRET,97.01,97.6,97.0,97.6,1100
25940,2015-03-13,PRET,97.6,97.6,94.0,94.0,1100
26423,2015-03-16,PRET,95.25,98.65,95.0,98.49,1100
27880,2015-03-19,PRET,94.25,94.25,93.75,93.75,900
28363,2015-03-20,PRET,90.5,94.5,89.25,92.58,3300
28833,2015-03-24,PRET,92.0,92.0,90.0,91.33,600
29335,2015-03-25,PRET,89.0,89.0,89.0,89.0,800
29845,2015-03-26,PRET,85.3,91.5,85.3,88.93,300
30911,2015-03-30,PRET,84.49,84.49,84.49,88.93,100
31428,2015-03-31,PRET,87.0,89.0,87.0,87.27,1700
31934,2015-04-01,PRET,0.0,85.0,85.0,87.27,200
32435,2015-04-02,PRET,84.0,87.99,84.0,85.33,400
32946,2015-04-03,PRET,85.25,86.0,85.25,86.0,1000
33447,2015-04-06,PRET,89.0,90.0,87.0,89.9,900
33952,2015-04-07,PRET,93.0,93.0,93.0,89.9,200
34443,2015-04-08,PRET,90.0,90.99,88.0,89.33,1400
35428,2015-04-10,PRET,92.9,92.9,92.9,89.33,100
35946,2015-04-13,PRET,88.0,88.0,88.0,88.0,600
36904,2015-04-15,PRET,91.0,92.4,91.0,92.4,2100
37392,2015-04-16,PRET,97.02,97.02,97.02,97.02,400
37900,2015-04-17,PRET,101.87,101.87,100.0,100.9,25300
38413,2015-04-20,PRET,100.0,102.99,98.5,98.5,25400
39469,2015-04-22,PRET,98.0,103.42,98.0,103.42,31100
40009,2015-04-23,PRET,108.3,108.59,100.0,102.0,11300
40536,2015-04-24,PRET,100.0,103.0,97.25,99.55,3700
41067,2015-04-27,PRET,99.0,99.0,99.0,99.0,400
41567,2015-04-28,PRET,99.0,101.0,99.0,99.0,200
42092,2015-04-29,PRET,100.0,102.99,99.0,100.26,2900
42603,2015-04-30,PRET,102.48,105.27,100.0,102.46,11700
43097,2015-05-04,PRET,103.0,106.5,101.0,101.53,2800
43594,2015-05-05,PRET,102.5,102.5,101.0,101.0,1500
44100,2015-05-06,PRET,101.0,101.0,101.0,101.0,1000
44601,2015-05-07,PRET,102.9,105.0,100.5,100.67,600
45098,2015-05-08,PRET,99.0,99.5,99.0,100.67,200
46534,2015-05-13,PRET,102.0,102.0,102.0,100.67,100
47007,2015-05-14,PRET,102.0,102.0,102.0,100.67,200
47486,2015-05-15,PRET,100.0,100.0,99.0,99.67,700
47971,2015-05-18,PRET,99.0,99.0,99.0,99.67,100
49397,2015-05-22,PRET,95.75,95.75,94.7,94.7,4100
49861,2015-05-25,PRET,91.5,98.5,90.0,98.4,14000
