,Date,Symbol,Open,High,Low,Close,Volume
652,2015-01-02,QUET,50.0,54.59,50.0,52.3,1000
4827,2015-01-14,QUET,52.0,52.0,52.0,52.0,2000
5373,2015-01-15,QUET,54.0,54.6,54.0,54.3,1000
5916,2015-01-16,QUET,57.01,57.01,57.01,57.01,500
12345,2015-02-03,QUET,59.7,59.86,59.7,59.78,3000
13370,2015-02-06,QUET,62.76,62.76,62.76,62.76,500
14382,2015-02-10,QUET,59.7,62.0,59.7,61.23,1500
22086,2015-03-03,QUET,0.0,60.2809,60.2809,60.2809,0
22593,2015-03-04,QUET,0.0,57.7896,57.7896,57.7896,0
23087,2015-03-05,QUET,0.0,56.3635,56.3635,56.3635,0
23557,2015-03-06,QUET,0.0,54.47,54.47,54.47,0
25972,2015-03-13,QUET,0.0,54.0,54.0,54.0,0
31463,2015-03-31,QUET,0.0,53.9975,53.9975,53.9975,0
31971,2015-04-01,QUET,0.0,53.995,53.995,53.995,0
32990,2015-04-03,QUET,0.0,51.3,51.3,51.3,0
33487,2015-04-06,QUET,0.0,50.5,50.5,51.3,20000
38452,2015-04-20,QUET,0.0,49.1667,49.1667,49.1667,0
38980,2015-04-21,QUET,0.0,46.98,46.98,46.98,0
39512,2015-04-22,QUET,0.0,46.1953,46.1953,46.1953,0
40046,2015-04-23,QUET,0.0,46.0,46.0,46.0,0
42638,2015-04-30,QUET,0.0,44.0,44.0,44.0,0
46095,2015-05-12,QUET,0.0,43.5733,43.5733,43.5733,0
46563,2015-05-13,QUET,0.0,42.5845,42.5845,42.5845,0
47038,2015-05-14,QUET,0.0,40.46,40.46,42.58,500
48008,2015-05-18,QUET,0.0,40.9682,40.9682,40.9682,0
48484,2015-05-20,QUET,0.0,39.0,39.0,39.0,0
48961,2015-05-21,QUET,0.0,38.0,38.0,38.0,0
49894,2015-05-25,QUET,0.0,37.0,37.0,37.0,0
50416,2015-05-27,QUET,34.2,34.2,34.2,34.2,11500
50947,2015-05-28,QUET,35.91,35.91,35.91,35.91,1000
53584,2015-06-04,QUET,34.55,37.7,34.55,37.7,1000
56738,2015-06-15,QUET,36.25,39.5,36.25,39.5,10500
57788,2015-06-17,QUET,37.53,37.53,37.53,37.53,1500
58328,2015-06-18,QUET,39.19,39.19,38.0,38.0,1000
58836,2015-06-19,QUET,39.9,39.9,39.9,39.9,500
59866,2015-06-23,QUET,40.0,40.0,40.0,40.0,500
60991,2015-06-25,QUET,38.02,38.02,38.02,38.02,6000
62054,2015-06-29,QUET,39.8,39.92,39.8,39.92,1500
64556,2015-07-06,QUET,38.0,41.9,38.0,41.9,7000
65588,2015-07-08,QUET,0.0,40.0,40.0,40.0,0
71873,2015-07-29,QUET,38.0,38.0,38.0,38.0,500
74498,2015-08-05,QUET,38.25,38.25,38.25,38.25,1500
76056,2015-08-10,QUET,39.0,39.0,39.0,39.0,500
78129,2015-08-17,QUET,0.0,39.0,39.0,39.0,5000
80686,2015-08-24,QUET,37.15,37.15,37.05,37.13,2000
81225,2015-08-25,QUET,37.0,37.0,37.0,37.0,500
86811,2015-09-21,QUET,0.0,37.0,37.0,37.0,18000
90193,2015-10-02,QUET,35.75,35.75,35.75,35.75,6500
92142,2015-10-08,QUET,0.0,36.0,36.0,35.75,3500
