,Date,Symbol,Open,High,Low,Close,Volume
312,2015-01-01,QUICE,7.75,7.95,7.6,7.85,527000
841,2015-01-02,QUICE,7.75,7.89,7.65,7.68,292000
1357,2015-01-05,QUICE,7.79,8.03,7.66,7.87,579000
1865,2015-01-06,QUICE,7.9,8.1,7.86,7.99,915500
2383,2015-01-07,QUICE,8.1,8.82,8.1,8.65,7682000
2897,2015-01-08,QUICE,8.67,8.84,8.4,8.52,2443500
3411,2015-01-09,QUICE,8.46,8.8,8.45,8.49,3041000
3938,2015-01-12,QUICE,8.55,8.8,8.4,8.58,3864000
4476,2015-01-13,QUICE,8.55,8.73,8.4,8.52,1183000
5019,2015-01-14,QUICE,8.55,8.62,8.3,8.35,664000
5570,2015-01-15,QUICE,8.36,8.62,8.3,8.44,1728000
6102,2015-01-16,QUICE,8.48,8.98,8.37,8.52,6687500
6638,2015-01-19,QUICE,8.59,8.67,8.4,8.51,2013500
7175,2015-01-20,QUICE,8.5,8.94,8.45,8.68,7498000
7712,2015-01-21,QUICE,8.75,8.85,8.55,8.6,2471500
8233,2015-01-22,QUICE,8.57,8.64,8.32,8.38,543500
8741,2015-01-23,QUICE,8.41,8.63,8.34,8.49,636500
9266,2015-01-26,QUICE,8.51,8.85,8.36,8.52,8202500
9822,2015-01-27,QUICE,8.5,8.7,8.35,8.4,1814000
10378,2015-01-28,QUICE,8.5,8.5,8.21,8.26,1685000
10925,2015-01-29,QUICE,8.18,8.4,7.97,8.03,1094500
11461,2015-01-30,QUICE,8.14,8.19,8.0,8.06,376000
12022,2015-02-02,QUICE,8.1,8.2,7.9,7.97,503500
12538,2015-02-03,QUICE,7.97,7.97,7.83,7.85,223500
13057,2015-02-04,QUICE,7.94,8.14,7.89,7.93,523000
13559,2015-02-06,QUICE,8.0,8.1,7.88,7.91,245000
14068,2015-02-09,QUICE,7.91,7.96,7.75,7.79,264000
14569,2015-02-10,QUICE,7.95,7.95,7.6,7.7,450500
15077,2015-02-11,QUICE,7.78,7.84,7.5,7.54,612500
15591,2015-02-12,QUICE,7.6,7.92,7.35,7.81,1795000
16089,2015-02-13,QUICE,7.8,7.9,7.66,7.7,165500
16582,2015-02-16,QUICE,7.79,7.79,7.61,7.69,78000
17082,2015-02-17,QUICE,7.69,7.85,7.54,7.56,488500
17581,2015-02-18,QUICE,7.55,7.8,7.37,7.71,618000
18084,2015-02-19,QUICE,7.74,8.1,7.73,7.96,2094000
18576,2015-02-20,QUICE,7.99,8.05,7.78,7.87,260500
19067,2015-02-23,QUICE,7.8,7.9,7.7,7.72,84000
19614,2015-02-24,QUICE,7.7,7.79,7.61,7.7,116000
20150,2015-02-25,QUICE,7.65,7.72,7.4,7.5,419500
20699,2015-02-26,QUICE,7.41,7.8,7.4,7.53,1379500
21231,2015-02-27,QUICE,7.53,7.53,7.4,7.42,303500
21766,2015-03-02,QUICE,7.39,7.42,7.35,7.4,78000
22268,2015-03-03,QUICE,7.36,7.39,7.25,7.34,119000
22770,2015-03-04,QUICE,7.47,7.5,7.25,7.3,304500
23262,2015-03-05,QUICE,7.45,7.74,7.22,7.43,1531500
23735,2015-03-06,QUICE,7.5,7.6,7.3,7.38,220000
24203,2015-03-09,QUICE,7.45,7.49,7.3,7.38,93000
24691,2015-03-10,QUICE,7.26,7.46,7.05,7.17,579000
25173,2015-03-11,QUICE,7.06,7.24,6.92,7.11,306500
25670,2015-03-12,QUICE,7.05,7.15,7.0,7.02,216000
26148,2015-03-13,QUICE,7.01,7.35,7.01,7.24,103500
26631,2015-03-16,QUICE,7.1,7.25,7.01,7.06,90500
27103,2015-03-17,QUICE,7.01,7.3,6.91,6.94,475000
27609,2015-03-18,QUICE,7.14,7.14,6.44,6.54,514000
28092,2015-03-19,QUICE,6.8,6.8,6.48,6.57,383500
28563,2015-03-20,QUICE,6.56,7.15,6.5,6.78,2221000
29035,2015-03-24,QUICE,6.93,6.94,6.5,6.54,232000
29536,2015-03-25,QUICE,6.48,6.63,6.31,6.44,193000
30058,2015-03-26,QUICE,6.21,6.31,5.74,6.04,789500
30586,2015-03-27,QUICE,6.04,6.3,5.65,5.79,1056500
31141,2015-03-30,QUICE,5.6,5.7,4.97,5.37,1112500
31650,2015-03-31,QUICE,5.38,5.97,5.35,5.93,1018000
32153,2015-04-01,QUICE,5.8,6.1,5.76,5.82,392000
32658,2015-04-02,QUICE,5.84,6.26,5.84,6.2,413500
33166,2015-04-03,QUICE,6.07,6.47,6.07,6.44,493000
33669,2015-04-06,QUICE,6.4,6.54,6.32,6.41,194000
34167,2015-04-07,QUICE,6.35,6.4,6.13,6.14,175500
34657,2015-04-08,QUICE,6.15,6.4,6.15,6.2,217500
35148,2015-04-09,QUICE,6.36,6.37,6.0,6.15,123500
35654,2015-04-10,QUICE,6.3,6.4,6.23,6.32,146000
36162,2015-04-13,QUICE,6.43,6.55,6.27,6.48,235500
36633,2015-04-14,QUICE,6.55,6.8,6.41,6.66,864000
37116,2015-04-15,QUICE,6.75,7.49,6.5,7.16,1707000
37615,2015-04-16,QUICE,7.25,8.0,7.2,7.87,4874000
38133,2015-04-17,QUICE,7.85,7.86,7.4,7.54,908000
38635,2015-04-20,QUICE,7.64,7.64,7.3,7.4,321000
39157,2015-04-21,QUICE,7.31,7.4,7.23,7.26,293000
39693,2015-04-22,QUICE,7.25,7.65,7.25,7.37,398500
40221,2015-04-23,QUICE,7.42,7.49,7.29,7.32,144000
40746,2015-04-24,QUICE,7.13,7.65,7.12,7.53,682500
41286,2015-04-27,QUICE,7.5,7.6,7.22,7.27,296500
41801,2015-04-28,QUICE,7.3,7.3,7.0,7.08,474500
42320,2015-04-29,QUICE,7.07,7.07,6.9,6.93,267000
42817,2015-04-30,QUICE,6.95,7.0,6.8,6.9,161500
43314,2015-05-04,QUICE,6.84,6.97,6.7,6.81,56500
43812,2015-05-05,QUICE,6.56,6.9,6.25,6.77,110500
44315,2015-05-06,QUICE,6.9,7.0,6.7,6.82,77500
44819,2015-05-07,QUICE,6.96,6.96,6.76,6.8,41000
45301,2015-05-08,QUICE,6.76,7.1,6.75,6.88,457000
45790,2015-05-11,QUICE,6.8,7.0,6.54,6.66,187000
46269,2015-05-12,QUICE,6.61,6.92,6.56,6.7,191000
46737,2015-05-13,QUICE,6.87,6.87,6.4,6.45,387000
47215,2015-05-14,QUICE,6.4,6.9,6.4,6.75,432500
47698,2015-05-15,QUICE,6.63,6.8,6.63,6.76,50000
48182,2015-05-18,QUICE,6.88,6.88,6.7,6.7,42500
48654,2015-05-20,QUICE,7.01,7.32,6.94,6.98,359000
49131,2015-05-21,QUICE,6.81,7.1,6.81,6.95,183000
49597,2015-05-22,QUICE,6.9,7.18,6.84,6.86,37500
50070,2015-05-25,QUICE,6.82,6.98,6.8,6.82,49500
50601,2015-05-27,QUICE,6.94,7.03,6.78,7.03,190500
51126,2015-05-28,QUICE,7.0,7.1,6.8,7.0,173500
51652,2015-05-29,QUICE,7.06,7.95,7.05,7.64,8009000
52213,2015-06-01,QUICE,7.64,8.2,7.62,8.03,6007500
52733,2015-06-02,QUICE,8.0,8.24,7.76,7.81,2437500
53247,2015-06-03,QUICE,7.97,8.4,7.78,7.88,10561000
53772,2015-06-04,QUICE,7.99,8.05,7.7,7.75,754500
54285,2015-06-05,QUICE,7.84,7.94,7.53,7.64,785500
54816,2015-06-08,QUICE,7.41,7.78,7.0,7.55,1507500
55342,2015-06-09,QUICE,7.55,7.74,7.42,7.43,298000
55860,2015-06-10,QUICE,7.5,8.43,7.43,8.36,9718000
56388,2015-06-12,QUICE,8.65,8.82,8.35,8.48,4208500
56927,2015-06-15,QUICE,8.65,9.19,8.45,9.05,6344500
57448,2015-06-16,QUICE,9.03,9.75,8.82,9.31,8834500
57981,2015-06-17,QUICE,9.31,9.85,9.1,9.23,8071500
58519,2015-06-18,QUICE,9.21,9.67,9.2,9.27,3174500
59018,2015-06-19,QUICE,9.3,9.5,8.9,9.01,1334000
59507,2015-06-22,QUICE,9.0,9.0,8.6,8.69,1272000
60058,2015-06-23,QUICE,8.65,8.9,8.65,8.85,689500
60627,2015-06-24,QUICE,8.9,9.13,8.76,8.84,1123000
61170,2015-06-25,QUICE,8.85,9.84,8.85,9.82,11571500
61700,2015-06-26,QUICE,10.0,10.39,8.92,9.09,4514500
62238,2015-06-29,QUICE,9.05,9.65,9.05,9.24,946500
62727,2015-06-30,QUICE,9.21,9.6,9.2,9.4,1311000
63233,2015-07-01,QUICE,9.41,9.75,9.4,9.59,1627000
63740,2015-07-02,QUICE,9.55,9.89,9.5,9.55,2678500
64238,2015-07-03,QUICE,9.6,9.89,9.36,9.46,3680000
64749,2015-07-06,QUICE,9.64,9.8,9.42,9.61,5093500
65264,2015-07-07,QUICE,9.65,10.45,9.6,9.83,17752000
65770,2015-07-08,QUICE,9.88,9.89,9.45,9.53,1821000
66283,2015-07-09,QUICE,9.5,9.8,9.4,9.51,1045500
