,Date,Symbol,Open,High,Low,Close,Volume
135,2015-01-01,REDCO,4.65,4.84,4.65,4.75,27500
646,2015-01-02,REDCO,4.9,5.24,4.8,4.98,88500
1167,2015-01-05,REDCO,4.9,4.95,4.73,4.9,14500
1674,2015-01-06,REDCO,4.99,5.1,4.96,4.99,22500
2191,2015-01-07,REDCO,4.9,5.01,4.9,4.92,27500
2703,2015-01-08,REDCO,5.0,5.7,5.0,5.57,293000
3217,2015-01-09,REDCO,5.48,5.7,5.4,5.4,94000
3736,2015-01-12,REDCO,5.3,5.57,5.3,5.46,137500
4274,2015-01-13,REDCO,5.5,5.68,5.3,5.39,155500
4821,2015-01-14,REDCO,5.4,5.48,5.21,5.22,31000
5365,2015-01-15,REDCO,5.47,5.54,5.31,5.45,139000
5909,2015-01-16,REDCO,4.6,5.48,4.6,5.17,181500
6438,2015-01-19,REDCO,5.02,5.38,5.02,5.11,14500
6977,2015-01-20,REDCO,5.05,5.2,5.05,5.1,20000
7512,2015-01-21,REDCO,5.15,5.15,5.0,5.01,25500
8037,2015-01-22,REDCO,5.0,5.0,5.0,5.0,3000
8550,2015-01-23,REDCO,4.86,5.16,4.86,5.16,2000
9065,2015-01-26,REDCO,5.0,5.0,4.91,4.99,16500
9625,2015-01-27,REDCO,4.91,5.0,4.9,4.97,19000
10178,2015-01-28,REDCO,4.86,4.86,4.75,4.75,27000
10730,2015-01-29,REDCO,4.55,4.88,4.55,4.85,7500
11271,2015-01-30,REDCO,4.97,4.97,4.61,4.61,28000
11823,2015-02-02,REDCO,4.74,4.8,4.72,4.72,2000
12338,2015-02-03,REDCO,4.8,4.9,4.5,4.59,58000
12858,2015-02-04,REDCO,4.4,4.68,4.4,4.5,33000
13366,2015-02-06,REDCO,4.7,4.7,4.5,4.51,38500
13872,2015-02-09,REDCO,4.41,4.9,4.4,4.6,74000
14376,2015-02-10,REDCO,4.85,5.0,4.6,4.79,226000
14881,2015-02-11,REDCO,4.91,4.95,4.6,4.62,32000
15393,2015-02-12,REDCO,4.55,4.69,4.41,4.69,8000
15896,2015-02-13,REDCO,4.84,4.96,4.5,4.5,9000
16392,2015-02-16,REDCO,4.67,4.67,4.67,4.67,500
16892,2015-02-17,REDCO,4.5,4.5,4.42,4.42,17500
17392,2015-02-18,REDCO,4.99,5.0,4.5,4.5,99000
17898,2015-02-19,REDCO,4.5,4.69,4.5,4.69,3000
18390,2015-02-20,REDCO,4.5,4.7,4.5,4.7,6500
18882,2015-02-23,REDCO,4.5,4.5,4.41,4.43,6000
19423,2015-02-24,REDCO,4.41,4.41,4.3,4.36,2000
19964,2015-02-25,REDCO,4.27,4.5,4.26,4.5,5500
20510,2015-02-26,REDCO,4.36,4.36,4.3,4.3,5500
21047,2015-02-27,REDCO,4.59,4.59,4.5,4.55,1000
21578,2015-03-02,REDCO,4.2,4.2,3.95,4.0,34000
22080,2015-03-03,REDCO,4.0,4.01,3.91,3.91,35000
22587,2015-03-04,REDCO,4.09,4.09,4.09,4.09,12000
