,Date,Symbol,Open,High,Low,Close,Volume
610,2015-01-02,RUBY,6.84,6.84,6.6,6.6,1000
1134,2015-01-05,RUBY,6.2,6.21,6.2,6.21,2500
1638,2015-01-06,RUBY,6.5,6.5,6.1,6.4,3000
2157,2015-01-07,RUBY,0.0,6.1,6.1,6.4,500
2662,2015-01-08,RUBY,6.0,6.5,6.0,6.5,3500
3703,2015-01-12,RUBY,6.5,6.6,6.5,6.6,2500
4232,2015-01-13,RUBY,6.6,6.6,6.6,6.6,2500
5325,2015-01-15,RUBY,7.0,7.0,7.0,7.0,2000
5875,2015-01-16,RUBY,6.8,6.8,6.8,6.8,3000
6398,2015-01-19,RUBY,6.7,6.7,6.7,6.7,1500
6941,2015-01-20,RUBY,6.7,6.7,6.7,6.7,3500
7474,2015-01-21,RUBY,6.6,6.6,6.6,6.6,1000
10146,2015-01-28,RUBY,6.2,6.6,6.05,6.6,1500
17358,2015-02-18,RUBY,6.2,6.2,6.05,6.05,5000
17861,2015-02-19,RUBY,6.3,6.3,6.3,6.3,2500
18847,2015-02-23,RUBY,6.43,6.43,6.43,6.43,3000
19386,2015-02-24,RUBY,6.1,6.1,6.05,6.05,1000
19929,2015-02-25,RUBY,6.25,6.25,6.0,6.0,1000
21010,2015-02-27,RUBY,6.3,6.3,6.3,6.3,500
21545,2015-03-02,RUBY,6.11,6.11,5.5,5.5,8500
22046,2015-03-03,RUBY,5.5,6.4,5.2,6.39,25500
22550,2015-03-04,RUBY,6.3,6.3,5.7,6.0,5500
23051,2015-03-05,RUBY,5.61,5.78,5.58,5.78,4500
24004,2015-03-09,RUBY,5.5,5.5,5.5,5.5,500
24486,2015-03-10,RUBY,5.2,5.5,5.2,5.2,1500
25452,2015-03-12,RUBY,5.25,5.3,5.25,5.3,2000
27883,2015-03-19,RUBY,4.81,4.81,4.8,4.8,1000
29337,2015-03-25,RUBY,4.85,4.85,4.8,4.8,1000
29847,2015-03-26,RUBY,4.71,4.71,4.1,4.1,4000
30372,2015-03-27,RUBY,4.02,4.02,3.9,3.9,5000
30913,2015-03-30,RUBY,3.85,3.9,3.7,3.86,4500
32438,2015-04-02,RUBY,0.0,3.9,3.9,3.9,0
32948,2015-04-03,RUBY,4.85,4.85,4.85,4.85,1500
33449,2015-04-06,RUBY,5.0,5.0,5.0,5.0,500
33954,2015-04-07,RUBY,5.25,5.94,5.25,5.94,4500
34445,2015-04-08,RUBY,5.85,5.9,5.85,5.9,3500
35948,2015-04-13,RUBY,4.9,5.6,4.9,4.9,5500
42095,2015-04-29,RUBY,4.51,4.51,4.12,4.5,2500
43596,2015-05-05,RUBY,4.8,4.8,4.8,4.8,500
44102,2015-05-06,RUBY,5.3,5.4,5.3,5.4,1500
47009,2015-05-14,RUBY,5.25,5.25,5.25,5.25,1000
47487,2015-05-15,RUBY,5.0,5.0,5.0,5.0,500
47973,2015-05-18,RUBY,4.7,4.9,4.5,4.65,6500
48451,2015-05-20,RUBY,4.45,4.45,4.45,4.45,1000
48923,2015-05-21,RUBY,4.75,4.75,4.45,4.5,2000
49863,2015-05-25,RUBY,4.45,4.49,4.45,4.49,1000
50379,2015-05-27,RUBY,4.23,4.23,4.23,4.23,1000
52501,2015-06-02,RUBY,4.44,4.44,4.41,4.41,1500
53019,2015-06-03,RUBY,4.2,4.3,4.2,4.2,1500
53543,2015-06-04,RUBY,4.21,4.21,3.6,4.01,5000
54063,2015-06-05,RUBY,4.4,4.5,4.0,4.1,3000
54576,2015-06-08,RUBY,4.11,4.11,4.11,4.11,2000
55105,2015-06-09,RUBY,4.65,5.11,4.65,5.11,10500
55629,2015-06-10,RUBY,5.5,6.11,5.5,6.11,24000
56158,2015-06-12,RUBY,5.3,5.5,5.26,5.5,7000
56691,2015-06-15,RUBY,5.5,5.6,5.5,5.6,13000
57215,2015-06-16,RUBY,5.5,5.5,5.5,5.5,7500
57743,2015-06-17,RUBY,5.5,5.5,4.85,5.13,12500
58800,2015-06-19,RUBY,5.2,5.2,5.2,5.2,500
59299,2015-06-22,RUBY,5.49,5.5,5.49,5.5,8500
59826,2015-06-23,RUBY,5.5,5.5,5.5,5.5,6500
60391,2015-06-24,RUBY,5.0,5.4,5.0,5.4,1500
60956,2015-06-25,RUBY,5.3,5.3,5.3,5.3,500
61487,2015-06-26,RUBY,5.3,5.3,5.3,5.3,500
63004,2015-07-01,RUBY,5.1,5.4,5.1,5.4,2000
63516,2015-07-02,RUBY,5.0,5.0,5.0,5.0,500
64018,2015-07-03,RUBY,5.3,5.6,5.3,5.51,210500
64520,2015-07-06,RUBY,5.49,5.5,5.49,5.5,33500
65555,2015-07-08,RUBY,5.5,5.5,5.5,5.5,6500
66057,2015-07-09,RUBY,5.5,5.5,5.5,5.5,2000
67551,2015-07-14,RUBY,5.0,5.5,5.0,5.05,63500
68069,2015-07-15,RUBY,5.4,5.48,5.35,5.4,10500
68591,2015-07-16,RUBY,5.6,5.65,5.6,5.65,2000
69121,2015-07-22,RUBY,5.4,5.4,5.4,5.4,1000
69653,2015-07-23,RUBY,5.47,5.47,5.4,5.4,30500
70190,2015-07-24,RUBY,5.7,6.4,5.7,6.2,72500
70713,2015-07-27,RUBY,5.9,5.9,5.9,5.9,1000
71270,2015-07-28,RUBY,5.6,5.8,5.4,5.58,4500
71832,2015-07-29,RUBY,5.55,5.6,5.51,5.6,8500
72386,2015-07-30,RUBY,5.45,5.64,5.4,5.62,16500
73455,2015-08-03,RUBY,5.6,5.6,5.6,5.6,1000
73950,2015-08-04,RUBY,5.65,5.65,5.65,5.65,1500
74457,2015-08-05,RUBY,5.7,5.73,5.6,5.73,4000
75504,2015-08-07,RUBY,5.8,6.22,5.8,6.22,2000
76016,2015-08-10,RUBY,6.03,6.03,5.8,5.8,7500
77051,2015-08-12,RUBY,6.23,6.23,6.23,6.23,500
78090,2015-08-17,RUBY,6.0,6.0,5.6,5.6,1000
79107,2015-08-19,RUBY,5.55,5.55,5.55,5.55,500
79630,2015-08-20,RUBY,5.75,5.75,5.75,5.75,2000
80138,2015-08-21,RUBY,0.0,5.74,5.74,5.75,500
80643,2015-08-24,RUBY,5.1,5.1,5.05,5.05,1000
81729,2015-08-26,RUBY,5.0,5.0,5.0,5.0,1000
82819,2015-08-28,RUBY,5.2,5.2,5.2,5.2,500
83375,2015-08-31,RUBY,5.5,5.5,5.5,5.5,3000
85844,2015-09-17,RUBY,4.65,4.65,4.64,4.64,1000
88265,2015-09-28,RUBY,4.5,4.8,4.5,4.8,1500
91623,2015-10-07,RUBY,4.3,4.75,4.3,4.7,3500
92110,2015-10-08,RUBY,4.6,4.6,4.4,4.41,3500
92610,2015-10-09,RUBY,4.8,5.0,4.8,5.0,1000
93110,2015-10-12,RUBY,4.85,4.85,4.8,4.8,1000
93619,2015-10-13,RUBY,4.7,4.8,4.7,4.75,7000
94133,2015-10-14,RUBY,4.85,4.85,4.85,4.85,2000
94633,2015-10-15,RUBY,4.55,4.75,4.4,4.58,3500
95131,2015-10-16,RUBY,4.4,4.6,4.4,4.58,6500
96138,2015-10-20,RUBY,4.69,4.85,4.69,4.8,2500
96638,2015-10-21,RUBY,4.5,4.5,4.5,4.5,2500
98161,2015-10-27,RUBY,4.05,4.05,4.05,4.05,500
98688,2015-10-28,RUBY,4.49,4.5,4.49,4.5,1500
99238,2015-10-29,RUBY,4.6,4.6,4.6,4.6,1000
100310,2015-11-02,RUBY,4.7,4.7,4.45,4.45,1000
102325,2015-11-06,RUBY,4.6,4.9,4.6,4.6,2500
102817,2015-11-09,RUBY,4.4,4.4,4.4,4.4,500
103796,2015-11-11,RUBY,4.2,4.2,4.01,4.2,2500
104803,2015-11-13,RUBY,4.01,4.01,4.01,4.01,10000
105294,2015-11-16,RUBY,4.0,4.03,4.0,4.0,25000
105791,2015-11-17,RUBY,4.3,5.0,4.3,5.0,48500
106317,2015-11-18,RUBY,5.3,5.75,4.99,5.0,103500
106831,2015-11-19,RUBY,4.51,4.7,4.42,4.52,13000
107322,2015-11-20,RUBY,4.79,4.8,4.4,4.4,3000
107825,2015-11-23,RUBY,4.2,4.2,4.2,4.2,500
108918,2015-11-25,RUBY,4.25,4.25,4.01,4.01,12500
109453,2015-11-26,RUBY,4.01,4.01,3.8,3.8,5000
110508,2015-11-30,RUBY,4.2,4.2,3.85,3.85,2500
112461,2015-12-04,RUBY,3.6,3.85,3.6,3.85,3000
113435,2015-12-08,RUBY,3.56,3.56,3.5,3.5,6000
113935,2015-12-09,RUBY,3.5,3.8,3.5,3.8,11500
114422,2015-12-10,RUBY,3.79,3.79,3.6,3.79,8500
115375,2015-12-15,RUBY,3.53,3.99,3.53,3.99,4500
115851,2015-12-16,RUBY,0.0,3.95,3.95,3.99,1000
116324,2015-12-17,RUBY,4.2,4.2,4.0,4.0,3500
116797,2015-12-18,RUBY,4.35,4.35,4.35,4.35,500
117270,2015-12-22,RUBY,4.95,4.95,4.3,4.33,13000
117770,2015-12-23,RUBY,4.3,4.5,4.3,4.4,5500
118291,2015-12-28,RUBY,4.5,4.5,4.5,4.5,2500
118751,2015-12-29,RUBY,4.69,4.69,4.4,4.4,1000
119229,2015-12-30,RUBY,4.4,4.4,4.4,4.4,10500
119695,2015-12-31,RUBY,4.4,4.4,4.4,4.4,1500
120631,2016-01-05,RUBY,4.4,4.4,4.4,4.4,500
121083,2016-01-06,RUBY,4.6,4.6,4.6,4.6,500
121552,2016-01-07,RUBY,4.01,4.01,4.0,4.0,1000
122016,2016-01-11,RUBY,4.4,4.4,4.4,4.4,500
122472,2016-01-12,RUBY,4.5,4.5,4.5,4.5,500
122932,2016-01-13,RUBY,3.75,4.7,3.75,4.25,1500
123411,2016-01-14,RUBY,3.65,4.0,3.65,4.0,6000
123891,2016-01-15,RUBY,4.25,4.7,4.25,4.5,2000
124842,2016-01-19,RUBY,3.8,3.8,3.77,3.77,1000
125297,2016-01-20,RUBY,3.5,3.6,3.5,3.6,1000
125759,2016-01-21,RUBY,4.0,4.0,4.0,4.0,500
126219,2016-01-22,RUBY,4.25,4.25,4.25,4.25,500
128157,2016-01-28,RUBY,4.4,4.45,4.4,4.43,1000
128647,2016-01-29,RUBY,4.4,4.4,4.4,4.4,5000
129140,2016-02-01,RUBY,4.45,4.45,4.45,4.45,5000
129605,2016-02-02,RUBY,4.25,4.74,4.25,4.3,2000
130528,2016-02-04,RUBY,3.95,3.95,3.95,3.95,1000
132386,2016-02-11,RUBY,4.4,4.4,3.64,3.64,1000
133774,2016-02-16,RUBY,4.39,4.39,4.0,4.0,3000
134666,2016-02-18,RUBY,3.5,4.1,3.5,3.8,1000
140462,2016-03-08,RUBY,4.09,4.09,4.09,4.09,500
142354,2016-03-14,RUBY,3.6,3.65,3.5,3.5,1500
142828,2016-03-15,RUBY,3.6,3.65,3.6,3.6,2500
143300,2016-03-16,RUBY,3.4,3.4,3.1,3.25,14500
144245,2016-03-18,RUBY,2.7,3.0,2.7,2.9,7500
144730,2016-04-01,RUBY,3.3,3.3,3.3,3.3,500
145733,2016-04-05,RUBY,3.45,3.5,3.11,3.11,1500
146253,2016-04-06,RUBY,3.1,3.48,3.1,3.48,15500
147266,2016-04-08,RUBY,3.5,3.5,3.5,3.5,500
147774,2016-04-11,RUBY,3.2,3.2,3.11,3.11,15500
148257,2016-04-12,RUBY,2.81,3.3,2.81,3.3,1000
149222,2016-04-15,RUBY,3.1,3.1,3.1,3.1,1000
149717,2016-04-15,RUBY,3.1,3.1,3.1,3.1,1000
150217,2016-04-19,RUBY,3.01,3.45,3.0,3.43,2500
150723,2016-04-20,RUBY,3.49,3.49,3.49,3.49,500
151240,2016-04-21,RUBY,3.25,3.25,3.21,3.23,1000
151759,2016-04-22,RUBY,3.22,3.22,3.0,3.05,5000
152258,2016-04-25,RUBY,3.18,3.2,3.18,3.2,2500
152810,2016-04-26,RUBY,3.45,3.45,3.3,3.31,3500
153358,2016-04-27,RUBY,3.33,3.33,3.33,3.33,1500
153914,2016-04-28,RUBY,3.16,3.3,3.16,3.3,2500
154470,2016-04-29,RUBY,3.1,3.1,3.1,3.1,1000
157581,2016-05-10,RUBY,3.2,3.2,3.2,3.2,500
158098,2016-05-12,RUBY,3.12,3.12,3.03,3.03,6500
159137,2016-05-16,RUBY,3.2,3.5,3.2,3.5,6500
159664,2016-05-18,RUBY,3.41,3.41,3.41,3.41,500
160195,2016-05-19,RUBY,3.65,4.25,3.65,4.06,34000
160719,2016-05-20,RUBY,4.05,4.4,3.9,3.96,20000
161226,2016-05-23,RUBY,4.0,4.01,4.0,4.01,1500
161783,2016-05-24,RUBY,3.81,3.91,3.81,3.85,2500
162364,2016-05-25,RUBY,4.05,4.22,4.0,4.22,4000
162932,2016-05-26,RUBY,4.64,5.22,4.16,5.22,104500
163510,2016-06-02,RUBY,4.8,6.0,4.5,6.0,98500
164045,2016-06-03,RUBY,6.8,7.0,6.75,7.0,136500
164578,2016-06-06,RUBY,8.0,8.0,7.01,7.96,80500
165086,2016-06-07,RUBY,8.65,8.96,7.5,8.91,163500
165570,2016-06-07,RUBY,8.65,8.96,7.5,8.91,163500
166060,2016-06-08,RUBY,9.9,9.91,8.5,9.91,285500
166560,2016-06-09,RUBY,10.9,10.91,10.01,10.91,73500
167050,2016-06-10,RUBY,11.78,11.91,11.75,11.91,60000
