,Date,Symbol,Open,High,Low,Close,Volume
181,2015-01-01,SMCPL,8.0,8.0,7.8,7.84,13500
697,2015-01-02,SMCPL,8.08,8.08,8.08,8.08,1000
1728,2015-01-06,SMCPL,7.81,7.98,7.81,7.98,3500
2245,2015-01-07,SMCPL,8.0,8.0,8.0,8.0,36000
2758,2015-01-08,SMCPL,7.97,7.97,7.8,7.92,20000
3270,2015-01-09,SMCPL,7.99,8.19,7.9,8.0,96000
3793,2015-01-12,SMCPL,8.1,8.69,8.1,8.61,458500
4333,2015-01-13,SMCPL,8.44,9.15,8.44,9.09,317000
4880,2015-01-14,SMCPL,9.16,9.4,9.15,9.34,157500
5424,2015-01-15,SMCPL,9.5,9.79,9.3,9.75,345500
5965,2015-01-16,SMCPL,9.96,9.96,9.3,9.4,62500
6499,2015-01-19,SMCPL,9.0,9.01,8.85,8.9,74500
7033,2015-01-20,SMCPL,8.51,9.0,8.51,8.75,100500
7569,2015-01-21,SMCPL,8.85,8.85,8.51,8.56,37500
8091,2015-01-22,SMCPL,8.52,8.8,8.5,8.65,99000
8602,2015-01-23,SMCPL,9.44,9.44,8.7,8.9,11500
9122,2015-01-26,SMCPL,8.99,8.99,8.65,8.68,3000
9679,2015-01-27,SMCPL,9.2,9.26,8.7,8.89,5000
10236,2015-01-28,SMCPL,8.88,8.9,8.88,8.89,7500
10785,2015-01-29,SMCPL,8.7,8.78,8.7,8.74,52500
11322,2015-01-30,SMCPL,8.74,8.75,8.74,8.75,52500
12397,2015-02-03,SMCPL,8.79,8.79,8.79,8.79,5000
12916,2015-02-04,SMCPL,8.55,8.7,8.55,8.7,2000
13421,2015-02-06,SMCPL,8.75,9.0,8.75,8.93,28000
13927,2015-02-09,SMCPL,9.0,9.01,8.76,8.76,27000
14431,2015-02-10,SMCPL,8.25,8.6,8.25,8.43,1000
14941,2015-02-11,SMCPL,8.5,8.5,8.5,8.5,1000
15455,2015-02-12,SMCPL,8.2,8.2,8.0,8.0,15000
15951,2015-02-13,SMCPL,8.25,8.4,8.25,8.4,3500
16941,2015-02-17,SMCPL,8.0,8.0,7.8,7.97,33500
17443,2015-02-18,SMCPL,7.76,8.95,7.76,8.0,203500
17947,2015-02-19,SMCPL,8.0,8.1,8.0,8.06,37000
18440,2015-02-20,SMCPL,8.0,8.4,7.81,8.2,2500
19477,2015-02-24,SMCPL,7.78,7.78,7.78,7.78,500
20012,2015-02-25,SMCPL,8.0,8.0,8.0,8.0,1000
20563,2015-02-26,SMCPL,7.8,7.8,7.61,7.61,5500
21627,2015-03-02,SMCPL,7.95,8.0,7.95,8.0,85000
22133,2015-03-03,SMCPL,8.05,8.05,8.0,8.0,7000
22635,2015-03-04,SMCPL,8.1,8.45,8.1,8.2,7000
23133,2015-03-05,SMCPL,8.19,8.19,8.19,8.19,1000
23599,2015-03-06,SMCPL,8.01,8.01,7.73,7.8,2000
24075,2015-03-09,SMCPL,7.8,7.8,7.8,7.8,1000
24558,2015-03-10,SMCPL,7.7,7.7,7.65,7.65,21000
25043,2015-03-11,SMCPL,7.7,7.7,7.55,7.55,4000
25529,2015-03-12,SMCPL,7.75,8.0,7.71,8.0,4000
26012,2015-03-13,SMCPL,7.75,8.0,7.75,8.0,1000
26495,2015-03-16,SMCPL,7.7,7.7,7.7,7.7,500
27473,2015-03-18,SMCPL,7.52,7.52,7.4,7.4,11000
27962,2015-03-19,SMCPL,7.4,7.4,7.4,7.4,1000
28903,2015-03-24,SMCPL,7.25,7.25,7.25,7.25,8000
29409,2015-03-25,SMCPL,7.7,7.7,7.7,7.7,1500
31003,2015-03-30,SMCPL,7.03,7.03,7.01,7.01,5500
31511,2015-03-31,SMCPL,7.0,7.5,7.0,7.4,2500
32014,2015-04-01,SMCPL,7.49,7.5,7.49,7.5,6000
32525,2015-04-02,SMCPL,7.35,7.4,7.35,7.4,2000
33029,2015-04-03,SMCPL,7.0,7.97,7.0,7.96,8500
34036,2015-04-07,SMCPL,7.2,7.2,6.96,6.96,1000
35517,2015-04-10,SMCPL,7.75,7.75,7.75,7.75,500
38501,2015-04-20,SMCPL,7.2,7.75,7.2,7.75,1000
42180,2015-04-29,SMCPL,7.11,7.11,7.11,7.11,2000
42680,2015-04-30,SMCPL,7.75,8.11,7.75,8.04,20000
43676,2015-05-05,SMCPL,8.0,8.1,8.0,8.1,18500
44183,2015-05-06,SMCPL,8.4,8.8,8.4,8.8,50000
44683,2015-05-07,SMCPL,8.8,8.8,8.8,8.8,1500
45169,2015-05-08,SMCPL,8.6,8.6,8.4,8.4,1000
45659,2015-05-11,SMCPL,8.49,8.49,8.0,8.2,42000
47080,2015-05-14,SMCPL,8.75,8.75,8.75,8.75,1000
47569,2015-05-15,SMCPL,8.5,8.5,8.5,8.5,5000
