,Date,Symbol,Open,High,Low,Close,Volume
106,2015-01-01,SAIF,27.19,27.19,27.19,27.19,500
611,2015-01-02,SAIF,27.88,27.98,27.5,27.62,18000
1135,2015-01-05,SAIF,26.7,27.3,26.7,26.82,22000
1639,2015-01-06,SAIF,26.18,27.0,26.18,26.7,58500
2663,2015-01-08,SAIF,26.7,26.7,26.7,26.7,500
3183,2015-01-09,SAIF,26.99,28.03,26.99,28.03,523000
3704,2015-01-12,SAIF,28.74,29.43,28.74,29.43,30000
4233,2015-01-13,SAIF,30.9,30.9,30.9,30.9,15000
4782,2015-01-14,SAIF,32.44,32.44,30.25,30.8,53000
5326,2015-01-15,SAIF,30.99,32.34,30.95,32.16,84500
5876,2015-01-16,SAIF,31.25,31.5,31.0,31.11,8500
6399,2015-01-19,SAIF,31.5,32.66,31.05,32.15,66000
6942,2015-01-20,SAIF,32.15,32.5,31.5,31.84,145000
7475,2015-01-21,SAIF,31.25,31.3,31.0,31.0,8500
7999,2015-01-22,SAIF,31.0,31.0,30.0,30.03,35500
8517,2015-01-23,SAIF,30.5,30.7,30.0,30.49,7000
9033,2015-01-26,SAIF,30.99,30.99,30.0,30.01,22000
10147,2015-01-28,SAIF,30.0,31.0,30.0,30.0,8000
10698,2015-01-29,SAIF,31.35,31.5,30.94,31.1,228000
11237,2015-01-30,SAIF,30.1,31.01,30.0,30.19,28000
11787,2015-02-02,SAIF,30.94,31.0,30.89,30.9,5000
12306,2015-02-03,SAIF,30.5,31.0,29.82,30.5,11000
12826,2015-02-04,SAIF,30.0,31.2,29.6,30.45,70500
13334,2015-02-06,SAIF,30.99,30.99,29.92,30.4,3500
13841,2015-02-09,SAIF,30.0,30.4,29.8,30.05,109000
14340,2015-02-10,SAIF,31.5,31.5,30.05,30.28,13500
14848,2015-02-11,SAIF,30.44,30.44,29.59,30.11,5500
15361,2015-02-12,SAIF,29.38,29.38,28.61,28.7,18000
15861,2015-02-13,SAIF,28.02,29.98,28.0,28.7,14000
16361,2015-02-16,SAIF,29.0,29.3,27.7,29.3,9500
16858,2015-02-17,SAIF,28.98,28.98,28.98,28.98,1500
17359,2015-02-18,SAIF,27.9,27.9,27.54,27.54,21000
17862,2015-02-19,SAIF,26.31,26.69,26.17,26.18,182000
18364,2015-02-20,SAIF,26.1,26.5,26.0,26.15,9500
18848,2015-02-23,SAIF,26.49,26.49,26.01,26.4,16000
19387,2015-02-24,SAIF,26.39,27.72,26.39,27.0,25500
19930,2015-02-25,SAIF,26.0,26.5,25.65,25.86,33500
20473,2015-02-26,SAIF,26.5,26.5,24.57,24.57,11500
21011,2015-02-27,SAIF,23.35,24.0,23.35,23.65,62500
21546,2015-03-02,SAIF,23.65,23.65,22.47,22.53,8000
