,Date,Symbol,Open,High,Low,Close,Volume
159,2015-01-01,SKRS,3.1,3.1,3.1,3.1,5000
1197,2015-01-05,SKRS,3.13,3.13,2.75,3.05,3000
1705,2015-01-06,SKRS,3.04,3.1,3.04,3.07,2000
2223,2015-01-07,SKRS,3.04,3.04,3.0,3.0,4000
2735,2015-01-08,SKRS,3.03,3.03,3.0,3.0,2500
3768,2015-01-12,SKRS,2.99,2.99,2.72,2.79,31000
4310,2015-01-13,SKRS,2.95,2.96,2.73,2.93,10000
4856,2015-01-14,SKRS,2.93,2.95,2.9,2.93,3000
5400,2015-01-15,SKRS,2.94,2.94,2.94,2.94,3000
5941,2015-01-16,SKRS,2.95,2.95,2.94,2.94,2000
6475,2015-01-19,SKRS,2.97,2.99,2.95,2.99,4000
7009,2015-01-20,SKRS,2.8,2.8,2.7,2.75,17500
7544,2015-01-21,SKRS,2.75,2.94,2.7,2.94,9500
8068,2015-01-22,SKRS,2.94,2.94,2.7,2.74,7500
8578,2015-01-23,SKRS,2.89,2.89,2.89,2.89,500
9099,2015-01-26,SKRS,2.65,2.8,2.53,2.8,11000
9657,2015-01-27,SKRS,2.84,2.84,2.71,2.84,1500
10212,2015-01-28,SKRS,2.66,2.72,2.57,2.65,19500
10761,2015-01-29,SKRS,2.7,2.7,2.65,2.65,1500
11300,2015-01-30,SKRS,2.69,2.9,2.6,2.67,14000
11857,2015-02-02,SKRS,2.6,2.65,2.6,2.62,5000
12373,2015-02-03,SKRS,2.62,2.62,2.6,2.62,11000
12892,2015-02-04,SKRS,2.75,2.75,2.75,2.75,500
13396,2015-02-06,SKRS,2.63,2.63,2.62,2.62,5000
14918,2015-02-11,SKRS,2.5,2.7,2.5,2.7,1000
15430,2015-02-12,SKRS,2.5,2.6,2.36,2.6,2000
16423,2015-02-16,SKRS,2.51,2.51,2.51,2.51,500
17925,2015-02-19,SKRS,2.5,2.5,2.4,2.5,11500
18420,2015-02-20,SKRS,2.66,3.0,2.5,2.8,13500
18909,2015-02-23,SKRS,2.8,2.8,2.8,2.8,10000
20540,2015-02-26,SKRS,2.55,2.7,2.55,2.7,1500
21073,2015-02-27,SKRS,2.5,2.5,2.5,2.5,500
21606,2015-03-02,SKRS,2.74,2.74,2.74,2.74,500
23112,2015-03-05,SKRS,2.45,2.45,2.45,2.45,500
25023,2015-03-11,SKRS,2.45,2.5,2.45,2.5,2000
25509,2015-03-12,SKRS,2.4,2.4,2.4,2.4,500
25992,2015-03-13,SKRS,2.6,2.74,2.6,2.74,1500
27944,2015-03-19,SKRS,2.2,2.5,2.2,2.45,2500
28416,2015-03-20,SKRS,2.9,2.9,2.5,2.5,1000
28886,2015-03-24,SKRS,2.36,2.49,2.3,2.49,4000
29391,2015-03-25,SKRS,2.25,2.45,2.06,2.33,15500
30432,2015-03-27,SKRS,2.2,2.58,2.2,2.33,1500
30979,2015-03-30,SKRS,2.15,2.45,2.03,2.25,4000
31994,2015-04-01,SKRS,2.2,2.4,2.2,2.4,1500
33011,2015-04-03,SKRS,2.35,2.35,2.3,2.3,5000
33512,2015-04-06,SKRS,2.38,2.38,2.35,2.35,2500
34015,2015-04-07,SKRS,2.4,2.4,2.4,2.4,1000
36011,2015-04-13,SKRS,2.11,2.68,2.1,2.43,4000
36486,2015-04-14,SKRS,2.45,2.45,2.35,2.4,1000
36964,2015-04-15,SKRS,2.2,2.2,2.2,2.2,500
37456,2015-04-16,SKRS,2.49,2.49,2.49,2.49,1000
37975,2015-04-17,SKRS,2.8,2.8,2.2,2.5,25000
39540,2015-04-22,SKRS,2.5,2.51,2.5,2.5,10000
40069,2015-04-23,SKRS,2.6,2.6,2.31,2.4,9000
41640,2015-04-28,SKRS,2.48,2.48,2.48,2.48,500
44162,2015-05-06,SKRS,2.12,2.4,2.12,2.4,1000
44664,2015-05-07,SKRS,2.26,2.26,2.25,2.25,2500
45149,2015-05-08,SKRS,2.2,2.2,2.0,2.15,5500
