,Date,Symbol,Open,High,Low,Close,Volume
114,2015-01-01,SMTM,14.55,15.0,14.2,14.2,8500
621,2015-01-02,SMTM,14.15,14.8,14.15,14.44,63000
1145,2015-01-05,SMTM,14.49,14.7,14.02,14.06,17000
1648,2015-01-06,SMTM,14.0,14.5,13.99,14.0,76500
2166,2015-01-07,SMTM,14.25,14.3,13.9,14.13,27000
2673,2015-01-08,SMTM,14.0,14.2,13.8,13.94,35500
3194,2015-01-09,SMTM,14.05,14.3,13.75,13.75,24500
3712,2015-01-12,SMTM,13.6,14.75,13.6,14.75,186000
4248,2015-01-13,SMTM,15.0,15.39,14.5,14.63,78500
4793,2015-01-14,SMTM,14.4,15.4,14.25,14.57,182000
5339,2015-01-15,SMTM,14.7,15.0,14.51,14.57,136000
5886,2015-01-16,SMTM,14.65,14.8,14.2,14.47,39000
6411,2015-01-19,SMTM,14.35,14.9,14.25,14.5,38000
6951,2015-01-20,SMTM,15.0,15.0,14.0,14.47,51000
7487,2015-01-21,SMTM,14.5,14.5,13.9,14.0,58000
8012,2015-01-22,SMTM,14.25,14.25,13.45,13.51,52000
8528,2015-01-23,SMTM,13.55,13.55,13.5,13.5,29500
9041,2015-01-26,SMTM,13.9,13.9,13.45,13.59,39000
9600,2015-01-27,SMTM,13.55,13.68,13.46,13.46,36000
10155,2015-01-28,SMTM,13.41,13.41,13.3,13.32,5000
10708,2015-01-29,SMTM,13.3,13.5,13.2,13.5,12500
11248,2015-01-30,SMTM,13.2,13.25,12.55,13.24,229500
11795,2015-02-02,SMTM,13.5,13.8,12.62,12.95,240500
12314,2015-02-03,SMTM,12.85,13.0,12.55,12.61,81500
12834,2015-02-04,SMTM,12.42,12.7,12.07,12.54,37500
13342,2015-02-06,SMTM,12.75,12.75,12.5,12.5,10000
13849,2015-02-09,SMTM,12.5,12.51,12.5,12.51,3000
14350,2015-02-10,SMTM,12.9,13.0,12.7,12.8,66000
14856,2015-02-11,SMTM,12.75,12.85,12.4,12.7,59000
15369,2015-02-12,SMTM,12.5,12.7,12.4,12.7,23500
15873,2015-02-13,SMTM,12.99,12.99,12.9,12.9,5000
16370,2015-02-16,SMTM,12.75,12.75,12.71,12.71,1000
16868,2015-02-17,SMTM,12.7,12.75,12.4,12.42,59500
17368,2015-02-18,SMTM,12.3,12.7,12.3,12.53,11000
17871,2015-02-19,SMTM,12.6,12.7,12.5,12.64,13000
18371,2015-02-20,SMTM,12.75,12.75,12.74,12.74,1500
18856,2015-02-23,SMTM,12.65,12.65,12.6,12.6,3500
19395,2015-02-24,SMTM,12.75,13.0,12.7,12.7,13000
19939,2015-02-25,SMTM,12.6,12.6,12.15,12.18,98000
20484,2015-02-26,SMTM,12.5,12.9,12.4,12.45,104500
21022,2015-02-27,SMTM,12.35,12.35,12.0,12.11,42500
21554,2015-03-02,SMTM,12.06,12.06,11.11,11.12,85500
22057,2015-03-03,SMTM,10.35,11.0,10.25,10.95,20500
22561,2015-03-04,SMTM,11.1,11.24,11.1,11.24,3500
23059,2015-03-05,SMTM,10.8,11.35,10.8,11.32,15500
23534,2015-03-06,SMTM,11.45,11.45,11.1,11.11,37500
24008,2015-03-09,SMTM,10.75,11.4,10.72,11.4,2500
