,Date,Symbol,Open,High,Low,Close,Volume
268,2015-01-01,SAPL,770.0,770.0,769.0,769.5,100
793,2015-01-02,SAPL,775.0,800.0,775.0,800.0,550
1312,2015-01-05,SAPL,819.0,825.0,780.0,815.0,450
1819,2015-01-06,SAPL,786.11,786.11,780.0,780.0,100
2338,2015-01-07,SAPL,750.0,750.0,750.0,750.0,50
2851,2015-01-08,SAPL,786.0,786.0,712.5,714.66,3600
3364,2015-01-09,SAPL,721.0,730.0,720.0,722.18,600
3890,2015-01-12,SAPL,750.0,758.28,750.0,758.28,2100
4428,2015-01-13,SAPL,750.0,750.0,726.0,735.33,850
4973,2015-01-14,SAPL,741.0,742.0,739.0,740.0,350
5520,2015-01-15,SAPL,743.99,743.99,743.99,743.99,50
6057,2015-01-16,SAPL,749.97,749.98,748.0,748.0,800
6591,2015-01-19,SAPL,745.0,775.0,745.0,745.0,1400
7127,2015-01-20,SAPL,727.0,739.0,708.1,737.25,3300
7664,2015-01-21,SAPL,740.0,740.0,701.0,724.0,2900
8186,2015-01-22,SAPL,710.0,710.11,710.0,710.1,250
9217,2015-01-26,SAPL,710.0,710.1,700.0,710.0,1150
9773,2015-01-27,SAPL,719.96,719.96,700.0,702.0,700
10331,2015-01-28,SAPL,718.0,718.0,712.65,713.73,200
10881,2015-01-29,SAPL,715.1,725.1,712.0,715.0,550
11415,2015-01-30,SAPL,726.0,726.49,721.0,723.75,150
11975,2015-02-02,SAPL,710.0,715.0,689.0,702.0,400
12492,2015-02-03,SAPL,710.0,710.0,705.0,705.01,350
13011,2015-02-04,SAPL,701.0,701.0,701.0,701.0,100
13515,2015-02-06,SAPL,700.0,703.0,700.0,703.0,150
14023,2015-02-09,SAPL,706.45,706.45,702.0,703.48,200
15032,2015-02-11,SAPL,681.0,692.0,681.0,692.0,100
16043,2015-02-13,SAPL,705.0,726.6,705.0,726.6,1650
16540,2015-02-16,SAPL,762.93,762.93,735.0,762.8,3100
17036,2015-02-17,SAPL,769.99,769.99,724.67,753.0,600
17536,2015-02-18,SAPL,727.0,727.0,727.0,727.0,50
18531,2015-02-20,SAPL,700.11,763.35,692.0,745.97,3100
19567,2015-02-24,SAPL,759.99,759.99,725.0,750.0,250
20102,2015-02-25,SAPL,749.99,765.0,749.99,751.67,2000
20654,2015-02-26,SAPL,763.99,763.99,763.99,763.99,50
21183,2015-02-27,SAPL,773.0,773.0,773.0,773.0,100
21719,2015-03-02,SAPL,736.01,736.01,736.01,736.01,50
22224,2015-03-03,SAPL,761.99,761.99,761.99,761.99,50
22726,2015-03-04,SAPL,759.0,759.9,759.0,759.9,200
23690,2015-03-06,SAPL,749.99,750.0,722.0,749.99,550
24164,2015-03-09,SAPL,740.0,740.0,740.0,740.0,150
24651,2015-03-10,SAPL,762.98,762.98,720.0,720.0,200
25134,2015-03-11,SAPL,719.98,719.98,710.0,710.0,200
25621,2015-03-12,SAPL,690.1,690.1,674.5,677.83,1800
26103,2015-03-13,SAPL,666.01,708.99,666.0,707.99,1050
26586,2015-03-16,SAPL,719.0,719.0,714.99,718.99,400
27058,2015-03-17,SAPL,684.0,719.0,684.0,700.0,400
28051,2015-03-19,SAPL,695.0,708.0,695.0,708.0,200
28519,2015-03-20,SAPL,728.0,728.0,700.0,700.0,100
28991,2015-03-24,SAPL,724.99,724.99,724.99,724.99,50
29497,2015-03-25,SAPL,730.0,730.0,724.0,724.0,550
30009,2015-03-26,SAPL,710.0,710.0,710.0,710.0,50
30541,2015-03-27,SAPL,690.5,690.5,690.5,690.5,50
31094,2015-03-30,SAPL,660.0,660.0,656.0,656.0,100
31601,2015-03-31,SAPL,636.1,650.01,636.1,650.0,1000
32105,2015-04-01,SAPL,659.0,659.0,625.0,625.0,900
32613,2015-04-02,SAPL,602.0,602.0,600.0,600.0,100
33118,2015-04-03,SAPL,625.0,625.0,625.0,625.0,100
33621,2015-04-06,SAPL,620.11,654.0,615.0,650.44,1100
34125,2015-04-07,SAPL,650.0,670.0,650.0,655.1,200
34610,2015-04-08,SAPL,660.0,660.0,660.0,660.0,50
35100,2015-04-09,SAPL,650.0,650.0,650.0,650.0,50
36117,2015-04-13,SAPL,664.99,664.99,650.5,650.5,100
37072,2015-04-15,SAPL,625.0,625.01,620.15,620.77,350
38086,2015-04-17,SAPL,649.99,650.0,647.99,648.67,1200
38591,2015-04-20,SAPL,610.1,622.0,610.1,620.5,1300
39113,2015-04-21,SAPL,611.0,611.0,610.0,610.0,350
40177,2015-04-23,SAPL,629.0,629.0,629.0,629.0,50
40699,2015-04-24,SAPL,647.9,647.9,647.9,647.9,50
41755,2015-04-28,SAPL,625.0,670.0,625.0,670.0,800
42274,2015-04-29,SAPL,669.95,669.95,640.0,649.99,950
42772,2015-04-30,SAPL,664.0,664.0,664.0,664.0,50
44272,2015-05-06,SAPL,650.0,650.0,630.8,650.0,600
48140,2015-05-18,SAPL,618.0,618.0,618.0,618.0,100
48618,2015-05-20,SAPL,601.01,648.99,598.5,648.99,1650
51082,2015-05-28,SAPL,618.0,618.0,616.55,617.0,250
51609,2015-05-29,SAPL,610.0,610.0,600.0,600.0,300
52167,2015-06-01,SAPL,580.1,625.0,580.1,624.75,1250
52686,2015-06-02,SAPL,639.5,639.5,639.5,639.5,50
53201,2015-06-03,SAPL,644.0,670.0,644.0,670.0,1150
53726,2015-06-04,SAPL,698.5,698.5,695.0,695.0,250
54240,2015-06-05,SAPL,663.01,694.99,661.0,675.0,1100
54770,2015-06-08,SAPL,641.25,675.0,641.25,660.19,3300
55296,2015-06-09,SAPL,670.0,670.0,655.0,655.0,250
55815,2015-06-10,SAPL,670.0,670.0,625.0,656.0,300
56343,2015-06-12,SAPL,633.74,649.33,632.0,649.33,500
57402,2015-06-16,SAPL,0.0,648.0,648.0,649.33,500
58976,2015-06-19,SAPL,621.99,640.0,621.99,625.4,450
59470,2015-06-22,SAPL,620.0,620.0,620.0,620.0,250
60012,2015-06-23,SAPL,648.0,648.0,648.0,648.0,50
60581,2015-06-24,SAPL,626.0,630.0,625.5,630.0,300
61127,2015-06-25,SAPL,643.0,650.0,622.0,625.01,900
61658,2015-06-26,SAPL,600.5,600.5,600.5,600.5,100
62195,2015-06-29,SAPL,610.0,611.01,610.0,610.81,350
62685,2015-06-30,SAPL,635.99,635.99,635.99,635.99,100
63189,2015-07-01,SAPL,643.99,643.99,639.99,640.0,300
63695,2015-07-02,SAPL,659.99,659.99,635.0,643.33,900
64195,2015-07-03,SAPL,669.0,669.0,666.98,666.98,550
64705,2015-07-06,SAPL,660.0,660.0,641.55,646.1,900
65217,2015-07-07,SAPL,650.0,650.0,640.0,641.0,250
65727,2015-07-08,SAPL,631.0,631.0,631.0,631.0,50
67736,2015-07-14,SAPL,632.0,632.0,632.0,632.0,200
68257,2015-07-15,SAPL,659.96,659.96,659.96,659.96,50
69313,2015-07-22,SAPL,666.03,666.03,626.97,626.97,1750
69850,2015-07-23,SAPL,640.0,658.31,631.0,658.31,5450
70377,2015-07-24,SAPL,665.0,665.0,650.0,650.01,150
70908,2015-07-27,SAPL,665.0,665.0,650.0,665.0,1000
71456,2015-07-28,SAPL,670.0,672.0,666.0,670.0,2900
72023,2015-07-29,SAPL,670.0,675.0,670.0,670.0,500
