,Date,Symbol,Open,High,Low,Close,Volume
653,2015-01-02,SAPT,450.0,450.0,450.0,450.0,200
2710,2015-01-08,SAPT,459.99,472.5,459.99,466.59,1100
3223,2015-01-09,SAPT,0.0,459.75,459.75,466.59,900
4280,2015-01-13,SAPT,470.0,489.91,470.0,487.09,4300
4828,2015-01-14,SAPT,470.0,470.0,470.0,470.0,300
5374,2015-01-15,SAPT,487.0,493.5,487.0,493.15,6400
5917,2015-01-16,SAPT,485.0,485.0,485.0,485.0,100
6445,2015-01-19,SAPT,495.0,500.0,495.0,500.0,5600
6983,2015-01-20,SAPT,518.0,525.0,518.0,522.55,1100
7518,2015-01-21,SAPT,500.1,548.67,500.1,547.57,6100
12346,2015-02-03,SAPT,549.0,549.0,549.0,549.0,100
12864,2015-02-04,SAPT,521.55,521.55,521.55,521.55,2200
13877,2015-02-09,SAPT,545.0,547.0,545.0,547.0,500
14383,2015-02-10,SAPT,546.9,547.0,546.9,547.0,5100
14888,2015-02-11,SAPT,550.0,574.35,550.0,574.35,12900
15402,2015-02-12,SAPT,580.0,580.0,579.9,580.0,1100
19429,2015-02-24,SAPT,551.0,551.0,551.0,551.0,200
21052,2015-02-27,SAPT,0.0,550.5471,550.5471,550.5471,0
23088,2015-03-05,SAPT,0.0,551.0,551.0,550.55,200
26457,2015-03-16,SAPT,523.03,523.03,523.03,523.03,5000
28397,2015-03-20,SAPT,500.0,500.0,500.0,500.0,200
30950,2015-03-30,SAPT,476.0,476.0,476.0,476.0,200
32480,2015-04-02,SAPT,476.0,476.0,454.0,454.0,5300
35471,2015-04-10,SAPT,434.0,434.0,434.0,434.0,100
37945,2015-04-17,SAPT,455.7,455.7,455.7,455.7,2500
43138,2015-05-04,SAPT,450.0,450.0,450.0,450.0,100
44136,2015-05-06,SAPT,471.9,471.9,471.9,471.9,100
46564,2015-05-13,SAPT,494.9,494.9,450.0,485.0,5400
47526,2015-05-15,SAPT,500.0,509.25,500.0,505.86,4100
54622,2015-06-08,SAPT,530.9,530.9,530.0,530.0,1400
55670,2015-06-10,SAPT,525.0,525.0,525.0,525.0,200
56739,2015-06-15,SAPT,0.0,507.0,507.0,525.0,900
58329,2015-06-18,SAPT,549.9,550.0,549.9,550.0,1100
59333,2015-06-22,SAPT,0.0,549.0,549.0,550.0,47500
59867,2015-06-23,SAPT,550.0,560.0,550.0,559.9,63200
60436,2015-06-24,SAPT,572.0,572.0,572.0,572.0,200
63044,2015-07-01,SAPT,599.9,600.6,599.9,600.6,200
63553,2015-07-02,SAPT,629.9,629.9,605.0,605.0,200
64052,2015-07-03,SAPT,635.0,635.0,575.1,575.1,200
64557,2015-07-06,SAPT,585.0,602.9,585.0,602.9,300
65069,2015-07-07,SAPT,632.9,632.9,632.9,632.9,100
66094,2015-07-09,SAPT,640.0,640.0,640.0,640.0,100
69165,2015-07-22,SAPT,670.0,671.89,670.0,670.22,1850
71311,2015-07-28,SAPT,702.9,703.73,690.11,703.73,5450
72425,2015-07-30,SAPT,730.0,738.91,701.0,701.0,450
72972,2015-07-31,SAPT,735.88,736.05,735.88,736.05,300
73498,2015-08-03,SAPT,760.0,760.0,760.0,760.0,100
74499,2015-08-05,SAPT,722.0,722.0,722.0,722.0,50
77091,2015-08-12,SAPT,754.99,758.1,754.99,758.08,3400
77616,2015-08-13,SAPT,720.19,720.19,720.18,720.18,100
78130,2015-08-17,SAPT,756.0,756.18,756.0,756.18,5300
78635,2015-08-18,SAPT,793.98,793.98,793.98,793.98,100
79151,2015-08-19,SAPT,799.9,833.67,799.9,822.87,400
82308,2015-08-27,SAPT,863.9,864.01,835.55,864.0,3750
82859,2015-08-28,SAPT,860.0,860.0,860.0,860.0,50
83941,2015-09-01,SAPT,899.89,903.0,899.89,903.0,1000
84907,2015-09-15,SAPT,885.0,885.0,885.0,885.0,100
88297,2015-09-28,SAPT,841.01,841.01,841.01,841.01,100
88770,2015-09-29,SAPT,800.0,878.0,798.96,878.0,2200
89239,2015-09-30,SAPT,834.1,834.1,834.1,834.1,50
92143,2015-10-08,SAPT,792.4,796.0,792.4,792.4,1150
93657,2015-10-13,SAPT,752.78,831.9,752.78,805.0,1500
94172,2015-10-14,SAPT,775.1,845.0,770.0,816.17,1900
94671,2015-10-15,SAPT,854.0,854.0,854.0,854.0,50
95169,2015-10-16,SAPT,815.01,815.56,811.3,811.3,450
107863,2015-11-23,SAPT,0.0,840.0,840.0,801.3,500
108409,2015-11-24,SAPT,800.0,800.0,800.0,800.0,50
136113,2016-02-23,SAPT,765.0,840.0,765.0,831.85,1100
137110,2016-02-25,SAPT,0.0,824.0,824.0,831.85,800
142384,2016-03-14,SAPT,0.0,802.0031,802.0031,802.0031,0
146289,2016-04-06,SAPT,800.0,800.0,800.0,800.0,1000
146799,2016-04-07,SAPT,760.0,760.0,760.0,760.0,500
147300,2016-04-08,SAPT,750.0,794.9,722.0,758.45,250
148287,2016-04-12,SAPT,720.53,720.53,720.53,720.53,400
149255,2016-04-15,SAPT,684.51,755.0,684.51,722.4,3300
149750,2016-04-15,SAPT,684.51,755.0,684.51,722.4,3300
150246,2016-04-19,SAPT,700.01,700.01,700.0,700.0,1500
152847,2016-04-26,SAPT,729.95,730.0,729.95,730.0,400
153398,2016-04-27,SAPT,765.0,766.5,765.0,766.5,700
154505,2016-04-29,SAPT,750.0,750.0,728.18,728.18,2050
157097,2016-05-09,SAPT,726.0,726.0,726.0,726.0,100
161830,2016-05-24,SAPT,675.0,675.0,675.0,675.0,200
164621,2016-06-06,SAPT,708.75,708.75,708.75,708.75,200
167084,2016-06-10,SAPT,0.0,700.0,700.0,700.0,0
167560,2016-06-13,SAPT,0.0,699.0,699.0,699.0,0
169516,2016-06-17,SAPT,689.9,689.9,689.9,689.9,50
170000,2016-06-20,SAPT,0.0,685.6144,685.6144,685.6144,0
174045,2016-06-30,SAPT,0.0,680.0,680.0,680.0,0
178001,2016-07-19,SAPT,680.0,680.0,680.0,680.0,700
178510,2016-07-20,SAPT,0.0,679.0,679.0,680.0,50
194388,2016-09-06,SAPT,647.0,647.0,647.0,647.0,150
195505,2016-09-08,SAPT,630.0,630.0,630.0,630.0,300
197173,2016-09-19,SAPT,620.0,620.0,620.0,620.0,400
198845,2016-09-22,SAPT,600.0,600.0,600.0,600.0,50
199396,2016-09-26,SAPT,630.0,630.0,630.0,630.0,7600
202410,2016-10-03,SAPT,661.5,661.5,661.5,661.5,1400
203541,2016-10-05,SAPT,694.57,694.57,694.57,694.57,900
204117,2016-10-06,SAPT,729.29,729.29,729.29,729.29,500
204685,2016-10-07,SAPT,765.7,765.75,765.7,765.75,1100
205252,2016-10-10,SAPT,804.03,804.03,804.03,804.03,1350
205833,2016-10-13,SAPT,844.23,844.23,844.23,844.23,650
206396,2016-10-14,SAPT,886.44,886.44,886.44,886.44,850
206961,2016-10-17,SAPT,930.0,930.76,930.0,930.75,600
207531,2016-10-18,SAPT,975.0,977.28,972.0,977.28,1800
208092,2016-10-19,SAPT,1026.0,1026.14,1026.0,1026.14,450
208656,2016-10-20,SAPT,1062.0,1062.74,1062.0,1062.74,950
209210,2016-10-21,SAPT,1035.0,1115.87,1030.0,1115.87,1100
209765,2016-10-24,SAPT,1171.66,1171.66,1140.0,1171.66,800
210349,2016-10-25,SAPT,1230.24,1230.24,1230.24,1230.24,250
210928,2016-10-26,SAPT,1240.0,1291.75,1240.0,1291.75,550
211514,2016-10-27,SAPT,1356.33,1356.33,1356.0,1356.0,250
212101,2016-10-28,SAPT,1423.8,1423.8,1325.0,1410.0,500
212687,2016-10-31,SAPT,1460.0,1460.0,1460.0,1460.0,200
213235,2016-11-01,SAPT,1425.0,1445.0,1387.0,1445.0,400
213799,2016-11-02,SAPT,1440.0,1517.0,1440.0,1517.0,1050
214364,2016-11-03,SAPT,1500.0,1500.0,1500.0,1500.0,100
215476,2016-11-08,SAPT,0.0,1575.0,1575.0,1575.0,50
221531,2016-11-22,SAPT,0.0,1559.9975,0.0,1559.9975,0
222122,2016-11-23,SAPT,1570.0,1595.95,1570.0,1593.79,600
223921,2016-11-28,SAPT,0.0,1590.3675,0.0,1590.3675,0
225580,2016-12-01,SAPT,0.0,1537.355,0.0,1537.355,0
227234,2016-12-06,SAPT,0.0,1500.0,0.0,1500.0,0
227787,2016-12-07,SAPT,0.0,1425.0,0.0,1425.0,0
229416,2016-12-13,SAPT,0.0,1353.75,0.0,1353.75,0
229967,2016-12-14,SAPT,0.0,1339.0,0.0,1339.0,0
231050,2016-12-16,SAPT,1350.0,1350.0,1350.0,1350.0,50
233763,2016-12-23,SAPT,1290.0,1290.0,1290.0,1290.0,300
236001,2016-12-29,SAPT,1230.0,1230.01,1230.0,1230.0,200
237653,2017-06-02,SAPT,2095.17,2095.17,2095.17,2095.17,200
242031,2017-06-15,SAPT,1990.45,1990.45,1990.45,1990.45,40
245932,2017-06-02,SAPT,2095.17,2095.17,2095.17,2095.17,200
250310,2017-06-15,SAPT,1990.45,1990.45,1990.45,1990.45,40
254235,2017-02-01,SAPT,1356.07,1356.07,1356.07,1356.07,2000
260605,2017-02-17,SAPT,1288.27,1288.27,1288.27,1288.27,200
267035,2017-03-07,SAPT,0.0,1280.0,0.0,1280.0,0
267541,2017-03-08,SAPT,1218.0,1218.0,1218.0,1218.0,200
272100,2017-04-06,SAPT,1100.0,1100.0,1100.0,1100.0,100
272586,2017-04-07,SAPT,1155.0,1155.0,1155.0,1155.0,40
273560,2017-04-11,SAPT,1212.75,1212.75,1212.75,1198.7149,20
274065,2017-04-12,SAPT,1258.65,1258.65,1258.65,1258.65,20
274571,2017-04-13,SAPT,1321.58,1321.58,1321.58,1321.58,40
275074,2017-04-14,SAPT,1387.65,1387.65,1255.51,1255.51,60
275565,2017-04-17,SAPT,1192.74,1192.74,1192.74,1192.74,40
277564,2017-04-21,SAPT,1252.37,1252.37,1252.37,1252.37,40
278082,2017-04-24,SAPT,1314.98,1314.98,1314.98,1314.98,40
278626,2017-04-25,SAPT,1380.72,1380.72,1380.72,1380.72,60
279169,2017-04-26,SAPT,1449.75,1449.75,1449.75,1449.75,80
279720,2017-04-27,SAPT,1522.2,1522.23,1522.19,1522.23,420
280260,2017-04-28,SAPT,1598.34,1598.34,1598.34,1598.34,80
280784,2017-05-02,SAPT,1678.16,1678.2,1678.15,1678.19,120
281287,2017-05-03,SAPT,1760.0,1762.09,1760.0,1760.0,580
281791,2017-05-04,SAPT,1833.28,1833.28,1796.99,1797.0,140
282302,2017-05-05,SAPT,1800.0,1886.85,1800.0,1886.0,260
282821,2017-05-08,SAPT,1900.0,1969.99,1900.0,1950.0,360
283348,2017-05-09,SAPT,1999.89,2047.5,1999.89,2047.5,640
283856,2017-05-10,SAPT,2090.0,2147.99,2090.0,2140.0,120
284352,2017-05-11,SAPT,2225.0,2225.0,2033.05,2198.0,360
284860,2017-05-12,SAPT,2088.1,2273.95,2088.1,2215.97,480
285900,2017-05-16,SAPT,2222.0,2222.0,2105.18,2214.0,80
289112,2017-05-24,SAPT,0.0,2205.4410000000007,0.0,2205.4410000000007,0
292744,2017-06-02,SAPT,2095.17,2095.17,2095.17,2095.17,200
297122,2017-06-15,SAPT,1990.45,1990.45,1990.45,1990.45,40
301023,2017-06-02,SAPT,2095.17,2095.17,2095.17,2095.17,200
305401,2017-06-15,SAPT,1990.45,1990.45,1990.45,1990.45,40
312991,2017-07-13,SAPT,1890.93,1890.93,1890.93,1890.93,20
314851,2017-07-19,SAPT,1796.4,1984.0,1796.4,1984.0,60
315322,2017-07-20,SAPT,1884.8,1884.8,1884.8,1884.8,20
315788,2017-07-21,SAPT,1790.56,1978.95,1790.56,1978.95,60
316240,2017-07-24,SAPT,1880.01,1950.0,1880.01,1945.0,80
