,Date,Symbol,Open,High,Low,Close,Volume
238,2015-01-01,SAZEW,34.5,34.92,34.1,34.92,3000
759,2015-01-02,SAZEW,34.51,35.19,34.12,35.19,2500
1278,2015-01-05,SAZEW,34.17,35.0,34.17,35.0,4000
1785,2015-01-06,SAZEW,34.25,34.5,34.25,34.35,4500
2305,2015-01-07,SAZEW,34.51,34.9,34.35,34.79,7000
2818,2015-01-08,SAZEW,34.76,34.76,34.75,34.75,1000
3330,2015-01-09,SAZEW,34.85,35.0,34.5,34.53,12000
3856,2015-01-12,SAZEW,34.99,36.25,34.99,35.52,119000
4394,2015-01-13,SAZEW,36.0,36.0,35.5,35.57,28500
4939,2015-01-14,SAZEW,35.5,36.45,35.5,36.0,45500
5486,2015-01-15,SAZEW,37.0,37.5,35.81,35.82,163000
6024,2015-01-16,SAZEW,35.85,35.85,35.85,35.85,1000
6559,2015-01-19,SAZEW,35.0,35.9,34.81,35.8,6000
7094,2015-01-20,SAZEW,35.98,36.0,35.17,35.17,10500
7630,2015-01-21,SAZEW,35.01,35.4,35.01,35.06,3000
8153,2015-01-22,SAZEW,35.0,35.1,34.36,34.4,11000
8662,2015-01-23,SAZEW,34.26,34.26,34.26,34.26,1000
9183,2015-01-26,SAZEW,34.55,35.1,34.5,35.0,9500
9739,2015-01-27,SAZEW,34.98,35.0,34.98,35.0,10000
10297,2015-01-28,SAZEW,35.45,35.45,34.61,35.45,1500
10847,2015-01-29,SAZEW,34.52,34.52,34.35,34.43,3000
11381,2015-01-30,SAZEW,34.8,35.18,34.25,35.14,4000
11942,2015-02-02,SAZEW,35.0,35.0,35.0,35.0,1000
12457,2015-02-03,SAZEW,35.0,35.0,35.0,35.0,1000
12977,2015-02-04,SAZEW,34.61,34.61,34.6,34.6,3500
13481,2015-02-06,SAZEW,35.0,36.33,35.0,36.33,60000
13989,2015-02-09,SAZEW,38.14,38.14,38.14,38.14,5500
14488,2015-02-10,SAZEW,40.04,40.04,40.0,40.04,252500
14997,2015-02-11,SAZEW,42.04,42.04,42.04,42.04,1500
15512,2015-02-12,SAZEW,44.14,44.14,40.5,43.55,338500
16009,2015-02-13,SAZEW,44.0,45.72,44.0,45.72,245500
16505,2015-02-16,SAZEW,48.0,48.0,48.0,48.0,115500
17000,2015-02-17,SAZEW,50.38,50.4,47.0,47.39,271000
17503,2015-02-18,SAZEW,48.0,49.75,46.0,49.2,418500
18007,2015-02-19,SAZEW,48.2,48.95,46.74,48.13,112000
18497,2015-02-20,SAZEW,48.0,50.49,47.5,49.02,258500
18986,2015-02-23,SAZEW,48.06,50.0,47.5,49.27,150500
19533,2015-02-24,SAZEW,48.5,49.74,47.25,49.52,87500
20068,2015-02-25,SAZEW,48.0,48.44,47.5,48.21,52000
20621,2015-02-26,SAZEW,46.4,46.95,45.8,46.52,109500
21149,2015-02-27,SAZEW,46.96,47.0,45.0,45.13,20500
21684,2015-03-02,SAZEW,43.25,45.4,43.25,43.5,15000
22189,2015-03-03,SAZEW,43.99,45.28,42.0,44.69,53000
22690,2015-03-04,SAZEW,44.1,44.1,43.0,43.84,26000
23186,2015-03-05,SAZEW,44.0,44.25,43.0,43.28,36000
23656,2015-03-06,SAZEW,43.0,44.95,42.5,42.7,75500
24129,2015-03-09,SAZEW,42.99,43.0,42.5,43.0,10500
24615,2015-03-10,SAZEW,40.86,41.0,40.85,40.87,5500
25099,2015-03-11,SAZEW,39.1,41.8,39.1,40.92,8500
25585,2015-03-12,SAZEW,39.3,39.99,38.9,39.04,26000
26067,2015-03-13,SAZEW,39.7,40.0,39.7,39.84,7000
26553,2015-03-16,SAZEW,38.51,39.7,38.4,38.85,3000
27023,2015-03-17,SAZEW,39.0,39.0,39.0,39.0,1500
27527,2015-03-18,SAZEW,40.0,40.0,37.05,38.02,21000
