,Date,Symbol,Open,High,Low,Close,Volume
148745,2016-04-14,SERF,,1.7318,1.7318,1.7318,0
149229,2016-04-15,SERF,0.0,2.6231,2.6231,2.6231,0
149724,2016-04-15,SERF,0.0,2.6231,2.6231,2.6231,0
150225,2016-04-19,SERF,0.0,3.9177,3.9177,3.9177,0
150734,2016-04-20,SERF,4.91,4.91,4.91,4.91,500
151252,2016-04-21,SERF,5.91,5.91,5.91,5.91,1000
151770,2016-04-22,SERF,6.91,6.91,6.91,6.91,12000
152267,2016-04-25,SERF,7.91,7.91,7.91,7.91,500
152820,2016-04-26,SERF,8.91,8.91,8.91,8.91,500
153369,2016-04-27,SERF,9.91,9.91,9.0,9.91,43000
153927,2016-04-28,SERF,10.91,10.91,10.91,10.91,7500
154478,2016-04-29,SERF,11.91,11.91,11.9,11.91,26500
155018,2016-05-02,SERF,12.91,12.91,12.91,12.91,500
155519,2016-05-03,SERF,13.91,13.91,13.91,13.91,500
156042,2016-05-04,SERF,14.91,14.91,14.91,14.91,1500
156556,2016-05-06,SERF,16.91,16.91,16.77,16.91,28500
157071,2016-05-09,SERF,17.91,17.91,17.91,17.91,5500
157593,2016-05-10,SERF,18.91,18.91,18.0,18.91,138500
160730,2016-05-20,SERF,17.91,17.91,17.91,17.91,8000
161238,2016-05-23,SERF,16.91,18.91,16.91,18.5,148500
161797,2016-05-24,SERF,18.85,18.85,17.5,17.5,40000
162375,2016-05-25,SERF,16.5,18.35,16.5,17.79,73000
162947,2016-05-26,SERF,17.25,17.25,16.79,16.83,153000
163523,2016-06-02,SERF,16.81,16.92,16.81,16.92,3000
164060,2016-06-03,SERF,17.5,17.5,15.92,17.0,1379500
164593,2016-06-06,SERF,17.25,17.25,16.01,16.16,15500
165096,2016-06-07,SERF,15.16,16.9,15.16,16.04,49500
165580,2016-06-07,SERF,15.16,16.9,15.16,16.04,49500
166071,2016-06-08,SERF,17.0,17.0,15.75,16.48,15500
166572,2016-06-09,SERF,17.48,17.48,17.48,17.48,29000
167063,2016-06-10,SERF,18.48,18.48,18.48,18.48,77000
167541,2016-06-13,SERF,19.48,19.48,18.5,18.65,140000
168024,2016-06-14,SERF,19.19,19.48,18.5,19.06,59500
168509,2016-06-15,SERF,18.5,19.5,18.33,19.19,51500
169005,2016-06-16,SERF,18.81,19.2,18.19,18.35,128500
169492,2016-06-17,SERF,17.51,18.0,17.35,17.35,65000
169980,2016-06-20,SERF,17.8,18.35,16.35,16.51,107000
170490,2016-06-21,SERF,16.95,17.5,16.0,17.12,126000
171010,2016-06-22,SERF,17.5,17.6,17.0,17.09,84500
171535,2016-06-23,SERF,18.0,18.0,16.1,16.73,77000
172054,2016-06-24,SERF,17.4,17.4,16.55,17.13,30500
172564,2016-06-27,SERF,17.64,17.7,16.13,16.37,250000
173056,2016-06-28,SERF,16.75,16.9,15.51,16.38,37000
173542,2016-06-29,SERF,15.99,17.2,15.38,15.42,26500
174027,2016-06-30,SERF,15.42,16.42,15.42,16.38,21500
174503,2016-07-04,SERF,15.51,15.94,15.38,15.38,146000
174967,2016-07-11,SERF,15.99,16.29,14.75,15.5,10000
175451,2016-07-12,SERF,15.8,16.0,14.9,15.39,37000
175950,2016-07-13,SERF,15.45,15.45,14.39,14.62,41000
176469,2016-07-14,SERF,14.99,15.0,13.86,14.71,58500
