,Date,Symbol,Open,High,Low,Close,Volume
2160,2015-01-07,SHDT,33.75,33.75,33.75,33.75,500
4239,2015-01-13,SHDT,35.43,35.43,35.43,35.43,500
5881,2015-01-16,SHDT,37.2,37.2,37.2,37.2,500
7483,2015-01-21,SHDT,38.9,38.9,38.9,38.9,500
9038,2015-01-26,SHDT,40.75,40.75,40.75,40.75,500
11243,2015-01-30,SHDT,40.0,40.0,40.0,40.0,500
22053,2015-03-03,SHDT,38.11,38.11,38.1,38.1,1000
29343,2015-03-25,SHDT,0.0,37.9,37.9,37.9,0
57751,2015-06-17,SHDT,39.79,39.79,39.79,39.79,1000
60397,2015-06-24,SHDT,0.0,40.0,40.0,40.0,0
62026,2015-06-29,SHDT,0.0,41.0,41.0,40.0,500
65041,2015-07-07,SHDT,42.0,42.0,42.0,42.0,1000
67557,2015-07-14,SHDT,42.0,42.0,42.0,42.0,500
71839,2015-07-29,SHDT,44.0,44.0,44.0,44.0,500
74466,2015-08-05,SHDT,46.0,46.0,46.0,46.0,500
76537,2015-08-11,SHDT,48.25,48.25,48.25,48.25,1000
77583,2015-08-13,SHDT,50.5,50.5,50.5,50.5,1000
81735,2015-08-26,SHDT,53.0,53.0,53.0,53.0,1000
82276,2015-08-27,SHDT,50.5,55.65,50.5,55.65,1500
100316,2015-11-02,SHDT,49.48,49.48,49.48,49.48,500
105796,2015-11-17,SHDT,50.49,51.25,50.49,50.8,2500
119700,2015-12-31,SHDT,0.0,50.0,50.0,50.8,20000
137583,2016-02-29,SHDT,48.8,48.8,48.8,48.8,500
144251,2016-03-18,SHDT,0.0,49.0,49.0,48.8,500
146259,2016-04-06,SHDT,46.36,46.36,46.36,46.36,500
150728,2016-04-20,SHDT,44.25,45.0,44.25,44.51,10500
151763,2016-04-22,SHDT,44.3,44.5,44.3,44.5,12000
152262,2016-04-25,SHDT,46.72,46.72,46.72,46.72,1000
152815,2016-04-26,SHDT,49.0,49.0,49.0,49.0,3000
153363,2016-04-27,SHDT,51.25,51.45,51.25,51.45,2500
153921,2016-04-28,SHDT,54.0,54.0,53.99,53.99,5500
154475,2016-04-29,SHDT,56.49,56.49,56.49,56.49,5500
155010,2016-05-02,SHDT,57.0,59.3,57.0,59.3,5500
155513,2016-05-03,SHDT,62.2,62.2,62.2,62.2,3000
156036,2016-05-04,SHDT,63.99,65.25,63.99,63.99,30000
157586,2016-05-10,SHDT,64.5,64.5,64.5,64.5,5000
159671,2016-05-18,SHDT,0.0,63.9929,63.9929,63.9929,0
160203,2016-05-19,SHDT,0.0,63.4536,63.4536,63.4536,0
160725,2016-05-20,SHDT,66.62,66.62,66.62,66.62,1500
161231,2016-05-23,SHDT,69.95,69.95,69.95,69.95,3500
161789,2016-05-24,SHDT,69.0,69.0,69.0,69.0,1000
162369,2016-05-25,SHDT,69.99,69.99,69.99,69.99,500
162939,2016-05-26,SHDT,73.0,73.0,73.0,73.0,3000
164586,2016-06-06,SHDT,70.0,75.6,68.4,71.24,60500
165091,2016-06-07,SHDT,67.71,69.9,67.68,67.68,2500
165575,2016-06-07,SHDT,67.71,69.9,67.68,67.68,2500
166067,2016-06-08,SHDT,64.3,64.3,64.3,64.3,1000
166566,2016-06-09,SHDT,61.09,64.59,61.09,64.59,2500
167056,2016-06-10,SHDT,61.37,64.0,61.37,61.37,61500
167535,2016-06-13,SHDT,58.31,63.7,58.31,59.89,15500
168019,2016-06-14,SHDT,56.9,58.99,56.9,58.99,3500
168998,2016-06-16,SHDT,0.0,57.4607,57.4607,57.4607,0
169487,2016-06-17,SHDT,60.15,60.15,60.15,60.15,500
169975,2016-06-20,SHDT,57.15,59.94,57.15,59.94,1000
170486,2016-06-21,SHDT,56.95,62.92,56.95,59.21,108500
171005,2016-06-22,SHDT,60.0,60.0,56.25,57.99,2000
172048,2016-06-24,SHDT,57.11,57.98,55.11,57.91,37000
172558,2016-06-27,SHDT,55.02,58.49,55.02,58.49,56000
173539,2016-06-29,SHDT,59.49,59.49,59.49,59.49,1000
174024,2016-06-30,SHDT,60.49,60.49,60.48,60.49,1000
174500,2016-07-04,SHDT,57.47,59.69,57.47,59.69,2000
174963,2016-07-11,SHDT,56.71,56.71,56.71,56.71,5000
175447,2016-07-12,SHDT,59.0,59.0,59.0,59.0,1000
175946,2016-07-13,SHDT,56.25,61.39,56.25,61.39,97500
176464,2016-07-14,SHDT,58.4,62.99,58.4,62.99,1000
177463,2016-07-18,SHDT,64.24,64.24,64.24,64.24,500
178481,2016-07-20,SHDT,66.24,66.24,61.05,64.99,3000
178978,2016-07-21,SHDT,61.75,61.75,61.75,61.75,1000
179486,2016-07-22,SHDT,64.0,64.0,64.0,64.0,500
179977,2016-07-25,SHDT,66.0,66.0,60.8,60.8,1000
180507,2016-07-26,SHDT,57.76,57.76,57.76,57.76,1500
181052,2016-07-27,SHDT,55.5,57.48,54.88,57.48,5500
181611,2016-07-28,SHDT,54.65,57.4,54.65,57.4,1500
183181,2016-08-02,SHDT,59.5,59.5,59.5,59.5,500
184215,2016-08-04,SHDT,60.99,60.99,60.99,60.99,500
185235,2016-08-08,SHDT,57.95,59.99,57.95,59.99,1500
187836,2016-08-16,SHDT,59.99,59.99,59.99,59.99,500
188370,2016-08-17,SHDT,60.74,62.98,57.01,57.01,38500
188902,2016-08-18,SHDT,54.16,55.99,54.16,55.99,4000
189419,2016-08-19,SHDT,57.89,57.89,57.89,57.89,500
191020,2016-08-24,SHDT,55.0,55.0,55.0,55.0,32500
191581,2016-08-26,SHDT,59.15,59.15,58.95,58.97,5000
192171,2016-08-29,SHDT,58.74,58.74,56.03,56.03,26000
192731,2016-09-01,SHDT,58.44,58.5,55.05,58.18,22000
194911,2016-09-07,SHDT,55.3,58.0,55.28,55.4,23500
195465,2016-09-08,SHDT,52.63,52.63,52.63,52.63,500
196030,2016-09-09,SHDT,50.06,50.08,50.03,50.06,4500
196580,2016-09-15,SHDT,51.0,51.0,50.99,50.99,2500
197131,2016-09-19,SHDT,49.01,49.01,49.0,49.0,2000
197697,2016-09-20,SHDT,49.99,49.99,46.59,47.0,7000
198252,2016-09-21,SHDT,49.0,49.0,49.0,49.0,500
198805,2016-09-22,SHDT,49.0,49.0,49.0,49.0,1000
199956,2016-09-27,SHDT,50.0,50.0,50.0,50.0,500
200549,2016-09-28,SHDT,50.0,52.44,50.0,52.12,28000
