,Date,Symbol,Open,High,Low,Close,Volume
160,2015-01-01,SHSML,50.75,50.75,50.0,50.35,7000
676,2015-01-02,SHSML,49.02,49.25,48.56,48.56,3500
1198,2015-01-05,SHSML,46.16,48.48,46.16,47.02,10500
1707,2015-01-06,SHSML,46.05,47.25,46.05,47.0,17500
2225,2015-01-07,SHSML,47.0,47.1,47.0,47.0,48500
2737,2015-01-08,SHSML,48.89,49.3,48.88,49.16,12500
3250,2015-01-09,SHSML,49.0,49.5,48.0,48.0,18500
3771,2015-01-12,SHSML,48.1,49.0,48.0,48.5,9000
4859,2015-01-14,SHSML,47.06,47.2,47.0,47.2,4500
5402,2015-01-15,SHSML,47.75,48.0,47.2,48.0,13000
5943,2015-01-16,SHSML,48.0,48.0,48.0,48.0,1000
6477,2015-01-19,SHSML,49.45,49.5,48.11,48.27,30500
7012,2015-01-20,SHSML,48.0,48.5,48.0,48.5,2000
7546,2015-01-21,SHSML,46.41,48.47,46.08,48.18,77500
8070,2015-01-22,SHSML,43.89,47.0,43.89,46.0,2500
8580,2015-01-23,SHSML,46.1,46.1,43.75,44.21,3500
9101,2015-01-26,SHSML,44.2,44.25,42.0,42.01,48000
9658,2015-01-27,SHSML,40.5,40.72,39.91,39.91,29500
10213,2015-01-28,SHSML,39.01,39.01,37.95,38.0,18500
10762,2015-01-29,SHSML,38.5,39.0,38.5,39.0,2000
11302,2015-01-30,SHSML,37.65,37.65,37.6,37.6,3000
11859,2015-02-02,SHSML,37.1,38.0,35.8,35.86,14000
12375,2015-02-03,SHSML,36.3,36.7,36.3,36.7,1500
12894,2015-02-04,SHSML,36.75,36.75,36.6,36.75,1500
13399,2015-02-06,SHSML,35.1,37.0,35.1,37.0,4000
13906,2015-02-09,SHSML,36.01,36.6,36.01,36.6,3500
14410,2015-02-10,SHSML,36.0,36.5,36.0,36.0,7500
14920,2015-02-11,SHSML,35.5,36.2,35.5,36.1,4000
15432,2015-02-12,SHSML,35.05,36.0,35.05,35.75,7000
15929,2015-02-13,SHSML,35.75,35.75,35.75,35.75,500
16426,2015-02-16,SHSML,35.0,35.0,35.0,35.0,500
16921,2015-02-17,SHSML,36.0,36.0,36.0,36.0,500
18911,2015-02-23,SHSML,36.0,36.0,36.0,36.0,6000
19456,2015-02-24,SHSML,37.5,37.8,37.5,37.8,6500
19991,2015-02-25,SHSML,38.0,38.5,38.0,38.5,3000
20541,2015-02-26,SHSML,36.6,36.6,36.6,36.6,500
21074,2015-02-27,SHSML,36.15,36.15,36.15,36.15,3000
21607,2015-03-02,SHSML,34.35,34.35,34.35,34.35,1500
