,Date,Symbol,Open,High,Low,Close,Volume
3713,2015-01-12,STJT,,93.5,93.5,93.5,0
4794,2015-01-14,STJT,0.0,93.2333,93.2333,93.2333,0
9601,2015-01-27,STJT,0.0,90.0,90.0,90.0,0
10709,2015-01-29,STJT,0.0,90.0,90.0,90.0,500
18857,2015-02-23,STJT,85.5,85.5,85.5,85.5,500
19396,2015-02-24,STJT,81.23,81.23,81.23,81.23,500
19940,2015-02-25,STJT,77.17,77.17,77.17,81.23,300
20485,2015-02-26,STJT,0.0,80.0,80.0,80.0,0
22562,2015-03-04,STJT,76.0,76.0,76.0,80.0,100
27895,2015-03-19,STJT,76.0,76.0,76.0,76.0,500
28373,2015-03-20,STJT,72.2,72.2,72.2,72.2,500
28843,2015-03-24,STJT,0.0,72.0,72.0,72.0,0
29857,2015-03-26,STJT,0.0,71.0,71.0,72.0,500
30922,2015-03-30,STJT,0.0,70.0,70.0,70.0,0
32449,2015-04-02,STJT,71.0,71.0,71.0,71.0,49500
35959,2015-04-13,STJT,71.0,71.0,71.0,71.0,100
46070,2015-05-12,STJT,71.0,71.0,71.0,71.0,100
47500,2015-05-15,STJT,74.55,74.55,74.55,74.55,500
47983,2015-05-18,STJT,78.27,78.27,78.27,74.55,100
48461,2015-05-20,STJT,74.0,74.0,74.0,74.0,1000
51990,2015-06-01,STJT,74.0,74.0,74.0,74.0,100
52513,2015-06-02,STJT,72.0,72.0,72.0,72.0,500
53030,2015-06-03,STJT,68.4,68.4,68.4,68.4,1000
55640,2015-06-10,STJT,0.0,71.5,71.5,68.4,2300
57226,2015-06-16,STJT,67.0,67.25,67.0,67.04,700
57757,2015-06-17,STJT,70.39,70.39,70.2,70.35,500
58295,2015-06-18,STJT,67.1,67.5,66.84,66.85,3000
58812,2015-06-19,STJT,70.0,70.0,70.0,66.85,500
59836,2015-06-23,STJT,68.11,68.22,68.11,66.85,200
60406,2015-06-24,STJT,68.5,70.0,68.0,69.63,3600
60966,2015-06-25,STJT,70.0,70.0,70.0,70.0,500
62525,2015-06-30,STJT,70.0,73.5,70.0,71.0,1400
64028,2015-07-03,STJT,70.0,70.0,70.0,70.0,1000
64530,2015-07-06,STJT,70.0,70.0,70.0,70.0,1000
66067,2015-07-09,STJT,70.0,70.0,70.0,70.0,1000
66569,2015-07-10,STJT,70.0,73.5,70.0,73.5,4000
67563,2015-07-14,STJT,0.0,71.4118,71.4118,71.4118,0
70203,2015-07-24,STJT,0.0,71.0,71.0,71.0,0
73469,2015-08-03,STJT,0.0,69.38,69.38,69.38,0
74991,2015-08-06,STJT,71.0,72.84,71.0,72.8,17000
75517,2015-08-07,STJT,74.0,76.44,74.0,76.44,1000
76029,2015-08-10,STJT,78.0,80.26,73.0,78.32,2500
77063,2015-08-12,STJT,81.39,82.23,81.39,81.6,2500
79120,2015-08-19,STJT,82.0,85.0,82.0,84.5,2000
79643,2015-08-20,STJT,85.0,85.0,85.0,85.0,1000
82833,2015-08-28,STJT,87.0,87.0,87.0,87.0,500
83388,2015-08-31,STJT,91.0,91.0,91.0,91.0,500
83913,2015-09-01,STJT,93.9,93.9,93.9,93.9,500
84409,2015-09-14,STJT,107.8,107.8,107.8,107.8,500
84883,2015-09-15,STJT,108.0,108.0,108.0,108.0,500
85364,2015-09-16,STJT,106.0,113.4,106.0,110.12,5000
85851,2015-09-17,STJT,107.5,107.5,107.5,107.5,500
87290,2015-09-22,STJT,105.0,105.0,105.0,105.0,500
87785,2015-09-23,STJT,99.75,110.0,99.75,107.05,2500
89214,2015-09-30,STJT,108.0,108.0,101.7,104.17,6000
90169,2015-10-02,STJT,100.0,108.0,99.0,104.1,8000
90648,2015-10-05,STJT,99.0,99.0,99.0,99.0,500
91149,2015-10-06,STJT,99.0,103.95,99.0,102.54,4000
92623,2015-10-09,STJT,99.25,105.0,99.0,105.0,2500
93123,2015-10-12,STJT,99.75,110.25,99.75,110.25,5500
95639,2015-10-19,STJT,110.25,115.76,110.25,115.76,3500
96147,2015-10-20,STJT,119.9,121.0,119.9,120.23,2000
96648,2015-10-21,STJT,125.95,126.24,125.95,126.24,4000
99786,2015-10-30,STJT,127.0,127.0,127.0,127.0,500
100322,2015-11-02,STJT,128.0,129.0,128.0,128.5,1000
101317,2015-11-04,STJT,125.0,134.92,125.0,127.99,3000
101829,2015-11-05,STJT,123.1,123.1,121.6,121.6,1000
104304,2015-11-12,STJT,123.0,123.0,123.0,123.0,1500
104815,2015-11-13,STJT,0.0,117.0,117.0,123.0,500
105303,2015-11-16,STJT,125.0,125.0,125.0,125.0,1000
105803,2015-11-17,STJT,127.0,129.99,127.0,128.84,5000
106330,2015-11-18,STJT,123.1,135.28,122.4,131.37,8000
106841,2015-11-19,STJT,134.5,137.93,134.5,135.91,3000
108385,2015-11-24,STJT,142.7,142.7,142.7,142.7,500
108927,2015-11-25,STJT,149.83,149.83,149.83,149.83,500
109465,2015-11-26,STJT,157.0,157.32,157.0,157.32,1000
109989,2015-11-27,STJT,160.0,160.0,160.0,160.0,500
110518,2015-11-30,STJT,166.99,168.0,166.99,167.33,1500
111993,2015-12-03,STJT,165.0,169.95,165.0,167.48,1000
112959,2015-12-07,STJT,172.75,172.75,172.75,172.75,500
113443,2015-12-08,STJT,0.0,179.95,179.95,172.75,500
113943,2015-12-09,STJT,164.15,164.15,164.15,164.15,500
115858,2015-12-16,STJT,164.0,172.0,164.0,172.0,2000
116330,2015-12-17,STJT,163.4,163.4,163.4,163.4,500
116799,2015-12-18,STJT,171.0,171.0,171.0,171.0,500
120168,2016-01-01,STJT,0.0,170.0,170.0,170.0,0
123420,2016-01-14,STJT,162.0,175.66,162.0,175.6,2000
124381,2016-01-18,STJT,173.0,174.6,173.0,174.6,100
126227,2016-01-22,STJT,0.0,165.87,165.87,165.87,0
127663,2016-01-27,STJT,157.58,174.16,157.58,169.41,3500
128164,2016-01-28,STJT,160.95,160.95,160.94,160.94,2000
131008,2016-02-08,STJT,160.94,168.95,160.94,168.95,1000
131927,2016-02-10,STJT,177.37,177.37,177.37,177.37,500
132856,2016-02-12,STJT,0.0,175.0,175.0,175.0,0
133782,2016-02-16,STJT,169.0,183.75,169.0,175.28,2000
135133,2016-02-19,STJT,184.04,184.04,184.04,184.04,500
135580,2016-02-22,STJT,0.0,180.2629,180.2629,180.2629,0
136089,2016-02-23,STJT,0.0,180.0,180.0,180.0,0
137587,2016-02-29,STJT,0.0,165.8378,165.8378,165.8378,0
138052,2016-03-01,STJT,0.0,165.7672,165.7672,165.7672,0
138514,2016-03-02,STJT,0.0,161.0307,161.0307,161.0307,0
138996,2016-03-03,STJT,0.0,157.1848,157.1848,157.1848,0
140470,2016-03-08,STJT,159.0,165.0,159.0,165.0,3300
140950,2016-03-09,STJT,0.0,160.9036,160.9036,160.9036,0
141424,2016-03-10,STJT,0.0,158.7634,158.7634,158.7634,0
142361,2016-03-14,STJT,0.0,156.6474,156.6474,156.6474,0
142834,2016-03-15,STJT,0.0,153.4286,153.4286,153.4286,0
143771,2016-03-17,STJT,0.0,153.0,153.0,153.0,0
144739,2016-04-01,STJT,170.0,176.9,170.0,175.9,400
145233,2016-04-04,STJT,175.0,175.7095,175.0,175.7095,100
145744,2016-04-05,STJT,0.0,169.0909,169.0909,169.0909,0
148266,2016-04-12,STJT,177.54,177.54,160.64,160.65,400
148746,2016-04-14,STJT,168.0,168.0,152.0,153.18,1700
149230,2016-04-15,STJT,145.55,152.0,145.55,152.0,100
149725,2016-04-15,STJT,145.55,152.0,145.55,152.0,100
150735,2016-04-20,STJT,155.0,158.66,155.0,156.22,300
151771,2016-04-22,STJT,149.5,149.5,149.5,149.5,400
153370,2016-04-27,STJT,143.75,143.75,142.2,142.87,1100
153928,2016-04-28,STJT,135.75,136.0,135.75,135.8,1000
155019,2016-05-02,STJT,129.16,129.16,129.15,129.15,600
155520,2016-05-03,STJT,122.7,123.0,122.7,122.7,700
156043,2016-05-04,STJT,116.57,116.57,116.57,116.57,500
156557,2016-05-06,STJT,105.25,106.0,105.22,105.48,500
159147,2016-05-16,STJT,105.0,105.0,105.0,105.48,100
159678,2016-05-18,STJT,100.21,100.21,100.21,105.48,100
160210,2016-05-19,STJT,100.21,105.0,100.21,102.07,400
