,Date,Symbol,Open,High,Low,Close,Volume
137140,2016-02-25,SML,11.65,11.79,11.5,11.53,29000
137633,2016-02-29,SML,11.7,11.7,11.7,11.7,2500
138097,2016-03-01,SML,11.56,11.56,11.3,11.3,64000
138562,2016-03-02,SML,11.5,11.5,11.45,11.45,32500
139048,2016-03-03,SML,11.4,11.4,11.15,11.21,26500
139534,2016-03-04,SML,11.44,11.44,11.0,11.08,50500
140024,2016-03-07,SML,11.17,11.43,10.92,11.18,88000
140524,2016-03-08,SML,11.1,11.22,10.9,11.07,209500
140998,2016-03-09,SML,11.45,12.05,11.45,11.66,569500
141472,2016-03-10,SML,11.65,11.88,11.21,11.22,48000
141929,2016-03-11,SML,11.22,11.4,11.01,11.33,205500
142411,2016-03-14,SML,11.79,11.79,11.2,11.22,142000
142885,2016-03-15,SML,11.2,11.32,11.0,11.06,101000
143356,2016-03-16,SML,11.1,11.2,11.02,11.05,107500
143824,2016-03-17,SML,11.12,11.9,11.1,11.8,260500
144307,2016-03-18,SML,12.0,12.44,11.98,12.24,104000
144787,2016-04-01,SML,13.9,14.35,13.86,14.08,176000
145285,2016-04-04,SML,14.2,14.2,13.92,13.96,243000
145797,2016-04-05,SML,13.81,14.14,13.81,13.91,138000
146319,2016-04-06,SML,14.0,14.2,13.95,14.01,94000
146827,2016-04-07,SML,14.0,14.05,13.6,13.73,369000
147325,2016-04-08,SML,13.68,13.68,13.5,13.6,64000
147832,2016-04-11,SML,13.5,13.5,12.65,12.84,797000
148314,2016-04-12,SML,12.7,13.25,12.5,12.99,254000
148793,2016-04-14,SML,12.9,13.78,12.9,13.61,519500
149283,2016-04-15,SML,13.89,14.5,13.7,14.04,801000
149778,2016-04-15,SML,13.89,14.5,13.7,14.04,801000
150275,2016-04-19,SML,15.15,15.85,15.01,15.22,1167500
150789,2016-04-20,SML,15.12,15.25,14.75,14.99,341500
151312,2016-04-21,SML,15.0,15.99,15.0,15.41,1859500
151824,2016-04-22,SML,15.73,16.4,15.7,15.95,753000
152326,2016-04-25,SML,16.0,16.09,15.61,15.83,130000
152876,2016-04-26,SML,15.71,15.89,15.6,15.8,28000
153432,2016-04-27,SML,15.9,16.15,15.3,15.98,302000
153985,2016-04-28,SML,16.0,16.25,15.51,15.68,145500
154532,2016-04-29,SML,16.0,16.0,14.9,15.0,292000
155074,2016-05-02,SML,15.4,15.4,14.3,14.44,202500
155572,2016-05-03,SML,14.4,14.7,14.4,14.41,87500
156104,2016-05-04,SML,14.47,15.0,14.47,14.76,141500
156613,2016-05-06,SML,14.65,14.65,14.4,14.46,48000
157124,2016-05-09,SML,14.25,15.1,14.25,14.96,273000
157645,2016-05-10,SML,15.1,15.25,14.82,15.0,150000
158165,2016-05-12,SML,15.95,16.67,15.75,16.67,1300500
158686,2016-05-13,SML,17.2,17.67,17.02,17.67,1186000
159206,2016-05-16,SML,18.09,18.64,17.5,17.76,1302000
159733,2016-05-18,SML,19.3,19.76,19.15,19.76,1665000
160268,2016-05-19,SML,20.09,20.76,19.8,20.76,1374500
160784,2016-05-20,SML,21.31,21.35,19.73,19.91,1450000
161295,2016-05-23,SML,19.79,20.78,19.0,20.48,1314500
161866,2016-05-24,SML,20.5,21.5,20.4,21.33,2989000
162435,2016-05-25,SML,21.73,21.73,20.76,20.93,1293000
163010,2016-05-26,SML,21.2,21.25,19.95,20.11,1124000
163584,2016-06-02,SML,19.25,19.25,18.45,18.52,428000
164122,2016-06-03,SML,18.8,19.0,18.04,18.32,268500
164653,2016-06-06,SML,18.15,18.2,17.62,17.69,214000
165149,2016-06-07,SML,17.52,17.83,17.31,17.51,364000
165633,2016-06-07,SML,17.52,17.83,17.31,17.51,364000
166120,2016-06-08,SML,17.49,17.69,17.13,17.25,131000
166621,2016-06-09,SML,17.3,17.39,16.99,17.06,252500
167110,2016-06-10,SML,17.25,17.3,16.76,16.82,61500
167590,2016-06-13,SML,16.55,16.55,16.01,16.29,283500
168070,2016-06-14,SML,16.27,16.7,16.0,16.45,183000
168561,2016-06-15,SML,16.79,16.85,15.89,16.01,266500
169056,2016-06-16,SML,16.17,16.49,15.72,15.84,150000
169546,2016-06-17,SML,15.76,16.75,15.5,16.64,516500
170024,2016-06-20,SML,16.89,17.1,16.5,16.68,221000
170538,2016-06-21,SML,16.85,17.0,16.35,16.43,95500
171063,2016-06-22,SML,16.11,16.5,15.61,15.81,68000
171576,2016-06-23,SML,15.75,16.29,15.53,16.12,113000
172104,2016-06-24,SML,15.99,16.98,15.2,15.71,188000
172612,2016-06-27,SML,15.7,15.78,14.95,15.17,169000
173108,2016-06-28,SML,15.2,15.3,15.12,15.17,90500
173594,2016-06-29,SML,15.25,15.98,15.25,15.55,314000
174078,2016-06-30,SML,15.6,15.68,15.4,15.62,39500
174547,2016-07-04,SML,15.21,15.6,15.0,15.5,235000
175013,2016-07-11,SML,15.15,16.02,15.15,15.96,119000
175504,2016-07-12,SML,16.0,16.6,15.9,16.12,429500
176010,2016-07-13,SML,16.07,16.75,16.07,16.2,385000
176528,2016-07-14,SML,16.2,16.24,16.0,16.11,93000
