,Date,Symbol,Open,High,Low,Close,Volume
208,2015-01-01,SHEL,259.39,265.0,258.5,263.64,170600
726,2015-01-02,SHEL,265.5,266.0,261.5,263.28,199400
1246,2015-01-05,SHEL,262.5,263.0,260.0,260.43,49500
1755,2015-01-06,SHEL,257.3,259.8,257.2,257.73,44100
2273,2015-01-07,SHEL,258.9,262.5,257.6,259.81,144900
2786,2015-01-08,SHEL,262.0,264.4,259.0,259.71,187100
3298,2015-01-09,SHEL,260.0,264.9,260.0,260.48,213700
3823,2015-01-12,SHEL,262.0,263.39,260.0,260.43,119400
4362,2015-01-13,SHEL,260.43,260.5,256.5,257.56,51000
4908,2015-01-14,SHEL,257.0,261.0,257.0,257.99,81200
5453,2015-01-15,SHEL,261.01,262.4,258.01,258.39,155300
5993,2015-01-16,SHEL,257.5,262.0,257.5,259.92,147400
6526,2015-01-19,SHEL,261.95,269.9,261.49,267.6,690100
7062,2015-01-20,SHEL,269.5,273.1,264.0,271.67,638600
7598,2015-01-21,SHEL,274.0,280.3,273.5,274.62,848700
8120,2015-01-22,SHEL,275.99,279.4,268.0,270.25,514300
8630,2015-01-23,SHEL,268.6,270.99,265.4,266.63,167600
9151,2015-01-26,SHEL,270.0,270.0,264.0,266.89,189100
9707,2015-01-27,SHEL,268.45,274.39,267.0,272.32,383700
10266,2015-01-28,SHEL,273.0,277.01,268.0,268.79,618500
10815,2015-01-29,SHEL,269.75,270.0,266.5,267.14,219400
11350,2015-01-30,SHEL,268.1,269.78,266.0,267.37,218500
11911,2015-02-02,SHEL,268.89,271.4,267.0,268.95,308900
12426,2015-02-03,SHEL,272.0,275.0,270.25,271.91,695800
12946,2015-02-04,SHEL,274.74,278.75,272.0,273.19,1226900
13450,2015-02-06,SHEL,274.99,276.5,271.0,272.01,252200
13958,2015-02-09,SHEL,273.3,273.5,268.51,269.13,125900
14459,2015-02-10,SHEL,268.51,271.0,265.0,268.13,105600
14967,2015-02-11,SHEL,269.01,274.65,269.0,271.28,543800
15481,2015-02-12,SHEL,269.0,270.05,257.72,264.14,342400
15979,2015-02-13,SHEL,265.5,269.5,264.6,266.84,279000
16474,2015-02-16,SHEL,268.7,268.99,265.0,265.63,92800
16971,2015-02-17,SHEL,267.25,268.5,263.0,264.4,71500
17473,2015-02-18,SHEL,264.7,264.7,263.0,263.45,37300
17977,2015-02-19,SHEL,264.0,265.99,262.2,264.46,51100
18468,2015-02-20,SHEL,265.9,269.5,265.0,267.08,139900
18957,2015-02-23,SHEL,267.5,268.5,265.01,265.9,18000
19504,2015-02-24,SHEL,267.0,267.0,264.7,265.14,43100
20037,2015-02-25,SHEL,263.0,265.2,262.83,264.11,38500
20592,2015-02-26,SHEL,266.97,266.97,261.01,262.41,46800
21118,2015-02-27,SHEL,261.5,264.55,261.05,262.92,21800
21654,2015-03-02,SHEL,263.0,263.0,256.5,258.23,49000
22160,2015-03-03,SHEL,258.49,260.0,250.6,255.62,107500
22661,2015-03-04,SHEL,258.9,259.0,255.0,256.13,28200
23158,2015-03-05,SHEL,257.1,259.0,255.3,257.91,60600
23625,2015-03-06,SHEL,259.75,262.99,258.25,259.0,80800
24101,2015-03-09,SHEL,258.0,259.0,257.0,257.64,22300
24586,2015-03-10,SHEL,256.5,260.99,253.5,254.81,57500
25071,2015-03-11,SHEL,254.01,256.8,251.01,255.24,68100
25556,2015-03-12,SHEL,248.0,253.49,242.5,244.09,271400
26037,2015-03-13,SHEL,244.9,247.75,243.72,244.43,79300
26523,2015-03-16,SHEL,243.0,245.0,240.0,241.7,30500
26993,2015-03-17,SHEL,240.0,240.4,236.5,238.83,100900
27499,2015-03-18,SHEL,235.0,236.5,226.89,227.67,75500
27990,2015-03-19,SHEL,228.0,235.0,225.0,225.8,47200
28460,2015-03-20,SHEL,227.0,230.99,225.5,226.36,63500
28929,2015-03-24,SHEL,228.0,229.48,220.5,222.86,20000
29434,2015-03-25,SHEL,222.86,222.86,220.0,220.67,23100
29946,2015-03-26,SHEL,223.0,224.5,215.46,221.66,83700
30477,2015-03-27,SHEL,222.98,223.9,218.0,222.05,130200
31030,2015-03-30,SHEL,223.8,223.8,210.95,210.95,118500
31538,2015-03-31,SHEL,210.0,221.45,209.99,220.86,109100
32042,2015-04-01,SHEL,221.05,226.08,216.0,221.31,94100
