,Date,Symbol,Open,High,Low,Close,Volume
316,2015-01-01,SHEZ,1207.0,1217.0,1205.0,1217.0,300
846,2015-01-02,SHEZ,1215.0,1215.0,1215.0,1215.0,1350
1361,2015-01-05,SHEZ,1215.0,1216.0,1215.0,1215.1,200
1868,2015-01-06,SHEZ,1239.0,1239.0,1239.0,1239.0,50
2387,2015-01-07,SHEZ,1229.0,1300.95,1229.0,1286.9,13050
2901,2015-01-08,SHEZ,1260.1,1275.0,1255.0,1275.0,400
3416,2015-01-09,SHEZ,1275.0,1300.0,1215.0,1231.02,1500
3943,2015-01-12,SHEZ,1289.0,1292.57,1289.0,1292.56,3450
4481,2015-01-13,SHEZ,1300.0,1330.0,1300.0,1301.47,3000
5023,2015-01-14,SHEZ,1339.8,1339.8,1335.0,1335.0,450
5575,2015-01-15,SHEZ,1331.0,1339.0,1300.0,1300.0,1000
6107,2015-01-16,SHEZ,1300.0,1300.0,1300.0,1300.0,1200
6641,2015-01-19,SHEZ,1300.0,1300.1,1300.0,1300.02,1800
7177,2015-01-20,SHEZ,1339.0,1339.0,1300.0,1320.0,3750
8237,2015-01-22,SHEZ,1320.0,1369.0,1320.0,1369.0,650
8744,2015-01-23,SHEZ,1354.0,1400.0,1354.0,1400.0,1150
9269,2015-01-26,SHEZ,1430.0,1430.0,1399.0,1399.0,450
9825,2015-01-27,SHEZ,1336.01,1356.9,1329.05,1329.1,250
10381,2015-01-28,SHEZ,1301.1,1301.1,1300.0,1300.0,4300
10928,2015-01-29,SHEZ,1300.0,1300.0,1300.0,1300.0,300
11464,2015-01-30,SHEZ,1300.0,1300.0,1300.0,1300.0,1150
12025,2015-02-02,SHEZ,1300.0,1300.0,1300.0,1300.0,1250
12540,2015-02-03,SHEZ,1349.1,1349.1,1339.0,1339.0,100
13060,2015-02-04,SHEZ,1300.0,1301.0,1300.0,1300.0,1000
15080,2015-02-11,SHEZ,1300.0,1301.0,1300.0,1301.0,900
15594,2015-02-12,SHEZ,1300.0,1300.1,1300.0,1300.1,1750
16093,2015-02-13,SHEZ,1325.0,1325.0,1325.0,1325.0,200
16585,2015-02-16,SHEZ,1329.0,1330.0,1329.0,1329.8,500
17085,2015-02-17,SHEZ,1310.0,1310.0,1310.0,1310.0,50
17583,2015-02-18,SHEZ,1300.0,1300.01,1300.0,1300.0,1750
18579,2015-02-20,SHEZ,1250.1,1298.5,1240.0,1292.5,4400
